Year,Month,SEQ major road,SEQ suburban,Mt Isa residential,Townsville peak (industrial),NEPM standard
1992,12,0.89,0.27,,,0.5
1993,1,0.87,0.26,,,0.5
1993,2,0.86,0.26,,,0.5
1993,3,0.84,0.25,,,0.5
1993,4,0.82,0.24,,,0.5
1993,5,0.81,0.23,,,0.5
1993,6,0.81,0.22,,,0.5
1993,7,0.85,0.21,,,0.5
1993,8,0.89,0.2,,,0.5
1993,9,0.91,0.18,,,0.5
1993,10,0.9,0.17,,,0.5
1993,11,0.88,0.17,,,0.5
1993,12,0.85,0.16,,,0.5
1994,1,0.82,0.16,,,0.5
1994,2,0.79,0.16,,,0.5
1994,3,0.76,0.15,,,0.5
1994,4,0.73,0.15,,,0.5
1994,5,0.69,0.15,,,0.5
1994,6,0.65,0.15,,,0.5
1994,7,0.59,0.15,,,0.5
1994,8,0.53,0.16,,,0.5
1994,9,0.51,0.16,,,0.5
1994,10,0.5,0.17,,,0.5
1994,11,0.49,0.17,,,0.5
1994,12,0.48,0.17,,,0.5
1995,1,0.48,0.17,,,0.5
1995,2,0.47,0.16,,,0.5
1995,3,0.46,0.16,,,0.5
1995,4,0.45,0.16,,,0.5
1995,5,0.45,0.16,,,0.5
1995,6,0.44,0.15,,,0.5
1995,7,0.43,0.14,,,0.5
1995,8,0.43,0.13,,,0.5
1995,9,0.41,0.12,,,0.5
1995,10,0.4,0.12,,,0.5
1995,11,0.39,0.11,,,0.5
1995,12,0.38,0.11,,,0.5
1996,1,0.38,0.11,,,0.5
1996,2,0.37,0.11,,,0.5
1996,3,0.36,0.11,,,0.5
1996,4,0.35,0.1,,,0.5
1996,5,0.34,0.1,,,0.5
1996,6,0.33,0.1,,,0.5
1996,7,0.32,0.09,,,0.5
1996,8,0.3,0.09,,,0.5
1996,9,0.29,0.08,,,0.5
1996,10,0.28,0.08,,,0.5
1996,11,0.27,0.08,,,0.5
1996,12,0.26,0.08,,,0.5
1997,1,0.25,0.08,,,0.5
1997,2,0.25,0.08,,,0.5
1997,3,0.25,0.08,,,0.5
