Airshed,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
South East Queensland,5.037,6.987,4.725,5.371,4.671,3.986,4.043,2.729,2.943,2.437,2.725,1.85,1.7,1.586,1.857
Gladstone,,,,,,,,,,2.129,1.037,2.757,1.271,0.714,0.9
