Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (percent),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),Sulfur Dioxide (SO2) (ppm),Carbon Monoxide (CO) (ppm),PM10 (µg/m^3),PM2.5 (µg/m^3),Visibility-reducing particles (Mm^-1)
1/01/2012,0:00,172,2,12.9,0.6,20.4,74.6,,,,,,118.5,102.2,
1/01/2012,1:00,162,2.6,12.5,0.7,20.2,73.8,0,0.01,0.01,0.002,0.8,149.7,131.5,396
1/01/2012,2:00,162,2.6,12.8,0.8,20.1,74.3,0,0.005,0.005,0.002,0.4,121.6,104.1,184
1/01/2012,3:00,157,2.7,11.3,0.7,19.8,74.5,0,0.008,0.008,0.002,0.5,54.4,39.5,402
1/01/2012,4:00,162,2.1,12.4,0.5,19.6,74.9,0.001,0.018,0.019,0.003,1.2,225.3,203,773
1/01/2012,5:00,159,2.4,12.8,0.6,19.6,74.7,0.001,0.006,0.007,0.002,0.5,196.4,174.7,291
1/01/2012,6:00,159,2.8,13.2,0.8,22,66.2,0.001,0.003,0.003,0.002,0.2,97.4,78.4,128
1/01/2012,7:00,148,2.9,17.1,0.9,24.2,57.6,0,0.001,0.001,0.001,0,34.5,19,16
1/01/2012,8:00,153,3.1,16.4,1.1,25.4,54.3,0,0,0,0.001,0,18.5,4.4,12
1/01/2012,9:00,146,2.9,25.2,1,26.3,51,0.001,0,0.001,0.001,0,24.3,9.3,12
1/01/2012,10:00,133,3,22.2,1.1,27.8,47.1,0.001,0.001,0.001,0.001,0,20.4,7.9,12
1/01/2012,11:00,95,3.1,26.3,1.2,27.1,50.6,0.001,0,0.001,0.001,0,22.8,9.8,12
1/01/2012,12:00,75,4,18.3,1.5,25.6,58.3,0,0,0,0.001,0,25,10,13
1/01/2012,13:00,71,5.5,14.3,1.5,25,61.1,0,0,0,0.001,0,22.4,3.9,13
1/01/2012,14:00,80,5.5,17,1.8,25.5,59,0,0,0,0.001,0,21.8,3.4,12
1/01/2012,15:00,75,5.2,16.9,1.8,25.3,58.9,0.001,0,0.001,0.001,0,18.4,2.5,12
1/01/2012,16:00,80,5.2,15.8,1.7,25.1,58.4,0,0,0,0.001,0,17.6,1.1,12
1/01/2012,17:00,93,4.7,19.2,1.8,24.9,58.4,0,0,0,0.001,0,23.3,7,12
1/01/2012,18:00,105,3.7,21.5,1.6,23.8,64.2,0,0,0,0.001,0,19.1,2.2,13
1/01/2012,19:00,131,2.2,25.9,1,23.1,65.4,0,0,0,0.001,0,16.7,-0.6,14
1/01/2012,20:00,141,1.7,17.9,0.7,22.5,65.4,0,0,0,0.001,0,16.3,1.8,13
1/01/2012,21:00,142,1.6,15.5,0.6,22,67.3,0,0,0,0.001,0,16.8,3.3,13
1/01/2012,22:00,177,1.1,22.5,0.3,21.3,70.7,0,0.001,0.001,0.001,0,14.9,0.8,14
1/01/2012,23:00,171,1.7,13.5,0.5,20.6,71.1,0,0.002,0.002,0.001,0.1,26.1,11.4,56
2/01/2012,0:00,167,1.7,14.1,0.5,20.2,70.5,,,,,,40.3,26.1,
2/01/2012,1:00,176,1.4,13.4,0.4,19.9,72,0.002,0.027,0.029,0.004,2.2,199.8,179.4,949
2/01/2012,2:00,177,1.7,13.7,0.4,19.7,72.9,0.001,0.024,0.025,0.004,2,366,336.8,967
2/01/2012,3:00,171,2.2,12.1,0.6,19.5,74.2,0.001,0.022,0.023,0.004,1.5,342.7,317,911
2/01/2012,4:00,173,2.2,13.5,0.7,19.3,75.8,0.001,0.021,0.022,0.004,1.7,279,256,849
2/01/2012,5:00,201,1.3,18.2,0.5,18.8,78.4,0.001,0.011,0.012,0.003,0.9,257.1,236.5,426
2/01/2012,6:00,178,2.2,18.6,0.7,20.9,72,0.001,0.004,0.004,0.002,0.5,79,63.8,229
2/01/2012,7:00,149,3.5,14.1,1,23.8,61.1,0.001,0.002,0.003,0.002,0.1,81.1,66.2,68
2/01/2012,8:00,148,3.3,15.1,1,25.6,54.6,0.001,0,0.001,0.001,0,25.2,13.5,23
2/01/2012,9:00,115,2.8,33.5,1.2,26.8,49.5,0.001,0.001,0.001,0.001,0,16.9,5.9,11
2/01/2012,10:00,84,3.5,20.1,1.3,26.7,49.5,0.001,0,0.001,0.001,0,14.3,4,8
2/01/2012,11:00,79,4.4,20.3,1.5,26.4,53.7,0.001,0,0.001,0.001,0,19.1,9.1,9
2/01/2012,12:00,75,5.1,16.4,1.6,26.6,53.2,0,0.001,0.001,0,0,13.9,0.9,9
2/01/2012,13:00,77,5.5,15.7,1.8,26.6,54.1,0.001,0,0.001,0.001,0,22.8,8.1,10
2/01/2012,14:00,78,5.7,15.4,1.9,26.6,52.5,0.001,0,0.001,0.001,0,17.5,3,9
2/01/2012,15:00,75,5.6,15.7,1.8,25.9,59.9,0.001,0,0.001,0.001,0,20,4.4,11
2/01/2012,16:00,84,5,17.6,2,25.7,61.5,0,0.001,0.001,0.001,0,18.3,1.3,12
2/01/2012,17:00,97,4.5,18.5,1.7,25.3,60.5,0,0,0,0.001,0,19.3,3.5,11
2/01/2012,18:00,104,4.3,18.6,1.7,24.1,61.9,0,0,0,0.001,0,18.2,3.9,11
2/01/2012,19:00,125,3.2,19.1,1.5,23.4,62.1,0.001,0.001,0.001,0.001,0,21.8,8.6,10
2/01/2012,20:00,131,2.6,14.4,1,22.7,64.8,0.001,0,0.001,0.001,0,19.1,7,10
2/01/2012,21:00,148,1.7,13.8,0.6,22,68.9,0,0.001,0.001,0.001,0.1,11.4,-0.4,23
2/01/2012,22:00,162,1.6,13.7,0.4,21.4,72.4,0,0.002,0.002,0.001,0.2,20.5,8.2,80
2/01/2012,23:00,170,1.7,13.6,0.5,20.8,72.1,0,0.005,0.005,0.001,0.5,48.4,35.2,202
3/01/2012,0:00,173,1.8,17.7,0.6,20.3,71.1,,,,,,106.5,92.3,
3/01/2012,1:00,191,1.6,14.8,0.5,19.8,71.8,0,0.003,0.003,0.001,0.8,106.7,93.5,107
3/01/2012,2:00,180,1.7,13.9,0.4,19.2,74.2,0,0.004,0.004,0.001,0.7,37.8,28,138
3/01/2012,3:00,173,1.7,13.5,0.5,18.8,76.5,0,0.004,0.004,0.001,0.8,62.1,51,160
3/01/2012,4:00,167,2,13,0.6,18.9,76.7,0,0.006,0.006,0.001,0.7,57.4,47.1,177
3/01/2012,5:00,170,2.3,11.9,0.5,19.1,76.5,0.001,0.006,0.007,0.002,0.7,75.9,65.6,198
3/01/2012,6:00,162,2.5,14.6,0.7,21.7,68.1,0.001,0.005,0.006,0.001,0.7,74.8,64.4,199
3/01/2012,7:00,156,3.3,14.7,1,24.5,58.7,0.001,0.002,0.003,0.001,0.2,60.5,49.7,91
3/01/2012,8:00,147,3.1,16.2,1.1,26.1,53.9,0.001,0,0.001,0.001,0.1,20.8,10.3,30
3/01/2012,9:00,123,2.3,28.5,0.9,27.2,52,0.001,0,0.001,0.001,0,14.1,2.9,21
3/01/2012,10:00,96,2.9,25.8,1.2,27.2,52.8,0.001,0,0.001,0.001,0,17.3,5.4,11
3/01/2012,11:00,87,3.3,23.9,1.2,27.4,51.9,0.001,0,0.001,0.001,0,21,9.1,8
3/01/2012,12:00,76,4.5,19.4,1.4,27.4,54.6,0.001,0,0.001,0.001,0,19.3,7.2,8
3/01/2012,13:00,71,5.8,13.6,1.6,26.3,55.3,0.001,0,0.001,0.001,0,18.8,3.3,8
3/01/2012,14:00,72,5.3,15.8,1.6,26.3,56.8,0.002,0.001,0.003,0.002,0,20.3,5.4,8
3/01/2012,15:00,76,5,16.4,1.7,26.4,58,0.001,0.001,0.002,0.002,0,18.3,3.8,9
3/01/2012,16:00,83,4.9,16.5,1.7,26,61.8,0.001,0,0.001,0.001,0,12.6,-1.7,9
3/01/2012,17:00,85,4.4,16.4,1.5,25.1,66.1,0.001,0,0.001,0.001,0,11.4,-2.2,10
3/01/2012,18:00,92,3.9,17.7,1.4,24,67.8,0,0,0,0.001,0,17.1,3,10
3/01/2012,19:00,110,3.5,19.9,1.5,23.7,67.2,0,0,0,0.001,0,11.7,-0.9,10
3/01/2012,20:00,131,2.4,14.8,0.9,22.9,69.6,0,0,0,0.001,0,15.1,3.3,9
3/01/2012,21:00,130,1.7,18.7,0.7,22.4,71.7,0,0,0,0.001,0,17.8,6.5,9
3/01/2012,22:00,138,1.4,19.2,0.6,21.8,73.1,0,0,0,0.001,0,18.6,8.2,15
3/01/2012,23:00,148,1.3,13.2,0.4,21,74.9,0.001,0.005,0.006,0.001,0.5,34.5,23.7,298
4/01/2012,0:00,153,1.6,10.9,0.4,20.4,74.7,,,,,,114.6,100.9,
4/01/2012,1:00,165,1.3,10.5,0.4,20,75.5,0.001,0.003,0.004,0.001,0.5,63.6,52.3,92
4/01/2012,2:00,173,1.6,10.8,0.4,19.9,78.2,0,0.002,0.002,0.001,0.5,33.1,22.7,55
4/01/2012,3:00,182,1.7,12,0.5,19.8,79.2,0,0.002,0.002,0.001,0.7,26.7,16.2,67
4/01/2012,4:00,185,1.8,11.7,0.5,19.7,79.4,0,0.001,0.001,0.001,0.2,25.6,14,22
4/01/2012,5:00,186,1.6,11.7,0.4,19.5,80.4,0.001,0.003,0.003,0.001,0.1,12.5,3.5,15
4/01/2012,6:00,184,2.2,14,0.6,21.6,73.4,0.001,0,0.001,0.001,0.1,14.9,4.8,12
4/01/2012,7:00,164,2.2,23.3,0.7,23.8,66.3,0.001,0,0.001,0.001,0.1,15.5,4.9,22
4/01/2012,8:00,152,2.4,23.3,0.9,25.9,59.1,0.001,0.001,0.002,0.001,0.1,21,8.5,38
4/01/2012,9:00,103,1.9,36,0.9,27.5,53.1,0.001,0,0.001,0.001,0,21.3,8.5,11
4/01/2012,10:00,61,3.3,17.5,1,26.4,59.2,0.001,0.001,0.002,0.001,0.1,19.6,6.5,11
4/01/2012,11:00,62,3.8,18.8,1.1,26.3,60.1,0.001,0.001,0.002,0.001,0,17.3,2.9,12
4/01/2012,12:00,60,4.4,16.9,1.2,26.1,61.8,0.001,0,0.001,0.001,0,17.7,1.7,10
4/01/2012,13:00,69,4.3,18.2,1.3,26,59.3,0,0,0,0.001,0,24.1,9.1,9
4/01/2012,14:00,67,4,18.4,1.3,26,59.8,0.001,0,0.001,0.001,0,20.9,6,9
4/01/2012,15:00,64,3.7,17.9,1.1,26,59,0.001,0,0.001,0.001,0,11.8,-1.7,9
4/01/2012,16:00,64,3.3,16.4,1,25.8,60.6,0.001,0,0.001,0.002,0,18.9,5.2,9
4/01/2012,17:00,71,3.5,14.6,1.1,25,65.5,0.001,0,0.001,0.001,0,13.9,0.4,9
4/01/2012,18:00,73,2.8,16,1,23.8,69.5,0,0,0,0.001,0,14,0.6,10
4/01/2012,19:00,73,2.1,16.4,0.6,23.4,71.5,0,0.001,0.001,0.001,0,13.3,-0.2,10
4/01/2012,20:00,77,1.9,19.2,0.7,23.3,72.4,0,0.001,0.001,0.001,0,15.6,2.7,10
4/01/2012,21:00,88,1.5,18.8,0.6,23,72.4,0,0,0,0.001,0,17.6,5.4,10
4/01/2012,22:00,169,0.7,33.2,0.3,22.1,75.9,0,0.001,0.001,0.001,0.1,13,0.2,19
4/01/2012,23:00,181,0.9,15.2,0.3,21,79.8,0,0.003,0.003,0.001,0.5,27.9,14.9,129
5/01/2012,0:00,182,0.8,12.2,0.2,20.6,79.5,,,,,,42.7,29.2,
5/01/2012,1:00,172,0.7,19,0.3,20,81.1,0,0.002,0.002,0.001,0.3,34.9,22.3,55
5/01/2012,2:00,173,0.6,19.5,0.2,19.3,83.5,0,0.002,0.002,0.001,0.2,22.7,13.3,55
5/01/2012,3:00,174,0.6,21.1,0.3,18.9,84.9,0,0.001,0.001,0.001,0.1,19.3,9.4,28
5/01/2012,4:00,193,0.2,56.3,0.2,18.9,86.5,0,0.001,0.001,0.001,0.1,15.1,4.9,14
5/01/2012,5:00,195,0.6,24.6,0.4,19.2,88.5,0.001,0.002,0.002,0.001,0.1,11.8,3.3,16
5/01/2012,6:00,182,1.1,16.2,0.3,21.7,79.5,0.001,0,0.001,0.001,0.1,9.9,1.6,14
5/01/2012,7:00,167,1.1,29,0.4,24.8,67.6,0.001,0,0.001,0.001,0.1,13.7,2.9,12
5/01/2012,8:00,52,1.4,41.1,0.8,26.1,59.6,0.001,0,0.001,0.001,0,11.4,0.7,8
5/01/2012,9:00,34,2.3,19.8,0.7,25.2,64.4,0,0,0,0.001,0.1,12.8,2.5,14
5/01/2012,10:00,49,2.4,24.5,0.8,25.7,64,0.001,0.001,0.001,0.001,0,16,4.5,11
5/01/2012,11:00,51,3.1,21.4,0.9,26.2,63.5,0.001,0,0.001,0.001,0,14.1,0.1,10
5/01/2012,12:00,61,3.4,19.7,1,26.3,63.2,0.001,0,0.001,0.001,0,12.6,0.1,10
5/01/2012,13:00,65,3.9,18.3,1.2,26.3,62.4,0.001,0,0.001,0.001,0,12,1.7,10
5/01/2012,14:00,64,4.3,17.3,1.1,26.1,64.5,0.002,0.001,0.003,0.002,0,13.8,2.7,10
5/01/2012,15:00,65,4.4,15.3,1.3,26.1,64.4,0.001,0,0.001,0.001,0,16,3.9,10
5/01/2012,16:00,66,4.2,17,1.4,25.7,66.3,0.001,0,0.001,0.001,0,18.9,6.1,11
5/01/2012,17:00,72,3.9,16.5,1.2,25.1,67.2,0,0,0,0.001,0,18.4,5.5,12
5/01/2012,18:00,78,3.4,16.1,1.1,23.9,72.3,0,0,0,0.001,0,14.7,1.6,11
5/01/2012,19:00,81,2.7,18.3,1,23.7,73.4,0,0,0,0.001,0,11.9,-1.2,12
5/01/2012,20:00,96,2.6,21.1,1,23.9,70.2,0,0,0,0.001,0,15.3,4.1,12
5/01/2012,21:00,123,1.6,23.8,0.7,23.7,71.4,0,0,0,0.001,0,18.2,6.7,12
5/01/2012,22:00,147,1.2,19,0.4,23.1,72.7,0,0,0,0.001,0,15.5,5.1,15
5/01/2012,23:00,168,1,13.6,0.3,22.4,73.6,0,0.003,0.003,0.001,0.3,20.5,10.8,167
6/01/2012,0:00,174,0.9,16.4,0.2,21.5,75.9,,,,,,65.5,54.1,
6/01/2012,1:00,167,1,14.7,0.2,20.8,77.6,0,0.004,0.004,0.002,0.4,60.1,49.3,183
6/01/2012,2:00,181,1.1,13.5,0.3,20.6,77.6,0,0.002,0.002,0.001,0.2,40.3,30.7,33
6/01/2012,3:00,190,1.2,15.7,0.3,20.5,77,0,0.002,0.002,0.001,0.1,18.6,9.5,18
6/01/2012,4:00,187,1.2,14,0.4,20.3,77.1,0,0.001,0.001,0.001,0,12.7,3.5,13
6/01/2012,5:00,187,1.1,19.8,0.4,20.5,76,0.001,0.002,0.003,0.001,0.1,16.8,7.3,13
6/01/2012,6:00,174,1.5,14.7,0.4,22.9,69.3,0.001,0.001,0.002,0.001,0.1,9.1,-0.1,15
6/01/2012,7:00,166,0.9,41.2,0.5,25.5,62.7,0.001,0.001,0.001,0.001,0.1,10.5,0,25
6/01/2012,8:00,56,1.7,37.5,0.8,26,61.1,0.001,0.001,0.001,0.001,0.1,25.3,12.4,25
6/01/2012,9:00,51,2.4,22.1,0.7,25.4,64.6,0.001,0,0.001,0.001,0,23.7,9.3,11
6/01/2012,10:00,49,3,18.7,0.8,25.4,65.5,0.001,0,0.001,0.001,0,22.9,9.6,11
6/01/2012,11:00,43,3.3,18.1,0.8,25.7,63.9,0.001,0,0.001,0.001,0,19.7,7,11
6/01/2012,12:00,48,3.5,18,1.1,25.9,62.4,0.001,0,0.001,0.001,0,13.5,2.2,10
6/01/2012,13:00,45,3.5,19.7,1.1,26,63.8,0.001,0,0.001,0.002,0,11.5,-0.4,11
6/01/2012,14:00,47,3.6,17.6,1.1,25.9,64.4,0,0,0,0.002,0,15.8,3.4,11
6/01/2012,15:00,48,3.3,18.6,1,25.9,65.4,0.001,0,0.001,0.002,0,13.8,2.1,10
6/01/2012,16:00,55,3.1,17.4,0.9,25.3,67.1,0,0.001,0.001,0.002,0,12.1,1.7,10
6/01/2012,17:00,59,2.8,16.5,0.8,24.6,68.8,0.001,0.001,0.002,0.002,0,15.9,5.5,10
6/01/2012,18:00,53,2.2,18.5,0.7,24.1,70.2,0,0.001,0.001,0.001,0,14.1,3.4,9
6/01/2012,19:00,59,2.1,17.4,0.7,23.8,72.6,0,0.001,0.001,0.002,0,10.1,-0.5,9
6/01/2012,20:00,80,1.8,18.1,0.6,23.6,73.8,0,0.001,0.001,0.001,0,11.1,1.9,10
6/01/2012,21:00,81,1.6,20.5,0.6,23.6,74.6,0,0.001,0.001,0.002,0,14.6,3.4,9
6/01/2012,22:00,78,1.2,20.8,0.5,23.5,75.8,0,0,0,0.001,0,12.3,0.8,9
6/01/2012,23:00,96,1.4,33,0.6,23.3,74.6,0,0,0,0.001,0,8.6,-0.1,9
7/01/2012,0:00,163,1.3,10.8,0.4,22,81.9,,,,,,16.7,7,
7/01/2012,1:00,169,1.2,12.1,0.3,21.4,82.8,0,0.003,0.003,0.001,0.5,29.7,20.2,161
7/01/2012,2:00,166,1.4,12.4,0.3,21.1,82.3,0,0.005,0.005,0.001,0.7,79.1,67.8,222
7/01/2012,3:00,172,1.1,12.2,0.3,20.9,82.9,0,0.001,0.001,0.001,0.2,38.2,29.2,25
7/01/2012,4:00,171,1.3,11.2,0.3,20.3,84.5,0,0.002,0.002,0.001,0.3,16.1,8.5,29
7/01/2012,5:00,174,1.4,13.5,0.3,20.4,84.8,0,0.002,0.002,0.001,0.4,21,13.4,38
7/01/2012,6:00,159,2.1,15.5,0.5,23.2,75.2,0,0.002,0.002,0.001,0.3,16.5,8.1,31
7/01/2012,7:00,135,2.2,21.4,0.8,25.9,64.7,0,0.001,0.001,0.001,0.2,16.8,8.1,23
7/01/2012,8:00,95,2.7,25.7,1.1,26.2,61.8,0,0,0,0.001,0,11.4,3.9,8
7/01/2012,9:00,86,2.8,28,1,26.4,62,0,0,0,0.001,0,9.1,1.5,7
7/01/2012,10:00,67,3.3,20.7,0.9,26.3,63.8,0,0,0,0.001,0,11.2,5.1,7
7/01/2012,11:00,59,3.6,19.4,1.1,26.3,64.5,0.001,0,0.001,0.001,0,7.9,0.6,8
7/01/2012,12:00,58,4,16.8,1.3,26.3,66.7,0,0,0,0.001,0,9.4,1.7,8
7/01/2012,13:00,60,4.6,15.8,1.3,26,68,0.001,0,0.001,0.001,0,9.8,0.8,8
7/01/2012,14:00,67,4.2,16.5,1.2,26.2,67.3,0,0,0,0.001,0,7.7,-0.8,7
7/01/2012,15:00,67,3.8,17.7,1.2,26.2,66.6,0,0,0,0.001,0,9.9,1,8
7/01/2012,16:00,65,3.8,16,1.1,25.7,67.8,0.001,0,0.001,0.002,0,15.5,6.3,9
7/01/2012,17:00,66,3.3,15.5,1,25.1,70.3,0,0,0,0.001,0,13.3,4.9,9
7/01/2012,18:00,67,2.7,17.2,0.9,24,74.3,0,0,0,0.001,0,8.9,1.6,9
7/01/2012,19:00,69,2.5,15.6,0.8,23.7,75.7,0,0,0,0.001,0,5.7,-1.7,10
7/01/2012,20:00,71,1.9,19,0.8,23.6,76,0,0,0,0.001,0,8.7,-0.5,9
7/01/2012,21:00,76,1.8,16.9,0.7,23.5,76.4,0,0.002,0.002,0.002,0,5.7,-3.4,9
7/01/2012,22:00,73,1.7,17.2,0.6,23.5,76.7,0,0.002,0.002,0.002,0,8.1,1,9
7/01/2012,23:00,80,2,17.1,0.7,23.5,76.7,0,0.001,0.001,0.001,0,11.6,3.5,9
8/01/2012,0:00,148,0.9,47,0.5,22.5,80.1,,,,,,11.9,4.6,
8/01/2012,1:00,170,0.9,23.3,0.4,21.5,84.8,0,0.002,0.002,0.001,0.4,28.1,19,78
8/01/2012,2:00,188,1,20,0.4,21.1,86.2,0,0.001,0.001,0.001,0.4,24.7,17.4,87
8/01/2012,3:00,187,1,17.7,0.3,20.8,85.9,0,0.002,0.002,0.001,0.3,38.2,29.7,84
8/01/2012,4:00,181,1,15.7,0.3,20.7,85.2,0,0.001,0.001,0.001,0.2,20.5,13.6,16
8/01/2012,5:00,182,1.1,12.6,0.3,20.7,86,0.001,0.002,0.002,0.001,0.2,16.1,9,18
8/01/2012,6:00,165,1,24.1,0.4,23.4,77.9,0.001,0.001,0.002,0.001,0.2,19.2,12.2,30
8/01/2012,7:00,74,0.9,47.7,0.5,25.8,70.5,0,0,0,0.001,0.1,15.7,7.2,24
8/01/2012,8:00,61,2.2,25.4,0.8,26,68.3,0,0,0,0.001,0,12.1,2.4,11
8/01/2012,9:00,58,2.6,17.9,0.8,26.9,64.4,0,0,0,0.001,0,13.9,3.6,9
8/01/2012,10:00,54,2.6,18.3,0.7,26.5,66.3,0,0.001,0.001,0.001,0,10.4,-0.3,10
8/01/2012,11:00,49,3.1,18.4,0.9,26.6,65.8,0,0,0,0.001,0,13.9,2.6,10
8/01/2012,12:00,52,3.5,19,1,26.6,66.5,0,0,0,0.001,0,11.3,1.2,9
8/01/2012,13:00,49,3.7,17.6,1,26.5,66.9,0,0,0,0.001,0,9.3,-0.7,8
8/01/2012,14:00,44,3.6,19.6,1.1,26.5,64.8,0,0,0,0.001,0,11.2,0.7,8
8/01/2012,15:00,48,3.4,18.6,1,26.5,65.2,0,0,0,0.001,0,15.5,5.6,8
8/01/2012,16:00,38,3.1,21.1,1.1,26.3,65.8,0,0,0,0.001,0,11.3,1.4,8
8/01/2012,17:00,34,3,18.6,1,25.6,69.7,0,0,0,0.001,0,9.5,0.2,8
8/01/2012,18:00,18,2.3,21.5,1,24.5,74,0,0.001,0.001,0.001,0,8.4,-0.3,8
8/01/2012,19:00,8,1.6,21.3,0.7,23.9,75.8,0,0.001,0.001,0.002,0,11.5,2.7,9
8/01/2012,20:00,9,1.8,178.9,0.7,23.8,76.7,0,0,0,0.001,0,10.3,0.7,9
8/01/2012,21:00,6,1.8,21.6,0.7,23.8,78.7,0,0,0,0.001,0,19,9.4,8
8/01/2012,22:00,354,1.3,22.3,0.6,23.6,79.7,0,0,0,0.001,0,13.4,5.3,8
8/01/2012,23:00,355,1.4,21,0.7,23.5,80.6,0,0,0,0.001,0,11.6,3.3,8
9/01/2012,0:00,351,1.4,29.7,1.9,23.7,79.9,,,,,,10.6,2.9,
9/01/2012,1:00,353,1.5,24.7,0.8,23.6,80.4,0,0,0,0.001,0,6.2,-1.8,8
9/01/2012,2:00,352,1.9,21.6,0.8,23.7,80,0,0,0,0.001,0,9.4,1.7,8
9/01/2012,3:00,345,1.9,26.4,0.8,23.8,79.8,0,0,0,0.002,0,6.7,-0.3,9
9/01/2012,4:00,344,1.6,24,0.7,23.5,80.9,0,0.001,0.001,0.003,0,5,-3.5,10
9/01/2012,5:00,346,2.2,20.7,0.9,23.7,80.3,0,0.002,0.002,0.003,0,9.8,-0.7,10
9/01/2012,6:00,351,2.4,20.8,0.9,24.8,76.8,0,0.001,0.001,0.003,0,18.4,7.7,10
9/01/2012,7:00,321,1.6,45,1.1,26.1,72.3,0.002,0.003,0.004,0.013,0.1,14.5,2.1,10
9/01/2012,8:00,315,1.8,42.4,1.1,26.8,69.6,0.003,0.003,0.005,0.025,0.1,13.7,1.6,12
9/01/2012,9:00,326,2.4,36.3,1.3,28.6,57.8,0.001,0.002,0.003,0.033,0.2,14.9,0.7,11
9/01/2012,10:00,2,3.1,25.9,1.3,28.9,57.8,0.002,0.002,0.004,0.011,0.1,19.4,4,11
9/01/2012,11:00,15,4,19,1.4,28.4,64.1,0.001,0,0.001,0.002,0,14.8,2.1,9
9/01/2012,12:00,8,4.1,19.6,1.4,28.5,65.7,0,0,0,0.002,0,12.6,2.9,10
9/01/2012,13:00,6,4,19.4,1.3,28.5,67.2,0,0,0,0.002,0.1,17.2,5.6,11
9/01/2012,14:00,1,3.8,22,1.4,28.3,68,0.001,0,0.001,0.002,0.1,20.6,7.7,12
9/01/2012,15:00,1,4,21.2,1.4,27.8,69.8,0,0,0,0.002,0.1,18.9,6,11
9/01/2012,16:00,4,3.8,20.3,1.5,27.4,72.1,0,0,0,0.002,0.1,17.1,5.4,12
9/01/2012,17:00,356,3.3,19.9,1.4,26.7,75.1,0.001,0,0.001,0.002,0.1,14.7,1.6,13
9/01/2012,18:00,350,3,20.1,1.2,25.7,79.8,0,0.001,0.001,0.002,0.1,14.2,1.9,14
9/01/2012,19:00,347,2.4,23.1,1.1,25.3,81.9,0,0,0,0.001,0.1,20.2,5.4,16
9/01/2012,20:00,346,2.3,21,0.9,25.1,81.8,0,0,0,0.001,0.1,18.4,4.5,15
9/01/2012,21:00,343,2.2,21.5,1,25,81.8,0,0.001,0.001,0.002,0.1,17.4,3.7,14
9/01/2012,22:00,345,2,22.7,0.9,24.9,82.7,0,0.001,0.001,0.002,0.2,21.8,9,15
9/01/2012,23:00,354,1.8,24.6,0.9,24.7,83.7,0.001,0.002,0.002,0.003,0.1,20,5.3,14
10/01/2012,0:00,351,1.7,21.5,0.8,24.4,84.6,,,,,,15.7,3,
10/01/2012,1:00,338,1,38.8,0.7,24.2,85.1,0.001,0.004,0.005,0.006,0.2,13.1,-0.8,13
10/01/2012,2:00,308,0.7,51.4,0.5,24.1,84.4,0.001,0.008,0.009,0.013,0.3,14.4,0.7,15
10/01/2012,3:00,295,1,47.4,0.7,24,84.6,0.001,0.004,0.005,0.007,0.2,,,13
10/01/2012,4:00,300,0.6,47.7,0.5,23.7,85.8,0,0.005,0.005,0.009,0.2,11.4,1.8,14
10/01/2012,5:00,265,0.3,61.8,0.3,23.5,86.6,0.001,0.005,0.005,0.003,0.2,13.4,3.2,19
10/01/2012,6:00,317,0.7,51.4,0.5,25.3,79.1,0.002,0.004,0.005,0.004,0.2,17.6,7.2,21
10/01/2012,7:00,304,1.2,52.9,0.8,27.2,71.4,0.041,0.014,0.055,0.023,0.2,18.5,6,27
10/01/2012,8:00,280,1,66.4,0.8,28.6,64.3,0.038,0.019,0.057,0.032,0.1,24.6,11.9,38
10/01/2012,9:00,359,1.7,50.5,1,29.5,63.4,0.008,0.009,0.016,0.014,0.2,27.8,12.5,33
10/01/2012,10:00,25,3.5,18.4,1.1,29.1,66,0.001,0.001,0.002,0.004,0.2,29.2,12,22
10/01/2012,11:00,9,3.3,173.9,1.2,29.6,68.2,0.001,0,0.001,0.002,0.1,25.9,11.6,13
10/01/2012,12:00,13,3.3,19.9,1.2,29.8,67.6,0,0,0,0.002,0.1,25.6,10.1,14
10/01/2012,13:00,11,3.4,178.8,1.2,29.5,69.9,0,0,0,0.002,0.1,15.6,3,13
10/01/2012,14:00,4,3.6,175.1,1.3,29.5,70.2,0,0,0,0.002,0.1,15.6,3.6,14
10/01/2012,15:00,353,4,18.9,1.5,28.7,73,0,0,0,0.002,0.1,12.9,1.1,13
10/01/2012,16:00,359,3.2,20.5,1.3,28.5,74.6,0.001,0,0.001,0.002,0.1,20.8,8.4,14
10/01/2012,17:00,353,3,20.7,1.3,27.3,78.9,0,0,0,0.002,0.1,16,3.8,14
10/01/2012,18:00,353,2.7,25.3,1.2,26.1,83.3,0,0.001,0.001,0.002,0.1,18.8,6.3,14
10/01/2012,19:00,350,2.2,23,1.1,25.8,85,0,0.001,0.001,0.002,0.1,16.2,3.7,14
10/01/2012,20:00,345,1.9,23.3,0.9,25.5,85.4,0,0,0,0.002,0.1,15.6,2.6,14
10/01/2012,21:00,343,1.9,21.2,0.8,25.4,85.3,0,0,0,0.002,0.1,14.4,0.5,14
10/01/2012,22:00,344,2.5,22.3,1.1,25.3,85,0,0.002,0.002,0.003,0.1,15.6,1.2,14
10/01/2012,23:00,350,1.6,27.4,0.8,25.2,85.5,0,0.001,0.001,0.004,0.1,13.6,0.3,12
