Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (degrees),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (percent),Rainfall (mm),Barometric Pressure (hPa),Ozone (ppm),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),PM10 (µg/m^3),PM2.5 (µg/m^3)
30/01/2012,6:00,10,0.8,176.1,1,22.9,89.5,0,1006,0.006,0.005,0.006,0.011,11.8,6
30/01/2012,7:00,357,1.4,30.4,0.8,23.7,84,0,1006,0.01,0.001,0.002,0.003,15.6,-0.5
30/01/2012,8:00,16,2,177,1.1,24.8,77.6,0,1006,0.011,0.001,0.002,0.002,16.1,1.5
30/01/2012,9:00,24,2.6,29.3,1.1,25.4,74.4,0,1006,0.013,0,0.002,0.002,18.3,0.3
30/01/2012,10:00,15,2.9,23.8,1.3,25.6,73.4,0,1006,0.012,0.001,0.001,0.001,24.4,6.1
30/01/2012,11:00,27,2.8,28.7,1.2,26.2,71.8,0,1005,0.014,0,0.001,0.001,24.3,4.6
30/01/2012,12:00,16,2.9,24.9,1.2,26.1,72.5,0,1005,0.012,0,0,0,23.6,3.5
30/01/2012,13:00,20,2.6,29,1.2,26.3,72.4,0,1004,0.011,0,0.001,0.001,23.4,4.4
30/01/2012,14:00,21,2.9,25.5,1.2,26.1,72,0,1004,0.011,0,0.001,0.001,20.6,2
30/01/2012,15:00,15,2.7,23.5,1.2,25.9,72.6,0,1003,0.01,0.001,0.001,0.002,22.4,5.5
30/01/2012,16:00,15,2.5,24,1.1,25.9,71.9,0,1003,0.01,0.001,0.001,0.001,20.7,4.9
30/01/2012,17:00,11,2,180.7,0.9,25.7,73.7,0,1003,0.013,0,0.001,0.001,18.7,3.1
30/01/2012,18:00,7,1.9,20.2,0.9,25.2,76.2,0,1003,0.01,0,0.001,0.001,17.1,1.3
30/01/2012,19:00,358,1.4,18.7,0.7,24.7,80.1,0,1004,0.008,0,0.001,0.001,15.4,-2.3
30/01/2012,20:00,317,0.5,43.5,0.3,24,83.9,0,1004,0.003,0.001,0.004,0.005,21.3,3.4
30/01/2012,21:00,275,0.4,36.2,0.2,23.3,86.6,0,1005,0.001,0.003,0.004,0.007,17.9,1
30/01/2012,22:00,348,0.4,42.2,0.3,23.3,86.8,0,1005,0.001,0,0.003,0.003,18.2,0.3
30/01/2012,23:00,282,0.5,39,0.3,23.3,86.3,0,1005,0.001,0.005,0.004,0.009,20.1,4.8
31/01/2012,0:00,293,0.3,47,0.2,23.1,87.3,0,1005,,,,,20.4,5
31/01/2012,1:00,300,0.2,53,0.2,23.3,87.4,0,1004,0.001,0,0.004,0.004,17.5,3.8
31/01/2012,2:00,288,0.4,39.5,0.2,23,88.3,0,1004,0.002,0,0.002,0.002,16.9,2.6
31/01/2012,3:00,273,0.3,45.7,0.2,22.7,89.5,0,1003,0.002,0,0.002,0.002,13.7,-0.8
31/01/2012,4:00,262,0.3,40.7,0.2,22.4,90.4,0,1003,0.002,0,0.002,0.002,10.7,-1.3
31/01/2012,5:00,287,0.1,77.8,0.2,22.4,90.9,0,1004,0,0.002,0.003,0.004,11.5,0.2
31/01/2012,6:00,309,0.5,47.3,0.4,23.3,88.5,0,1004,0,0.019,0.007,0.025,22,3.1
31/01/2012,7:00,341,1.1,30.4,0.7,25.1,79.7,0,1005,0.005,0.005,0.004,0.008,27,6.2
31/01/2012,8:00,353,1.8,21.3,0.8,26.2,71.5,0,1005,0.01,0.002,0.002,0.003,25,6.5
31/01/2012,9:00,297,0.7,63.7,0.7,26.3,70.6,0,1005,0.009,0.002,0.003,0.005,28.5,5.3
31/01/2012,10:00,30,0.7,164.6,0.7,27.2,66.2,0,1005,0.012,0.003,0.004,0.007,17.2,6.1
31/01/2012,11:00,13,0.8,175.1,1,28.1,63.3,0,1004,0.015,0.001,0.002,0.002,22.6,6.2
31/01/2012,12:00,47,2.3,34,1.1,28,64.8,0,1004,0.013,0.002,0.002,0.004,24.4,6.6
31/01/2012,13:00,33,2.4,33,1.1,28.2,62.9,0,1003,0.014,0,0.001,0.001,20.7,6.6
31/01/2012,14:00,30,2.2,28.4,1,27.2,66.2,0,1003,0.012,0,0.001,0.001,17.5,4
31/01/2012,15:00,25,2.1,29.9,0.9,26.5,67.9,0,1002,0.012,0.001,0.002,0.003,18,5.2
31/01/2012,16:00,16,1.9,26.7,0.9,26.1,74.3,0,1002,0.014,0.001,0.002,0.003,17.4,5.1
31/01/2012,17:00,11,1.8,180.4,0.9,26.1,74.4,0,1002,0.008,0,0.001,0.001,14.9,2.3
31/01/2012,18:00,6,1.7,22.5,0.8,25.7,77.3,0,1003,0.008,0,0.001,0.001,16.2,3.3
31/01/2012,19:00,358,1.3,19,0.5,25.4,80.1,0,1003,0.007,0,0.001,0.001,17.6,3.6
31/01/2012,20:00,358,1.4,15.8,0.6,25,82.3,0,1004,0.006,0,0.001,0.001,17.5,3.4
31/01/2012,21:00,337,0.3,51.9,0.3,24.3,84.9,0,1004,0.003,0,0.003,0.003,17.1,2.9
31/01/2012,22:00,266,0.2,83.1,0.2,23.8,87.1,0,1004,0.002,0,0.003,0.003,18.9,5.6
31/01/2012,23:00,280,0.2,76.7,0.2,23.6,88.4,0,1004,0.003,0,0.002,0.002,13.6,2.8
1/02/2012,0:00,264,0.4,51.1,0.2,23.3,89.3,0,1004,,,,,11.3,0.3
1/02/2012,1:00,269,0.2,129.1,0.3,23.3,89.7,0,1003,0.001,0,0.002,0.002,11.5,0.8
1/02/2012,2:00,1,1.4,23.3,0.8,23.4,86.6,0,1003,0.005,0,0.001,0.001,16,3.8
1/02/2012,3:00,338,0.9,31.8,0.5,23.6,85.7,0,1003,0.007,0,0,0,16.7,6.1
1/02/2012,4:00,350,0.8,41.4,0.7,23.6,86.5,0,1003,0.005,0,0,0,14.8,4.4
1/02/2012,5:00,326,0.4,54.8,0.3,23.4,86.5,0,1004,0.005,0,0.002,0.002,11.5,-0.3
1/02/2012,6:00,357,0.7,43.9,0.5,24.3,82,0,1004,0.005,0.002,0.002,0.004,13.6,4.1
1/02/2012,7:00,5,1.6,24.2,0.6,25.7,73.8,0,1004,0.01,0,0.001,0.001,19,5.5
1/02/2012,8:00,41,1.8,33.9,0.9,26.8,64.9,0,1004,0.012,0,0.001,0.001,18.7,3.8
1/02/2012,9:00,39,1.8,36.1,0.9,27,62.2,0,1004,0.013,0.001,0.001,0.001,19.3,6.4
1/02/2012,10:00,54,2.1,33.2,1,27.1,60.1,0,1004,0.012,0.005,0.003,0.008,19.6,7.9
1/02/2012,11:00,47,2.3,34.5,1,27.4,59.9,0,1004,0.016,0.003,0.003,0.006,16.9,5.2
1/02/2012,12:00,53,2,36.7,1,27.5,60.9,0,1003,0.012,0.006,0.003,0.009,15.4,2.2
1/02/2012,13:00,68,2.6,30.9,1.1,26.9,64.4,0,1003,0.011,0.011,0.005,0.015,12.2,0.3
1/02/2012,14:00,86,2.9,25.6,1.1,26.9,65.1,0,1002,0.01,0.012,0.005,0.016,15.2,2.7
1/02/2012,15:00,78,2.4,32.6,1.2,26.7,68,0,1002,0.01,0.012,0.005,0.017,13.1,3
1/02/2012,16:00,62,2.6,26.6,1,26.3,66.6,0,1002,0.01,0.013,0.006,0.019,13.6,3.6
1/02/2012,17:00,81,2.1,27,1.1,24.9,74.4,0,1002,0.006,0.017,0.008,0.025,11.4,2.9
1/02/2012,18:00,137,1.2,39.5,0.7,24.6,73.1,0,1003,0.008,0.003,0.005,0.007,8.8,1.6
1/02/2012,19:00,153,1.6,22.2,0.9,23.2,87.1,0,1003,0.008,0.001,0.003,0.004,8.2,1.1
1/02/2012,20:00,163,1.3,29.9,0.6,22.8,90.2,0,1004,0.006,0,0.005,0.005,4.6,1
1/02/2012,21:00,165,1.2,41.1,0.7,22.5,90.2,0,1004,0.006,0.001,0.005,0.005,4.9,1.2
1/02/2012,22:00,174,1.3,26.7,0.5,22.4,90.5,0,1004,0.005,0,0.003,0.003,5.7,1.6
1/02/2012,23:00,159,1.1,23.6,0.4,22.2,90.3,0,1003,0.005,0,0.003,0.003,5.1,-0.3
2/02/2012,0:00,165,0.8,25.6,0.4,22,90.1,0,1003,,,,,8.8,2.2
2/02/2012,1:00,166,0.6,32.6,0.3,22,89.8,0,1002,0.003,0,0.002,0.002,12,2.9
2/02/2012,2:00,96,0.5,74.1,0.6,22.4,87.3,0,1002,0.003,0.008,0.008,0.016,13.2,2.7
2/02/2012,3:00,105,1.4,22.8,0.6,23.3,77.3,0,1002,0.008,0.009,0.006,0.014,15,2
2/02/2012,4:00,98,1.1,33.5,0.7,23.4,75.6,0,1002,0.006,0.021,0.009,0.03,15.5,1.9
2/02/2012,5:00,82,1.2,39.8,0.8,23.6,74.1,0,1002,0.005,0.019,0.011,0.03,16.8,1.9
2/02/2012,6:00,69,1.7,32.1,0.9,24.4,69.2,0,1002,0.004,0.029,0.014,0.043,13.9,1
2/02/2012,7:00,68,2.5,26.6,1.1,24.8,64.6,0,1003,0.009,0.023,0.011,0.034,15.7,2.1
2/02/2012,8:00,62,1.9,37.7,1,25.5,60.5,0,1003,0.012,0.013,0.006,0.019,17.1,5.1
2/02/2012,9:00,86,2.3,33.7,1.1,26.1,56.4,0,1003,0.019,0,0,0,16.1,4.6
2/02/2012,10:00,78,2.5,36.9,1.3,26.2,56.4,0,1003,0.018,0,0,0,14.1,3.5
2/02/2012,11:00,88,2.4,35.8,1.2,26.1,56.5,0,1002,0.018,0,0,0,12.8,1.6
2/02/2012,12:00,91,2.3,38.2,1.1,26.1,56,0,1002,0.016,0.004,0.002,0.006,18.6,5.6
2/02/2012,13:00,73,2.6,27.9,1.2,26.4,51.4,0,1002,0.013,0.013,0.007,0.019,12.8,3.8
2/02/2012,14:00,81,2.2,32.9,1.1,26.5,54.3,0,1001,0.017,0.004,0.003,0.006,14.9,2.6
2/02/2012,15:00,103,2.4,28.9,1,26.1,57.5,0,1001,0.016,0.003,0.003,0.006,18,5.6
2/02/2012,16:00,117,2.5,22.7,1.1,25.7,60.5,0,1001,0.016,0.002,0.002,0.004,11.3,0.2
2/02/2012,17:00,108,1.9,28.9,1.1,25.5,62.3,0,1001,0.015,0.005,0.004,0.009,11.4,0.2
2/02/2012,18:00,97,1.6,27.8,0.8,25,62.6,0,1001,0.012,0.013,0.009,0.022,15.3,3.3
2/02/2012,19:00,109,1.4,24,0.7,24.6,62.7,0,1002,0.016,0.001,0.003,0.004,11.8,0.8
2/02/2012,20:00,109,1.3,41.6,0.9,23.8,73,1,1002,0.013,0.007,0.006,0.013,10.3,-0.9
2/02/2012,21:00,99,1.1,41.7,0.9,23,80.6,1,1002,0.01,0.006,0.007,0.013,12.3,2.2
2/02/2012,22:00,116,0.8,36.1,0.5,22.4,84,0,1002,0.013,0.006,0.006,0.012,9.3,2.3
2/02/2012,23:00,116,0.8,53,0.8,22.4,80.5,0,1002,0.01,0.008,0.007,0.014,6.4,-0.3
3/02/2012,0:00,115,0.7,58.5,0.6,22.8,77.2,0,1001,,,,,11.5,4.2
3/02/2012,1:00,98,1.7,36.9,1.1,22.7,76.8,0,1000,0.014,0.008,0.007,0.014,11.9,3.9
3/02/2012,2:00,119,1.6,29.7,0.8,22.6,71.3,0,1000,0.02,0.003,0.002,0.005,9.8,3.5
3/02/2012,3:00,152,1.3,26.1,0.6,22.4,72.8,0,1000,0.02,0,0,0,10.6,4.8
3/02/2012,4:00,186,1.1,35.7,0.7,21.8,75.9,1,1000,0.018,0,0.001,0.001,7.1,-0.9
3/02/2012,5:00,180,0.8,43.5,0.5,21,85.2,0,1000,0.012,0.001,0.004,0.005,6.1,1.1
3/02/2012,6:00,163,1.1,29.1,0.5,21.5,79.7,0,1001,0.009,0.003,0.007,0.01,7.8,0.8
3/02/2012,7:00,157,1.7,29.9,0.7,24.1,67.1,0,1001,0.012,0.006,0.006,0.012,7.1,-1.3
3/02/2012,8:00,114,2.4,22.8,1,25.2,55.5,0,1001,0.02,0.002,0.005,0.007,8.4,-2.9
3/02/2012,9:00,107,3,24.1,1.2,25.6,59.4,0,1001,0.022,0.003,0.002,0.005,13.9,2.7
3/02/2012,10:00,97,2.7,32.8,1.1,26,53.4,0,1001,0.021,0.006,0.004,0.01,11.3,1.2
3/02/2012,11:00,88,2.7,26.5,1,26,51.5,0,1000,0.019,0.008,0.005,0.012,12.7,4.1
3/02/2012,12:00,79,2,36.1,1,26.2,52.3,0,1000,0.018,0.009,0.005,0.014,9.1,0.4
3/02/2012,13:00,95,2,37.9,1,26,56,0,1000,0.02,0.006,0.006,0.011,13,3.5
3/02/2012,14:00,94,2.3,26.7,0.8,25.3,58.7,0,999,0.014,0.017,0.009,0.026,10.7,0
3/02/2012,15:00,112,1.8,26.4,0.8,24.9,60.6,0,999,0.015,0.004,0.004,0.008,10,0.2
3/02/2012,16:00,113,1.6,22.2,0.6,24.9,61.6,0,999,0.016,0.001,0.004,0.005,15.7,5.6
3/02/2012,17:00,112,1.7,21.6,0.7,24.8,60.3,0,999,0.017,0.001,0.003,0.004,15,6.3
3/02/2012,18:00,113,1.5,19.9,0.6,24.6,62,0,1000,0.015,0,0.004,0.004,13,3
3/02/2012,19:00,120,1.1,22.3,0.5,24.3,65,0,1000,0.013,0,0.005,0.005,11.8,2.7
3/02/2012,20:00,123,0.7,24.2,0.4,24.1,65.8,0,1001,0.011,0,0.006,0.006,10.1,-0.3
3/02/2012,21:00,171,0.8,30.9,0.4,23.9,68.6,0,1001,0.008,0,0.007,0.007,12.5,1.8
3/02/2012,22:00,187,0.8,27.7,0.4,23.3,72.1,0,1001,0.008,0,0.007,0.007,7,-2.6
3/02/2012,23:00,176,0.4,54.9,0.3,23,72.3,0,1000,0.009,0,0.005,0.005,11.8,3.6
4/02/2012,0:00,167,0.1,73.2,0.2,21.8,78.7,0,1000,,,,,12.4,4.8
4/02/2012,1:00,171,0.6,16.9,0.3,21.2,80,0,999,0.007,0,0.003,0.003,10,2.2
4/02/2012,2:00,183,0.7,24.3,0.3,21.5,76.3,0,999,0.011,0,0.001,0.001,,
4/02/2012,3:00,181,0.8,20.1,0.4,21.2,76.4,0,999,0.011,0,0.001,0.001,8,0.6
4/02/2012,4:00,178,0.5,25.8,0.3,20.7,78.7,0,999,0.01,0,0.001,0.001,,
4/02/2012,5:00,185,0.5,25.2,0.3,20.4,79.9,0,999,0.005,0,0.003,0.003,8.7,-0.6
4/02/2012,6:00,147,0.5,51.8,0.4,21,78,0,1000,0.005,0.003,0.005,0.008,6.4,-0.5
4/02/2012,7:00,152,0.5,82.4,0.6,22.4,72.5,0,1000,0.008,0.004,0.005,0.008,13.4,5.1
4/02/2012,8:00,157,1.6,37.7,0.8,25.1,59.6,0,1000,0.017,0.002,0.002,0.004,9.1,1.3
4/02/2012,9:00,148,1.9,35.8,1,25.6,56.5,0,1000,0.021,0.001,0.002,0.003,15.3,6.4
4/02/2012,10:00,123,2.7,29.7,1.1,26.4,55.3,0,1000,0.026,0,0.002,0.002,17.1,5.8
4/02/2012,11:00,117,2.9,25.9,1.2,26.6,54.5,0,999,0.023,0.001,0.002,0.002,20,6.5
4/02/2012,12:00,112,3.2,25.7,1.3,26.6,54,0,999,0.021,0.001,0.002,0.002,15.7,4.1
4/02/2012,13:00,117,3.2,24.1,1.2,25.6,58.8,0,998,0.018,0.001,0.001,0.002,16.6,7.4
4/02/2012,14:00,122,2.7,23.7,1.1,25.2,63.2,0,998,0.019,0,0.001,0.001,8.8,-1.1
4/02/2012,15:00,122,2.5,22.7,1,25.4,61.5,0,998,0.018,0,0.002,0.002,11.5,1.1
4/02/2012,16:00,110,2.6,24.9,1.1,25.5,61.9,0,998,0.017,0.002,0.003,0.004,13.1,1.8
4/02/2012,17:00,109,2.2,26.1,1,25,64.1,0,998,0.015,0.001,0.001,0.002,16.9,6.1
4/02/2012,18:00,108,1.2,23.8,0.6,24.4,67.2,0,999,0.013,0,0.002,0.002,15.4,4.4
4/02/2012,19:00,128,0.4,60,0.5,23.7,71.4,0,999,0.01,0,0.004,0.004,15.8,3.8
4/02/2012,20:00,175,0.3,37.3,0.2,23,75.3,0,1000,0.006,0.001,0.006,0.006,13.7,3.6
4/02/2012,21:00,228,0.3,50.9,0.2,22.5,77.4,0,1000,0.002,0.01,0.009,0.019,17,6.6
4/02/2012,22:00,212,0.3,71.6,0.3,22.1,77.8,0,1000,0.003,0.002,0.007,0.009,14,3.1
4/02/2012,23:00,168,0.2,120.9,0.3,21.3,82.4,0,1000,0.001,0.007,0.008,0.015,16.2,6.6
5/02/2012,0:00,137,0.1,90.7,0.2,20.8,84.9,0,999,,,,,14,4
5/02/2012,1:00,169,0.5,29.2,0.3,20.7,85.2,0,999,0.002,0,0.004,0.004,10.2,0.8
5/02/2012,2:00,168,0.7,22.2,0.3,20.7,84.4,0,998,0.004,0,0.002,0.002,12.5,3.9
5/02/2012,3:00,198,0.5,60.5,0.4,20.6,84.2,0,998,0.005,0,0.002,0.002,11.3,1.8
5/02/2012,4:00,292,0.2,106.4,0.2,20,85.5,0,998,0.003,0,0.003,0.003,10.7,2.1
5/02/2012,5:00,289,0.2,64.6,0.3,19.7,87.9,0,999,0.001,0.001,0.003,0.004,9.5,1.5
5/02/2012,6:00,215,0.3,91,0.3,22,79.1,0,1000,0.002,0.005,0.003,0.007,10.1,1.7
5/02/2012,7:00,146,1.3,36.2,0.9,24.5,63.7,0,1000,0.01,0.002,0.002,0.004,11.9,3.5
5/02/2012,8:00,143,1.8,33.3,0.8,25.4,58.8,0,1000,0.017,0,0,0,8.9,1.7
5/02/2012,9:00,141,0.9,61.3,0.7,26.5,52.6,0,1000,0.022,0,0,0,9.6,3.9
5/02/2012,10:00,99,1.2,64.1,0.9,27,53.3,0,999,0.025,0.003,0.004,0.007,12.8,5.5
5/02/2012,11:00,91,2.2,27.2,0.9,26.9,56.9,0,999,0.024,0.005,0.006,0.01,26.3,11
5/02/2012,12:00,66,2.1,33.8,0.9,27.3,56.3,0,998,0.024,0.007,0.006,0.013,20.6,5.3
5/02/2012,13:00,84,2.4,35.6,1.1,26.9,59,0,997,0.021,0.006,0.005,0.011,16,2.4
5/02/2012,14:00,100,2.7,27.4,1.1,26.4,61.4,0,997,0.019,0.003,0.003,0.006,15.1,3.8
5/02/2012,15:00,105,2.5,27.7,1,26.3,61.7,0,997,0.02,0.001,0.001,0.002,12.4,2.5
5/02/2012,16:00,113,2.6,25.6,1,26,63.6,0,996,0.019,0.001,0.002,0.003,12.1,2.8
5/02/2012,17:00,104,2.2,25.9,0.9,25.5,67.6,0,997,0.016,0.001,0.002,0.003,12.4,4.5
5/02/2012,18:00,110,1.7,24.2,0.8,24.8,71.4,0,997,0.014,0,0.002,0.002,6.9,0.3
5/02/2012,19:00,115,1.6,21.7,0.8,24.7,71.8,0,998,0.014,0,0.001,0.001,10.9,3
5/02/2012,20:00,129,1.3,26.5,0.7,24.6,72.2,0,998,0.013,0,0.001,0.001,6,-0.6
5/02/2012,21:00,126,0.6,48.3,0.5,24.1,74.2,0,998,0.011,0,0.002,0.002,8.6,2.6
5/02/2012,22:00,212,0.4,41.1,0.2,23.6,76.8,0,998,0.009,0,0.002,0.002,8.8,2.2
5/02/2012,23:00,282,0.3,49.4,0.2,23,80,0,998,0.004,0.002,0.007,0.008,9.3,1.1
6/02/2012,0:00,271,0.8,20,0.4,22.8,81.6,0,997,,,,,10.2,2.6
6/02/2012,1:00,279,0.8,26.7,0.4,22.8,81.5,0,997,0.004,0,0.004,0.004,6.9,-0.9
6/02/2012,2:00,294,1,18.1,0.4,22.6,81,0,997,0.008,0,0.001,0.001,12.5,5.4
6/02/2012,3:00,316,0.8,30.9,0.3,22.5,81.3,0,997,0.007,0,0.001,0.001,14,7.1
6/02/2012,4:00,346,0.4,37.3,0.2,22.1,84.1,0,997,0.005,0,0.003,0.003,9.3,3.1
6/02/2012,5:00,344,0.4,45.2,0.3,22.1,83.8,0,997,0.002,0.001,0.004,0.004,8.7,1.6
6/02/2012,6:00,345,0.4,61.1,0.3,24,75.4,0,997,0.006,0.003,0.005,0.008,6.2,-1.4
6/02/2012,7:00,281,1,55.8,0.8,26.2,64.6,0,997,0.018,0.002,0.002,0.004,10.5,1.6
6/02/2012,8:00,299,1.4,45.1,0.8,27.2,60.5,0,997,0.025,0.001,0.001,0.002,12.3,4.5
6/02/2012,9:00,279,0.6,84.5,0.7,28.3,56.4,0,997,0.03,0,0.001,0.001,18.2,9.7
6/02/2012,10:00,113,0.8,109.9,1.1,29.2,53.3,0,997,0.038,0,0.002,0.002,17.7,7.6
6/02/2012,11:00,121,2.8,25.3,1,28.4,58.4,0,997,0.051,0,0.002,0.002,21,8.2
6/02/2012,12:00,114,2.8,28.2,1.1,28.1,61.8,0,996,0.052,0,0.002,0.002,23.8,7.8
6/02/2012,13:00,95,2.6,27.6,1.1,27.5,64.4,0,996,0.049,0,0.001,0.001,24.5,7.9
6/02/2012,14:00,107,2.3,22.9,0.8,27.4,64.7,0,996,0.046,0,0.002,0.002,21.4,5.5
6/02/2012,15:00,90,2,25.8,0.8,27.1,63.8,0,996,0.048,0,0.002,0.002,21.4,6.5
6/02/2012,16:00,106,2,27,0.8,27.1,62.9,0,996,0.047,0,0.002,0.002,20.7,7.9
6/02/2012,17:00,100,1.3,30.4,0.6,26.8,66,0,996,0.045,0,0.002,0.002,21.8,8.3
6/02/2012,18:00,105,1.1,23.4,0.4,26,70.9,0,997,0.043,0,0.001,0.001,19.8,7.3
6/02/2012,19:00,114,0.6,37.2,0.4,25.4,75.4,0,998,0.037,0,0.003,0.003,17.8,6.3
6/02/2012,20:00,147,0.4,36.4,0.2,24.8,78.6,0,999,0.021,0,0.01,0.01,14.9,3.6
6/02/2012,21:00,164,0.3,32,0.2,24.3,80.3,0,999,0.012,0,0.015,0.015,14.6,3.9
6/02/2012,22:00,151,0.7,22,0.3,24.2,81.5,0,999,0.011,0,0.011,0.011,11.1,0.6
6/02/2012,23:00,217,0.3,63.8,0.3,24,82.5,0,999,0.013,0.001,0.009,0.009,18.4,6.6
7/02/2012,0:00,223,0.4,49.3,0.3,23.7,83.2,0,999,,,,,16.9,6.5
7/02/2012,1:00,167,0.9,53,1,24.4,79.2,0,999,0.013,0,0.004,0.004,15.4,5.7
7/02/2012,2:00,154,1.8,23.4,0.7,24.5,76.4,0,999,0.016,0,0.001,0.001,13.8,6.2
7/02/2012,3:00,164,1.1,27.1,0.6,24.2,75.6,0,1000,0.016,0,0,0,11,3.7
7/02/2012,4:00,167,1,25.4,0.5,23.7,76.7,0,1000,0.015,0,0.001,0.001,5.2,-0.6
7/02/2012,5:00,172,0.7,33,0.4,23.3,77.8,0,1000,0.01,0,0.005,0.005,7.1,1.5
7/02/2012,6:00,174,1.2,32,0.7,24.5,73.2,0,1000,0.008,0.004,0.007,0.01,8.1,3.1
7/02/2012,7:00,160,1.7,26.3,0.7,25.3,69,0,1001,0.012,0.002,0.004,0.006,10.4,4.2
7/02/2012,8:00,135,1.7,40.9,1,26.3,62.6,0,1001,0.015,0.003,0.004,0.007,7.4,2.4
7/02/2012,9:00,116,2,28.2,0.8,26.6,61.7,0,1001,0.02,0.002,0.003,0.004,9.3,2.7
7/02/2012,10:00,90,2.1,28.6,0.8,26.4,64.6,0,1002,0.021,0,0.002,0.002,11.9,3.5
7/02/2012,11:00,92,2.5,26.5,1,26.9,63,0,1001,0.022,0,0.002,0.002,19.3,8.3
7/02/2012,12:00,112,2.8,30.8,1.1,27.5,60.3,0,1001,0.023,0,0.002,0.002,20.8,7.7
7/02/2012,13:00,106,3,25.3,1.1,27.2,60.9,0,1000,0.024,0,0.002,0.002,15.4,4.5
7/02/2012,14:00,116,3.2,24.2,1.2,27.3,60.6,0,999,0.024,0,0.001,0.001,12.9,1.9
7/02/2012,15:00,107,2.9,26.9,1.1,27.1,61.6,0,999,0.021,0.001,0.002,0.003,12.9,5.1
7/02/2012,16:00,106,2.6,24.5,1,26.9,63,0,999,0.021,0,0.003,0.003,10.9,4
7/02/2012,17:00,112,2.2,23.5,0.9,26,68.9,0,1000,0.017,0.001,0.002,0.003,12,6.4
7/02/2012,18:00,122,2.5,20.3,1,25.5,72.5,0,1001,0.018,0,0.004,0.004,11.6,5
7/02/2012,19:00,142,2,26.5,0.9,25.4,73.1,1,1002,0.019,0,0.003,0.003,14,6.4
7/02/2012,20:00,142,2,26.6,0.9,24,83.1,2,1002,0.014,0,0.003,0.003,11.8,3.4
7/02/2012,21:00,146,1.8,28.5,1.1,23.7,79.8,0,1002,0.018,0,0.002,0.002,11.7,4.2
7/02/2012,22:00,182,0.9,40,0.6,22.9,81.4,0,1002,0.02,0,0.002,0.002,7.7,3.1
7/02/2012,23:00,160,0.3,71.5,0.3,22.5,85.8,0,1002,0.012,0,0.003,0.003,5.8,2.3
8/02/2012,0:00,209,0.7,50.1,0.3,22.4,85.3,0,1002,,,,,5.2,1.5
8/02/2012,1:00,311,0.5,63,0.6,22.4,86.4,0,1001,0.007,0,0.005,0.005,4.8,-0.8
8/02/2012,2:00,268,1,23.4,0.5,22.2,88.3,0,1001,0.006,0,0.004,0.004,7.5,1.6
8/02/2012,3:00,271,0.7,38.2,0.4,22.1,86.8,0,1001,0.009,0,0.002,0.002,10.5,4.1
8/02/2012,4:00,181,0.4,54.4,0.3,22,86.1,0,1001,0.007,0,0.002,0.002,9.1,2.9
8/02/2012,5:00,275,0.1,94.1,0.3,21.8,85.1,0,1002,0.006,0,0.005,0.005,7.7,0.1
8/02/2012,6:00,233,0.3,62.3,0.3,22.6,81.8,0,1002,0.003,0.012,0.01,0.022,11.6,1.7
8/02/2012,7:00,209,0.7,57.3,0.4,25,66.8,0,1002,0.011,0.009,0.007,0.016,11.1,3.9
8/02/2012,8:00,164,0.8,86.5,1,26.2,59.4,0,1003,0.02,0.002,0.004,0.006,5.5,1.5
8/02/2012,9:00,146,1.1,58.7,0.8,27,57.1,0,1003,0.026,0.002,0.004,0.006,9,4.7
8/02/2012,10:00,172,1.1,50.7,0.9,27.7,52.7,0,1004,0.031,0,0.003,0.003,9.9,7.1
8/02/2012,11:00,168,1.9,31.8,1,27.8,52.5,0,1003,0.028,0,0.003,0.003,6,1.7
8/02/2012,12:00,148,2.1,40.4,1.1,28.4,51.7,0,1003,0.028,0,0.002,0.002,12.8,2.1
8/02/2012,13:00,122,3.6,20.6,1.3,27.1,64.2,0,1002,0.023,0.001,0.002,0.003,12.5,3.9
8/02/2012,14:00,121,3.4,22.5,1.3,26.8,67.6,0,1002,0.023,0.001,0.002,0.003,19.1,3.3
8/02/2012,15:00,128,3.5,19.2,1.3,26.3,69.6,0,1002,0.019,0.002,0.005,0.007,18.1,2.3
8/02/2012,16:00,155,3.6,25.2,1.4,25.6,69.7,0,1002,0.017,0.002,0.004,0.005,18.4,3.7
8/02/2012,17:00,165,2.2,37.6,1.4,23.4,82.8,3,1003,0.012,0.001,0.005,0.006,10.3,3.6
8/02/2012,18:00,160,2.3,20.3,0.9,22.9,85.8,1,1004,0.008,0.001,0.005,0.006,9.3,3.4
8/02/2012,19:00,162,2.5,22.5,1.1,22.7,81.9,0,1005,0.011,0.001,0.003,0.004,3.1,-1.5
8/02/2012,20:00,173,2.3,21.6,1.1,22.4,72.5,0,1005,0.021,0,0.002,0.002,2.5,0.7
8/02/2012,21:00,158,1.2,25.7,0.7,22.2,74.9,0,1006,0.018,0,0.003,0.003,2,-0.2
8/02/2012,22:00,162,2.5,19.7,0.9,22.6,73.3,0,1005,0.018,0,0.001,0.001,3.2,1.2
8/02/2012,23:00,184,1.6,24.7,0.7,22.5,74.4,0,1005,0.017,0,0.001,0.001,5.9,2.5
