Date ,Time ,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (degrees),Wind Speed Std Dev (m/s),Air Temperature (degC),PM10 (µg/m^3)
1/01/2012,0:00,125,1.7,12.5,0.4,20.7,23.5
1/01/2012,1:00,141,1.9,9.9,0.3,20.1,22.4
1/01/2012,2:00,143,2.1,14.7,0.4,19,15.6
1/01/2012,3:00,131,2.2,9.2,0.4,18.5,15
1/01/2012,4:00,128,2.3,9.2,0.5,18.2,18.1
1/01/2012,5:00,138,2.1,9.2,0.5,18,17.5
1/01/2012,6:00,138,2.3,9.1,0.5,19.6,17.4
1/01/2012,7:00,121,3,15.3,0.9,22.5,19.3
1/01/2012,8:00,104,3.8,19.2,1.3,25.5,14.8
1/01/2012,9:00,102,3.6,20.9,1.2,27.2,16.4
1/01/2012,10:00,112,4.2,20.4,1.4,28.3,19.8
1/01/2012,11:00,111,3.9,23,1.4,29.5,14
1/01/2012,12:00,114,3.7,28.2,1.3,30.3,13.7
1/01/2012,13:00,123,4.1,21.2,1.4,31.3,6.1
1/01/2012,14:00,129,4.2,19.4,1.3,31.8,6.8
1/01/2012,15:00,114,3.8,20.2,1.4,32.1,11.1
1/01/2012,16:00,107,3.7,16.1,1.1,31.4,9.3
1/01/2012,17:00,112,3.1,19,1.2,31.5,13.5
1/01/2012,18:00,92,2.4,15.4,1,28.6,24.6
1/01/2012,19:00,87,1.8,18.8,0.8,26.1,25.9
1/01/2012,20:00,58,1.9,20.4,0.8,24.6,46.7
1/01/2012,21:00,47,1.2,29.6,0.6,23.3,35.3
1/01/2012,22:00,64,0.9,31.4,0.5,22.1,20
1/01/2012,23:00,89,1.1,26.5,0.6,21.2,13.5
2/01/2012,0:00,123,1.7,16.7,0.5,20.7,18.9
2/01/2012,1:00,130,2.1,7.7,0.4,19.8,22.8
2/01/2012,2:00,144,2.2,8.7,0.3,19.5,32.7
2/01/2012,3:00,155,1.8,6.9,0.3,18.7,19.2
2/01/2012,4:00,140,1.7,13.3,0.5,18.1,13.1
2/01/2012,5:00,120,1,15.8,0.3,17.5,14.6
2/01/2012,6:00,127,1.6,17.3,0.9,19.8,15.7
2/01/2012,7:00,116,2.7,16.6,0.9,23.1,17
2/01/2012,8:00,101,3.1,23,1,25.6,17.9
2/01/2012,9:00,95,3.1,29.3,1.2,27.3,22.3
2/01/2012,10:00,122,3.6,22.8,1.4,28.2,18.9
2/01/2012,11:00,121,3.9,21,1.5,29.2,8.6
2/01/2012,12:00,119,4.2,20.7,1.5,30.2,14
2/01/2012,13:00,119,4.2,24,1.6,30.6,8.8
2/01/2012,14:00,118,4,22.6,1.3,31.9,11.4
2/01/2012,15:00,118,4.2,22.3,1.5,32.3,11.2
2/01/2012,16:00,113,4.2,17.3,1.3,32.1,18.7
2/01/2012,17:00,115,3.4,20,1.2,31.2,25.8
2/01/2012,18:00,107,2.8,14.1,0.9,28.8,16.6
2/01/2012,19:00,88,2.1,14.7,0.7,26,31.7
2/01/2012,20:00,56,2.3,17.8,0.9,24.3,61.4
2/01/2012,21:00,53,1.5,24.2,0.7,22.7,41.6
2/01/2012,22:00,93,1.1,34.3,0.5,21.6,30.7
2/01/2012,23:00,82,1.4,17.3,0.5,21,25
3/01/2012,0:00,132,1.2,28.7,0.6,20.5,20.7
3/01/2012,1:00,161,1.9,13.3,0.3,19.5,26.3
3/01/2012,2:00,152,2,6.4,0.4,18.9,17.8
3/01/2012,3:00,152,1.8,7.6,0.4,18.7,14.4
3/01/2012,4:00,143,1.2,15.8,0.6,18,8.3
3/01/2012,5:00,144,1.7,9.1,0.3,17.8,14.3
3/01/2012,6:00,139,2.3,11.4,1.1,19.7,14
3/01/2012,7:00,126,3.3,17.4,0.9,22.6,17.6
3/01/2012,8:00,115,3.2,19.7,1.1,25.7,16.6
3/01/2012,9:00,111,3.4,18.7,1.3,27.5,
3/01/2012,10:00,112,3.6,20.6,1.3,28.7,
3/01/2012,11:00,121,3.6,25.9,1.3,29.5,
3/01/2012,12:00,121,3.8,24.8,1.3,30.1,3.7
3/01/2012,13:00,109,2.6,39.8,1.3,31.2,11.9
3/01/2012,14:00,103,3,27.8,1.3,32.1,16.5
3/01/2012,15:00,123,3.6,23.1,1.2,32.5,16.8
3/01/2012,16:00,114,3.5,24.3,1.3,32,19.1
3/01/2012,17:00,119,3.2,17.1,1,31.2,14.6
3/01/2012,18:00,99,2.2,18.1,0.8,28.9,18.7
3/01/2012,19:00,87,1.3,12.3,0.5,25.6,20.3
3/01/2012,20:00,66,2.2,19.3,1,24.2,40.3
3/01/2012,21:00,66,2.2,17.6,0.9,23,25.6
3/01/2012,22:00,68,1.8,16.5,0.7,21.9,29.4
3/01/2012,23:00,79,1.1,41.3,0.7,21,28.9
4/01/2012,0:00,107,0.8,28.5,0.4,20.3,21.9
4/01/2012,1:00,140,1.2,13.9,0.3,19.7,21.7
4/01/2012,2:00,152,2.2,7.3,0.4,19.1,16
4/01/2012,3:00,149,2.5,6.6,0.4,18.5,13
4/01/2012,4:00,137,1.8,10.7,0.4,17.8,11.5
4/01/2012,5:00,137,2.1,9.4,0.5,17.7,10.6
4/01/2012,6:00,122,1.6,14.4,0.5,19.7,17.1
4/01/2012,7:00,128,2,19.4,0.6,22.8,17.1
4/01/2012,8:00,129,2,34.3,1,25.6,17.2
4/01/2012,9:00,70,1.8,36.2,0.9,27.4,12.8
4/01/2012,10:00,99,2.6,34.3,1.3,29.1,4
4/01/2012,11:00,110,3.6,25.3,1.4,30,10.3
4/01/2012,12:00,115,3,38.5,1.4,30.9,16.8
4/01/2012,13:00,109,2.9,31.7,1.2,32,18.6
4/01/2012,14:00,120,3.3,24.2,1.2,33.1,9.2
4/01/2012,15:00,106,2.8,34.8,1.2,33.7,19.7
4/01/2012,16:00,96,2.7,24.1,1,33.7,19
4/01/2012,17:00,105,2.7,20.7,0.9,33,14.8
4/01/2012,18:00,92,1.8,13.9,0.7,30,20.2
4/01/2012,19:00,80,1.1,14.9,0.3,26.4,26.4
4/01/2012,20:00,55,1.2,20.4,0.5,24.7,41.1
4/01/2012,21:00,64,1.2,23.3,0.5,23.2,47.9
4/01/2012,22:00,21,0.8,32.7,0.4,22.5,46.9
4/01/2012,23:00,93,0.7,31.4,0.4,21.9,37.7
5/01/2012,0:00,139,1.4,14.4,0.5,21.1,24.3
5/01/2012,1:00,153,1.4,19.4,0.4,20.2,17.4
5/01/2012,2:00,164,1.8,11.8,0.4,19.1,34.8
5/01/2012,3:00,174,1.1,16.8,0.3,18.5,25.2
5/01/2012,4:00,186,0.8,37.2,0.3,17.7,18.9
5/01/2012,5:00,219,0.4,46.2,0.3,16.9,18.7
5/01/2012,6:00,228,0.2,89.1,0.3,19.9,44
5/01/2012,7:00,299,1.6,23.2,0.8,24.1,32.5
5/01/2012,8:00,298,2.3,26.2,0.7,26.8,24.6
5/01/2012,9:00,299,1.7,38.3,0.8,28.7,23.8
5/01/2012,10:00,229,1.1,76.4,0.9,30.9,24.1
5/01/2012,11:00,349,0.4,117.7,0.8,32.3,23.3
5/01/2012,12:00,49,1,67.7,0.7,33.4,16.5
5/01/2012,13:00,90,2.1,55.7,1.5,34.7,15.5
5/01/2012,14:00,116,2.1,49.8,1.1,35.7,22.4
5/01/2012,15:00,121,3,24,1.2,35.9,17.2
5/01/2012,16:00,83,2.9,22.6,1.1,35.4,32.4
5/01/2012,17:00,80,2.6,20.3,0.9,34,47.3
5/01/2012,18:00,78,1.4,15.8,0.8,31.3,78
5/01/2012,19:00,61,2.4,16.9,1.1,28.4,81.8
5/01/2012,20:00,58,2.1,20.7,0.9,26.6,30.8
5/01/2012,21:00,85,1.5,20.6,0.6,25,18.3
5/01/2012,22:00,59,1.2,25.8,0.6,23.9,16.2
5/01/2012,23:00,77,0.8,19.5,0.3,22.4,21.5
6/01/2012,0:00,87,1,21.3,0.5,21.4,24.3
6/01/2012,1:00,72,0.6,28,0.4,21.2,17.6
6/01/2012,2:00,119,0.2,84.7,0.3,20.2,17.9
6/01/2012,3:00,302,0.2,48.8,0.1,19.5,26.2
6/01/2012,4:00,136,0.7,31.6,0.3,19.5,24.1
6/01/2012,5:00,201,0.3,74.9,0.3,19,19.6
6/01/2012,6:00,145,1,30.2,0.5,21.2,49.5
6/01/2012,7:00,111,1.1,41.2,0.6,24.7,37.4
6/01/2012,8:00,42,1.4,45,0.7,27,22.5
6/01/2012,9:00,45,1.3,46.5,0.6,29.1,21.1
6/01/2012,10:00,311,0.4,150,0.6,30.9,21.8
6/01/2012,11:00,227,0.9,70.9,0.9,31.7,24
6/01/2012,12:00,214,0.7,98.7,0.9,32.8,30.2
6/01/2012,13:00,218,1.5,54,0.9,34,23.6
6/01/2012,14:00,310,1.7,45.2,0.9,35.1,24.5
6/01/2012,15:00,302,1.5,47.3,1,36.2,27.4
6/01/2012,16:00,305,1.1,57.1,0.7,36.1,26.7
6/01/2012,17:00,7,1.1,17.7,0.3,35,36.6
6/01/2012,18:00,30,0.4,26.1,0.2,32,45
6/01/2012,19:00,8,0.2,159.4,0.2,28.7,37.5
6/01/2012,20:00,58,0.5,37.3,0.4,27.7,35.6
6/01/2012,21:00,47,0.8,25.2,0.4,27.4,64
6/01/2012,22:00,41,1.1,26.4,0.5,26.5,66.4
6/01/2012,23:00,63,1.2,18.6,0.5,25.5,39.6
7/01/2012,0:00,99,1.2,27,0.4,24.2,25.4
7/01/2012,1:00,123,1.3,20.9,0.5,23.3,25.6
7/01/2012,2:00,98,0.9,22,0.5,22.6,17.9
7/01/2012,3:00,103,0.4,95.6,0.4,22,24.4
7/01/2012,4:00,333,0.3,160.2,0.3,21.2,23.3
7/01/2012,5:00,181,0.5,48.9,0.5,20.8,28.4
7/01/2012,6:00,138,1,27.8,0.4,23.1,19.9
7/01/2012,7:00,84,0.4,75.5,0.4,26.9,20
7/01/2012,8:00,111,0.6,75.8,0.6,29.8,13.1
7/01/2012,9:00,70,1.2,57.6,0.9,31.3,15.3
7/01/2012,10:00,85,2,39.2,1.1,32.9,20.9
7/01/2012,11:00,81,1.5,50.9,1,33.9,34.6
7/01/2012,12:00,66,1.1,71.4,0.9,34.6,33.3
7/01/2012,13:00,100,0.9,81.4,1,35.5,35.2
7/01/2012,14:00,42,1.3,54.9,0.8,36.1,31.4
7/01/2012,15:00,70,2.3,30.8,1,36.9,38.2
7/01/2012,16:00,86,2.2,22.1,1,35.3,39.9
7/01/2012,17:00,75,2.8,17.9,1,34.4,44.8
7/01/2012,18:00,69,3,16.1,1.2,31.2,41
7/01/2012,19:00,60,2.7,19,1.1,28.7,32.3
7/01/2012,20:00,66,2.7,17.2,1.1,26.8,19.8
7/01/2012,21:00,73,1.7,16.8,0.6,25.3,16.7
7/01/2012,22:00,55,1.4,31.1,0.8,24.2,16.8
7/01/2012,23:00,40,0.8,38.2,0.4,23.3,17.8
8/01/2012,0:00,129,0.2,88.2,0.3,22.4,14.3
8/01/2012,1:00,205,0.6,28.9,0.3,21.6,19.8
8/01/2012,2:00,202,0.5,37.6,0.2,20.7,16.2
8/01/2012,3:00,181,0.6,23.4,0.3,20,21.6
8/01/2012,4:00,197,0.4,43.7,0.2,19.6,24.6
8/01/2012,5:00,189,0.5,28.1,0.3,19.6,30.4
8/01/2012,6:00,147,0.7,35,0.3,22.2,34.5
8/01/2012,7:00,50,0.6,51.4,0.4,25.9,16.8
8/01/2012,8:00,345,1,60.8,0.8,27.8,16.6
8/01/2012,9:00,350,0.7,164.2,0.7,29.7,17.7
8/01/2012,10:00,303,0.8,79.2,0.8,31.1,14.1
8/01/2012,11:00,283,0.1,116.5,0.8,32.8,17.6
8/01/2012,12:00,230,0.9,69.2,0.8,33.9,17.3
8/01/2012,13:00,257,0.1,112.1,0.7,34.9,21.9
8/01/2012,14:00,350,0.8,162.7,0.8,36.2,30.5
8/01/2012,15:00,98,0.6,77.4,0.7,37.2,21.4
8/01/2012,16:00,94,0.1,111.4,0.5,37.7,27.1
8/01/2012,17:00,81,0.7,51.6,0.4,37.4,22.6
8/01/2012,18:00,64,1.1,25.4,0.7,34.2,38.9
8/01/2012,19:00,48,1.6,17,0.6,30.3,52.4
8/01/2012,20:00,50,1.7,20.2,0.7,28.4,39.1
8/01/2012,21:00,49,1.4,18.9,0.7,26.8,30.7
8/01/2012,22:00,51,1.3,17.7,0.5,25.5,34.8
8/01/2012,23:00,60,1.3,15.4,0.5,24.7,32
9/01/2012,0:00,57,0.9,19.7,0.4,23.9,17.9
9/01/2012,1:00,301,0.4,52.6,0.3,23.4,22.7
9/01/2012,2:00,311,1,46.8,0.7,22.9,21.7
9/01/2012,3:00,322,1.3,22.6,0.6,22.8,21.7
9/01/2012,4:00,348,1,27.7,0.4,22.2,17
9/01/2012,5:00,323,2.6,14.4,0.9,22.6,12.4
9/01/2012,6:00,316,1.5,25.4,0.7,23.6,18.4
9/01/2012,7:00,321,2.9,21.6,1.1,25.7,18.6
9/01/2012,8:00,331,3,21.6,1.1,27.5,15.7
9/01/2012,9:00,316,2.9,27.8,1.2,29.6,18.9
9/01/2012,10:00,333,2.2,31.9,0.9,31.8,75.5
9/01/2012,11:00,314,2,41.7,1,33.4,40.8
9/01/2012,12:00,299,1.8,50.6,1.1,35,139.4
9/01/2012,13:00,359,0.6,153.5,0.8,36,42.8
9/01/2012,14:00,273,0.8,70.1,0.8,37.9,49.6
9/01/2012,15:00,191,1,57.7,0.7,38.7,33.2
9/01/2012,16:00,205,0.3,96.5,0.5,39.6,20.7
9/01/2012,17:00,303,0.8,50.9,0.5,38.4,27
9/01/2012,18:00,14,0.5,162.5,0.2,35.7,218.9
9/01/2012,19:00,309,0.3,55.2,0.3,31.8,851.5
9/01/2012,20:00,62,1.3,22.2,0.8,31,32.6
9/01/2012,21:00,37,1.2,21.6,0.6,29.7,41.3
9/01/2012,22:00,3,0.9,168.6,0.5,28.7,40.5
9/01/2012,23:00,328,2.1,15.5,0.7,28.8,14.4
10/01/2012,0:00,310,2.9,17.8,1.1,27.8,15.3
10/01/2012,1:00,321,3.1,15.7,0.9,26.5,9.1
10/01/2012,2:00,337,3.1,14.2,1,25.6,11.3
10/01/2012,3:00,341,2.5,18.3,1,25.1,13.1
10/01/2012,4:00,345,2.2,18.1,0.7,24.4,16.5
10/01/2012,5:00,347,1.7,17.5,0.7,23.8,20
10/01/2012,6:00,337,1.4,25.3,0.5,24.8,22.9
10/01/2012,7:00,307,1.6,30,0.7,27.5,25.3
10/01/2012,8:00,316,2.2,30,0.9,29.2,21.8
10/01/2012,9:00,319,2.1,33.3,0.8,31.2,25.3
10/01/2012,10:00,310,1.5,49.8,0.8,33.5,28.1
10/01/2012,11:00,275,1.1,62.2,0.8,35.5,76.6
10/01/2012,12:00,219,0.5,85.5,0.8,36.4,38.6
10/01/2012,13:00,283,1.2,54.5,0.7,37.9,54.5
10/01/2012,14:00,238,0.3,113,0.6,39.4,34.3
10/01/2012,15:00,256,0.7,75.4,0.6,40.5,27.1
10/01/2012,16:00,111,4.5,28.2,2.4,36.4,59.5
10/01/2012,17:00,34,2.2,32.2,1.1,33.8,36.5
10/01/2012,18:00,14,1.3,27.1,0.6,32.8,
10/01/2012,19:00,136,1.5,67.5,1.8,31.6,47.5
10/01/2012,20:00,250,2.9,57.3,1.7,26.7,
10/01/2012,21:00,19,2.9,24.8,1.2,23.9,
10/01/2012,22:00,271,3.1,26.7,1.5,25.6,12.9
10/01/2012,23:00,352,1.8,23.8,0.6,25.6,23.8
11/01/2012,0:00,300,1.5,84.6,1.5,25.7,18.6
11/01/2012,1:00,185,2.3,19.7,0.8,25.4,18.3
11/01/2012,2:00,213,1.1,35.9,0.7,25,13
11/01/2012,3:00,245,1.7,40.2,1.1,24.7,21.4
11/01/2012,4:00,140,1,75.9,1,23.1,18.7
11/01/2012,5:00,338,0.8,138,0.4,23.1,19.2
11/01/2012,6:00,323,1.4,18.2,0.5,23.6,26
11/01/2012,7:00,349,1,20.7,0.4,24.1,17.1
11/01/2012,8:00,309,1.2,31.6,0.6,25.7,9.4
11/01/2012,9:00,298,1.6,36.4,0.7,28,9.9
11/01/2012,10:00,296,1.7,37.3,0.8,29.9,17.3
11/01/2012,11:00,286,1,72.5,0.9,33.8,14.8
11/01/2012,12:00,190,0.5,87.7,0.7,34.8,19.4
11/01/2012,13:00,242,0.8,84.3,0.9,36.1,19.4
11/01/2012,14:00,227,0.8,98.9,1,37.3,8.9
11/01/2012,15:00,198,1.5,45.3,0.9,38.1,21
11/01/2012,16:00,251,1.4,42,0.8,38.2,18.3
11/01/2012,17:00,224,1.1,38.9,0.7,37.3,37.5
11/01/2012,18:00,72,0.7,54,0.7,34.7,59.5
11/01/2012,19:00,89,3.1,21.8,1.1,30.6,
11/01/2012,20:00,54,0.2,102.4,0.7,28.8,36.1
11/01/2012,21:00,179,1.4,41.2,0.8,27.9,31.5
11/01/2012,22:00,211,1.5,45.9,1.1,27.2,24.6
11/01/2012,23:00,313,1.2,51.6,0.5,24.9,34.9
12/01/2012,0:00,327,1.4,16.7,0.6,24.9,19
12/01/2012,1:00,325,1.8,19.8,0.8,25.3,
12/01/2012,2:00,233,1.2,67.6,1,25,12.2
12/01/2012,3:00,304,1.4,22.8,0.4,24.6,23.1
12/01/2012,4:00,332,1.4,14.2,0.4,23.8,12.4
12/01/2012,5:00,334,0.3,165.8,0.3,23.8,19.6
12/01/2012,6:00,109,0.9,36.5,0.5,24.1,18
12/01/2012,7:00,40,1.1,30.5,0.5,27.1,21.3
12/01/2012,8:00,8,1.6,177.5,0.6,29.1,5.9
12/01/2012,9:00,86,1.1,55.3,0.8,32.2,
12/01/2012,10:00,109,1.9,44.8,1,33.1,14.5
12/01/2012,11:00,113,2.6,33.2,1.2,34.4,
12/01/2012,12:00,124,2.8,31.6,1.5,35.3,9.2
12/01/2012,13:00,133,3.6,21.1,1.3,36,21.7
12/01/2012,14:00,119,2.9,29.9,1.3,36.9,56.8
12/01/2012,15:00,114,2.6,20.2,0.8,36.1,124.1
12/01/2012,16:00,110,3.4,16.6,1.2,36.2,50.9
12/01/2012,17:00,83,2.8,39.4,1.3,33.5,63.9
12/01/2012,18:00,57,3.4,20.6,1.3,28.7,36.4
12/01/2012,19:00,61,1.6,22.7,0.8,26.8,18.6
12/01/2012,20:00,81,1,33.9,0.5,26.2,
12/01/2012,21:00,77,0.8,29.7,0.4,25.5,19.7
12/01/2012,22:00,94,1.2,20.6,0.4,25,26.7
12/01/2012,23:00,129,1.6,16.1,0.6,24.5,26.1
13/01/2012,0:00,129,1.6,17.1,0.6,23.9,24.7
13/01/2012,1:00,133,1.6,15,0.6,23.9,24
13/01/2012,2:00,140,1.9,11.7,0.7,23.8,23.9
13/01/2012,3:00,136,2.4,11.1,0.6,23.7,8.2
13/01/2012,4:00,133,2.6,12.6,0.6,23.7,20.3
13/01/2012,5:00,124,2.3,16.1,0.9,23.1,22.9
13/01/2012,6:00,118,3.3,14.1,1.1,23.7,26.7
13/01/2012,7:00,108,3.4,16.3,1.1,24.8,37.9
13/01/2012,8:00,120,3.2,18.2,1.1,25.5,43.7
13/01/2012,9:00,122,3.7,16.3,1.2,26.3,51.7
13/01/2012,10:00,117,2.7,17.8,0.8,27.5,48.4
13/01/2012,11:00,82,2.4,24.7,0.9,29,41.7
13/01/2012,12:00,77,3.1,22.5,1.3,30.4,21.3
13/01/2012,13:00,75,3.3,22.1,1.2,31.5,12.6
13/01/2012,14:00,78,3.5,18.2,1.1,31.3,36.9
13/01/2012,15:00,78,3.8,20.9,1.4,30.8,18.9
13/01/2012,16:00,77,4.1,19.1,1.5,30.8,14.7
13/01/2012,17:00,70,4.3,16.6,1.5,29.2,16.4
13/01/2012,18:00,79,3.6,17.7,1.3,26.9,18.5
13/01/2012,19:00,78,3.6,16.8,1.3,25.8,12.4
13/01/2012,20:00,77,2.5,19.1,1.1,24.6,6.2
13/01/2012,21:00,77,2.2,18.3,0.8,23.7,7.2
13/01/2012,22:00,98,1.5,16.3,0.6,23,11.5
13/01/2012,23:00,102,1.2,22.9,0.4,22.3,6.7
14/01/2012,0:00,87,0.7,33,0.6,22.1,10.2
14/01/2012,1:00,124,0.7,20.9,0.3,21.8,10.5
14/01/2012,2:00,143,1.4,32.6,0.7,21.5,11.5
14/01/2012,3:00,122,1.2,13.9,0.4,21.2,18.3
14/01/2012,4:00,116,1.3,14.3,0.6,21.4,21.4
14/01/2012,5:00,113,1.3,15.4,0.4,21.5,22.5
14/01/2012,6:00,141,1.9,12.8,0.5,22.4,20.8
14/01/2012,7:00,128,2.6,12.2,0.7,22.8,17.8
14/01/2012,8:00,126,2.8,13.2,0.8,23,13.8
14/01/2012,9:00,120,2.7,13.1,0.8,23.2,12.9
14/01/2012,10:00,109,1.9,26.6,0.7,22.9,10.8
14/01/2012,11:00,109,2.5,17.4,0.9,23.1,
14/01/2012,12:00,109,2.9,18.6,1,24.4,
14/01/2012,13:00,128,4.2,12.8,1.2,22.4,6.4
14/01/2012,14:00,140,4.1,10.1,1.1,21.6,4.8
14/01/2012,15:00,133,3.7,16,1,21,
14/01/2012,16:00,112,4,14.7,1.5,20.3,
14/01/2012,17:00,100,3.1,15.4,1.1,20.7,3.9
14/01/2012,18:00,101,3.5,14.5,1.1,20,0.5
14/01/2012,19:00,98,3.3,13.8,1.1,19.9,9.9
14/01/2012,20:00,102,2.9,18,1,20.1,7.1
14/01/2012,21:00,101,2.4,16.7,0.9,20,7.9
14/01/2012,22:00,106,2.1,20.8,0.8,20.1,7.4
14/01/2012,23:00,115,2.4,15.7,0.7,20,9.8
15/01/2012,0:00,129,2.8,13.5,0.7,19.8,10.9
15/01/2012,1:00,132,2.6,11,0.6,19.7,13.7
15/01/2012,2:00,133,3,9.3,0.7,19.4,9.9
15/01/2012,3:00,128,2.7,12.5,0.7,19.4,12
15/01/2012,4:00,119,2.3,14.2,0.7,19.5,7.5
15/01/2012,5:00,125,2.5,13.1,0.8,19.2,8.5
15/01/2012,6:00,127,3,12.9,0.8,19.3,14.1
15/01/2012,7:00,132,3.4,10.3,0.8,19.6,12.7
15/01/2012,8:00,129,3.3,12.2,0.7,20.2,12.7
15/01/2012,9:00,131,3.1,13.1,0.8,20.8,17
15/01/2012,10:00,140,3.2,9.8,0.8,20.2,19
15/01/2012,11:00,144,3.2,12.1,0.8,20.4,15
15/01/2012,12:00,145,3.8,7.8,0.7,20.7,10.7
15/01/2012,13:00,146,3.8,9.3,0.7,20.8,6
15/01/2012,14:00,133,4.5,11.1,1,21.2,5
15/01/2012,15:00,134,4.7,10.9,1.2,21.3,
15/01/2012,16:00,130,4.2,10.8,1,20.8,5.6
15/01/2012,17:00,128,3.4,13.3,0.9,20.9,4.6
15/01/2012,18:00,123,3.6,13.1,1,20.8,2.4
15/01/2012,19:00,127,3.6,12.5,1,20.4,2
15/01/2012,20:00,126,3.8,11.6,1.1,20.2,1.7
15/01/2012,21:00,127,3.6,11.5,1.1,19.9,0.9
15/01/2012,22:00,130,3.8,11,1,19.8,4.5
15/01/2012,23:00,128,3.3,12,0.9,19.7,4.5
16/01/2012,0:00,132,3.1,10.3,0.7,19.5,3.9
16/01/2012,1:00,135,3.9,10,0.9,19.2,2.5
16/01/2012,2:00,127,4,12.2,1.1,18.8,2.4
16/01/2012,3:00,126,3,12.9,0.8,18.8,5.6
16/01/2012,4:00,133,2.9,10,0.7,18.9,8.7
16/01/2012,5:00,129,3.1,10.9,0.8,19.1,9.9
16/01/2012,6:00,129,3.4,13,1,19.2,8.4
16/01/2012,7:00,129,3.4,12.2,0.9,19.4,10.5
16/01/2012,8:00,125,3.3,14.7,1,20.7,12.6
16/01/2012,9:00,135,3.9,13.5,1,21.9,11.2
16/01/2012,10:00,133,4.4,13.3,1.1,22.6,8.1
16/01/2012,11:00,121,3.4,16.8,1.1,24.1,6
16/01/2012,12:00,123,3.4,15.5,1,25,6.8
16/01/2012,13:00,126,3.3,18.7,1,26,9.3
16/01/2012,14:00,118,3.5,18.5,1.1,26.6,5.1
16/01/2012,15:00,128,3.3,14.9,1.1,25.8,10.7
16/01/2012,16:00,118,2.7,24.9,1,23.4,8.8
16/01/2012,17:00,134,3.5,15.7,1.3,23.8,9.3
16/01/2012,18:00,127,2.4,13.4,0.7,23.9,7.3
16/01/2012,19:00,91,1.3,30.5,0.6,23.1,6.7
16/01/2012,20:00,73,1.2,24.2,0.4,22.5,9.1
16/01/2012,21:00,101,1.4,19,0.5,22.4,8.4
16/01/2012,22:00,120,1,13.1,0.3,22.1,7.3
16/01/2012,23:00,133,1.4,10.3,0.5,21.7,10.1
17/01/2012,0:00,129,1.4,9,0.3,21.4,7.7
17/01/2012,1:00,144,1.9,13.7,0.5,21.3,9.8
17/01/2012,2:00,139,3.6,9,0.8,20.9,
17/01/2012,3:00,136,3.4,9.1,0.8,20.4,
17/01/2012,4:00,132,2.6,8.5,0.6,20,4.2
17/01/2012,5:00,139,2.7,8.7,0.5,20.3,4.2
17/01/2012,6:00,137,3.2,10.7,0.9,20.9,5.1
17/01/2012,7:00,135,3.5,10.7,0.9,21.6,
17/01/2012,8:00,126,3.4,16.9,1,23.1,2.5
17/01/2012,9:00,113,2.7,20,0.9,24.1,4.7
17/01/2012,10:00,90,2.7,22.1,1,26,6.3
17/01/2012,11:00,119,1.5,51.4,1,27.2,6.1
17/01/2012,12:00,96,1.6,46.5,0.9,28.8,4.2
17/01/2012,13:00,70,1.3,45.4,0.7,29.2,3.5
17/01/2012,14:00,78,1.2,38.1,0.6,29.9,3
17/01/2012,15:00,77,0.8,58,0.6,31.7,4.6
17/01/2012,16:00,116,2.2,22.6,0.9,31.8,3.6
17/01/2012,17:00,117,1.9,17.3,0.6,30,7.4
17/01/2012,18:00,110,0.9,15.8,0.3,28.1,19
17/01/2012,19:00,31,0.1,105.9,0.3,25.1,27.7
17/01/2012,20:00,336,0.3,155.3,0.3,23.9,22.6
17/01/2012,21:00,12,0.2,137.8,0.2,23.8,15.1
17/01/2012,22:00,141,0.4,54.7,0.4,23.1,20.4
17/01/2012,23:00,125,0.8,31,0.4,22.9,12.1
18/01/2012,0:00,51,0.3,57,0.2,23.2,24.5
18/01/2012,1:00,310,0.7,25.2,0.3,23.2,29.4
18/01/2012,2:00,318,1.2,9.6,0.3,23.1,14.9
18/01/2012,3:00,155,0.7,50,0.6,22.9,21.5
18/01/2012,4:00,144,1.2,13.3,0.5,22.8,16.3
18/01/2012,5:00,135,1.6,13.1,0.5,22.7,17.6
18/01/2012,6:00,140,2.4,11.6,0.7,23,11.9
18/01/2012,7:00,119,1.7,24.6,0.5,25.6,8.9
18/01/2012,8:00,96,2.1,25.5,0.8,28.2,2.6
18/01/2012,9:00,105,1.9,26.5,1,29,9.7
18/01/2012,10:00,101,2,32.1,0.9,30.5,7.2
18/01/2012,11:00,118,1.9,38.7,1,31.8,3.9
18/01/2012,12:00,117,1.9,43.1,0.9,32.4,5.8
18/01/2012,13:00,106,1.5,44.2,0.9,32.9,5
18/01/2012,14:00,133,2.7,22,0.9,32.8,5.8
18/01/2012,15:00,104,2.5,19.7,0.8,32.6,5.7
18/01/2012,16:00,93,2.2,16.7,0.8,32.2,
18/01/2012,17:00,90,2,15.2,0.7,31.3,
18/01/2012,18:00,88,1,18.6,0.4,29.8,22.6
18/01/2012,19:00,49,1.4,20.5,0.6,27.1,54.3
18/01/2012,20:00,37,1.2,20.1,0.5,25.7,33
18/01/2012,21:00,5,0.8,24.3,0.4,24.5,13.2
18/01/2012,22:00,199,0.6,46.6,0.4,23.4,9.8
18/01/2012,23:00,290,0.2,97.7,0.3,22.3,14.8
19/01/2012,0:00,190,0.7,48.9,0.6,21.7,16.3
19/01/2012,1:00,183,0.6,37.6,0.4,21.4,11.1
19/01/2012,2:00,174,0.1,92.5,0.2,20.8,11.3
