Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Air Temperature (degC),Relative Humidity (%),Barometric Pressure (hPa),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Sulfur Dioxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3),Benzene (ppb),Toluene (ppb),Xylenes (total) (ppb),Formaldehyde (ppb)
01/01/2016,00:00,161,0.5,36.9,18.6,,,0.008,,0.004,0.001,16.6,4.5,1.4,8.8,14.0,5.7
01/01/2016,01:00,234,0.6,17.0,17.8,,,0.005,,0.007,0.001,14.3,5.0,1.1,10.7,18.4,7.0
01/01/2016,02:00,244,1.1,13.8,17.8,,,0.007,,0.006,0.001,18.0,7.2,1.4,8.7,13.5,6.4
01/01/2016,03:00,226,0.6,13.9,17.2,,,0.007,,0.004,0.001,17.0,5.7,1.0,7.1,8.9,7.0
01/01/2016,04:00,217,0.7,26.7,17.1,,,0.008,,0.003,0.001,15.1,5.2,0.8,6.1,5.6,7.3
01/01/2016,05:00,206,0.6,19.5,18.2,,,0.009,,0.002,0.001,15.4,4.6,0.6,6.0,5.2,6.5
01/01/2016,06:00,198,1.2,10.5,22.8,,,0.010,,0.002,0.001,15.1,3.8,0.9,4.9,3.3,6.3
01/01/2016,07:00,199,1.7,15.6,24.3,,,0.012,,0.001,0.001,18.1,5.8,0.9,4.9,7.1,7.0
01/01/2016,08:00,183,2.7,14.4,25.1,,,0.014,,0.001,0.001,16.7,4.3,0.9,3.7,5.5,3.7
01/01/2016,09:00,172,2.8,20.4,25.5,,,0.015,,0.001,0.000,18.5,5.1,1.1,4.1,7.7,3.7
01/01/2016,10:00,151,2.3,38.5,26.2,,,0.018,,0.001,0.001,14.8,2.7,1.4,5.2,10.8,4.0
01/01/2016,11:00,174,2.0,41.9,26.3,,,0.018,,0.001,0.001,20.6,3.8,1.1,2.9,9.7,4.6
01/01/2016,12:00,189,2.1,27.9,27.0,,,0.019,,0.001,0.001,19.6,4.5,1.0,2.2,6.1,3.7
01/01/2016,13:00,145,2.3,34.0,27.5,,,0.022,,0.001,0.001,21.3,4.8,0.9,,6.1,4.2
01/01/2016,14:00,105,3.9,15.9,26.8,,,0.021,,0.001,0.001,30.3,8.8,0.9,1.8,7.9,5.0
01/01/2016,15:00,112,4.5,14.2,25.7,,,0.018,,0.001,0.001,24.4,6.5,1.0,4.2,14.7,7.9
01/01/2016,16:00,97,5.4,9.7,24.2,,,0.017,,0.001,0.002,26.0,5.7,1.0,4.5,10.9,7.1
01/01/2016,17:00,107,4.7,11.3,23.2,,,0.016,,0.001,0.001,28.7,8.1,1.0,5.1,6.9,6.5
01/01/2016,18:00,117,4.8,7.0,21.9,,,0.016,,0.001,0.000,20.5,5.2,1.4,3.4,10.7,6.6
01/01/2016,19:00,112,4.4,4.9,21.0,,,0.017,,0.001,0.001,23.5,5.8,0.5,5.6,5.8,6.4
01/01/2016,20:00,114,4.2,4.3,20.6,,,0.017,,0.002,0.001,23.4,6.4,0.6,4.8,5.8,5.8
01/01/2016,21:00,125,2.6,9.1,20.0,,,0.014,,0.002,0.001,25.5,5.8,0.3,4.4,4.1,6.1
01/01/2016,22:00,139,2.5,12.9,19.8,,,0.015,,0.002,0.001,21.8,5.1,0.7,5.3,3.7,6.6
01/01/2016,23:00,171,1.1,16.1,19.3,,,0.012,,0.003,0.001,18.3,3.6,1.2,5.2,3.8,5.5
02/01/2016,00:00,166,0.7,19.1,18.5,,,0.009,,0.004,0.001,19.0,4.8,0.9,5.0,5.1,5.3
02/01/2016,01:00,195,0.7,14.4,18.0,,,0.010,,0.003,0.001,15.5,3.4,0.6,5.7,5.4,5.7
02/01/2016,02:00,181,0.6,18.0,17.4,,,0.009,,0.003,0.001,15.0,3.5,1.0,5.4,8.1,6.8
02/01/2016,03:00,191,0.7,16.3,16.7,,,0.009,,0.003,0.001,15.5,4.5,1.0,5.3,6.1,7.0
02/01/2016,04:00,185,0.6,26.9,16.5,,,0.009,,0.003,0.001,15.9,4.7,1.3,5.9,7.7,7.0
02/01/2016,05:00,210,0.3,59.8,17.2,,,0.006,,0.006,0.001,16.6,5.0,0.5,4.9,3.6,7.7
02/01/2016,06:00,192,1.0,11.0,22.3,,,0.010,,0.006,0.001,18.6,5.7,0.8,5.0,2.9,7.8
02/01/2016,07:00,195,1.6,15.7,24.6,,,0.014,,0.003,0.001,19.5,6.6,0.8,4.9,7.4,9.1
02/01/2016,08:00,187,1.5,38.2,25.8,,,0.017,,0.001,0.001,12.9,3.5,1.3,5.4,7.9,8.5
02/01/2016,09:00,186,1.2,55.9,27.2,,,0.019,,0.001,0.001,14.2,3.3,1.0,4.4,4.7,7.9
02/01/2016,10:00,186,1.1,60.2,28.4,,,0.023,,0.001,0.001,12.3,3.4,0.9,2.3,8.5,4.6
02/01/2016,11:00,207,1.1,71.5,29.4,,,0.028,,0.002,0.001,16.3,2.6,0.9,2.2,7.0,2.7
02/01/2016,12:00,63,2.7,92.9,28.0,,,0.026,,0.001,0.001,28.7,7.3,0.9,3.4,10.2,7.9
02/01/2016,13:00,76,4.0,17.1,26.3,,,0.022,,0.001,0.001,27.2,8.2,0.9,1.7,8.5,5.6
02/01/2016,14:00,90,4.1,12.6,26.4,,,0.022,,0.000,0.001,23.3,6.5,0.8,3.2,9.9,5.4
02/01/2016,15:00,89,4.2,15.8,25.6,,,0.022,,0.000,0.001,22.6,6.1,0.5,3.1,9.6,7.1
02/01/2016,16:00,103,4.4,11.8,24.0,,,0.020,,0.001,0.001,24.2,6.1,0.8,3.3,9.8,6.7
02/01/2016,17:00,97,3.6,14.3,22.9,,,0.019,,0.001,0.001,26.1,8.4,0.7,2.9,6.5,5.9
02/01/2016,18:00,92,3.3,10.5,22.0,,,0.017,,0.000,0.001,23.0,6.9,1.0,4.7,7.6,5.7
02/01/2016,19:00,92,2.0,9.4,21.2,,,0.015,,0.000,0.001,22.2,6.2,0.9,2.9,6.9,5.7
02/01/2016,20:00,93,1.8,11.3,20.6,,,0.015,,0.002,0.002,22.9,5.8,0.7,6.5,9.1,6.3
02/01/2016,21:00,109,2.5,8.0,20.7,,,0.014,,0.003,0.001,25.4,10.0,0.9,6.6,8.2,7.0
02/01/2016,22:00,118,2.8,9.9,20.6,,,0.014,,0.002,0.001,19.1,4.2,0.8,5.8,6.0,5.3
02/01/2016,23:00,134,2.5,11.0,20.6,,,0.016,,0.002,0.002,18.8,4.1,0.5,4.5,3.7,6.4
03/01/2016,00:00,139,1.4,19.2,20.2,,,0.014,,0.002,0.001,16.6,3.3,0.6,4.6,4.5,6.3
03/01/2016,01:00,172,0.8,25.7,20.2,,,0.013,,0.003,0.001,16.7,3.9,1.1,4.7,4.8,5.7
03/01/2016,02:00,153,0.9,19.8,19.9,,,0.011,,0.003,0.001,15.6,3.2,1.0,5.6,7.3,5.9
03/01/2016,03:00,173,0.7,29.1,19.5,,,0.011,,0.002,0.001,16.2,4.2,0.7,6.1,7.8,6.8
03/01/2016,04:00,206,0.6,14.6,19.6,,,0.010,,0.003,0.001,16.4,5.1,1.0,5.8,9.7,6.2
03/01/2016,05:00,193,1.2,8.0,19.8,,,0.008,,0.004,0.001,17.4,5.4,1.0,6.9,6.8,6.4
03/01/2016,06:00,185,1.6,11.8,20.3,,,0.009,,0.003,0.001,20.3,7.7,1.1,5.5,10.9,6.0
03/01/2016,07:00,201,1.0,17.4,19.9,,,0.008,,0.003,0.001,25.7,8.4,1.1,6.1,4.8,6.6
03/01/2016,08:00,218,1.1,37.0,21.1,,,0.011,,0.003,0.001,15.4,5.8,0.7,5.2,5.8,6.4
03/01/2016,09:00,134,0.5,79.5,22.1,,,0.014,,0.003,0.001,17.9,6.2,0.7,4.6,4.1,6.4
03/01/2016,10:00,136,2.5,25.8,24.0,,,0.018,,0.002,0.001,20.0,5.6,0.3,3.4,4.9,7.9
03/01/2016,11:00,128,3.0,14.1,24.2,,,0.019,,0.001,0.001,13.3,2.9,1.2,3.5,5.9,7.0
03/01/2016,12:00,116,3.1,21.1,24.2,,,0.019,,0.001,0.001,19.9,4.9,1.0,3.1,9.6,6.6
03/01/2016,13:00,95,2.8,19.1,24.4,,,0.020,,0.001,0.001,16.3,4.2,0.8,2.4,9.9,5.9
03/01/2016,14:00,117,2.7,20.9,24.2,,,0.019,,0.001,0.002,17.6,5.4,0.8,3.8,8.2,6.3
03/01/2016,15:00,121,3.9,12.1,23.3,,,0.017,,0.001,0.001,21.3,7.0,0.5,4.6,8.5,6.8
03/01/2016,16:00,122,3.2,12.0,22.6,,,0.017,,0.001,0.001,15.2,6.0,0.4,4.1,4.5,7.1
03/01/2016,17:00,134,3.0,7.5,21.6,,,0.015,,0.003,0.001,12.9,5.4,1.0,5.8,4.5,7.1
03/01/2016,18:00,154,2.8,13.3,20.9,,,0.010,,0.006,0.001,12.7,4.6,0.6,5.1,5.6,8.1
03/01/2016,19:00,151,2.0,10.5,20.2,,,0.010,,0.004,0.001,12.6,4.5,1.2,5.3,4.1,8.1
03/01/2016,20:00,188,1.9,8.2,20.0,,,0.010,,0.004,0.001,9.4,3.4,1.1,6.2,6.0,8.7
03/01/2016,21:00,192,2.0,6.8,19.6,,,0.007,,0.004,0.001,16.2,5.7,0.8,6.5,9.6,10.6
03/01/2016,22:00,177,1.9,15.5,19.1,,,0.008,,0.003,0.001,5.3,1.1,1.0,5.4,5.9,10.1
03/01/2016,23:00,143,1.7,25.4,18.6,,,0.012,,0.002,0.000,2.7,,1.0,4.0,5.4,9.2
04/01/2016,00:00,171,1.5,13.3,18.4,,,0.012,,0.002,0.000,4.7,,0.8,5.0,3.5,9.4
04/01/2016,01:00,201,1.3,11.6,18.5,,,0.010,,0.003,0.001,8.3,1.1,0.9,5.5,6.0,10.0
04/01/2016,02:00,213,1.1,8.6,17.9,,,0.011,,0.002,0.000,,,0.2,4.4,5.1,7.9
04/01/2016,03:00,204,1.5,7.3,17.5,,,0.011,,0.002,0.000,,,0.3,5.7,6.2,8.0
04/01/2016,04:00,209,0.9,8.6,17.5,,,0.009,,0.004,0.001,8.0,1.4,0.0,6.5,12.4,7.9
04/01/2016,05:00,205,1.0,10.9,17.6,,,0.007,,0.007,0.000,8.3,1.7,,6.7,14.0,8.1
04/01/2016,06:00,211,1.0,9.7,18.6,,,0.006,,0.007,0.001,8.2,2.4,,5.9,15.0,10.3
04/01/2016,07:00,212,1.0,10.2,20.2,,,0.010,,0.005,0.001,8.1,2.5,0.5,6.0,9.1,8.2
04/01/2016,08:00,202,1.4,19.5,22.3,,,0.010,,0.005,0.001,7.9,1.2,0.9,4.9,3.9,8.0
04/01/2016,09:00,190,1.4,28.7,23.6,,,0.013,,0.005,0.001,11.5,2.7,1.0,5.6,3.9,7.9
04/01/2016,10:00,132,1.9,33.5,25.4,,,0.017,,0.003,0.001,13.1,3.7,0.9,2.5,7.4,8.6
04/01/2016,11:00,98,2.5,20.9,24.7,,,0.020,,0.002,0.001,10.4,2.7,0.7,2.6,5.2,8.1
04/01/2016,12:00,87,3.2,16.0,24.1,,,0.015,,0.001,0.001,9.4,1.6,0.4,2.7,5.2,5.9
04/01/2016,13:00,80,3.1,10.7,24.3,,,0.014,,0.001,0.002,4.2,,1.1,1.8,4.9,5.7
04/01/2016,14:00,85,3.5,13.7,24.5,,,0.012,,0.001,0.001,14.0,2.9,0.8,3.8,5.1,5.6
04/01/2016,15:00,82,3.7,10.6,23.8,,,0.014,,0.001,0.002,12.6,2.5,0.8,3.0,9.5,6.4
04/01/2016,16:00,85,3.0,6.2,22.3,,,0.013,,0.001,0.001,18.5,4.9,0.8,4.8,3.9,6.9
04/01/2016,17:00,94,2.0,8.4,21.4,,,0.011,,0.001,0.001,18.3,6.4,1.3,5.4,7.6,8.0
04/01/2016,18:00,94,2.0,11.0,21.2,,,0.011,,0.001,0.001,13.2,3.9,1.0,6.0,7.3,9.5
04/01/2016,19:00,111,1.3,15.0,21.1,,,0.006,,0.002,0.001,15.3,5.1,0.7,5.8,5.4,10.6
04/01/2016,20:00,124,1.3,14.9,20.8,,,0.007,,0.002,0.001,9.6,3.3,1.2,5.4,3.2,10.8
04/01/2016,21:00,100,0.9,89.0,20.6,,,0.005,,0.002,0.001,7.9,1.1,0.5,5.4,2.1,10.9
04/01/2016,22:00,97,0.5,102.8,20.6,,,0.005,,0.002,0.001,12.4,2.1,0.6,5.7,3.6,10.1
04/01/2016,23:00,142,0.4,71.2,20.6,,,0.004,,0.002,0.001,7.9,2.2,0.7,5.9,5.2,9.3
05/01/2016,00:00,135,0.7,29.4,20.4,,,0.004,,0.003,0.001,6.5,0.0,0.5,5.6,4.8,10.1
05/01/2016,01:00,155,0.8,18.5,20.3,,,0.003,,0.005,0.001,4.8,,0.8,5.3,2.6,10.0
05/01/2016,02:00,144,1.1,26.5,20.2,,,0.005,,0.004,0.000,6.8,0.3,1.0,5.7,5.9,10.2
05/01/2016,03:00,124,1.2,14.3,19.6,,,0.006,,0.002,0.001,2.1,,0.7,6.1,6.6,9.6
05/01/2016,04:00,125,0.9,33.9,19.4,,,0.006,,0.002,0.001,4.9,,,6.5,7.5,9.9
05/01/2016,05:00,157,1.1,34.0,19.9,,,0.005,,0.003,0.001,16.2,4.4,,5.3,10.1,10.3
05/01/2016,06:00,50,1.5,78.2,19.7,,,0.009,,0.002,0.001,9.7,3.7,,7.1,12.6,9.9
05/01/2016,07:00,66,2.1,12.8,19.3,,,0.014,,0.002,0.001,1.5,,,6.1,12.8,10.5
05/01/2016,08:00,58,1.8,15.4,19.5,,,0.014,,0.001,0.001,7.7,0.8,,7.1,19.6,9.9
05/01/2016,09:00,76,2.7,10.0,19.7,,,0.012,,0.001,0.001,,,,7.3,21.2,10.8
05/01/2016,10:00,88,3.0,12.2,20.2,,,0.011,,0.001,0.001,8.4,0.8,,6.6,20.7,10.9
05/01/2016,11:00,118,2.2,21.5,20.6,,,0.010,,0.001,0.000,6.3,,,7.4,22.2,10.6
05/01/2016,12:00,105,2.6,19.8,20.9,,,0.012,,0.001,0.000,6.5,0.4,,7.0,21.8,9.8
05/01/2016,13:00,118,2.0,26.1,21.0,,,0.012,,0.001,0.001,8.9,,,6.9,15.9,10.6
05/01/2016,14:00,70,2.5,11.2,20.2,,,0.015,,0.001,0.001,3.7,,,4.9,15.1,8.8
05/01/2016,15:00,95,0.7,97.1,20.2,,,0.012,,0.001,0.001,,,,7.3,12.7,10.1
05/01/2016,16:00,80,1.8,8.1,20.3,,,0.011,,0.001,0.001,5.3,0.8,,7.7,10.3,9.8
05/01/2016,17:00,59,2.1,14.8,20.3,,,0.010,,0.002,0.001,8.9,3.0,,7.1,20.0,11.7
05/01/2016,18:00,76,2.1,38.9,19.9,,,0.012,,0.001,0.001,,,,6.8,17.4,10.8
05/01/2016,19:00,130,0.3,77.6,20.1,,,0.008,,0.005,0.001,12.4,3.6,,7.0,21.3,10.2
05/01/2016,20:00,194,0.8,24.0,20.2,,,0.005,,0.009,0.001,10.4,2.6,,,,
05/01/2016,21:00,202,1.5,28.6,20.2,,,0.008,,0.008,,9.8,2.3,,,,
05/01/2016,22:00,200,1.1,16.0,20.1,,,0.007,,0.006,0.001,8.1,1.4,,,,
05/01/2016,23:00,216,0.7,17.3,20.1,,,0.007,,0.004,0.001,6.7,0.6,,,,
06/01/2016,00:00,220,0.7,14.5,20.1,,,0.007,,0.004,0.001,6.1,0.1,,,,
06/01/2016,01:00,206,0.7,14.9,20.0,,,0.006,,0.004,0.001,3.9,,,,,
06/01/2016,02:00,98,1.3,36.0,19.8,,,0.009,,0.003,0.001,3.3,,,,,
06/01/2016,03:00,210,0.5,70.4,19.7,,,0.007,,0.003,0.000,4.0,,,,,
06/01/2016,04:00,251,0.9,13.0,19.8,,,0.007,,0.006,0.001,11.0,2.9,,,,
06/01/2016,05:00,251,0.9,32.1,20.0,,,0.006,,0.009,0.001,5.6,,,,,
06/01/2016,06:00,228,1.1,11.8,20.9,,,,,0.010,,19.6,6.7,,,,
06/01/2016,07:00,228,1.2,10.6,22.4,,,0.011,,0.008,0.001,8.5,1.9,,,,
06/01/2016,08:00,234,1.6,14.3,24.8,,,0.014,,0.005,0.001,7.4,0.5,0.7,3.8,11.7,6.9
06/01/2016,09:00,247,2.5,23.2,26.2,,,0.019,,0.003,0.001,6.9,,1.0,1.7,4.1,5.9
06/01/2016,10:00,250,2.7,15.2,28.2,,,0.025,,0.003,,,,0.9,,2.5,3.3
06/01/2016,11:00,249,3.4,13.7,29.5,,,0.028,,0.003,0.000,,,0.7,,5.2,1.3
06/01/2016,12:00,253,3.4,19.6,30.1,,,0.030,,0.003,0.001,,,1.0,2.9,5.5,0.8
06/01/2016,13:00,256,3.8,12.9,30.6,,,0.031,,0.002,0.001,1.7,,0.7,0.4,5.1,2.5
06/01/2016,14:00,264,3.8,13.8,30.2,,,0.037,,0.003,0.001,1.7,,0.7,0.9,5.7,1.9
06/01/2016,15:00,260,3.6,11.7,30.0,,,0.030,,0.003,0.001,,,1.0,1.1,7.8,0.7
06/01/2016,16:00,259,4.4,8.4,28.9,,,0.029,,0.004,0.001,4.1,,0.5,0.4,8.6,0.1
06/01/2016,17:00,177,1.1,70.8,27.5,,,0.027,,0.003,0.000,42.3,12.1,0.6,0.8,5.1,1.4
06/01/2016,18:00,99,2.6,16.5,25.0,,,0.026,,0.001,0.002,19.2,10.7,0.2,1.5,6.1,4.1
06/01/2016,19:00,84,1.9,9.4,23.1,,,0.020,,0.001,0.001,15.3,6.3,1.2,1.4,6.8,4.9
06/01/2016,20:00,90,1.5,19.0,22.5,,,0.016,,0.001,0.001,13.4,4.4,0.9,2.6,4.0,6.2
06/01/2016,21:00,97,2.3,6.4,22.3,,,0.016,,0.002,0.001,15.3,4.0,1.2,5.7,6.2,6.7
06/01/2016,22:00,94,0.9,71.3,21.9,,,0.014,,0.001,0.001,9.7,2.8,1.1,5.0,3.3,7.5
06/01/2016,23:00,53,0.4,120.2,21.1,,,0.010,,0.001,0.001,7.3,0.6,1.0,5.2,4.0,7.3
07/01/2016,00:00,95,0.2,99.7,20.5,,,0.007,,0.002,0.001,5.2,,1.2,5.0,4.9,8.3
07/01/2016,01:00,122,0.3,72.8,20.3,,,0.008,,0.003,0.000,7.5,,1.1,5.1,6.2,8.7
07/01/2016,02:00,180,0.7,29.0,20.3,,,0.010,,0.003,0.001,14.9,1.5,1.0,5.2,4.5,9.8
07/01/2016,03:00,222,0.5,20.6,19.9,,,0.005,,0.005,0.001,8.9,1.8,1.0,5.5,3.2,9.6
07/01/2016,04:00,207,0.6,17.4,19.6,,,0.002,,0.010,0.001,10.3,2.0,0.9,5.7,4.8,9.9
07/01/2016,05:00,197,1.1,6.4,20.0,,,0.003,,0.009,0.001,14.4,4.9,0.6,6.2,5.6,9.4
07/01/2016,06:00,195,1.1,17.1,24.0,,,0.006,,0.009,0.002,25.2,10.2,0.8,5.5,5.7,10.0
07/01/2016,07:00,183,1.4,19.5,25.8,,,0.012,,0.007,0.001,,,1.2,5.9,5.1,10.1
07/01/2016,08:00,120,2.1,36.1,26.6,,,0.019,,0.003,0.001,,,0.6,3.9,8.1,10.2
07/01/2016,09:00,213,0.7,99.6,27.9,,,0.023,,0.002,0.001,,,1.0,3.2,7.5,6.5
07/01/2016,10:00,318,1.2,107.8,27.7,,,0.030,,0.002,0.002,9.0,,0.7,,5.8,3.6
07/01/2016,11:00,325,0.6,140.2,27.6,,,0.032,,0.003,0.001,6.8,1.9,0.9,1.1,6.9,2.6
07/01/2016,12:00,77,3.6,9.5,25.9,,,0.023,,0.001,0.001,11.6,3.1,0.8,0.3,5.2,2.8
07/01/2016,13:00,63,2.5,24.0,26.2,,,0.023,,0.001,0.001,9.3,1.1,1.1,1.4,7.6,3.2
07/01/2016,14:00,80,3.7,13.4,26.9,,,0.023,,0.001,0.001,12.3,3.1,1.1,1.4,11.9,5.5
07/01/2016,15:00,72,4.6,7.8,26.0,,,0.022,,0.001,0.001,12.2,3.3,1.2,0.3,8.3,3.4
07/01/2016,16:00,90,4.0,14.9,25.2,,,0.019,,0.001,0.001,5.9,0.4,1.1,0.4,6.3,3.7
07/01/2016,17:00,85,3.8,10.5,24.0,,,0.020,,0.001,0.000,10.3,3.0,1.0,3.2,10.1,4.2
07/01/2016,18:00,93,3.3,8.7,22.8,,,0.019,,0.001,0.001,20.6,6.4,1.3,0.9,9.5,6.0
07/01/2016,19:00,89,2.4,9.5,22.2,,,0.019,,0.001,0.001,19.7,5.6,0.7,3.7,8.3,5.8
07/01/2016,20:00,98,2.7,8.4,22.2,,,0.019,,0.001,0.001,21.7,7.0,0.7,4.7,5.5,6.0
07/01/2016,21:00,112,3.8,7.1,22.1,,,0.020,,0.001,0.001,22.0,6.1,0.7,4.2,5.6,6.3
07/01/2016,22:00,108,4.2,6.3,21.3,,,0.016,,0.001,0.001,16.6,5.4,1.2,2.5,4.6,5.2
07/01/2016,23:00,131,2.8,14.5,21.1,,,0.015,,0.002,0.001,15.4,4.5,1.1,3.8,6.0,5.8
08/01/2016,00:00,122,2.3,9.2,20.4,,,0.012,,0.002,0.001,14.3,5.0,0.6,4.2,1.3,5.5
08/01/2016,01:00,133,1.8,11.9,20.2,,,0.012,,0.002,0.001,12.0,3.5,0.8,5.6,3.4,5.6
08/01/2016,02:00,127,2.6,9.3,20.1,,,0.010,,0.002,0.001,11.2,3.0,1.2,5.8,10.3,7.0
08/01/2016,03:00,124,2.4,6.0,19.7,,,0.009,,0.002,0.001,14.4,4.7,0.9,5.2,6.5,6.4
08/01/2016,04:00,132,1.2,16.9,19.6,,,0.008,,0.003,0.001,18.6,5.9,1.0,5.2,4.4,7.1
08/01/2016,05:00,124,2.3,10.6,20.0,,,0.010,,0.002,0.000,4.2,2.1,0.7,4.1,2.7,6.8
08/01/2016,06:00,161,2.0,14.6,22.2,,,0.010,,0.002,0.001,9.6,2.4,0.5,5.3,2.5,5.9
08/01/2016,07:00,185,1.8,52.2,24.9,,,0.009,,0.006,0.001,11.5,3.8,0.9,4.9,5.9,6.0
08/01/2016,08:00,189,2.0,17.9,25.8,,,0.012,,0.006,0.000,7.6,2.9,0.9,5.8,5.1,3.9
08/01/2016,09:00,214,1.4,36.2,26.2,,,0.015,,0.004,0.001,10.3,3.4,0.8,4.7,5.7,1.6
08/01/2016,10:00,143,1.8,34.1,,,,,,0.003,,9.7,3.1,0.7,,,
08/01/2016,11:00,166,2.1,28.4,27.5,,,,,,,,,,,,
08/01/2016,12:00,80,2.1,52.0,25.6,,,0.027,,0.002,0.001,,,1.0,3.7,9.4,3.7
08/01/2016,13:00,84,3.6,19.5,26.4,,,0.025,,0.001,0.000,,,0.7,1.4,8.5,3.7
08/01/2016,14:00,106,4.0,16.5,26.4,,,0.023,,0.000,0.001,,,0.6,,6.9,3.7
08/01/2016,15:00,101,4.5,16.6,25.1,,,0.021,,0.001,0.001,,,1.0,3.8,8.4,3.8
08/01/2016,16:00,95,4.4,11.1,24.2,,,0.019,,0.001,0.001,,,0.7,1.3,8.0,3.4
08/01/2016,17:00,104,4.6,8.5,23.2,,,0.019,,0.000,0.002,,,0.9,1.6,5.6,4.1
08/01/2016,18:00,103,3.2,11.6,22.1,,,0.020,,0.001,0.001,,,0.9,3.0,6.6,4.6
08/01/2016,19:00,97,2.4,9.4,21.3,,,0.017,,0.001,0.001,,,1.2,2.8,7.4,4.4
08/01/2016,20:00,104,2.6,8.1,21.1,,,0.016,,0.001,0.002,,,0.9,4.5,3.9,4.7
08/01/2016,21:00,111,2.3,7.0,20.8,,,0.014,,0.002,0.001,,,0.7,5.6,4.8,4.9
08/01/2016,22:00,126,1.3,16.4,20.2,,,0.012,,0.004,0.001,,,1.0,5.6,4.5,6.1
08/01/2016,23:00,145,0.9,19.3,19.7,,,0.012,,0.003,0.001,,,0.6,5.3,3.3,5.9
09/01/2016,00:00,167,0.7,7.5,19.3,,,0.009,,0.006,0.001,,,1.0,6.0,4.0,6.3
09/01/2016,01:00,144,0.4,31.3,18.6,,,0.005,,0.007,0.001,,,0.9,6.2,4.7,8.0
09/01/2016,02:00,197,0.8,7.6,18.5,,,0.007,,0.007,0.001,,,1.4,6.5,7.8,7.8
09/01/2016,03:00,199,0.7,4.9,18.3,,,0.006,,0.007,0.000,,,1.2,6.1,8.8,7.9
09/01/2016,04:00,210,0.5,9.2,17.7,,,0.005,,0.008,0.001,,,1.3,6.1,7.1,6.9
09/01/2016,05:00,211,0.7,7.2,18.2,,,0.005,,0.009,0.002,,,1.2,6.5,9.0,7.3
09/01/2016,06:00,207,1.1,9.5,21.9,,,0.009,,0.007,0.002,,,1.3,9.4,10.9,6.3
09/01/2016,07:00,205,1.4,14.2,24.5,,,0.013,,0.003,0.001,,,0.7,6.3,7.6,4.1
09/01/2016,08:00,191,1.7,25.2,26.4,,,0.016,,0.002,0.000,,,1.2,5.5,7.0,4.5
09/01/2016,09:00,200,1.1,53.1,25.8,,,0.018,,0.002,0.000,,,0.6,2.6,4.3,4.0
09/01/2016,10:00,277,1.3,56.2,26.5,,,0.022,,0.002,0.001,,,0.9,1.1,5.8,1.5
09/01/2016,11:00,105,0.9,113.8,27.6,,,0.025,,0.002,0.001,,,1.0,,5.0,3.2
09/01/2016,12:00,70,0.8,131.2,28.5,,,0.023,,0.001,0.001,,,1.0,2.1,12.2,5.3
09/01/2016,13:00,57,2.6,72.8,26.6,,,0.023,,0.001,0.001,,,0.7,2.7,6.9,4.1
09/01/2016,14:00,67,3.9,15.3,26.0,,,0.020,,0.000,0.001,,,1.2,4.0,9.9,
09/01/2016,15:00,77,4.2,10.8,25.5,,,0.019,,0.000,0.000,,,0.6,3.5,4.9,3.4
09/01/2016,16:00,80,3.9,8.0,24.5,,,0.019,,0.001,0.001,,,0.4,3.1,5.9,4.0
09/01/2016,17:00,95,3.6,12.6,23.3,,,0.019,,0.001,0.001,,,1.2,1.3,7.2,3.7
09/01/2016,18:00,110,3.0,8.2,22.4,,,0.016,,0.001,0.001,,,1.5,4.9,7.7,3.9
09/01/2016,19:00,90,2.0,13.9,22.0,,,0.015,,0.001,0.001,,,1.1,6.1,7.1,5.2
09/01/2016,20:00,75,1.2,72.0,21.6,,,0.014,,0.001,0.001,,,0.9,5.1,7.3,5.3
09/01/2016,21:00,89,1.0,16.2,21.2,,,0.013,,0.001,0.001,,,1.1,4.6,7.0,5.7
09/01/2016,22:00,,0.0,136.0,20.4,,,0.010,,0.002,0.001,,,1.0,5.7,8.4,5.7
09/01/2016,23:00,95,0.6,75.4,19.8,,,0.006,,0.002,,,,1.1,5.5,6.1,7.6
10/01/2016,00:00,169,0.4,26.4,19.3,,,0.003,,0.006,0.001,,,1.1,5.2,6.6,8.7
10/01/2016,01:00,146,0.4,43.6,19.2,,,0.004,,0.007,0.000,,,0.8,6.6,3.2,9.9
10/01/2016,02:00,198,0.6,8.4,19.0,,,0.005,,0.006,0.002,9.2,3.6,0.9,6.3,6.2,9.8
10/01/2016,03:00,178,0.4,44.0,18.7,,,0.005,,0.005,0.000,8.6,4.7,0.6,5.8,4.3,9.4
10/01/2016,04:00,195,0.6,45.9,19.0,,,0.007,,0.004,0.001,11.6,5.9,0.8,6.3,5.0,10.0
10/01/2016,05:00,185,1.3,22.6,19.4,,,0.005,,0.005,0.001,10.4,7.8,0.8,6.4,4.3,10.6
10/01/2016,06:00,200,0.9,14.3,21.8,,,0.007,,0.004,0.001,10.3,6.1,0.9,5.3,3.1,8.2
10/01/2016,07:00,193,1.2,16.1,25.4,,,0.012,,0.003,0.001,10.2,4.6,0.9,4.6,7.1,7.5
10/01/2016,08:00,142,0.8,73.1,25.9,,,0.018,,0.002,0.002,8.7,3.9,1.0,3.2,12.0,7.5
