Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Carbon Monoxide (ppm)
01/01/2016,00:00,214,0.7,49.3,0.6,,,,
01/01/2016,01:00,224,0.4,54.5,0.3,0.006,0.008,0.013,0.2
01/01/2016,02:00,215,0.6,50.2,0.5,0.005,0.006,0.011,0.2
01/01/2016,03:00,264,0.4,62.4,0.3,0.007,0.005,0.011,0.2
01/01/2016,04:00,254,0.4,60.9,0.3,0.004,0.003,0.007,0.1
01/01/2016,05:00,279,0.3,61.7,0.3,0.009,0.006,0.014,0.2
01/01/2016,06:00,207,1.0,45.9,0.7,0.006,0.003,0.008,0.1
01/01/2016,07:00,192,1.7,35.8,0.9,0.002,0.000,0.002,0.1
01/01/2016,08:00,188,2.0,39.3,1.2,0.002,0.000,0.002,0.1
01/01/2016,09:00,183,2.0,33.1,1.1,0.003,0.000,0.003,0.2
01/01/2016,10:00,182,1.4,50.8,1.0,0.003,0.001,0.004,0.2
01/01/2016,11:00,184,1.0,61.4,0.9,0.005,0.001,0.006,0.1
01/01/2016,12:00,173,1.5,44.8,0.9,0.004,0.003,0.007,0.1
01/01/2016,13:00,190,0.7,88.4,0.8,0.004,0.003,0.007,0.0
01/01/2016,14:00,156,1.5,54.0,1.1,0.006,0.003,0.009,0.1
01/01/2016,15:00,125,2.8,31.0,1.2,0.008,0.003,0.011,0.1
01/01/2016,16:00,122,3.1,28.4,1.4,0.007,0.002,0.009,0.1
01/01/2016,17:00,118,2.3,29.1,1.1,0.007,0.005,0.011,0.1
01/01/2016,18:00,119,2.3,27.2,1.0,0.005,0.002,0.007,0.0
01/01/2016,19:00,119,1.5,37.0,0.8,0.007,0.005,0.012,0.1
01/01/2016,20:00,125,1.7,33.5,0.9,0.005,0.003,0.008,0.0
01/01/2016,21:00,142,1.2,39.1,0.8,0.005,0.005,0.009,0.1
01/01/2016,22:00,161,0.9,43.3,0.6,0.006,0.006,0.012,0.0
01/01/2016,23:00,216,0.6,47.8,0.4,0.001,0.004,0.005,0.0
02/01/2016,00:00,271,0.5,42.6,0.3,,,,
02/01/2016,01:00,264,0.3,59.0,0.2,0.002,0.006,0.008,0.2
02/01/2016,02:00,220,0.4,53.6,0.4,0.001,0.005,0.006,0.2
02/01/2016,03:00,225,0.5,44.5,0.3,0.002,0.003,0.005,0.2
02/01/2016,04:00,277,0.5,47.0,0.3,0.003,0.003,0.005,0.2
02/01/2016,05:00,259,0.5,45.6,0.3,0.006,0.003,0.009,0.2
02/01/2016,06:00,216,0.7,42.6,0.5,0.006,0.004,0.010,0.2
02/01/2016,07:00,190,1.4,41.5,0.8,0.006,0.002,0.007,0.3
02/01/2016,08:00,193,0.6,83.5,0.6,0.006,0.004,0.010,0.3
02/01/2016,09:00,297,0.2,87.5,0.5,0.009,0.007,0.016,0.3
02/01/2016,10:00,105,0.3,113.5,0.7,0.008,0.006,0.014,0.4
02/01/2016,11:00,55,0.8,66.7,0.8,0.007,0.008,0.015,0.4
02/01/2016,12:00,71,2.2,37.7,0.9,0.013,0.011,0.024,0.4
02/01/2016,13:00,82,2.7,32.2,1.0,0.009,0.005,0.014,0.4
02/01/2016,14:00,65,2.8,31.0,1.2,0.009,0.006,0.014,0.4
02/01/2016,15:00,74,2.7,31.3,1.2,0.009,0.005,0.014,0.4
02/01/2016,16:00,87,2.8,30.9,1.2,0.009,0.006,0.014,0.4
02/01/2016,17:00,96,2.3,30.9,0.9,0.010,0.006,0.016,0.4
02/01/2016,18:00,111,2.1,29.6,0.9,0.008,0.005,0.013,0.3
02/01/2016,19:00,111,1.9,28.5,0.8,0.008,0.004,0.011,0.3
02/01/2016,20:00,101,1.2,35.5,0.6,0.009,0.006,0.015,0.4
02/01/2016,21:00,114,1.1,29.4,0.5,0.009,0.006,0.015,0.3
02/01/2016,22:00,92,1.0,36.1,0.5,0.010,0.006,0.016,0.4
02/01/2016,23:00,149,1.1,37.8,0.7,0.005,0.004,0.009,0.3
03/01/2016,00:00,138,1.0,34.6,0.5,,,,
03/01/2016,01:00,164,0.9,48.0,0.5,0.002,0.002,0.004,0.1
03/01/2016,02:00,184,1.0,32.7,0.5,0.001,0.001,0.001,0.1
03/01/2016,03:00,191,1.0,29.2,0.5,0.001,0.000,0.001,0.1
03/01/2016,04:00,207,0.9,31.2,0.6,0.001,0.001,0.002,0.0
03/01/2016,05:00,214,0.8,30.2,0.4,0.001,0.001,0.002,0.1
03/01/2016,06:00,199,1.1,27.9,0.7,0.001,0.003,0.004,0.1
03/01/2016,07:00,211,0.7,48.7,0.6,0.004,0.003,0.007,0.1
03/01/2016,08:00,200,0.8,61.9,0.7,0.007,0.004,0.011,0.1
03/01/2016,09:00,136,0.7,63.9,0.6,0.016,0.009,0.025,0.3
03/01/2016,10:00,153,1.5,37.1,0.8,0.009,0.005,0.014,0.2
03/01/2016,11:00,109,1.6,42.3,0.8,0.009,0.006,0.015,0.3
03/01/2016,12:00,122,1.6,40.0,0.9,0.012,0.007,0.018,0.2
03/01/2016,13:00,101,1.7,36.0,0.9,0.012,0.006,0.018,0.3
03/01/2016,14:00,101,2.0,31.3,0.8,0.009,0.005,0.014,0.3
03/01/2016,15:00,112,2.0,34.1,0.9,0.009,0.006,0.015,0.3
03/01/2016,16:00,143,2.2,26.0,1.0,0.009,0.005,0.013,0.2
03/01/2016,17:00,150,2.4,25.1,1.1,0.008,0.005,0.013,0.2
03/01/2016,18:00,157,2.1,24.5,1.0,0.006,0.005,0.011,0.3
03/01/2016,19:00,174,1.3,39.9,0.8,0.004,0.006,0.009,0.2
03/01/2016,20:00,200,1.3,32.7,0.7,0.001,0.003,0.004,0.2
03/01/2016,21:00,201,1.7,26.6,0.8,0.001,0.001,0.002,0.2
03/01/2016,22:00,199,1.2,38.8,0.7,0.003,0.003,0.006,0.2
03/01/2016,23:00,181,0.7,59.0,0.6,0.002,0.003,0.005,0.2
04/01/2016,00:00,193,1.0,34.7,0.6,,,,
04/01/2016,01:00,223,0.6,45.7,0.4,0.001,0.002,0.003,0.1
04/01/2016,02:00,195,1.6,27.0,0.8,0.001,0.001,0.001,0.1
04/01/2016,03:00,207,0.7,48.0,0.5,0.001,0.001,0.002,0.1
04/01/2016,04:00,207,0.8,35.7,0.5,0.003,0.004,0.007,0.1
04/01/2016,05:00,201,0.7,42.5,0.4,0.014,0.007,0.021,0.2
04/01/2016,06:00,193,1.1,33.4,0.6,0.016,0.010,0.026,0.2
04/01/2016,07:00,193,1.6,23.5,0.7,0.014,0.008,0.021,0.2
04/01/2016,08:00,197,1.4,30.1,0.7,0.014,0.007,0.021,0.2
04/01/2016,09:00,191,1.3,41.9,0.8,0.015,0.008,0.022,0.2
04/01/2016,10:00,170,0.8,68.6,0.8,0.022,0.011,0.033,0.3
04/01/2016,11:00,122,0.9,53.5,0.7,0.030,0.018,0.048,0.5
04/01/2016,12:00,129,1.3,62.8,1.0,0.027,0.017,0.044,0.4
04/01/2016,13:00,328,0.4,48.1,0.3,0.020,0.014,0.033,0.4
04/01/2016,14:00,46,0.7,145.4,0.9,0.033,0.015,0.047,0.5
04/01/2016,15:00,50,2.1,29.8,0.9,0.034,0.016,0.049,0.5
04/01/2016,16:00,26,1.4,24.7,0.7,0.052,0.023,0.075,0.7
04/01/2016,17:00,27,0.8,172.4,0.5,0.057,0.023,0.079,0.9
04/01/2016,18:00,345,0.5,58.9,0.3,0.038,0.017,0.054,0.5
04/01/2016,19:00,318,0.2,75.8,0.3,0.016,0.014,0.030,0.4
04/01/2016,20:00,300,0.2,58.2,0.2,0.015,0.014,0.029,0.3
04/01/2016,21:00,303,0.2,57.5,0.3,0.012,0.011,0.023,0.3
04/01/2016,22:00,261,0.2,51.9,0.2,0.010,0.009,0.019,0.3
04/01/2016,23:00,209,0.4,32.9,0.3,0.005,0.008,0.013,0.2
05/01/2016,00:00,207,0.8,28.1,0.4,,,,
05/01/2016,01:00,249,0.4,41.0,0.3,0.001,0.005,0.006,0.2
05/01/2016,02:00,186,0.7,44.4,0.5,0.002,0.005,0.007,0.2
05/01/2016,03:00,130,1.1,31.2,0.6,0.003,0.003,0.006,0.1
05/01/2016,04:00,184,0.5,51.6,0.4,0.005,0.003,0.008,0.2
05/01/2016,05:00,150,0.2,98.1,0.5,0.026,0.008,0.033,0.3
05/01/2016,06:00,17,0.2,123.6,0.3,0.055,0.015,0.070,0.5
05/01/2016,07:00,93,1.5,30.9,0.7,0.061,0.023,0.084,0.5
05/01/2016,08:00,87,1.3,29.7,0.6,0.059,0.021,0.080,0.5
05/01/2016,09:00,105,1.8,29.8,0.9,0.032,0.015,0.046,0.3
05/01/2016,10:00,105,1.8,30.7,0.9,0.038,0.014,0.052,0.4
05/01/2016,11:00,135,1.3,42.8,0.7,0.034,0.014,0.048,0.3
05/01/2016,12:00,131,1.3,39.0,0.7,0.037,0.014,0.051,0.4
05/01/2016,13:00,115,1.0,49.5,0.6,0.039,0.014,0.053,0.4
05/01/2016,14:00,41,1.2,32.1,0.5,0.052,0.017,0.069,0.5
05/01/2016,15:00,89,0.9,35.7,0.4,0.068,0.023,0.090,0.8
05/01/2016,16:00,80,1.4,25.8,0.7,0.059,0.020,0.079,0.7
05/01/2016,17:00,64,2.0,22.0,0.7,0.040,0.017,0.057,0.6
05/01/2016,18:00,56,1.0,61.2,0.7,0.026,0.015,0.041,0.5
05/01/2016,19:00,148,0.3,74.6,0.4,0.020,0.011,0.031,0.4
05/01/2016,20:00,255,0.3,54.9,0.2,0.011,0.011,0.022,0.4
05/01/2016,21:00,268,0.5,41.6,0.3,0.007,0.009,0.015,0.3
05/01/2016,22:00,262,0.5,41.9,0.2,0.010,0.009,0.019,0.2
05/01/2016,23:00,268,0.4,52.0,0.3,0.009,0.007,0.016,0.3
06/01/2016,00:00,235,0.6,51.0,0.4,,,,
06/01/2016,01:00,205,0.4,60.9,0.4,0.004,0.003,0.007,0.2
06/01/2016,02:00,115,0.5,71.0,0.5,0.005,0.004,0.009,0.1
06/01/2016,03:00,249,0.3,67.5,0.3,0.003,0.004,0.007,0.1
06/01/2016,04:00,178,0.3,81.4,0.3,0.011,0.009,0.020,0.2
06/01/2016,05:00,276,0.4,38.3,0.2,0.012,0.007,0.019,0.2
06/01/2016,06:00,281,0.6,42.1,0.3,0.019,0.007,0.026,0.3
06/01/2016,07:00,279,0.5,58.2,0.5,0.020,0.011,0.031,0.9
06/01/2016,08:00,271,0.7,55.2,0.6,0.016,0.010,0.026,0.4
06/01/2016,09:00,270,0.4,76.3,0.6,0.019,0.011,0.030,0.3
06/01/2016,10:00,272,0.5,72.7,0.7,0.014,0.011,0.025,0.3
06/01/2016,11:00,287,0.5,72.4,0.5,0.016,0.014,0.030,0.3
06/01/2016,12:00,276,0.6,71.1,0.6,0.014,0.012,0.025,0.3
06/01/2016,13:00,283,0.6,73.8,0.7,0.013,0.011,0.024,0.3
06/01/2016,14:00,280,0.4,83.7,0.6,0.015,0.015,0.029,0.5
06/01/2016,15:00,287,0.5,74.4,0.6,0.027,0.018,0.045,0.6
06/01/2016,16:00,283,0.5,79.1,0.6,0.027,0.023,0.050,0.8
06/01/2016,17:00,266,0.4,79.9,0.5,0.020,0.019,0.039,0.6
06/01/2016,18:00,318,0.3,76.2,0.4,0.011,0.018,0.028,0.4
06/01/2016,19:00,188,0.3,97.5,0.5,0.005,0.013,0.018,0.3
06/01/2016,20:00,133,1.2,34.6,0.6,0.011,0.014,0.025,0.3
06/01/2016,21:00,125,1.4,25.4,0.6,0.010,0.008,0.017,0.3
06/01/2016,22:00,137,0.9,30.5,0.4,0.011,0.010,0.021,0.3
06/01/2016,23:00,132,0.6,34.0,0.3,0.007,0.007,0.014,0.2
07/01/2016,00:00,169,0.3,64.2,0.3,,,,
07/01/2016,01:00,257,0.3,49.1,0.2,0.000,0.005,0.005,0.2
07/01/2016,02:00,233,0.5,42.3,0.3,0.000,0.003,0.003,0.1
07/01/2016,03:00,273,0.5,37.8,0.3,0.001,0.003,0.004,0.1
07/01/2016,04:00,293,0.5,26.6,0.2,0.006,0.010,0.016,0.1
07/01/2016,05:00,265,0.4,37.9,0.2,0.020,0.011,0.031,0.2
07/01/2016,06:00,206,0.7,39.8,0.5,0.031,0.008,0.039,0.3
07/01/2016,07:00,200,0.9,46.0,0.6,0.020,0.011,0.030,0.3
07/01/2016,08:00,171,0.9,63.5,0.7,0.022,0.014,0.036,0.3
07/01/2016,09:00,126,0.8,73.9,0.7,0.021,0.014,0.035,0.2
07/01/2016,10:00,76,0.2,118.5,0.7,0.020,0.017,0.037,0.2
07/01/2016,11:00,68,1.3,59.0,1.1,0.033,0.024,0.056,0.4
07/01/2016,12:00,46,2.3,33.0,1.0,0.035,0.023,0.058,0.4
07/01/2016,13:00,79,1.9,41.5,0.9,0.029,0.019,0.048,0.3
07/01/2016,14:00,57,2.6,31.6,1.1,0.033,0.016,0.049,0.3
07/01/2016,15:00,63,2.9,27.4,1.2,0.035,0.022,0.056,0.4
07/01/2016,16:00,74,2.6,29.1,1.0,0.032,0.019,0.051,0.4
07/01/2016,17:00,78,2.6,28.9,1.0,0.030,0.017,0.047,0.4
07/01/2016,18:00,107,2.3,27.7,1.1,0.015,0.011,0.026,0.2
07/01/2016,19:00,90,2.0,30.2,0.9,0.009,0.006,0.015,0.2
07/01/2016,20:00,101,2.1,30.2,0.8,0.009,0.005,0.014,0.1
07/01/2016,21:00,133,1.9,28.2,0.9,0.008,0.005,0.013,0.1
07/01/2016,22:00,123,1.8,32.2,1.0,0.005,0.004,0.009,0.1
07/01/2016,23:00,143,1.3,34.7,0.7,0.005,0.003,0.008,0.0
08/01/2016,00:00,152,2.1,21.4,0.9,,,,
08/01/2016,01:00,152,1.3,29.6,0.7,0.002,0.001,0.003,0.1
08/01/2016,02:00,157,1.1,35.6,0.6,0.003,0.002,0.004,0.0
08/01/2016,03:00,200,0.5,52.8,0.4,0.002,0.002,0.003,0.1
08/01/2016,04:00,182,0.5,38.0,0.4,0.004,0.005,0.009,0.1
08/01/2016,05:00,165,1.0,32.3,0.5,0.029,0.011,0.039,0.2
08/01/2016,06:00,193,1.0,35.2,0.6,0.018,0.011,0.029,0.2
08/01/2016,07:00,180,1.4,38.9,0.7,0.021,0.007,0.028,0.2
08/01/2016,08:00,186,1.0,40.8,0.6,0.022,0.009,0.031,0.2
08/01/2016,09:00,286,0.3,77.9,0.4,0.017,0.011,0.028,0.3
08/01/2016,10:00,296,0.4,62.0,0.4,0.012,0.011,0.023,0.2
08/01/2016,11:00,224,0.4,75.8,0.5,0.015,0.015,0.030,0.3
08/01/2016,12:00,80,0.4,96.0,0.7,0.022,0.020,0.041,0.3
08/01/2016,13:00,78,2.0,37.8,0.9,0.040,0.020,0.059,0.3
08/01/2016,14:00,57,2.5,31.9,1.2,0.031,0.023,0.054,0.3
08/01/2016,15:00,81,2.5,32.2,1.0,0.032,0.016,0.048,0.4
08/01/2016,16:00,109,2.3,31.8,1.1,0.028,0.015,0.042,0.3
08/01/2016,17:00,114,2.6,30.7,1.1,0.028,0.014,0.041,0.3
08/01/2016,18:00,115,2.5,25.2,1.1,0.015,0.008,0.023,0.2
08/01/2016,19:00,112,1.6,30.5,0.7,0.013,0.010,0.022,0.2
08/01/2016,20:00,112,0.8,38.7,0.4,0.019,0.014,0.032,0.3
08/01/2016,21:00,118,0.9,31.4,0.5,0.015,0.012,0.027,0.3
08/01/2016,22:00,141,0.7,36.4,0.4,0.023,0.013,0.036,0.3
08/01/2016,23:00,190,0.5,55.8,0.3,0.007,0.010,0.016,0.2
09/01/2016,00:00,231,0.5,35.1,0.3,,,,
09/01/2016,01:00,249,0.5,31.5,0.2,0.002,0.008,0.010,0.2
09/01/2016,02:00,241,0.4,48.0,0.2,0.003,0.010,0.013,0.1
09/01/2016,03:00,231,0.4,56.0,0.3,0.005,0.008,0.013,0.1
09/01/2016,04:00,200,0.5,38.4,0.3,0.005,0.008,0.013,0.1
09/01/2016,05:00,239,0.5,45.1,0.3,0.029,0.012,0.041,0.2
09/01/2016,06:00,267,0.6,43.6,0.3,0.013,0.007,0.020,0.2
09/01/2016,07:00,207,0.8,46.1,0.6,0.015,0.008,0.023,0.3
09/01/2016,08:00,202,0.8,59.9,0.7,0.008,0.005,0.012,0.2
09/01/2016,09:00,202,0.1,124.1,0.5,0.012,0.007,0.018,0.3
09/01/2016,10:00,195,0.6,66.4,0.7,0.010,0.009,0.018,0.3
09/01/2016,11:00,256,0.1,117.8,0.5,0.013,0.012,0.024,0.3
09/01/2016,12:00,90,0.7,85.2,0.9,0.012,0.016,0.028,0.4
09/01/2016,13:00,58,2.0,37.7,1.0,0.014,0.016,0.030,0.4
09/01/2016,14:00,60,2.5,30.4,1.0,0.014,0.011,0.024,0.4
09/01/2016,15:00,77,2.8,29.3,1.3,0.011,0.005,0.016,0.3
09/01/2016,16:00,79,2.8,29.8,1.2,0.013,0.007,0.020,0.3
09/01/2016,17:00,84,2.1,39.4,1.1,0.013,0.008,0.021,0.4
09/01/2016,18:00,110,2.1,32.4,1.0,0.009,0.007,0.016,0.3
09/01/2016,19:00,114,1.8,32.9,0.8,0.010,0.006,0.016,0.3
09/01/2016,20:00,79,1.2,35.4,0.5,0.011,0.008,0.019,0.3
09/01/2016,21:00,120,1.3,28.5,0.5,0.010,0.007,0.017,0.3
09/01/2016,22:00,119,1.0,30.3,0.4,0.010,0.007,0.017,0.3
09/01/2016,23:00,144,0.8,30.7,0.4,0.007,0.008,0.014,0.2
10/01/2016,00:00,185,0.6,41.7,0.3,,,,
10/01/2016,01:00,252,0.4,38.9,0.2,0.001,0.004,0.004,0.2
10/01/2016,02:00,223,0.6,26.5,0.3,0.003,0.007,0.010,0.1
10/01/2016,03:00,253,0.5,44.9,0.2,0.002,0.005,0.006,0.1
10/01/2016,04:00,197,0.8,29.2,0.3,0.004,0.005,0.009,0.1
10/01/2016,05:00,221,0.8,33.7,0.4,0.005,0.008,0.012,0.1
10/01/2016,06:00,183,1.2,22.7,0.5,0.006,0.006,0.011,0.1
10/01/2016,07:00,250,0.2,86.2,0.4,0.007,0.005,0.012,0.2
10/01/2016,08:00,315,0.4,76.1,0.4,0.007,0.003,0.009,0.2
10/01/2016,09:00,235,0.2,88.9,0.4,0.006,0.004,0.010,0.2
10/01/2016,10:00,201,0.5,80.0,0.6,0.005,0.004,0.009,0.2
10/01/2016,11:00,282,0.4,74.9,0.5,0.004,0.005,0.009,0.2
10/01/2016,12:00,108,0.7,108.7,1.1,0.009,0.008,0.017,0.2
10/01/2016,13:00,71,2.4,31.0,1.1,0.013,0.012,0.025,0.3
10/01/2016,14:00,79,2.7,29.7,1.0,0.011,0.007,0.018,0.3
10/01/2016,15:00,88,2.3,32.0,1.0,0.011,0.007,0.018,0.3
10/01/2016,16:00,80,2.4,33.6,1.1,0.011,0.008,0.019,0.3
10/01/2016,17:00,99,2.4,27.7,1.0,0.010,0.006,0.016,0.2
10/01/2016,18:00,93,2.4,29.9,1.0,0.011,0.007,0.017,0.2
10/01/2016,19:00,86,1.9,27.5,0.9,0.009,0.007,0.016,0.2
10/01/2016,20:00,89,1.1,35.6,0.5,0.015,0.010,0.024,0.2
10/01/2016,21:00,118,1.1,29.4,0.5,0.011,0.006,0.016,0.2
10/01/2016,22:00,121,1.1,26.8,0.5,0.009,0.006,0.014,0.2
10/01/2016,23:00,117,0.9,26.4,0.4,0.006,0.005,0.011,0.2
11/01/2016,00:00,164,0.7,29.8,0.3,,,,
11/01/2016,01:00,206,0.3,52.7,0.2,0.001,0.005,0.006,0.2
11/01/2016,02:00,235,0.5,38.8,0.2,0.000,0.003,0.003,0.1
11/01/2016,03:00,246,0.4,38.9,0.2,0.002,0.008,0.010,0.1
11/01/2016,04:00,252,0.5,32.6,0.2,0.004,0.009,0.013,0.1
11/01/2016,05:00,235,0.5,34.5,0.2,0.018,0.012,0.029,0.2
11/01/2016,06:00,198,0.7,35.9,0.4,0.028,0.012,0.040,0.2
11/01/2016,07:00,197,0.7,64.4,0.6,0.030,0.011,0.041,0.4
11/01/2016,08:00,89,0.6,75.1,0.5,0.055,0.022,0.077,0.4
11/01/2016,09:00,95,0.8,67.1,0.6,0.036,0.014,0.050,0.3
11/01/2016,10:00,54,1.3,54.4,0.9,0.037,0.017,0.054,0.3
11/01/2016,11:00,55,1.4,49.8,1.0,0.035,0.025,0.060,0.4
11/01/2016,12:00,39,1.4,60.4,1.0,0.025,0.019,0.043,0.3
11/01/2016,13:00,46,1.6,53.0,1.0,0.027,0.020,0.046,0.3
11/01/2016,14:00,60,2.5,33.6,1.1,0.033,0.025,0.058,0.4
11/01/2016,15:00,67,2.8,27.6,1.1,0.034,0.018,0.051,0.5
11/01/2016,16:00,48,2.8,24.7,1.0,0.032,0.017,0.049,0.5
11/01/2016,17:00,50,2.5,27.3,1.0,0.039,0.014,0.053,0.5
11/01/2016,18:00,53,2.5,22.0,1.0,0.020,0.012,0.032,0.3
11/01/2016,19:00,44,2.0,24.8,0.8,0.016,0.010,0.025,0.3
11/01/2016,20:00,37,1.8,28.9,0.9,0.016,0.007,0.023,0.2
11/01/2016,21:00,41,1.9,20.9,0.7,0.013,0.005,0.018,0.2
11/01/2016,22:00,46,1.3,24.9,0.6,0.013,0.007,0.019,0.2
11/01/2016,23:00,40,1.2,23.1,0.5,0.008,0.005,0.013,0.2
12/01/2016,00:00,19,0.8,156.3,0.5,,,,
12/01/2016,01:00,341,0.5,44.3,0.4,0.002,0.001,0.003,0.1
12/01/2016,02:00,305,0.4,37.7,0.3,0.003,0.003,0.005,0.1
12/01/2016,03:00,312,0.4,39.6,0.3,0.003,0.003,0.006,0.1
12/01/2016,04:00,304,0.4,40.4,0.2,0.006,0.005,0.011,0.1
12/01/2016,05:00,301,0.3,49.5,0.2,0.034,0.011,0.045,0.3
12/01/2016,06:00,309,0.5,49.8,0.3,0.038,0.009,0.047,0.3
12/01/2016,07:00,335,0.7,43.0,0.5,0.042,0.012,0.054,0.3
12/01/2016,08:00,12,1.1,173.0,0.8,0.049,0.016,0.065,0.4
12/01/2016,09:00,350,0.7,54.5,0.6,0.028,0.013,0.041,0.3
12/01/2016,10:00,355,0.6,70.2,0.6,0.026,0.018,0.044,0.3
12/01/2016,11:00,24,1.4,164.4,1.0,0.022,0.017,0.039,0.3
12/01/2016,12:00,42,2.0,37.7,0.9,0.028,0.020,0.048,0.4
12/01/2016,13:00,36,2.2,34.4,1.0,0.027,0.020,0.047,0.3
12/01/2016,14:00,34,2.7,26.7,1.1,0.029,0.019,0.047,0.4
12/01/2016,15:00,43,3.1,27.1,1.2,0.035,0.017,0.052,0.5
12/01/2016,16:00,33,3.3,26.8,1.3,0.034,0.016,0.050,0.5
12/01/2016,17:00,40,2.6,26.1,1.2,0.034,0.016,0.050,0.5
12/01/2016,18:00,38,2.5,25.9,1.2,0.023,0.009,0.032,0.4
12/01/2016,19:00,38,2.2,24.7,0.9,0.016,0.006,0.022,0.3
12/01/2016,20:00,32,2.1,26.2,1.0,0.015,0.005,0.020,0.3
12/01/2016,21:00,38,1.6,27.0,0.7,0.014,0.006,0.019,0.3
12/01/2016,22:00,31,1.2,36.0,0.6,0.011,0.005,0.016,0.2
12/01/2016,23:00,17,1.6,29.0,0.8,0.005,0.004,0.009,0.2
13/01/2016,00:00,12,1.2,178.1,0.8,,,,
13/01/2016,01:00,6,0.8,175.2,0.6,0.001,0.002,0.003,0.1
13/01/2016,02:00,355,0.6,43.2,0.5,0.003,0.002,0.004,0.0
13/01/2016,03:00,57,0.9,33.9,0.4,0.009,0.004,0.013,0.1
13/01/2016,04:00,62,0.9,23.8,0.3,0.018,0.006,0.024,0.2
13/01/2016,05:00,59,0.8,29.2,0.3,0.070,0.015,0.085,0.5
13/01/2016,06:00,35,1.3,36.2,0.7,0.067,0.018,0.085,0.5
13/01/2016,07:00,22,1.9,32.7,0.9,0.053,0.017,0.070,0.4
13/01/2016,08:00,45,1.7,43.2,1.0,0.059,0.019,0.078,0.4
13/01/2016,09:00,48,1.3,49.8,0.8,0.038,0.018,0.056,0.3
13/01/2016,10:00,60,1.1,57.5,0.9,0.031,0.020,0.051,0.3
13/01/2016,11:00,61,1.8,43.9,1.1,0.035,0.023,0.058,0.2
13/01/2016,12:00,54,2.2,40.3,1.1,0.036,0.023,0.059,0.3
13/01/2016,13:00,57,2.2,42.6,1.1,0.028,0.015,0.043,0.2
13/01/2016,14:00,69,2.4,32.8,1.0,0.040,0.024,0.064,0.4
13/01/2016,15:00,68,2.5,29.7,1.0,0.045,0.020,0.065,0.4
13/01/2016,16:00,69,2.4,28.6,1.0,0.042,0.023,0.065,0.5
13/01/2016,17:00,50,2.2,28.5,0.9,0.039,0.021,0.060,0.5
13/01/2016,18:00,62,2.0,26.0,0.7,0.028,0.012,0.040,0.4
13/01/2016,19:00,67,1.8,21.8,0.6,0.019,0.012,0.031,0.3
13/01/2016,20:00,56,1.6,25.3,0.6,0.021,0.008,0.029,0.3
13/01/2016,21:00,51,1.3,24.4,0.5,0.017,0.010,0.027,0.2
13/01/2016,22:00,58,1.0,27.2,0.4,0.017,0.010,0.027,0.2
13/01/2016,23:00,103,0.6,34.8,0.3,0.016,0.008,0.023,0.2
14/01/2016,00:00,127,0.6,24.5,0.2,,,,
14/01/2016,01:00,80,0.4,52.5,0.2,0.006,0.005,0.011,0.2
14/01/2016,02:00,180,0.2,70.2,0.2,0.005,0.007,0.012,0.1
14/01/2016,03:00,268,0.4,58.4,0.2,0.011,0.007,0.018,0.1
14/01/2016,04:00,213,0.3,53.3,0.2,0.022,0.008,0.030,0.1
14/01/2016,05:00,247,0.4,44.5,0.3,0.032,0.009,0.040,0.2
14/01/2016,06:00,209,0.5,49.1,0.3,0.036,0.010,0.046,0.4
14/01/2016,07:00,266,0.4,61.6,0.3,0.041,0.013,0.054,0.4
14/01/2016,08:00,37,0.5,129.5,0.8,0.048,0.017,0.065,0.4
14/01/2016,09:00,21,0.8,179.4,0.7,0.034,0.016,0.049,0.3
14/01/2016,10:00,42,2.1,39.7,1.1,0.030,0.012,0.042,0.2
14/01/2016,11:00,41,1.9,43.6,1.1,0.032,0.015,0.047,0.3
14/01/2016,12:00,52,2.0,43.9,1.2,0.029,0.017,0.046,0.2
14/01/2016,13:00,48,2.0,40.7,1.1,0.033,0.016,0.048,0.3
14/01/2016,14:00,48,2.2,40.8,1.2,0.034,0.015,0.048,0.3
14/01/2016,15:00,63,2.8,26.4,1.0,0.037,0.017,0.053,0.4
14/01/2016,16:00,56,2.7,26.3,1.0,0.044,0.017,0.061,0.5
14/01/2016,17:00,45,2.5,28.7,1.0,0.040,0.017,0.056,0.5
14/01/2016,18:00,33,2.3,29.4,1.1,0.027,0.010,0.037,0.3
14/01/2016,19:00,19,2.0,27.6,1.1,0.011,0.006,0.017,0.2
14/01/2016,20:00,33,2.0,26.2,0.8,0.013,0.006,0.019,0.3
14/01/2016,21:00,28,1.8,26.4,0.9,0.014,0.006,0.019,0.3
14/01/2016,22:00,15,1.6,31.1,0.9,0.006,0.004,0.010,0.2
14/01/2016,23:00,348,1.0,39.0,0.7,0.003,0.004,0.006,0.1
15/01/2016,00:00,330,0.8,33.7,0.5,,,,
15/01/2016,01:00,330,0.6,39.6,0.5,0.001,0.002,0.002,0.1
15/01/2016,02:00,313,0.5,40.3,0.4,0.001,0.003,0.003,0.1
15/01/2016,03:00,293,0.3,37.9,0.2,0.007,0.006,0.013,0.1
15/01/2016,04:00,282,0.3,48.1,0.2,0.007,0.006,0.013,0.2
15/01/2016,05:00,264,0.5,45.6,0.3,0.023,0.009,0.031,0.2
