Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),PM10 (ug/m^3),Visibility-reducing Particles (Mm^-1)
01/01/2016,00:00,191,0.7,50.2,0.6,18.6,67.5,,,,,,,,13.5,
01/01/2016,01:00,266,0.4,47.0,0.3,17.6,72.6,,,0.005,0.004,0.010,0.013,0.001,14.6,18
01/01/2016,02:00,224,1.1,29.8,0.3,17.5,74.8,,,0.010,0.001,0.004,0.005,0.001,15.1,18
01/01/2016,03:00,194,1.7,16.2,0.6,19.1,67.6,,,0.015,0.001,0.001,0.002,0.001,12.4,15
01/01/2016,04:00,206,0.4,72.7,0.4,18.1,71.7,,,0.012,0.001,0.002,0.003,0.001,13.2,16
01/01/2016,05:00,238,0.3,87.1,0.5,17.7,75.1,,,0.008,0.002,0.005,0.006,0.001,17.0,17
01/01/2016,06:00,299,0.3,99.0,0.4,19.5,70.3,,,0.009,0.003,0.004,0.006,0.001,17.0,17
01/01/2016,07:00,211,1.8,30.5,1.0,23.1,54.1,,,0.016,0.001,0.000,0.001,0.000,13.0,15
01/01/2016,08:00,179,1.5,48.9,1.2,25.2,44.7,,,0.019,0.000,0.000,0.000,0.001,10.7,13
01/01/2016,09:00,138,1.3,44.5,0.9,26.4,40.8,,,0.020,0.001,0.001,0.001,0.001,19.5,14
01/01/2016,10:00,209,2.5,34.2,1.4,26.9,37.9,,,0.020,0.001,0.000,0.001,0.001,65.5,21
01/01/2016,11:00,201,1.4,55.6,1.2,28.1,35.0,,,0.020,0.000,0.001,0.001,0.000,15.6,12
01/01/2016,12:00,199,1.1,87.5,1.4,28.6,34.1,,,0.021,0.001,0.000,0.001,0.001,13.9,12
01/01/2016,13:00,135,0.8,72.1,1.0,29.8,31.8,,,0.022,0.001,0.000,0.001,0.001,15.7,12
01/01/2016,14:00,159,1.1,56.7,1.0,30.3,29.7,,,0.023,0.000,0.001,0.001,0.001,11.9,12
01/01/2016,15:00,136,0.8,59.2,0.7,30.2,29.2,,,0.023,0.001,0.000,0.001,0.001,11.9,11
01/01/2016,16:00,112,1.0,47.5,1.0,30.1,29.5,,,0.024,0.001,0.000,0.001,0.001,18.5,12
01/01/2016,17:00,74,3.0,16.9,1.0,27.7,41.1,,,0.027,0.001,0.003,0.004,0.001,41.0,20
01/01/2016,18:00,67,2.9,17.9,0.9,25.3,46.9,,,0.023,0.001,0.003,0.004,0.001,28.5,22
01/01/2016,19:00,66,2.4,14.4,0.7,23.7,51.1,,,0.019,0.001,0.003,0.004,0.001,26.0,24
01/01/2016,20:00,69,2.1,13.9,0.7,22.6,55.2,,,0.016,0.002,0.004,0.006,0.001,26.1,24
01/01/2016,21:00,64,1.0,20.4,0.4,21.5,58.4,,,0.014,0.001,0.006,0.007,0.001,24.8,26
01/01/2016,22:00,76,0.9,22.6,0.4,20.1,64.1,,,0.013,0.001,0.007,0.008,0.001,21.3,23
01/01/2016,23:00,88,0.7,34.7,0.4,19.1,69.3,,,0.008,0.002,0.010,0.011,0.001,20.7,24
02/01/2016,00:00,164,0.3,35.1,0.2,18.0,73.8,,,,,,,,17.1,
02/01/2016,01:00,210,0.1,70.6,0.1,17.6,75.8,,,0.005,0.001,0.009,0.010,0.001,17.0,21
02/01/2016,02:00,186,0.2,67.3,0.2,16.8,79.8,,,0.004,0.003,0.009,0.012,0.001,15.8,22
02/01/2016,03:00,219,0.7,32.0,0.4,16.7,80.5,,,0.007,0.001,0.006,0.007,0.001,18.0,22
02/01/2016,04:00,208,0.2,123.0,0.3,16.1,83.1,,,0.005,0.002,0.007,0.008,0.001,14.9,22
02/01/2016,05:00,311,0.1,98.3,0.2,16.0,83.7,,,0.002,0.010,0.007,0.017,0.001,16.1,21
02/01/2016,06:00,236,0.7,47.9,0.6,19.5,71.5,,,0.011,0.004,0.004,0.008,0.000,22.2,22
02/01/2016,07:00,246,1.3,29.8,0.5,22.2,61.8,,,0.017,0.002,0.001,0.003,0.001,22.6,21
02/01/2016,08:00,285,0.5,74.2,0.5,25.0,51.0,,,0.020,0.001,0.001,0.002,0.001,13.1,19
02/01/2016,09:00,299,0.5,92.2,0.6,26.6,41.3,,,0.023,0.001,0.002,0.003,0.001,8.4,15
02/01/2016,10:00,269,0.3,95.1,0.7,27.5,37.1,,,0.025,0.001,0.001,0.002,0.001,6.6,14
02/01/2016,11:00,258,0.6,115.3,0.9,29.4,31.8,,,0.027,0.001,0.001,0.002,0.001,11.0,14
02/01/2016,12:00,136,0.5,87.5,1.0,31.0,28.3,,,0.023,0.001,0.000,0.001,0.001,,12
02/01/2016,13:00,129,0.9,66.9,0.9,32.2,26.8,,,0.021,0.001,0.000,0.001,0.001,14.6,12
02/01/2016,14:00,75,2.1,56.7,1.9,32.1,28.2,,,0.030,0.001,0.002,0.002,0.001,26.1,15
02/01/2016,15:00,59,4.1,17.8,1.3,29.6,35.6,,,0.036,0.001,0.003,0.004,0.001,33.6,18
02/01/2016,16:00,73,3.9,17.9,1.3,28.4,40.1,,,0.030,0.002,0.003,0.005,0.001,33.6,18
02/01/2016,17:00,83,3.7,17.7,1.3,26.3,47.8,,,0.026,0.002,0.004,0.005,0.001,36.0,22
02/01/2016,18:00,82,3.5,17.8,1.2,24.6,55.2,,,0.023,0.002,0.003,0.005,0.001,28.7,23
02/01/2016,19:00,79,3.1,16.3,1.1,23.5,59.4,,,0.019,0.001,0.003,0.004,0.001,25.4,24
02/01/2016,20:00,76,2.7,15.1,0.9,22.9,62.5,,,0.019,0.001,0.003,0.004,0.001,24.8,23
02/01/2016,21:00,79,2.3,17.3,0.8,22.7,64.2,,,0.017,0.001,0.004,0.005,0.001,23.6,25
02/01/2016,22:00,82,2.2,17.1,0.8,22.3,64.0,,,0.018,0.001,0.003,0.004,0.001,17.6,23
02/01/2016,23:00,109,0.7,31.3,0.5,22.0,64.5,,,0.017,0.000,0.003,0.003,0.001,17.6,22
03/01/2016,00:00,189,0.3,72.9,0.3,21.9,64.5,,,,,,,,18.7,
03/01/2016,01:00,193,0.6,27.9,0.4,21.9,64.6,,,0.016,0.001,0.002,0.003,0.001,20.2,24
03/01/2016,02:00,144,0.4,41.5,0.3,21.5,66.9,,,0.015,0.000,0.002,0.002,0.001,18.6,24
03/01/2016,03:00,170,0.3,39.6,0.3,21.1,68.5,,,0.013,0.000,0.003,0.003,0.001,18.6,22
03/01/2016,04:00,129,0.3,47.2,0.2,20.9,69.5,,,0.014,0.000,0.003,0.003,0.001,17.3,21
03/01/2016,05:00,190,0.8,18.6,0.4,20.6,71.7,,,0.012,0.001,0.003,0.003,0.001,19.5,20
03/01/2016,06:00,180,0.7,31.5,0.4,20.9,72.2,,,0.013,0.001,0.001,0.002,0.001,17.8,20
03/01/2016,07:00,151,0.6,33.0,0.4,21.6,71.0,,,0.015,0.001,0.001,0.002,0.001,16.7,18
03/01/2016,08:00,137,0.9,40.9,0.6,23.3,62.0,,,0.017,0.001,0.001,0.001,0.001,13.0,16
03/01/2016,09:00,86,0.8,41.1,0.5,23.8,61.1,,,0.018,0.001,0.001,0.002,0.001,15.8,16
03/01/2016,10:00,97,0.9,44.5,0.6,24.8,58.9,,,0.018,0.001,0.001,0.002,0.001,19.4,16
03/01/2016,11:00,78,2.4,23.7,1.0,25.8,54.6,,,0.021,0.002,0.002,0.004,0.001,12.1,15
03/01/2016,12:00,91,2.2,27.5,1.1,26.6,52.2,,,0.024,0.002,0.002,0.004,0.001,18.5,15
03/01/2016,13:00,89,2.3,22.9,1.0,26.9,51.3,,,0.025,0.001,0.002,0.003,0.001,17.7,16
03/01/2016,14:00,108,1.7,29.5,0.8,26.7,53.5,,,0.026,0.001,0.002,0.003,0.001,22.5,15
03/01/2016,15:00,133,1.3,32.6,0.9,26.0,58.5,,,0.023,0.001,0.001,0.002,0.001,19.5,16
03/01/2016,16:00,122,1.5,30.1,0.9,24.4,67.1,,,0.020,0.001,0.002,0.002,0.000,26.8,13
03/01/2016,17:00,123,1.4,29.2,0.8,22.5,79.9,,,0.015,0.001,0.001,0.002,0.001,17.9,12
03/01/2016,18:00,127,1.1,43.1,1.0,21.5,84.6,,,0.014,0.001,0.002,0.002,0.001,10.8,9
03/01/2016,19:00,206,1.2,24.5,0.7,20.9,90.5,,,0.012,0.001,0.002,0.003,0.001,12.1,7
03/01/2016,20:00,200,2.5,15.6,0.9,19.9,92.5,,,0.014,0.001,0.002,0.003,0.000,,6
03/01/2016,21:00,187,1.0,32.5,0.7,19.5,94.1,,,0.013,0.000,0.002,0.002,0.001,6.1,7
03/01/2016,22:00,126,0.9,56.1,0.8,19.4,94.7,,,0.014,0.001,0.002,0.002,0.001,4.8,7
03/01/2016,23:00,124,0.2,93.3,0.4,19.3,94.3,,,0.013,0.001,0.002,0.002,0.001,2.7,5
04/01/2016,00:00,210,0.8,43.4,0.4,19.1,94.4,,,,,,,,7.4,
04/01/2016,01:00,212,1.3,23.2,0.6,18.9,94.7,,,0.011,0.001,0.002,0.003,0.000,1.3,7
04/01/2016,02:00,216,0.9,17.5,0.4,18.5,94.2,,,0.013,0.000,0.002,0.002,0.001,1.1,7
04/01/2016,03:00,202,1.6,16.5,0.6,18.3,93.8,,,0.012,0.000,0.003,0.003,0.001,4.9,8
04/01/2016,04:00,223,1.2,27.9,0.6,18.1,92.6,,,0.014,0.000,0.002,0.002,0.001,3.2,8
04/01/2016,05:00,224,1.1,24.0,0.4,18.4,90.3,,,0.013,0.001,0.003,0.003,0.001,5.7,7
04/01/2016,06:00,212,1.2,18.8,0.5,19.2,86.3,,,0.012,0.002,0.004,0.005,0.000,8.5,7
04/01/2016,07:00,228,1.1,27.9,0.4,20.2,81.4,,,0.013,0.002,0.003,0.004,0.001,10.0,6
04/01/2016,08:00,226,1.1,39.4,0.6,21.6,75.0,,,0.015,0.001,0.001,0.002,0.001,7.4,6
04/01/2016,09:00,263,0.3,88.7,0.5,23.9,66.9,,,0.017,0.001,0.002,0.003,0.000,11.6,6
04/01/2016,10:00,67,0.9,84.5,1.0,26.4,60.8,,,0.020,0.002,0.002,0.004,0.000,15.4,6
04/01/2016,11:00,68,1.8,31.8,0.9,27.6,56.4,,,0.020,0.003,0.002,0.005,0.000,,6
04/01/2016,12:00,74,1.7,28.1,0.7,28.0,52.2,,,0.021,0.004,0.004,0.008,0.001,,5
04/01/2016,13:00,51,2.1,28.3,0.9,26.2,62.6,,,0.024,0.006,0.007,0.012,0.001,9.6,7
04/01/2016,14:00,27,1.8,32.8,1.0,24.7,68.6,,,0.022,0.003,0.004,0.007,0.001,7.2,8
04/01/2016,15:00,122,0.4,87.2,0.7,22.9,79.0,,,0.015,0.003,0.008,0.011,0.001,9.5,7
04/01/2016,16:00,103,0.6,44.7,0.4,22.6,86.4,,,0.012,0.003,0.009,0.011,0.001,14.2,9
04/01/2016,17:00,87,0.8,35.7,0.5,22.5,92.3,,,0.008,0.004,0.011,0.014,0.001,17.1,11
04/01/2016,18:00,66,1.0,26.3,0.4,22.2,93.4,,,0.008,0.003,0.010,0.013,0.000,14.3,14
04/01/2016,19:00,69,0.8,36.8,0.5,21.8,94.3,,,0.006,0.002,0.010,0.012,0.001,13.1,13
04/01/2016,20:00,73,0.5,39.4,0.2,21.4,93.9,,,0.007,0.002,0.008,0.010,0.001,8.5,11
04/01/2016,21:00,335,0.4,56.3,0.4,21.5,94.0,,,0.008,0.001,0.006,0.007,0.001,9.3,11
04/01/2016,22:00,248,0.3,70.2,0.2,21.5,93.8,,,0.008,0.001,0.004,0.005,0.001,7.0,11
04/01/2016,23:00,350,0.7,26.7,0.4,21.4,94.5,,,0.006,0.001,0.005,0.006,0.001,8.0,12
05/01/2016,00:00,82,0.7,45.8,0.5,21.0,95.2,,,,,,,,3.8,
05/01/2016,01:00,149,0.4,36.9,0.3,21.0,95.6,,,0.006,0.001,0.004,0.005,0.001,4.7,7
05/01/2016,02:00,105,0.9,26.3,0.5,20.9,95.8,,,0.007,0.001,0.001,0.002,0.001,5.9,5
05/01/2016,03:00,119,0.5,37.9,0.5,20.9,95.9,,,0.007,0.000,0.002,0.002,0.001,8.6,6
05/01/2016,04:00,101,0.7,41.9,0.5,20.9,95.9,,,0.006,0.002,0.003,0.005,0.001,8.8,6
05/01/2016,05:00,90,0.4,55.6,0.5,20.9,95.8,,,0.003,0.006,0.007,0.013,0.001,9.9,8
05/01/2016,06:00,148,0.6,48.0,0.4,20.5,95.7,,,0.006,0.002,0.006,0.008,0.001,6.9,6
05/01/2016,07:00,93,1.2,31.3,0.6,20.5,95.9,,,0.006,0.006,0.005,0.011,0.001,8.8,5
05/01/2016,08:00,79,1.9,18.9,0.7,21.0,95.9,,,0.008,0.008,0.009,0.017,0.000,6.5,6
05/01/2016,09:00,76,2.5,19.0,0.9,21.7,93.7,,,0.012,0.005,0.004,0.009,0.001,5.5,5
05/01/2016,10:00,78,1.9,21.9,0.7,22.5,86.1,,,0.014,0.004,0.005,0.009,0.001,5.6,5
05/01/2016,11:00,79,2.2,18.9,0.9,22.4,88.8,,,0.013,0.005,0.005,0.010,0.001,6.0,4
05/01/2016,12:00,87,1.6,31.4,0.8,22.9,86.6,,,0.013,0.004,0.005,0.008,0.001,6.4,4
05/01/2016,13:00,107,1.4,26.2,0.8,23.0,85.4,,,0.012,0.003,0.003,0.006,0.001,6.1,5
05/01/2016,14:00,96,1.7,29.2,0.9,23.4,84.1,,,0.013,0.004,0.004,0.008,0.000,7.4,6
05/01/2016,15:00,61,2.4,20.8,0.8,22.5,90.5,,,0.013,0.005,0.005,0.009,0.001,7.9,8
05/01/2016,16:00,63,1.0,35.2,0.5,22.5,89.9,,,0.011,0.006,0.008,0.014,0.001,8.9,10
05/01/2016,17:00,66,2.1,16.8,0.8,22.0,91.7,,,0.010,0.005,0.010,0.015,0.001,8.3,8
05/01/2016,18:00,90,1.2,32.6,0.7,21.8,92.0,,,0.009,0.003,0.009,0.012,0.001,8.2,8
05/01/2016,19:00,161,0.4,45.7,0.4,21.6,92.8,,,0.007,0.001,0.010,0.011,0.000,9.5,8
05/01/2016,20:00,204,0.5,32.9,0.3,21.6,92.9,,,0.008,0.001,0.008,0.008,0.001,9.0,7
05/01/2016,21:00,218,1.2,25.3,0.5,21.3,94.3,,,0.009,0.001,0.005,0.006,0.001,7.6,6
05/01/2016,22:00,211,1.5,14.3,0.4,21.1,95.4,,,0.011,0.001,0.003,0.004,0.001,7.2,6
05/01/2016,23:00,243,1.2,18.4,0.4,21.1,95.7,,,0.011,0.000,0.003,0.003,0.001,7.1,5
06/01/2016,00:00,250,0.7,51.7,0.5,21.1,96.0,,,,,,,,6.5,
06/01/2016,01:00,90,0.5,70.8,0.4,21.1,96.1,,,0.008,0.001,0.004,0.005,0.001,6.0,12
06/01/2016,02:00,350,0.5,162.4,0.3,21.0,96.3,,,0.010,0.001,0.002,0.003,0.001,7.0,11
06/01/2016,03:00,306,0.8,41.2,0.5,20.2,96.1,,,0.016,0.001,0.003,0.003,0.001,5.7,7
06/01/2016,04:00,312,0.9,30.4,0.4,19.8,96.0,,,0.016,0.001,0.004,0.005,0.000,8.6,5
06/01/2016,05:00,306,0.5,47.3,0.3,19.6,95.4,,,0.014,0.004,0.007,0.011,0.000,9.4,4
06/01/2016,06:00,278,1.3,26.4,0.5,20.7,91.8,,,0.013,0.004,0.006,0.010,0.001,11.5,7
06/01/2016,07:00,240,1.6,20.4,0.6,23.0,81.2,,,0.014,0.003,0.004,0.007,0.001,11.2,8
06/01/2016,08:00,254,1.9,30.3,0.8,25.5,67.3,,,0.020,0.002,0.003,0.004,0.001,5.1,5
06/01/2016,09:00,257,2.3,25.2,0.7,27.1,57.9,,,0.026,0.001,0.002,0.003,0.001,4.7,4
06/01/2016,10:00,269,2.5,33.1,1.1,29.0,47.1,,,0.032,0.002,0.002,0.004,0.001,,4
06/01/2016,11:00,270,2.5,29.9,1.1,29.9,41.2,,,0.034,0.001,0.003,0.004,0.001,,5
06/01/2016,12:00,270,2.8,26.2,1.2,31.1,37.2,,,0.036,0.001,0.002,0.003,0.001,0.8,5
06/01/2016,13:00,254,3.4,23.8,1.3,31.8,35.2,,,0.037,0.001,0.001,0.002,0.001,4.2,5
06/01/2016,14:00,264,3.8,25.9,1.3,32.1,33.9,,,0.037,0.001,0.002,0.003,0.001,4.5,5
06/01/2016,15:00,253,3.6,24.7,1.2,32.1,32.4,,,0.036,0.001,0.001,0.002,0.001,1.7,5
06/01/2016,16:00,268,3.6,21.1,1.3,31.7,32.7,,,0.035,0.001,0.002,0.003,0.001,3.2,6
06/01/2016,17:00,271,2.7,21.4,1.0,31.2,33.5,,,0.033,0.001,0.003,0.004,0.001,4.9,6
06/01/2016,18:00,271,1.8,17.2,0.7,29.5,38.8,,,0.027,0.001,0.008,0.009,0.001,7.2,8
06/01/2016,19:00,289,1.0,18.0,0.4,27.8,44.5,,,0.022,0.002,0.010,0.011,0.001,9.6,11
06/01/2016,20:00,277,0.9,16.3,0.3,26.6,48.7,,,0.022,0.001,0.007,0.008,0.001,6.4,9
06/01/2016,21:00,108,0.5,106.8,0.7,24.5,60.4,,,0.011,0.005,0.015,0.020,0.001,12.8,10
06/01/2016,22:00,104,1.3,22.0,0.6,23.3,75.2,,,0.011,0.002,0.011,0.013,0.001,21.4,12
06/01/2016,23:00,105,1.1,13.6,0.4,22.7,85.5,,,0.008,0.002,0.012,0.013,0.001,20.5,12
07/01/2016,00:00,111,0.7,20.6,0.4,21.8,90.3,,,,,,,,12.8,
07/01/2016,01:00,117,0.7,18.4,0.3,21.1,91.8,,,0.008,0.002,0.007,0.009,0.001,9.8,9
07/01/2016,02:00,115,0.8,21.5,0.4,20.9,93.2,,,0.009,0.001,0.004,0.005,0.001,9.4,9
07/01/2016,03:00,143,0.1,112.4,0.2,20.3,93.5,,,0.003,0.002,0.007,0.009,0.001,7.4,8
07/01/2016,04:00,216,0.1,80.3,0.3,19.8,94.0,,,0.001,0.011,0.009,0.019,0.001,8.2,8
07/01/2016,05:00,287,0.4,48.5,0.3,20.0,94.2,,,0.001,0.017,0.008,0.024,0.001,15.2,12
07/01/2016,06:00,244,1.1,22.8,0.4,21.8,87.8,,,0.008,0.007,0.007,0.013,0.001,12.0,14
07/01/2016,07:00,261,0.8,47.0,0.4,25.2,70.0,,,0.016,0.004,0.005,0.009,0.001,13.2,11
07/01/2016,08:00,247,0.6,68.0,0.6,26.3,59.6,,,0.024,0.002,0.003,0.005,0.001,6.2,9
07/01/2016,09:00,252,0.1,129.2,0.6,28.6,48.9,,,0.030,0.002,0.004,0.005,0.001,7.6,9
07/01/2016,10:00,272,1.1,62.1,0.8,29.9,41.3,,,0.038,0.001,0.002,0.003,0.001,4.7,9
07/01/2016,11:00,251,1.2,60.7,1.0,30.6,36.0,,,0.038,0.001,0.002,0.003,0.001,3.4,8
07/01/2016,12:00,223,1.6,50.6,1.1,31.8,31.5,,,0.035,0.001,0.001,0.002,0.001,,7
07/01/2016,13:00,233,1.2,55.3,0.9,32.9,30.0,,,0.035,0.001,0.001,0.002,0.001,3.1,8
07/01/2016,14:00,347,0.1,113.9,1.0,33.1,30.2,,,0.038,0.001,0.002,0.003,0.001,3.8,9
07/01/2016,15:00,51,3.4,20.3,1.1,31.0,40.2,,,0.043,0.003,0.007,0.009,0.001,23.5,10
07/01/2016,16:00,45,4.3,15.0,1.2,29.5,43.7,,,0.038,0.003,0.005,0.008,0.001,19.6,9
07/01/2016,17:00,60,4.2,15.8,1.3,28.3,46.6,,,0.032,0.002,0.005,0.007,0.001,21.9,8
07/01/2016,18:00,76,3.2,17.5,1.2,26.3,51.7,,,0.022,0.002,0.006,0.008,0.001,14.1,9
07/01/2016,19:00,76,3.7,14.4,1.2,24.8,58.7,,,0.021,0.002,0.004,0.006,0.001,18.9,12
07/01/2016,20:00,73,2.6,15.8,0.8,24.4,61.6,,,0.019,0.002,0.004,0.006,0.001,20.5,16
07/01/2016,21:00,73,2.3,18.0,0.9,24.5,61.8,,,0.020,0.001,0.004,0.005,0.001,23.4,21
07/01/2016,22:00,81,1.4,21.2,0.6,23.9,62.5,,,0.018,0.001,0.005,0.006,0.001,22.9,24
07/01/2016,23:00,92,1.3,19.3,0.5,23.0,63.3,,,0.018,0.001,0.004,0.005,0.001,15.4,22
08/01/2016,00:00,84,1.0,19.7,0.4,22.4,66.9,,,,,,,,15.5,
08/01/2016,01:00,98,0.9,20.1,0.4,22.0,70.9,,,0.016,0.001,0.004,0.005,0.001,16.9,19
08/01/2016,02:00,120,0.3,53.5,0.3,21.8,72.1,,,0.014,0.000,0.004,0.004,0.000,12.3,20
08/01/2016,03:00,76,0.2,65.9,0.2,21.4,74.7,,,0.012,0.001,0.005,0.006,0.001,14.6,20
08/01/2016,04:00,172,0.2,56.7,0.2,21.3,76.1,,,0.004,0.004,0.012,0.016,0.001,15.6,20
08/01/2016,05:00,165,0.2,40.6,0.2,21.2,77.3,,,0.005,0.006,0.009,0.015,0.001,16.6,21
08/01/2016,06:00,283,0.6,57.1,0.5,23.2,66.5,,,0.011,0.004,0.006,0.010,0.001,14.4,20
08/01/2016,07:00,292,1.0,47.6,0.6,25.0,56.4,,,0.016,0.004,0.004,0.007,0.001,14.1,19
08/01/2016,08:00,310,0.8,63.5,0.7,25.9,48.5,,,0.020,0.002,0.003,0.004,0.001,10.3,16
08/01/2016,09:00,118,1.1,48.1,0.7,27.1,36.9,,,0.019,0.002,0.001,0.003,0.001,,10
08/01/2016,10:00,72,0.5,82.6,0.7,28.2,35.5,,,0.020,0.002,0.002,0.004,0.001,4.4,9
08/01/2016,11:00,97,0.5,80.2,0.7,29.1,32.8,,,0.023,0.002,0.002,0.003,0.001,6.3,10
08/01/2016,12:00,188,0.6,70.0,0.9,29.7,31.6,,,0.028,0.001,0.002,0.003,0.001,8.4,11
08/01/2016,13:00,50,0.9,75.6,0.8,29.6,34.2,,,0.040,0.002,0.004,0.005,0.001,16.7,14
08/01/2016,14:00,65,0.6,95.6,1.2,29.8,32.5,,,0.041,0.002,0.003,0.005,0.001,13.9,14
08/01/2016,15:00,44,3.4,16.7,1.1,28.8,39.0,,,0.047,0.003,0.006,0.009,0.001,29.9,18
08/01/2016,16:00,58,3.9,20.1,1.2,27.9,42.8,,,0.034,0.003,0.007,0.010,0.001,33.0,20
08/01/2016,17:00,81,3.6,19.8,1.2,26.7,45.2,,,0.027,0.003,0.005,0.008,0.001,27.1,19
08/01/2016,18:00,77,3.5,15.4,1.1,25.0,49.1,,,0.021,0.003,0.006,0.008,0.001,23.9,19
08/01/2016,19:00,74,2.8,14.6,0.9,23.8,53.3,,,0.019,0.003,0.006,0.008,0.001,23.1,19
08/01/2016,20:00,67,1.9,14.8,0.6,23.1,56.6,,,0.017,0.002,0.006,0.008,0.001,22.9,19
08/01/2016,21:00,76,1.1,22.4,0.5,22.3,61.3,,,0.013,0.003,0.009,0.012,0.000,23.2,20
08/01/2016,22:00,123,0.4,43.3,0.3,21.2,67.3,,,0.005,0.004,0.016,0.020,0.001,22.1,21
08/01/2016,23:00,93,0.2,71.5,0.3,20.5,71.2,,,0.004,0.004,0.015,0.018,0.001,20.5,21
09/01/2016,00:00,177,0.2,40.5,0.2,20.0,73.7,,,,,,,,19.8,
09/01/2016,01:00,144,0.2,37.0,0.2,19.1,76.8,,,0.006,0.005,0.011,0.016,0.001,16.2,19
09/01/2016,02:00,200,0.1,114.2,0.2,18.3,80.8,,,0.003,0.003,0.012,0.014,0.000,15.1,19
09/01/2016,03:00,106,0.3,72.4,0.4,17.4,86.2,,,0.003,0.003,0.010,0.013,0.001,15.0,19
09/01/2016,04:00,242,0.8,20.9,0.4,17.2,86.9,,,0.004,0.001,0.007,0.008,0.001,14.2,18
09/01/2016,05:00,236,0.9,17.6,0.3,17.3,88.7,,,0.006,0.001,0.005,0.006,0.001,13.6,18
09/01/2016,06:00,238,1.3,20.9,0.5,19.6,77.0,,,0.012,0.002,0.003,0.004,0.000,16.3,18
09/01/2016,07:00,234,1.7,18.8,0.6,22.7,63.0,,,0.017,0.001,0.001,0.002,0.000,20.0,17
09/01/2016,08:00,254,0.9,70.6,0.7,25.7,53.9,,,0.020,0.001,0.001,0.002,0.000,21.9,18
09/01/2016,09:00,329,0.8,154.3,0.7,27.3,48.9,,,0.022,0.002,0.001,0.003,0.001,20.2,16
09/01/2016,10:00,251,1.1,57.8,0.7,27.9,45.4,,,0.027,0.001,0.002,0.003,0.000,18.8,16
09/01/2016,11:00,257,1.1,64.0,0.8,29.2,39.9,,,0.028,0.001,0.002,0.003,0.001,15.0,16
09/01/2016,12:00,264,1.5,60.1,1.0,30.5,34.9,,,0.026,0.001,0.001,0.002,0.001,12.4,14
09/01/2016,13:00,212,1.3,66.8,1.3,31.1,33.0,,,0.026,0.001,0.001,0.002,0.001,13.4,13
09/01/2016,14:00,198,0.4,108.8,1.1,32.5,30.0,,,0.025,0.001,0.001,0.002,0.001,12.8,13
09/01/2016,15:00,80,2.6,30.6,1.5,30.7,37.1,,,0.032,0.001,0.004,0.005,0.001,25.6,17
09/01/2016,16:00,67,3.8,17.8,1.2,28.9,48.5,,,0.033,0.002,0.003,0.005,0.001,34.0,20
09/01/2016,17:00,72,3.7,20.2,1.2,27.5,52.0,,,0.024,0.002,0.003,0.005,0.001,27.4,19
09/01/2016,18:00,107,2.2,24.2,1.2,24.5,64.6,,,0.022,0.001,0.003,0.004,0.001,26.5,19
09/01/2016,19:00,85,2.2,21.7,0.8,23.5,69.9,,,0.018,0.001,0.004,0.005,0.001,21.9,22
09/01/2016,20:00,75,1.4,28.2,0.8,23.6,69.1,,,0.016,0.001,0.005,0.006,0.001,23.9,27
09/01/2016,21:00,151,0.4,43.8,0.3,22.7,75.1,,,0.011,0.001,0.007,0.007,0.001,21.8,21
09/01/2016,22:00,156,0.3,41.2,0.2,22.5,77.4,,,0.006,0.002,0.011,0.012,0.001,19.2,20
09/01/2016,23:00,179,0.5,33.0,0.4,22.0,80.3,,,0.010,0.001,0.005,0.005,0.001,17.9,20
10/01/2016,00:00,226,0.5,45.1,0.3,21.4,83.6,,,,,,,,16.4,
10/01/2016,01:00,264,0.4,48.6,0.2,21.1,86.2,,,0.008,0.000,0.004,0.004,0.000,16.0,20
10/01/2016,02:00,217,0.7,19.1,0.3,20.3,90.1,,,0.004,0.001,0.006,0.007,0.001,12.4,21
10/01/2016,03:00,212,0.5,43.1,0.3,19.9,91.9,,,0.007,0.001,0.003,0.004,0.001,12.3,20
10/01/2016,04:00,116,0.4,40.5,0.2,19.4,93.2,,,0.002,0.002,0.005,0.006,0.001,12.9,20
10/01/2016,05:00,114,0.6,28.1,0.4,19.7,93.6,,,0.004,0.002,0.003,0.004,0.001,15.5,20
10/01/2016,06:00,100,1.0,22.9,0.4,20.6,90.7,,,0.007,0.001,0.002,0.003,0.001,17.1,24
10/01/2016,07:00,44,0.1,133.1,0.3,23.4,75.5,,,0.012,0.001,0.002,0.003,0.000,17.1,22
10/01/2016,08:00,295,0.4,83.8,0.5,26.6,58.2,,,0.021,0.001,0.002,0.003,0.001,15.1,21
10/01/2016,09:00,236,0.9,69.2,0.8,28.2,47.7,,,0.026,0.001,0.001,0.002,0.001,14.3,21
10/01/2016,10:00,262,0.9,82.0,0.8,28.8,45.7,,,0.029,0.001,0.001,0.002,0.001,13.3,19
10/01/2016,11:00,263,1.2,59.0,1.0,30.2,39.2,,,0.031,0.001,0.001,0.002,0.001,11.1,18
10/01/2016,12:00,239,0.9,79.9,0.9,31.5,34.3,,,0.032,0.001,0.000,0.001,0.000,7.2,16
