Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),Carbon Monoxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3),Visibility-reducing Particles (Mm^-1)
29/02/2016,12:00,166,3.8,21.0,1.4,33.3,50.3,0.000,0.000,0.000,0.000,0.1,9.0,2.1,13
29/02/2016,13:00,162,3.7,20.5,1.3,34.3,46.9,0.000,0.000,0.000,0.000,0.1,9.8,2.3,12
29/02/2016,14:00,161,3.9,17.5,1.4,35.0,44.1,0.000,0.000,0.000,0.000,0.1,15.2,6.7,13
29/02/2016,15:00,,,,,,,,,,,,,,
29/02/2016,16:00,,,,,,,,,,,,,,
29/02/2016,17:00,,,,,,,,,,,,,,
29/02/2016,18:00,,,,,,,,,,,,,,
29/02/2016,19:00,,,,,,,,,,,,,,
29/02/2016,20:00,,,,,,,,,,,,,,
29/02/2016,21:00,,,,,,,,,,,,,,
29/02/2016,22:00,,,,,,,,,,,,,,
29/02/2016,23:00,,,,,,,,,,,,,,
01/03/2016,00:00,,,,,,,,,,,,,,
01/03/2016,01:00,,,,,,,,,,,,,,
01/03/2016,02:00,,,,,,,,,,,,,,
01/03/2016,03:00,,,,,,,,,,,,,,
01/03/2016,04:00,,,,,,,,,,,,,,
01/03/2016,05:00,,,,,,,,,,,,,,
01/03/2016,06:00,,,,,,,,,,,,,,
01/03/2016,07:00,,,,,,,,,,,,,,
01/03/2016,08:00,,,,,,,,,,,,,,
01/03/2016,09:00,,,,,,,,,,,,,,
01/03/2016,10:00,,,,,,,,,,,,,,
01/03/2016,11:00,,,,,,,,,,,,,,
01/03/2016,12:00,,,,,,,,,,,,,,
01/03/2016,13:00,,,,,,,,,,,,,,
01/03/2016,14:00,,,,,,,,,,,,,,
01/03/2016,15:00,,,,,,,,,,,,,,
01/03/2016,16:00,123,2.1,20.8,1.0,,,,,,,,,,
01/03/2016,17:00,139,2.2,16.1,0.8,26.3,86.0,0.000,0.000,0.000,0.000,0.3,,,19
01/03/2016,18:00,140,2.1,16.3,0.9,26.6,85.7,0.000,0.000,0.000,0.000,0.2,10.4,1.7,27
01/03/2016,19:00,144,2.3,18.9,0.8,26.4,85.5,0.001,0.000,0.001,0.000,0.2,14.9,5.8,28
01/03/2016,20:00,144,2.0,15.9,0.7,25.3,87.4,0.000,0.000,0.000,0.000,0.1,8.6,1.8,25
01/03/2016,21:00,101,1.8,37.2,1.4,24.9,89.3,0.000,0.000,0.000,0.000,0.1,8.1,0.0,43
01/03/2016,22:00,129,1.6,28.8,1.0,24.7,90.6,0.000,0.000,0.000,0.000,0.1,12.4,-0.9,51
01/03/2016,23:00,156,2.2,15.9,0.9,24.1,90.0,0.000,0.000,0.000,0.000,0.1,17.1,5.2,44
02/03/2016,00:00,172,1.7,22.0,0.7,23.7,91.4,,,,,,9.6,3.3,
02/03/2016,01:00,170,2.5,13.8,0.7,24.2,93.0,0.000,0.000,0.000,0.000,0.1,10.5,5.4,24
02/03/2016,02:00,165,2.6,13.4,0.7,24.6,93.0,0.000,0.000,0.000,0.000,0.1,7.1,1.0,30
02/03/2016,03:00,161,2.3,13.2,0.7,24.6,92.7,0.000,0.001,0.001,0.000,0.1,13.7,6.7,32
02/03/2016,04:00,159,2.1,12.4,0.6,24.5,92.8,0.000,0.001,0.001,0.000,0.1,11.8,3.7,34
02/03/2016,05:00,162,2.2,13.9,0.6,24.5,93.1,0.000,0.001,0.001,0.000,0.1,13.0,4.6,33
02/03/2016,06:00,167,2.0,13.6,0.6,24.5,93.5,0.000,0.001,0.001,0.000,0.1,7.5,-0.8,33
02/03/2016,07:00,157,2.2,13.5,0.8,25.3,92.3,0.001,0.001,0.002,0.000,0.1,10.1,1.3,36
02/03/2016,08:00,154,2.2,14.8,0.7,27.1,86.1,0.001,0.001,0.002,0.000,0.1,17.9,7.3,36
02/03/2016,09:00,143,2.8,18.6,1.1,29.1,78.1,0.001,0.000,0.001,0.000,0.1,19.9,9.7,47
02/03/2016,10:00,137,3.0,21.5,1.1,30.0,74.1,0.000,0.001,0.001,0.000,0.1,13.5,6.3,51
02/03/2016,11:00,120,3.0,27.6,1.4,29.2,77.7,0.000,0.001,0.001,0.001,0.1,11.4,2.7,56
02/03/2016,12:00,93,3.2,24.4,1.4,27.1,86.0,0.000,0.000,0.000,0.000,0.1,13.4,3.5,55
02/03/2016,13:00,111,3.8,20.4,1.7,25.4,89.4,0.000,0.000,0.000,0.001,0.1,22.8,8.8,108
02/03/2016,14:00,124,2.7,24.8,1.1,24.6,92.2,0.000,0.000,0.000,0.001,0.1,22.1,10.2,117
02/03/2016,15:00,164,1.2,20.6,0.5,25.1,91.2,0.001,0.001,0.002,0.000,0.1,12.5,6.2,96
02/03/2016,16:00,164,1.2,19.3,0.4,26.2,88.3,0.001,0.001,0.002,0.000,0.1,10.7,5.9,84
02/03/2016,17:00,128,1.2,37.0,0.6,26.9,87.3,0.001,0.001,0.002,0.000,0.1,13.0,5.3,76
02/03/2016,18:00,107,2.4,28.3,1.4,26.5,86.6,0.000,0.001,0.001,0.000,0.1,23.5,9.3,65
02/03/2016,19:00,100,3.1,20.3,1.4,25.5,89.8,0.000,0.000,0.000,0.000,0.1,17.9,-0.3,60
02/03/2016,20:00,146,1.5,26.4,0.6,25.5,90.4,0.000,0.000,0.000,0.000,0.1,17.5,0.0,53
02/03/2016,21:00,160,1.3,23.0,0.5,25.0,91.9,0.000,0.000,0.000,0.000,0.1,15.0,2.0,42
02/03/2016,22:00,164,1.7,11.9,0.4,24.6,92.2,0.000,0.000,0.000,0.000,0.1,13.4,3.8,35
02/03/2016,23:00,157,1.7,12.1,0.4,24.5,92.4,0.000,0.000,0.000,0.000,0.1,10.2,1.3,36
03/03/2016,00:00,161,1.5,11.4,0.4,24.5,92.3,,,,,,9.9,-1.0,
03/03/2016,01:00,159,1.7,12.1,0.5,24.4,92.2,0.000,0.000,0.000,0.000,0.1,13.2,2.6,27
03/03/2016,02:00,162,1.7,11.3,0.4,24.4,92.3,0.000,0.000,0.000,0.000,0.1,12.1,1.8,32
03/03/2016,03:00,168,1.8,12.5,0.5,24.3,92.2,0.000,0.000,0.000,0.000,0.1,12.1,1.3,30
03/03/2016,04:00,165,1.8,12.4,0.5,24.2,92.2,0.000,0.001,0.001,0.000,0.1,13.6,4.1,26
03/03/2016,05:00,167,1.8,12.0,0.5,24.1,91.8,0.000,0.001,0.001,0.000,0.1,9.3,0.0,22
03/03/2016,06:00,165,2.0,15.2,0.7,24.9,89.7,0.000,0.001,0.001,0.000,0.1,10.8,1.4,19
03/03/2016,07:00,157,2.7,12.1,0.9,26.6,83.6,0.000,0.001,0.001,0.000,0.1,12.6,3.5,20
03/03/2016,08:00,156,2.6,14.7,0.9,28.8,75.9,0.000,0.001,0.001,0.000,0.1,12.4,1.7,21
03/03/2016,09:00,144,2.7,21.1,1.0,30.0,69.4,0.000,0.000,0.000,0.000,0.1,17.1,5.0,21
03/03/2016,10:00,124,2.8,30.1,1.5,30.7,66.3,0.000,0.000,0.000,0.000,0.1,18.7,6.8,18
03/03/2016,11:00,104,2.8,26.4,1.5,28.2,79.5,0.000,0.000,0.000,0.000,0.1,21.5,10.1,18
03/03/2016,12:00,118,3.0,24.6,1.3,29.7,71.4,0.000,0.000,0.000,0.000,0.1,22.5,10.8,11
03/03/2016,13:00,111,3.9,24.4,1.8,30.5,68.9,0.000,0.000,0.000,0.000,0.1,10.2,0.8,15
03/03/2016,14:00,109,4.0,22.4,1.6,30.1,69.0,0.000,0.000,0.000,0.000,0.0,15.2,4.5,15
03/03/2016,15:00,97,3.9,22.3,1.7,29.4,73.5,0.000,0.000,0.000,0.000,0.0,14.5,3.4,18
03/03/2016,16:00,92,4.0,18.5,1.6,28.6,77.9,0.000,0.000,0.000,0.000,0.0,15.1,2.9,23
03/03/2016,17:00,99,3.8,20.9,1.4,27.9,77.7,0.000,0.000,0.000,0.000,0.0,21.2,6.0,23
03/03/2016,18:00,110,3.4,22.6,1.5,27.6,76.4,0.000,0.000,0.000,0.000,0.0,17.0,1.1,22
03/03/2016,19:00,112,3.4,21.5,1.5,27.3,78.1,0.000,0.000,0.000,0.000,0.0,19.8,4.8,23
03/03/2016,20:00,125,2.8,20.9,1.5,27.1,77.6,0.000,0.000,0.000,0.000,0.0,15.9,0.5,24
03/03/2016,21:00,148,1.9,14.4,0.6,26.5,80.0,0.000,0.000,0.000,0.000,0.0,22.6,6.7,26
03/03/2016,22:00,154,1.8,13.6,0.5,25.9,82.1,0.000,0.000,0.000,0.000,0.0,15.8,0.5,26
03/03/2016,23:00,159,1.9,12.3,0.5,25.3,82.7,0.000,0.000,0.000,0.000,0.0,17.9,2.7,26
04/03/2016,00:00,167,2.0,12.7,0.6,24.8,82.7,,,,,,17.8,3.4,
04/03/2016,01:00,166,2.2,12.4,0.6,24.4,82.5,0.000,0.000,0.000,0.000,0.0,22.3,9.9,18
04/03/2016,02:00,161,2.1,11.8,0.6,24.1,82.8,0.000,0.000,0.000,0.000,0.0,16.2,3.1,22
04/03/2016,03:00,166,2.1,11.9,0.6,23.7,83.7,0.000,0.000,0.000,0.000,0.0,13.5,-0.5,22
04/03/2016,04:00,170,2.3,11.7,0.6,23.4,84.3,0.000,0.000,0.000,0.000,0.0,15.5,2.2,21
04/03/2016,05:00,170,2.2,12.8,0.6,23.2,84.7,0.000,0.000,0.000,0.000,0.0,11.8,0.2,19
04/03/2016,06:00,171,2.7,13.0,0.8,23.4,83.7,0.000,0.000,0.000,0.000,0.0,14.7,3.5,19
04/03/2016,07:00,167,2.6,15.3,0.9,25.0,78.0,0.000,0.000,0.000,0.000,0.0,13.5,1.1,18
04/03/2016,08:00,155,2.8,16.1,1.0,28.0,69.8,0.000,0.001,0.001,0.000,0.0,11.1,-0.7,19
04/03/2016,09:00,130,2.4,28.4,1.0,29.3,65.9,0.000,0.000,0.000,0.000,0.0,12.3,-0.9,19
04/03/2016,10:00,106,3.9,20.4,1.6,29.7,62.9,0.000,0.000,0.000,0.000,0.0,20.2,6.2,18
04/03/2016,11:00,98,4.0,22.0,1.6,29.8,65.1,0.000,0.000,0.000,0.000,0.0,22.0,6.2,20
04/03/2016,12:00,99,4.2,22.7,1.6,30.0,64.7,0.000,0.000,0.000,0.000,0.0,24.0,6.7,21
04/03/2016,13:00,85,5.0,16.5,1.8,29.6,65.2,0.000,0.000,0.000,0.000,0.0,25.8,7.5,22
04/03/2016,14:00,98,4.7,18.8,1.7,29.4,61.8,0.000,0.000,0.000,0.000,0.0,24.5,7.9,19
04/03/2016,15:00,97,4.5,18.5,1.8,29.5,62.6,0.000,0.000,0.000,0.000,0.0,23.8,6.7,19
04/03/2016,16:00,100,4.2,19.4,1.8,28.5,68.1,0.000,0.000,0.000,0.000,0.0,27.0,12.6,21
04/03/2016,17:00,108,3.7,20.7,1.6,27.7,70.3,0.000,0.000,0.000,0.000,0.0,21.0,6.2,22
04/03/2016,18:00,114,3.3,23.7,1.5,27.1,73.2,0.000,0.000,0.000,0.000,0.0,16.3,1.4,22
04/03/2016,19:00,139,2.5,18.5,1.0,26.5,72.8,0.000,0.000,0.000,0.000,0.0,17.3,3.0,19
04/03/2016,20:00,137,2.4,18.0,0.8,26.1,74.0,0.000,0.000,0.000,0.000,0.0,11.5,-0.7,18
04/03/2016,21:00,141,1.9,15.9,0.6,25.8,76.0,0.000,0.000,0.000,0.000,0.0,15.4,3.7,17
04/03/2016,22:00,149,1.8,15.2,0.5,25.4,77.4,0.000,0.000,0.000,0.000,0.0,15.6,4.1,16
04/03/2016,23:00,167,1.8,13.9,0.5,24.8,78.0,0.000,0.000,0.000,0.000,0.0,11.4,0.8,16
05/03/2016,00:00,174,1.8,12.7,0.5,24.2,77.1,,,,,,9.2,-0.6,
05/03/2016,01:00,169,1.8,13.6,0.5,23.8,78.4,0.000,0.000,0.000,0.000,0.0,,,11
05/03/2016,02:00,169,2.3,12.2,0.6,23.6,79.2,0.000,0.000,0.000,0.000,0.0,13.9,3.7,13
05/03/2016,03:00,168,2.2,12.0,0.6,23.4,80.1,0.000,0.000,0.000,0.000,0.0,11.3,2.1,14
05/03/2016,04:00,161,2.4,12.2,0.7,23.1,81.3,0.000,0.000,0.000,0.000,0.0,9.9,1.3,14
05/03/2016,05:00,162,2.4,12.7,0.6,23.0,81.5,0.000,0.000,0.000,0.000,0.0,8.2,-0.4,13
05/03/2016,06:00,163,2.5,12.8,0.7,23.1,81.6,0.000,0.000,0.000,0.000,0.0,9.9,0.9,13
05/03/2016,07:00,164,2.9,14.9,0.9,24.5,78.3,0.000,0.000,0.000,0.000,0.0,7.8,-1.5,13
05/03/2016,08:00,156,2.6,14.6,0.8,26.4,73.5,0.000,0.001,0.001,0.000,0.0,14.1,4.8,14
05/03/2016,09:00,151,2.5,17.1,1.0,28.5,67.9,0.000,0.000,0.000,0.000,0.0,11.1,1.7,15
05/03/2016,10:00,153,2.7,15.6,0.9,28.8,67.3,0.000,0.001,0.001,0.000,0.0,10.2,-0.4,15
05/03/2016,11:00,147,2.5,19.2,0.9,28.8,69.2,0.000,0.000,0.000,0.000,0.0,15.2,4.2,21
05/03/2016,12:00,104,3.2,23.6,1.5,28.5,71.3,0.000,0.000,0.000,0.000,0.0,14.8,3.1,15
05/03/2016,13:00,106,3.7,21.8,1.6,27.1,78.8,0.000,0.000,0.000,0.000,0.0,11.6,1.0,14
05/03/2016,14:00,145,2.5,17.6,0.9,25.8,84.3,0.000,0.000,0.000,0.000,0.1,12.2,3.6,12
05/03/2016,15:00,147,2.1,15.1,0.7,27.5,76.5,0.000,0.001,0.001,0.000,0.0,10.2,3.1,13
05/03/2016,16:00,143,1.6,17.2,0.6,27.7,74.2,0.000,0.001,0.001,0.000,0.1,13.1,4.2,16
05/03/2016,17:00,135,1.9,19.6,0.8,27.5,74.4,0.000,0.001,0.001,0.000,0.0,13.6,2.9,18
05/03/2016,18:00,137,1.8,18.5,0.7,27.0,76.9,0.000,0.001,0.001,0.000,0.0,13.6,1.4,19
05/03/2016,19:00,145,1.7,16.4,0.6,26.6,78.4,0.000,0.000,0.000,0.000,0.0,11.4,-1.0,22
05/03/2016,20:00,142,1.8,15.8,0.7,26.5,79.6,0.000,0.000,0.000,0.000,0.0,14.0,1.0,20
05/03/2016,21:00,148,1.9,15.0,0.7,26.3,80.7,0.000,0.000,0.000,0.000,0.1,9.7,-2.5,18
05/03/2016,22:00,149,2.0,16.7,0.9,25.8,82.0,0.000,0.000,0.000,0.000,0.1,17.9,8.2,17
05/03/2016,23:00,154,1.1,16.6,0.5,25.1,85.0,0.000,0.000,0.000,0.000,0.1,14.4,5.8,17
06/03/2016,00:00,167,1.5,20.1,0.7,23.6,90.1,,,,,,7.5,-0.1,
06/03/2016,01:00,169,1.9,13.0,0.5,22.7,91.8,0.000,0.000,0.000,0.000,0.0,4.4,-1.5,9
06/03/2016,02:00,164,2.0,14.0,0.6,22.4,91.3,0.000,0.000,0.000,0.000,0.0,6.4,0.3,10
06/03/2016,03:00,163,2.2,12.7,0.6,22.4,91.4,0.000,0.000,0.000,0.000,0.0,3.4,-1.8,10
06/03/2016,04:00,170,2.1,13.4,0.6,22.6,92.4,0.000,0.000,0.000,0.000,0.1,4.2,-0.9,10
06/03/2016,05:00,163,2.4,12.5,0.8,22.7,92.9,0.000,0.000,0.000,0.000,0.0,3.0,-2.2,11
06/03/2016,06:00,162,2.9,13.2,0.9,22.9,93.2,0.000,0.000,0.000,0.000,0.1,,,11
06/03/2016,07:00,159,2.5,13.7,0.9,23.1,93.6,0.000,0.000,0.000,0.000,0.1,1.1,-3.2,8
06/03/2016,08:00,144,0.7,59.7,0.8,23.1,94.1,0.000,0.000,0.000,0.000,0.1,,,11
06/03/2016,09:00,167,2.5,15.9,0.8,23.5,94.4,0.000,0.001,0.001,0.000,0.1,3.7,0.7,12
06/03/2016,10:00,160,2.5,13.2,0.8,24.7,94.3,0.000,0.001,0.001,0.000,0.1,3.7,-1.8,13
06/03/2016,11:00,146,2.5,25.2,1.0,26.1,90.6,0.000,0.000,0.000,0.000,0.1,4.3,-3.0,14
06/03/2016,12:00,103,3.0,27.0,1.3,26.6,85.9,0.000,0.000,0.000,0.000,0.1,14.1,3.0,29
06/03/2016,13:00,109,3.0,26.6,1.6,26.4,85.7,0.000,0.000,0.000,0.000,0.1,21.0,3.7,25
06/03/2016,14:00,93,3.1,27.1,1.8,24.7,91.9,0.000,0.000,0.000,0.000,0.1,14.6,-3.0,36
06/03/2016,15:00,131,1.7,25.5,0.9,24.5,93.2,0.000,0.001,0.001,0.000,0.1,12.9,-1.9,26
06/03/2016,16:00,144,2.2,14.2,0.8,24.6,92.0,0.000,0.000,0.000,0.000,0.1,11.8,1.6,13
06/03/2016,17:00,138,2.1,21.2,0.9,24.8,90.3,0.000,0.001,0.001,0.000,0.1,6.8,-0.5,13
06/03/2016,18:00,159,1.9,15.6,0.6,23.9,92.6,0.000,0.000,0.000,0.000,0.1,7.7,0.5,11
06/03/2016,19:00,148,2.0,16.0,0.7,23.5,93.0,0.000,0.000,0.000,0.000,0.1,6.9,0.4,13
06/03/2016,20:00,136,1.4,47.9,0.8,23.4,93.7,0.000,0.000,0.000,0.000,0.1,3.4,-3.3,16
06/03/2016,21:00,116,1.0,55.3,0.8,22.5,94.0,0.000,0.000,0.000,0.000,0.1,,,18
06/03/2016,22:00,156,1.2,38.2,0.9,23.0,94.4,0.000,0.000,0.000,0.000,0.1,,,14
06/03/2016,23:00,5,1.7,185.4,1.9,23.2,94.4,0.000,0.000,0.000,0.000,0.1,1.6,-3.8,13
07/03/2016,00:00,167,1.9,29.7,0.7,23.3,94.6,,,,,,2.4,-3.7,
07/03/2016,01:00,143,1.8,27.3,0.8,23.9,93.7,0.000,0.000,0.000,0.000,0.1,5.0,-1.9,12
07/03/2016,02:00,149,2.0,23.5,0.9,23.9,93.6,0.000,0.000,0.000,0.000,0.1,13.0,4.1,15
07/03/2016,03:00,149,2.0,14.1,0.7,23.6,94.0,0.000,0.000,0.000,0.000,0.1,7.8,0.4,12
07/03/2016,04:00,107,2.9,30.8,1.5,23.7,94.2,0.000,0.000,0.000,0.000,0.1,9.5,1.1,21
07/03/2016,05:00,154,2.0,17.0,0.6,23.5,94.2,0.000,0.000,0.000,0.000,0.1,11.9,1.7,14
07/03/2016,06:00,161,2.5,12.1,0.6,23.3,94.4,0.000,0.000,0.000,0.000,0.1,8.7,3.4,8
07/03/2016,07:00,143,1.9,21.2,0.7,23.3,94.3,0.000,0.000,0.000,0.000,0.1,5.8,2.6,6
07/03/2016,08:00,162,2.1,14.6,0.7,24.0,94.2,0.000,0.001,0.001,0.000,0.1,3.0,-0.2,5
07/03/2016,09:00,98,1.8,49.6,1.4,24.1,93.7,0.000,0.001,0.001,0.000,0.1,5.2,0.3,20
07/03/2016,10:00,176,1.6,17.2,0.6,24.0,94.6,0.000,0.001,0.001,0.000,0.1,6.6,-2.2,19
07/03/2016,11:00,156,1.9,17.5,0.7,24.4,93.3,0.000,0.001,0.001,0.000,0.1,8.7,-0.5,19
07/03/2016,12:00,146,2.0,17.3,0.7,25.7,84.8,0.000,0.001,0.001,0.000,0.1,15.9,3.5,22
07/03/2016,13:00,137,2.1,15.8,0.7,25.7,83.7,0.000,0.000,0.000,0.000,0.1,15.3,0.3,21
07/03/2016,14:00,138,2.2,18.1,0.9,25.7,85.9,0.000,0.001,0.001,0.000,0.1,15.4,1.9,23
07/03/2016,15:00,132,2.2,18.3,0.9,26.7,80.2,0.000,0.001,0.001,0.000,0.1,17.4,2.3,24
07/03/2016,16:00,134,1.9,19.6,0.8,27.1,78.6,0.000,0.001,0.001,0.000,0.1,20.5,3.5,27
07/03/2016,17:00,129,2.1,21.0,0.9,26.4,79.9,0.000,0.001,0.001,0.000,0.1,28.0,7.2,30
07/03/2016,18:00,136,2.4,17.2,0.9,25.1,85.6,0.000,0.000,0.000,0.000,0.1,23.1,4.3,27
07/03/2016,19:00,141,1.8,15.1,0.6,24.4,90.1,0.000,0.000,0.000,0.000,0.1,18.3,4.7,28
07/03/2016,20:00,146,1.7,13.3,0.5,24.4,89.6,0.000,0.000,0.000,0.000,0.1,19.2,3.3,29
07/03/2016,21:00,156,1.7,11.8,0.5,24.6,86.8,0.000,0.000,0.000,0.000,0.1,20.0,3.3,27
07/03/2016,22:00,153,1.6,12.5,0.5,24.7,84.4,0.000,0.000,0.000,0.000,0.1,23.9,6.4,24
07/03/2016,23:00,165,1.6,10.9,0.4,24.4,85.1,0.000,0.000,0.000,0.000,0.1,20.1,4.6,23
08/03/2016,00:00,161,1.8,12.3,0.5,24.1,85.6,,,,,,16.8,0.7,
08/03/2016,01:00,161,2.0,10.2,0.5,24.0,84.0,0.000,0.000,0.000,0.000,0.1,,,15
08/03/2016,02:00,170,2.0,12.9,0.5,23.9,83.9,0.000,0.000,0.000,0.000,0.1,,,20
08/03/2016,03:00,169,2.2,12.9,0.6,23.6,84.5,0.000,0.000,0.000,0.000,0.1,15.4,1.4,19
08/03/2016,04:00,163,2.3,12.4,0.6,23.4,86.0,0.000,0.000,0.000,0.000,0.1,13.9,0.7,18
08/03/2016,05:00,167,2.2,13.5,0.6,23.2,86.9,0.000,0.001,0.001,0.000,0.1,11.5,0.6,17
08/03/2016,06:00,158,2.5,12.6,0.7,23.9,84.8,0.000,0.001,0.001,0.000,0.1,14.8,4.4,16
08/03/2016,07:00,157,2.6,15.9,0.9,26.5,76.2,0.001,0.001,0.002,0.000,0.1,12.8,2.1,15
08/03/2016,08:00,148,2.8,17.4,1.0,28.3,69.9,0.001,0.000,0.001,0.000,0.1,10.6,0.1,14
08/03/2016,09:00,148,3.2,17.5,1.0,29.4,65.0,0.000,0.000,0.000,0.000,0.1,10.7,0.2,13
08/03/2016,10:00,122,2.9,29.0,1.3,30.2,63.0,0.000,0.000,0.000,0.000,0.1,13.7,2.4,14
08/03/2016,11:00,99,3.7,19.6,1.4,28.2,70.0,0.000,0.000,0.000,0.000,0.1,18.9,5.5,16
08/03/2016,12:00,101,3.4,19.9,1.4,28.3,67.2,0.000,0.000,0.000,0.000,0.1,13.5,0.1,15
08/03/2016,13:00,95,3.8,19.8,1.4,28.9,64.7,0.000,0.000,0.000,0.000,0.1,19.4,6.1,13
08/03/2016,14:00,100,3.8,21.7,1.5,29.3,63.4,0.000,0.000,0.000,0.000,0.1,19.0,6.1,13
08/03/2016,15:00,108,3.5,21.2,1.5,29.5,61.9,0.000,0.000,0.000,0.000,0.1,24.2,13.0,12
08/03/2016,16:00,115,3.1,21.5,1.4,29.3,58.9,0.000,0.000,0.000,0.000,0.1,18.9,7.5,11
08/03/2016,17:00,108,2.9,20.3,1.2,28.0,60.9,0.000,0.000,0.000,0.000,0.1,17.7,5.6,12
08/03/2016,18:00,119,2.4,20.5,1.0,26.7,69.3,0.000,0.000,0.000,0.000,0.0,13.7,1.3,14
08/03/2016,19:00,140,1.8,15.4,0.7,25.8,72.8,0.000,0.000,0.000,0.000,0.0,17.7,5.4,14
08/03/2016,20:00,154,1.4,13.5,0.4,25.1,77.0,0.000,0.000,0.000,0.000,0.0,12.0,0.8,15
08/03/2016,21:00,159,1.6,12.3,0.4,24.4,79.7,0.000,0.000,0.000,0.000,0.0,9.1,0.5,14
08/03/2016,22:00,156,1.5,16.8,0.5,23.9,86.7,0.000,0.000,0.000,0.000,0.0,10.4,1.6,14
08/03/2016,23:00,156,1.8,23.7,0.5,23.8,89.4,0.000,0.000,0.000,0.000,0.0,4.4,-3.8,14
09/03/2016,00:00,173,2.0,14.1,0.5,23.9,89.3,,,,,,5.2,-3.3,
09/03/2016,01:00,179,1.9,12.5,0.5,23.1,89.7,0.000,0.000,0.000,0.000,0.0,7.7,1.4,9
09/03/2016,02:00,183,1.3,36.9,0.5,23.2,88.4,0.000,0.001,0.001,0.000,0.0,8.5,0.6,13
09/03/2016,03:00,159,1.5,28.7,0.6,22.9,91.3,0.000,0.001,0.001,0.000,0.0,9.6,1.8,12
09/03/2016,04:00,178,1.6,13.9,0.4,22.6,92.6,0.000,0.000,0.000,0.000,0.0,6.9,0.7,11
09/03/2016,05:00,182,1.7,10.3,0.4,22.6,92.0,0.000,0.002,0.002,0.000,0.0,6.2,-0.8,12
09/03/2016,06:00,167,1.8,17.7,0.4,22.6,91.1,0.000,0.002,0.002,0.000,0.0,,,12
09/03/2016,07:00,160,1.9,16.8,0.7,25.3,84.8,0.000,0.001,0.001,0.000,0.0,,,13
09/03/2016,08:00,151,2.4,16.0,0.8,28.5,73.4,0.001,0.001,0.001,0.000,0.1,13.6,3.8,13
09/03/2016,09:00,126,2.3,23.0,1.0,29.5,70.2,0.002,0.001,0.003,0.000,0.1,13.4,3.4,13
09/03/2016,10:00,104,2.6,25.5,1.1,29.4,71.8,0.002,0.001,0.003,0.000,0.1,19.0,9.3,15
09/03/2016,11:00,105,3.1,21.1,1.3,29.7,70.6,0.000,0.000,0.000,0.000,0.1,14.1,2.6,15
09/03/2016,12:00,99,3.2,22.4,1.3,29.9,70.3,0.000,0.000,0.000,0.000,0.1,17.3,5.0,16
09/03/2016,13:00,91,3.5,23.7,1.5,28.6,74.3,0.000,0.000,0.000,0.000,0.1,17.8,6.9,16
09/03/2016,14:00,106,2.9,25.1,1.2,29.6,69.8,0.000,0.000,0.000,0.001,0.0,16.0,5.2,16
09/03/2016,15:00,94,3.2,19.5,1.1,28.8,73.5,0.000,0.000,0.000,0.000,0.1,,,17
09/03/2016,16:00,91,3.2,19.9,1.3,28.9,73.4,0.000,0.000,0.000,0.000,0.0,19.2,7.5,18
09/03/2016,17:00,105,2.8,20.7,1.2,28.1,75.8,0.000,0.000,0.000,0.000,0.0,23.3,9.2,21
09/03/2016,18:00,114,2.8,19.5,1.2,27.0,80.7,0.000,0.000,0.000,0.000,0.0,22.8,8.2,22
09/03/2016,19:00,123,2.0,21.4,1.0,26.6,82.4,0.000,0.000,0.000,0.000,0.0,18.2,3.4,23
09/03/2016,20:00,144,1.6,15.2,0.5,26.0,83.9,0.000,0.000,0.000,0.000,0.1,18.5,3.7,22
09/03/2016,21:00,152,1.6,11.8,0.5,25.5,84.4,0.000,0.000,0.000,0.000,0.0,15.3,1.8,20
09/03/2016,22:00,160,1.5,12.9,0.4,25.2,84.7,0.000,0.000,0.000,0.000,0.1,12.6,-0.2,20
09/03/2016,23:00,168,1.5,12.2,0.4,24.8,85.7,0.000,0.000,0.000,0.000,0.0,12.3,0.0,20
10/03/2016,00:00,164,1.7,12.6,0.5,24.6,85.8,,,,,,11.3,-0.8,
10/03/2016,01:00,157,1.9,11.3,0.5,24.4,86.1,0.000,0.000,0.000,0.000,0.0,10.2,-1.8,15
10/03/2016,02:00,169,1.9,13.0,0.5,24.2,86.6,0.000,0.000,0.000,0.000,0.0,12.7,0.6,20
10/03/2016,03:00,174,1.8,12.7,0.5,24.0,87.2,0.000,0.000,0.000,0.000,0.0,14.4,2.9,20
10/03/2016,04:00,169,1.9,12.6,0.5,23.8,87.9,0.000,0.000,0.000,0.000,0.0,12.9,0.8,20
10/03/2016,05:00,168,1.8,12.4,0.5,23.6,88.9,0.000,0.001,0.001,0.000,0.1,13.0,1.6,20
10/03/2016,06:00,166,2.1,14.4,0.6,24.6,86.7,0.000,0.001,0.001,0.000,0.1,10.3,-1.1,20
10/03/2016,07:00,160,2.3,14.2,0.9,27.6,76.6,0.000,0.000,0.000,0.000,0.1,12.3,1.5,20
10/03/2016,08:00,151,2.4,17.8,0.8,29.7,69.9,0.001,0.001,0.001,0.000,0.1,19.2,7.3,20
