Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),RAD (w/m^2),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3),Visibility-reducing Particles (Mm^-1)
01/01/2016,00:00,142,2.5,14.5,1.0,23.0,55.0,0.0,1011,0,,,,,18.7,5.4,
01/01/2016,01:00,148,2.2,16.6,0.9,22.5,57.0,0.0,1010,0,0.000,0.002,0.002,,17.0,5.1,16
01/01/2016,02:00,160,1.7,22.3,0.7,21.9,58.7,0.0,1010,0,0.000,0.001,0.001,,15.9,3.6,20
01/01/2016,03:00,156,1.8,17.7,0.7,21.7,59.4,0.0,1010,0,0.000,0.002,0.002,,13.7,1.8,22
01/01/2016,04:00,154,2.2,18.6,0.9,21.6,61.5,0.0,1010,0,0.000,0.001,0.001,,17.4,4.9,24
01/01/2016,05:00,157,2.1,17.3,0.8,21.7,62.8,0.0,1010,33,0.001,0.002,0.002,,21.4,6.3,26
01/01/2016,06:00,150,2.2,19.4,1.0,22.4,61.1,0.0,1011,215,0.001,0.002,0.002,,20.8,5.0,27
01/01/2016,07:00,144,2.6,20.8,1.2,24.0,53.9,0.0,1011,434,0.001,0.001,0.002,,19.4,3.4,25
01/01/2016,08:00,113,2.8,22.7,1.0,25.6,45.9,0.0,1011,731,0.000,0.001,0.001,,21.3,5.5,18
01/01/2016,09:00,103,2.5,18.5,1.0,26.5,43.9,0.0,1011,935,0.004,0.002,0.006,,17.2,1.7,17
01/01/2016,10:00,53,3.0,27.5,1.2,27.1,42.4,0.0,1010,1069,0.003,0.003,0.006,,22.2,6.8,18
01/01/2016,11:00,42,3.9,13.0,1.1,27.3,43.7,0.0,1009,1137,0.002,0.001,0.003,,28.0,7.6,18
01/01/2016,12:00,47,3.7,15.6,1.1,27.2,44.9,0.0,1009,1132,0.001,0.001,0.002,,20.0,6.7,16
01/01/2016,13:00,56,4.1,15.2,1.3,27.2,46.7,0.0,1008,1048,0.001,0.001,0.002,,17.4,5.0,15
01/01/2016,14:00,61,4.0,14.9,1.3,27.4,45.5,0.0,1007,897,0.001,0.001,0.002,,15.5,2.0,14
01/01/2016,15:00,53,4.1,14.7,1.3,27.2,45.6,0.0,1007,692,0.002,0.002,0.003,,15.7,3.6,13
01/01/2016,16:00,41,3.2,16.5,1.1,27.0,48.0,0.0,1007,453,0.002,0.001,0.003,,17.1,5.7,13
01/01/2016,17:00,36,2.9,16.3,1.0,26.4,50.4,0.0,1008,199,0.002,0.001,0.003,,13.8,1.3,15
01/01/2016,18:00,45,2.8,11.8,0.9,25.9,50.9,0.0,1008,22,0.002,0.002,0.004,,12.7,1.7,16
01/01/2016,19:00,63,2.7,11.2,0.8,25.6,53.2,0.0,1009,0,0.001,0.003,0.003,,17.7,6.7,16
01/01/2016,20:00,68,2.9,11.4,0.9,25.2,60.4,0.0,1010,0,0.000,0.003,0.003,,18.0,4.9,26
01/01/2016,21:00,69,3.0,10.5,0.8,25.0,62.1,0.0,1010,0,0.001,0.001,0.002,,24.7,5.5,29
01/01/2016,22:00,67,2.9,10.6,0.9,24.8,62.6,0.0,1010,0,0.000,0.002,0.002,,26.9,6.1,31
01/01/2016,23:00,67,2.9,10.5,0.8,24.8,62.0,0.0,1010,0,0.001,0.001,0.002,,29.7,7.1,33
02/01/2016,00:00,65,2.7,11.8,0.8,24.8,61.7,0.0,1009,0,,,,,33.1,6.7,
02/01/2016,01:00,64,2.6,12.6,0.8,24.7,59.2,0.0,1009,0,0.002,0.002,0.004,,30.8,7.3,22
02/01/2016,02:00,100,1.5,43.7,0.8,24.0,60.5,0.0,1008,0,0.000,0.001,0.001,,25.9,6.9,35
02/01/2016,03:00,170,1.4,21.4,0.7,22.8,67.9,0.0,1008,0,0.000,0.002,0.002,,25.5,8.5,31
02/01/2016,04:00,305,0.2,87.9,0.3,22.0,69.1,0.0,1009,0,0.000,0.002,0.002,,20.6,5.5,29
02/01/2016,05:00,344,0.3,153.5,0.3,21.8,69.3,0.0,1009,30,0.001,0.003,0.003,,17.9,4.4,28
02/01/2016,06:00,152,0.4,100.4,0.6,23.7,61.9,0.0,1010,221,0.001,0.002,0.002,,20.1,5.8,28
02/01/2016,07:00,112,1.1,41.5,0.7,25.3,55.0,0.0,1010,440,0.004,0.003,0.007,,21.8,5.1,30
02/01/2016,08:00,45,1.7,28.7,0.8,25.9,53.2,0.0,1010,672,0.002,0.002,0.004,,24.1,7.6,31
02/01/2016,09:00,44,2.1,25.8,0.8,26.4,52.5,0.0,1009,944,0.001,0.001,0.002,,21.5,3.9,29
02/01/2016,10:00,47,2.6,22.6,1.0,26.7,51.6,0.0,1009,1063,0.002,0.002,0.004,,21.0,4.6,29
02/01/2016,11:00,48,3.3,17.4,1.2,27.2,51.2,0.0,1008,1117,0.002,0.003,0.004,,28.7,13.0,28
02/01/2016,12:00,33,3.5,18.2,1.2,27.1,53.5,0.0,1007,1110,0.001,0.002,0.003,,25.1,9.8,23
02/01/2016,13:00,23,3.5,21.8,1.3,27.1,55.2,0.0,1006,1028,0.002,0.002,0.003,,26.7,10.8,24
02/01/2016,14:00,27,3.2,19.8,1.5,27.2,56.1,0.0,1006,887,0.001,0.002,0.003,,23.2,7.3,25
02/01/2016,15:00,32,3.7,17.7,1.5,26.9,56.6,0.0,1005,674,0.001,0.001,0.002,,22.3,7.3,24
02/01/2016,16:00,25,3.5,16.4,1.3,26.6,55.6,0.0,1005,379,0.001,0.001,0.002,,21.0,5.3,22
02/01/2016,17:00,23,2.8,18.0,1.3,26.3,57.3,0.0,1006,167,0.001,0.002,0.003,,15.6,2.6,23
02/01/2016,18:00,25,2.5,18.1,1.1,25.7,60.0,0.0,1006,25,0.001,0.001,0.002,,19.4,5.1,24
02/01/2016,19:00,22,2.2,16.2,0.9,25.5,60.6,0.0,1006,0,0.002,0.003,0.005,,22.8,9.1,24
02/01/2016,20:00,25,2.1,18.5,0.9,25.4,60.7,0.0,1007,0,0.000,0.002,0.002,,20.1,7.9,24
02/01/2016,21:00,14,1.8,175.6,0.8,25.4,60.2,0.0,1008,0,0.000,0.002,0.002,,19.7,8.1,22
02/01/2016,22:00,8,1.5,22.7,0.7,25.4,59.9,0.0,1007,0,0.000,0.002,0.002,,17.5,6.0,20
02/01/2016,23:00,13,1.4,22.5,0.6,25.3,59.9,0.0,1007,0,0.001,0.002,0.003,,16.2,5.3,20
03/01/2016,00:00,9,1.2,180.1,0.5,25.2,60.9,0.0,1007,0,,,,,14.2,3.2,
03/01/2016,01:00,24,1.4,19.9,0.6,25.0,61.4,0.0,1006,0,0.000,0.002,0.002,,15.5,5.7,15
03/01/2016,02:00,43,1.4,16.8,0.5,24.9,62.5,0.0,1005,0,0.000,0.001,0.001,,14.4,4.9,17
03/01/2016,03:00,57,2.1,13.6,0.7,24.8,64.2,0.0,1005,0,0.000,0.000,0.000,,12.1,3.1,17
03/01/2016,04:00,54,2.2,13.2,0.7,24.9,64.9,0.0,1005,0,0.001,0.000,0.001,,9.1,0.8,16
03/01/2016,05:00,62,2.7,10.9,0.8,24.9,65.1,0.0,1006,24,0.000,0.001,0.001,,12.0,3.6,16
03/01/2016,06:00,65,3.1,10.4,0.9,25.2,61.9,0.0,1007,92,0.000,0.001,0.001,,11.8,2.9,16
03/01/2016,07:00,56,3.3,11.9,1.1,25.8,59.6,0.0,1008,300,0.000,0.001,0.001,,15.7,6.8,15
03/01/2016,08:00,54,3.6,15.4,1.2,26.7,56.2,0.0,1008,751,0.001,0.001,0.002,,11.5,3.5,14
03/01/2016,09:00,51,3.8,16.8,1.2,27.1,53.0,0.0,1008,933,0.003,0.002,0.004,,4.5,-2.0,12
03/01/2016,10:00,55,4.3,14.2,1.3,27.3,50.9,0.0,1008,945,0.002,0.001,0.003,,15.8,7.4,12
03/01/2016,11:00,51,3.8,15.0,1.2,27.3,50.8,0.0,1007,780,0.002,0.001,0.003,,9.5,1.8,11
03/01/2016,12:00,54,3.5,13.6,1.2,26.6,54.6,0.0,1007,416,0.003,0.001,0.004,,18.0,10.0,13
03/01/2016,13:00,48,3.4,15.6,1.2,26.3,56.7,0.0,1006,399,0.002,0.002,0.004,,19.5,9.6,15
03/01/2016,14:00,62,3.6,14.5,1.1,26.6,54.4,0.0,1006,506,0.002,0.001,0.003,,10.4,2.8,15
03/01/2016,15:00,61,3.6,15.2,1.1,26.3,54.5,0.0,1005,394,0.002,0.001,0.003,,3.8,-4.1,16
03/01/2016,16:00,65,4.2,12.0,1.3,26.2,54.9,0.0,1005,309,0.002,0.003,0.005,,10.5,0.9,15
03/01/2016,17:00,66,3.9,12.6,1.2,25.9,57.2,0.0,1006,132,0.003,0.002,0.005,,11.7,4.0,15
03/01/2016,18:00,71,3.7,12.5,1.2,25.5,61.0,0.0,1006,16,0.002,0.002,0.004,,17.7,7.3,17
03/01/2016,19:00,72,4.0,11.1,1.2,25.5,62.8,0.0,1007,0,0.002,0.003,0.005,0.001,21.1,8.6,18
03/01/2016,20:00,73,4.1,10.0,1.1,25.5,63.2,0.0,1007,0,0.001,0.002,0.003,0.000,19.5,5.7,19
03/01/2016,21:00,74,4.3,9.8,1.2,25.7,64.4,0.0,1007,0,0.001,0.002,0.003,0.000,16.6,1.7,19
03/01/2016,22:00,75,4.2,11.8,1.4,25.6,66.2,0.0,1008,0,0.003,0.004,0.007,0.001,23.6,6.2,22
03/01/2016,23:00,116,3.4,16.1,1.3,24.6,72.0,0.0,1007,0,0.004,0.003,0.007,0.001,21.2,6.6,21
04/01/2016,00:00,93,2.6,33.6,1.3,24.3,75.7,0.1,1007,0,,,,,15.1,6.7,
04/01/2016,01:00,63,3.8,12.6,1.2,22.5,85.8,0.0,1006,0,0.000,0.001,0.001,0.000,12.2,4.6,13
04/01/2016,02:00,97,2.9,20.4,0.8,22.7,83.9,0.0,1006,0,0.005,0.003,0.007,0.000,14.2,6.7,16
04/01/2016,03:00,108,3.5,10.4,1.2,23.4,81.0,0.0,1005,0,0.000,0.002,0.002,0.000,10.1,4.5,21
04/01/2016,04:00,88,4.1,13.0,1.2,23.5,82.5,0.1,1005,0,0.025,0.014,0.039,0.001,15.3,7.7,24
04/01/2016,05:00,84,4.1,8.9,1.2,23.7,82.8,0.0,1006,6,0.043,0.018,0.061,0.006,22.2,5.6,23
04/01/2016,06:00,97,4.1,12.4,1.1,23.9,83.0,0.0,1006,40,0.017,0.009,0.026,0.006,23.1,5.0,22
04/01/2016,07:00,103,4.4,10.0,1.3,24.1,83.0,0.0,1007,84,0.003,0.002,0.005,0.001,14.2,4.0,17
04/01/2016,08:00,99,4.3,13.5,1.4,24.2,84.7,0.0,1007,144,0.011,0.006,0.017,0.000,8.3,2.4,20
04/01/2016,09:00,78,5.0,9.2,1.5,24.5,83.9,0.2,1007,228,0.027,0.009,0.036,0.001,14.6,4.5,15
04/01/2016,10:00,88,4.8,11.7,1.5,24.3,87.3,1.1,1006,176,0.044,0.013,0.057,0.005,17.2,5.5,21
04/01/2016,11:00,94,4.9,11.0,1.3,24.4,86.4,0.1,1006,255,0.024,0.009,0.032,0.004,18.2,5.1,19
04/01/2016,12:00,91,4.7,10.1,1.4,24.8,84.7,0.0,1005,254,0.050,0.015,0.065,0.005,20.6,6.3,23
04/01/2016,13:00,99,5.3,10.7,1.5,25.1,82.6,0.0,1005,235,0.017,0.008,0.024,0.005,20.5,6.0,22
04/01/2016,14:00,106,5.4,9.2,1.5,24.7,86.0,0.0,1004,171,0.004,0.002,0.006,0.001,12.2,3.4,16
04/01/2016,15:00,104,4.9,10.2,1.5,24.3,88.1,0.5,1003,76,0.006,0.003,0.009,0.000,9.5,3.4,22
04/01/2016,16:00,112,4.5,10.9,1.6,24.2,88.9,1.6,1003,43,0.005,0.002,0.007,0.000,10.0,2.8,15
04/01/2016,17:00,114,3.7,15.6,1.6,24.3,89.0,2.5,1004,31,0.006,0.004,0.010,0.000,9.1,4.3,14
04/01/2016,18:00,115,4.2,12.6,1.4,24.2,88.7,0.1,1005,11,0.002,0.002,0.003,0.000,8.8,4.2,12
04/01/2016,19:00,121,3.4,12.9,1.2,24.0,88.8,0.0,1005,0,0.002,0.002,0.004,0.000,6.3,2.6,8
04/01/2016,20:00,138,2.8,16.6,1.0,23.7,88.5,0.0,1005,0,0.002,0.002,0.003,0.000,7.5,3.6,4
04/01/2016,21:00,142,3.1,13.9,1.1,23.5,88.6,0.0,1006,0,0.002,0.002,0.003,0.000,4.4,3.0,2
04/01/2016,22:00,139,3.0,15.2,1.2,23.1,88.6,0.0,1005,0,0.001,0.001,0.002,0.000,3.5,2.1,1
04/01/2016,23:00,138,2.5,18.6,1.1,22.7,87.9,0.0,1005,0,0.001,0.000,0.001,0.000,8.3,7.0,2
05/01/2016,00:00,160,1.5,25.1,0.8,22.6,86.4,0.0,1004,0,,,,,0.6,-1.1,
05/01/2016,01:00,173,1.7,25.0,0.7,22.5,83.9,0.0,1003,0,0.000,0.000,0.000,0.000,4.7,2.2,2
05/01/2016,02:00,197,0.9,19.4,0.3,22.6,84.0,0.0,1003,0,0.000,0.002,0.002,0.000,,,3
05/01/2016,03:00,205,0.9,20.2,0.4,22.3,85.1,0.0,1003,0,0.002,0.002,0.004,0.000,1.7,-0.1,4
05/01/2016,04:00,215,0.9,24.7,0.4,22.0,85.1,0.0,1003,0,0.001,0.001,0.002,0.000,1.1,-1.5,3
05/01/2016,05:00,213,0.5,41.9,0.4,21.9,84.9,0.0,1004,13,0.004,0.006,0.010,0.000,1.6,-1.0,4
05/01/2016,06:00,210,1.4,17.8,0.6,23.2,79.4,0.0,1004,176,0.005,0.005,0.010,0.000,9.0,4.8,4
05/01/2016,07:00,210,1.6,18.4,0.7,24.7,74.4,0.0,1004,359,0.004,0.003,0.007,0.000,5.1,1.8,3
05/01/2016,08:00,209,1.6,27.8,0.8,26.3,67.8,0.0,1005,549,0.004,0.002,0.006,0.000,6.8,3.8,2
05/01/2016,09:00,203,1.4,37.2,0.8,27.4,64.1,0.0,1005,893,0.004,0.003,0.006,0.000,2.2,-0.4,3
05/01/2016,10:00,231,1.3,47.6,0.9,28.8,59.1,0.0,1004,921,0.001,0.002,0.003,0.000,8.3,5.0,3
05/01/2016,11:00,226,1.3,45.9,0.8,29.8,55.4,0.0,1004,833,0.002,0.002,0.004,0.000,1.0,0.2,4
05/01/2016,12:00,232,1.0,80.0,1.0,30.4,54.5,0.0,1003,654,0.004,0.005,0.009,0.000,7.2,3.7,6
05/01/2016,13:00,236,2.4,28.3,1.2,31.2,50.4,0.0,1002,981,0.001,0.002,0.003,0.000,4.3,1.9,12
05/01/2016,14:00,1,1.4,163.1,1.3,30.1,58.4,0.0,1002,747,0.002,0.005,0.006,0.000,13.7,11.2,13
05/01/2016,15:00,22,2.4,21.8,1.0,28.5,70.7,0.0,1001,364,0.002,0.005,0.007,0.000,19.7,14.4,12
05/01/2016,16:00,18,2.0,26.4,1.0,28.9,70.6,0.0,1001,364,0.002,0.004,0.005,0.000,11.4,7.5,17
05/01/2016,17:00,292,1.8,49.0,1.2,31.3,53.2,0.0,1001,226,0.001,0.005,0.006,0.000,16.1,10.9,13
05/01/2016,18:00,257,2.0,26.3,1.0,30.9,49.7,0.0,1002,32,0.001,0.003,0.004,0.000,5.0,1.4,7
05/01/2016,19:00,201,1.0,48.4,0.7,29.4,58.4,0.0,1003,0,0.002,0.006,0.007,0.000,0.4,-1.9,16
05/01/2016,20:00,135,1.9,19.4,0.8,26.7,80.3,0.0,1004,0,0.001,0.007,0.008,0.000,11.0,8.5,16
05/01/2016,21:00,135,1.2,24.0,0.6,26.3,80.4,0.0,1005,0,0.001,0.006,0.007,0.000,13.0,9.4,10
05/01/2016,22:00,163,1.0,19.6,0.4,26.1,80.7,0.0,1005,0,0.001,0.004,0.005,0.000,9.5,5.8,11
05/01/2016,23:00,159,0.7,41.4,0.4,25.7,81.7,0.0,1005,0,0.000,0.003,0.003,0.000,9.6,4.9,12
06/01/2016,00:00,289,0.2,78.8,0.2,25.3,83.4,0.0,1004,0,,,,,9.7,4.8,
06/01/2016,01:00,191,0.3,70.5,0.3,24.8,83.3,0.0,1004,0,0.000,0.004,0.004,0.000,10.4,5.8,9
06/01/2016,02:00,247,0.7,21.8,0.3,24.5,83.6,0.0,1004,0,0.001,0.004,0.005,0.000,8.0,4.5,8
06/01/2016,03:00,258,0.1,66.4,0.2,24.2,84.4,0.0,1004,0,0.000,0.004,0.004,0.000,6.0,3.4,7
06/01/2016,04:00,212,0.6,31.1,0.4,24.2,85.4,0.0,1004,0,0.001,0.004,0.005,0.000,4.9,2.3,10
06/01/2016,05:00,210,0.8,32.2,0.4,24.4,85.6,0.0,1005,16,0.005,0.008,0.013,0.000,8.0,4.3,13
06/01/2016,06:00,222,1.3,23.6,0.7,25.4,77.2,0.0,1005,211,0.006,0.005,0.011,0.000,9.4,5.1,10
06/01/2016,07:00,212,1.8,24.9,0.8,26.5,70.2,0.0,1006,466,0.003,0.004,0.007,0.000,10.7,6.8,9
06/01/2016,08:00,224,1.4,41.6,0.9,27.7,63.8,0.0,1006,727,0.003,0.004,0.007,0.000,4.7,3.7,9
06/01/2016,09:00,233,1.1,62.3,0.9,29.1,56.0,0.0,1005,790,0.002,0.004,0.006,0.000,2.7,1.7,9
06/01/2016,10:00,44,2.0,58.3,1.5,29.2,57.2,0.0,1005,917,0.012,0.014,0.026,0.003,12.0,9.5,8
06/01/2016,11:00,50,2.7,18.8,1.0,30.2,53.6,0.0,1004,885,0.018,0.019,0.037,0.008,12.3,8.7,8
06/01/2016,12:00,31,3.4,17.8,1.4,29.5,61.9,0.0,1004,977,0.005,0.009,0.014,0.003,10.9,6.5,12
06/01/2016,13:00,19,3.5,17.9,1.4,29.3,63.5,0.0,1003,916,0.002,0.004,0.006,0.001,9.1,6.1,9
06/01/2016,14:00,13,3.6,17.4,1.5,29.4,60.8,0.0,1003,671,0.001,0.002,0.003,0.000,9.4,6.1,7
06/01/2016,15:00,17,2.9,19.5,1.2,29.7,58.0,0.0,1003,703,0.001,0.003,0.004,0.000,8.4,5.0,6
06/01/2016,16:00,21,2.7,19.1,1.1,29.7,57.9,0.0,1003,386,0.005,0.005,0.009,0.000,7.0,2.7,7
06/01/2016,17:00,13,2.7,18.6,1.1,29.0,63.3,0.0,1004,221,0.002,0.004,0.005,0.000,10.3,5.7,7
06/01/2016,18:00,21,2.1,23.1,0.9,28.2,69.4,0.0,1005,25,0.003,0.005,0.008,0.000,0.6,-2.3,7
06/01/2016,19:00,16,1.6,20.5,0.7,27.7,70.5,0.0,1005,0,0.000,0.003,0.003,0.000,2.0,-1.1,6
06/01/2016,20:00,39,0.6,56.3,0.5,27.3,72.4,0.0,1006,0,0.000,0.003,0.003,0.000,6.9,3.8,6
06/01/2016,21:00,152,0.5,65.7,0.5,26.8,72.7,0.0,1007,0,0.001,0.009,0.010,0.000,8.6,5.1,8
06/01/2016,22:00,176,0.5,29.2,0.3,26.3,75.7,0.0,1007,0,0.002,0.009,0.011,0.000,14.2,5.7,10
06/01/2016,23:00,200,0.5,33.3,0.3,26.0,78.8,0.0,1007,0,0.000,0.006,0.006,0.000,8.8,4.6,9
07/01/2016,00:00,227,0.5,34.5,0.3,25.5,80.9,0.0,1007,0,,,,,9.1,5.7,
07/01/2016,01:00,241,0.5,37.6,0.3,25.1,80.8,0.0,1006,0,0.001,0.005,0.006,0.000,6.8,3.6,11
07/01/2016,02:00,219,0.8,10.6,0.3,24.9,78.2,0.0,1006,0,0.000,0.005,0.005,0.000,6.8,4.3,10
07/01/2016,03:00,240,0.4,57.8,0.4,24.9,77.2,0.0,1006,0,0.000,0.008,0.008,0.001,7.9,5.4,12
07/01/2016,04:00,215,1.1,26.4,0.6,24.9,75.5,0.0,1006,0,0.001,0.005,0.006,0.002,9.6,6.3,11
07/01/2016,05:00,225,1.9,9.9,0.5,25.3,72.2,0.0,1007,25,0.002,0.008,0.010,0.004,9.2,6.3,12
07/01/2016,06:00,218,1.2,16.8,0.6,26.4,65.5,0.0,1008,206,0.007,0.010,0.017,0.004,10.2,6.9,15
07/01/2016,07:00,178,1.3,32.4,0.7,29.1,49.3,0.0,1009,429,0.004,0.007,0.011,0.002,11.1,7.8,10
07/01/2016,08:00,204,1.1,46.3,0.7,30.3,42.0,0.0,1009,688,0.003,0.004,0.007,0.001,15.0,10.4,7
07/01/2016,09:00,197,0.8,67.3,0.9,31.5,38.0,0.0,1009,914,0.003,0.004,0.007,0.000,8.6,5.3,7
07/01/2016,10:00,23,2.4,28.6,1.1,31.4,38.8,0.0,1008,1056,0.002,0.005,0.007,0.001,10.5,6.2,8
07/01/2016,11:00,30,2.8,17.9,1.1,31.4,39.6,0.0,1008,1138,0.002,0.004,0.006,0.001,7.0,3.6,8
07/01/2016,12:00,41,3.0,18.1,1.2,31.9,42.0,0.0,1007,1168,0.003,0.004,0.007,0.001,10.7,8.1,8
07/01/2016,13:00,18,3.6,170.5,1.5,31.3,45.5,0.0,1007,948,0.002,0.003,0.005,0.001,11.2,7.9,8
07/01/2016,14:00,18,3.8,16.6,1.5,30.6,46.9,0.0,1006,880,0.001,0.003,0.004,0.000,9.6,5.2,6
07/01/2016,15:00,18,3.5,15.5,1.4,30.6,46.2,0.0,1006,707,0.001,0.003,0.004,0.000,14.8,9.5,6
07/01/2016,16:00,31,3.1,20.0,1.1,30.0,49.7,0.0,1007,442,0.003,0.004,0.007,0.000,8.0,3.4,7
07/01/2016,17:00,40,2.8,16.5,0.9,29.3,54.3,0.0,1007,209,0.002,0.004,0.006,0.000,11.0,6.6,9
07/01/2016,18:00,37,1.9,16.5,0.8,28.5,58.8,0.0,1009,25,0.002,0.006,0.007,0.000,10.5,5.2,10
07/01/2016,19:00,28,1.3,24.8,0.6,28.0,64.3,0.0,1010,0,0.001,0.004,0.005,0.000,10.4,5.9,10
07/01/2016,20:00,21,0.7,29.2,0.4,27.7,67.9,0.0,1011,0,0.000,0.003,0.003,0.000,9.6,4.6,12
07/01/2016,21:00,63,1.0,26.6,0.5,27.5,70.7,0.0,1012,0,0.000,0.003,0.003,0.000,11.3,5.9,12
07/01/2016,22:00,105,1.2,23.3,0.6,27.1,73.4,0.0,1012,0,0.001,0.005,0.006,0.000,11.7,4.4,12
07/01/2016,23:00,115,2.6,10.7,0.9,27.1,70.7,0.0,1012,0,0.000,0.002,0.002,0.000,9.1,4.4,22
08/01/2016,00:00,123,2.4,12.7,0.8,26.3,74.6,0.0,1012,0,,,,,10.1,6.4,
08/01/2016,01:00,122,2.6,13.8,1.0,26.0,78.5,0.0,1011,0,0.000,0.000,0.000,0.000,8.5,2.0,13
08/01/2016,02:00,125,2.7,14.0,1.0,25.7,79.1,0.0,1011,0,0.001,0.002,0.003,0.000,13.9,5.1,20
08/01/2016,03:00,123,2.8,13.7,1.1,25.3,78.2,0.0,1012,0,0.001,0.003,0.004,0.002,19.3,8.6,23
08/01/2016,04:00,130,2.4,16.9,1.0,25.1,77.6,0.0,1012,0,0.002,0.005,0.007,0.009,20.3,8.5,25
08/01/2016,05:00,141,2.6,15.3,1.0,24.8,77.0,0.0,1013,22,0.004,0.006,0.009,0.012,21.2,7.8,27
08/01/2016,06:00,135,2.6,21.3,1.0,25.5,73.7,0.0,1014,182,0.004,0.006,0.010,0.009,22.7,9.3,26
08/01/2016,07:00,115,3.6,14.7,1.2,26.6,68.6,0.0,1015,411,0.006,0.005,0.011,0.004,21.7,7.3,26
08/01/2016,08:00,105,4.2,11.5,1.3,26.3,69.7,0.6,1015,308,0.004,0.004,0.008,0.001,24.4,7.9,26
08/01/2016,09:00,88,4.7,12.5,1.3,27.5,61.6,0.0,1016,853,0.029,0.013,0.042,0.007,23.8,6.6,25
08/01/2016,10:00,75,4.5,13.5,1.3,28.3,54.8,0.0,1016,1047,0.035,0.013,0.048,0.013,29.8,6.9,18
08/01/2016,11:00,69,5.2,12.1,1.4,28.2,52.7,0.0,1015,1126,0.003,0.004,0.006,0.001,26.1,5.5,14
08/01/2016,12:00,61,5.0,13.0,1.5,28.3,54.3,0.0,1015,1095,0.004,0.002,0.006,0.000,25.2,7.6,17
08/01/2016,13:00,66,4.8,12.2,1.4,28.4,54.4,0.0,1014,1053,0.005,0.003,0.008,0.000,35.9,9.6,20
08/01/2016,14:00,59,5.0,13.6,1.4,28.0,56.9,0.0,1014,840,0.004,0.003,0.007,0.000,34.9,9.4,23
08/01/2016,15:00,68,4.8,12.2,1.4,27.5,61.0,0.0,1013,600,0.004,0.002,0.006,0.000,29.7,9.3,26
08/01/2016,16:00,67,4.5,10.8,1.2,27.2,63.0,0.0,1014,275,0.003,0.002,0.005,0.000,34.3,13.0,31
08/01/2016,17:00,68,3.8,10.7,1.1,26.6,66.7,0.0,1014,51,0.004,0.003,0.006,0.000,24.6,4.7,35
08/01/2016,18:00,73,3.9,9.9,1.0,26.5,65.7,0.0,1015,17,0.003,0.003,0.006,0.000,31.1,9.3,37
08/01/2016,19:00,69,3.4,11.4,0.9,26.4,65.0,0.0,1016,0,0.001,0.001,0.002,0.000,26.6,5.8,37
08/01/2016,20:00,73,3.2,11.0,1.0,26.3,65.0,0.0,1016,0,0.002,0.002,0.004,0.000,29.9,7.1,35
08/01/2016,21:00,73,3.8,9.7,1.1,26.3,62.9,0.0,1017,0,0.001,0.001,0.001,0.000,29.6,7.9,28
08/01/2016,22:00,73,3.4,10.4,1.0,26.1,65.1,0.0,1017,0,0.003,0.002,0.005,0.000,22.1,6.3,27
08/01/2016,23:00,71,3.3,10.4,1.0,25.9,65.6,0.0,1017,0,0.000,0.001,0.001,0.000,24.1,6.1,26
09/01/2016,00:00,71,3.1,10.3,0.9,25.9,66.2,0.0,1016,0,,,,,24.3,7.7,
09/01/2016,01:00,68,3.3,11.3,0.9,25.8,67.0,0.0,1016,0,0.000,0.000,0.000,0.000,19.7,4.4,19
09/01/2016,02:00,100,2.5,22.2,1.1,25.4,70.7,0.0,1016,0,0.001,0.001,0.002,0.000,19.8,5.2,24
09/01/2016,03:00,84,2.7,18.5,1.1,25.5,69.2,0.0,1016,0,0.002,0.004,0.006,0.000,20.6,7.0,26
09/01/2016,04:00,69,2.5,21.8,1.1,25.6,66.8,0.0,1016,0,0.003,0.003,0.006,0.000,22.2,6.1,24
09/01/2016,05:00,162,1.4,33.7,0.8,24.2,74.3,0.0,1017,15,0.002,0.006,0.008,0.001,21.8,7.5,25
09/01/2016,06:00,139,2.2,18.3,0.8,24.6,73.0,0.0,1017,182,0.003,0.003,0.006,0.003,16.5,4.7,25
09/01/2016,07:00,121,3.2,14.9,1.2,25.3,71.9,0.0,1018,257,0.003,0.002,0.005,0.002,16.7,6.9,19
09/01/2016,08:00,112,3.3,15.6,1.2,26.4,66.2,0.0,1018,685,0.003,0.002,0.005,0.000,14.7,8.1,19
09/01/2016,09:00,95,3.3,20.7,1.1,26.9,61.6,0.0,1018,793,0.014,0.007,0.021,0.002,20.6,12.1,17
09/01/2016,10:00,85,3.4,20.0,1.2,27.6,59.0,0.0,1018,964,0.037,0.010,0.047,0.011,13.1,3.3,21
09/01/2016,11:00,60,3.7,18.1,1.3,28.1,55.4,0.0,1017,1143,0.003,0.003,0.006,0.002,17.3,4.5,20
09/01/2016,12:00,56,3.7,18.9,1.3,28.1,55.4,0.0,1017,1156,0.003,0.002,0.005,0.001,23.5,8.0,20
09/01/2016,13:00,54,3.6,17.4,1.3,28.1,53.8,0.0,1016,1046,0.002,0.002,0.004,0.000,23.6,7.2,19
