Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),Sulfur Dioxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3)
01/01/2015,00:00,53,4.4,16.6,27.7,85.3,0.0,1014,0.000,9.9,2.1
01/01/2015,01:00,44,3.6,17.7,27.5,85.4,0.0,1014,,6.9,2.6
01/01/2015,02:00,49,3.1,17.6,27.3,86.3,0.0,1014,0.000,8.2,0.4
01/01/2015,03:00,56,3.0,14.6,27.1,87.5,0.0,1014,0.000,13.0,4.7
01/01/2015,04:00,56,2.6,21.3,27.1,87.5,0.0,1014,0.000,,
01/01/2015,05:00,59,3.1,18.0,27.4,86.3,0.0,1015,0.000,,
01/01/2015,06:00,63,4.2,18.4,28.5,79.8,0.0,1016,0.001,,
01/01/2015,07:00,56,4.3,23.0,29.3,75.7,0.0,1016,0.000,9.7,1.8
01/01/2015,08:00,51,4.1,26.8,29.4,74.4,0.0,1016,0.000,9.3,4.7
01/01/2015,09:00,43,4.1,25.0,29.4,73.2,0.0,1016,0.000,,
01/01/2015,10:00,28,4.5,16.8,29.1,76.0,0.0,1016,0.001,,
01/01/2015,11:00,47,4.0,24.2,29.8,73.0,0.0,1016,0.001,,
01/01/2015,12:00,58,4.4,21.6,30.2,70.5,0.0,1016,0.000,,
01/01/2015,13:00,59,4.6,23.0,30.3,70.2,0.0,1015,0.001,,
01/01/2015,14:00,72,5.0,21.4,30.5,68.8,0.0,1014,0.000,,
01/01/2015,15:00,64,5.5,19.2,30.0,68.2,0.0,1014,0.000,12.0,7.3
01/01/2015,16:00,68,5.1,20.1,29.7,70.1,0.0,1014,0.000,9.6,3.8
01/01/2015,17:00,63,4.8,18.5,28.7,73.0,0.0,1014,0.000,14.7,7.5
01/01/2015,18:00,61,4.5,18.8,28.0,76.2,0.0,1015,0.001,10.4,6.5
01/01/2015,19:00,53,4.6,17.6,27.6,77.6,0.0,1016,0.000,12.7,6.6
01/01/2015,20:00,52,4.4,15.2,27.5,77.2,0.0,1017,0.000,11.7,5.1
01/01/2015,21:00,51,4.0,16.4,27.4,77.7,0.0,1018,0.000,9.0,2.9
01/01/2015,22:00,52,4.5,14.1,27.2,78.8,0.0,1017,0.000,8.0,1.0
01/01/2015,23:00,49,4.6,13.2,27.1,80.2,0.0,1017,0.000,6.2,0.7
02/01/2015,00:00,54,4.0,13.7,27.0,80.5,0.0,1017,0.000,8.1,1.6
02/01/2015,01:00,54,4.1,15.1,27.0,81.1,0.0,1016,,9.3,2.0
02/01/2015,02:00,50,4.3,12.6,26.8,81.3,0.0,1016,0.000,8.2,0.1
02/01/2015,03:00,45,3.9,13.5,26.8,80.4,0.0,1016,0.000,11.8,3.4
02/01/2015,04:00,44,3.9,13.3,26.8,80.2,0.0,1017,0.001,13.0,3.7
02/01/2015,05:00,47,3.7,18.0,27.1,78.8,0.0,1017,0.001,12.9,2.4
02/01/2015,06:00,55,3.7,22.6,28.2,74.7,0.0,1018,0.000,15.3,2.9
02/01/2015,07:00,72,4.1,20.6,29.1,70.0,0.0,1019,0.000,16.5,4.8
02/01/2015,08:00,71,4.4,23.3,29.4,67.2,0.0,1019,0.000,14.8,4.2
02/01/2015,09:00,78,4.2,26.3,29.6,68.2,0.0,1020,0.000,13.4,2.6
02/01/2015,10:00,64,4.8,21.8,30.0,65.7,0.0,1019,0.001,11.8,3.3
02/01/2015,11:00,69,5.2,20.1,29.9,67.3,0.0,1019,0.000,11.6,2.2
02/01/2015,12:00,72,5.2,20.9,30.1,67.5,0.0,1019,0.001,10.1,0.5
02/01/2015,13:00,70,5.6,18.9,30.2,66.8,0.0,1018,0.001,13.1,3.2
02/01/2015,14:00,67,5.2,18.2,29.0,70.2,0.0,1018,0.001,14.3,3.9
02/01/2015,15:00,67,4.9,19.8,28.6,71.3,0.0,1018,0.001,13.6,3.1
