Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm)
01/01/2015,00:00,48,3.8,13.1,1.4,,,,
01/01/2015,01:00,36,4.7,9.5,1.0,0.015,0.001,0.001,0.002
01/01/2015,02:00,28,3.7,10.5,0.8,0.015,0.000,0.001,0.001
01/01/2015,03:00,25,3.4,12.2,0.9,0.014,0.000,0.002,0.002
01/01/2015,04:00,26,2.4,26.4,1.1,0.012,0.001,0.001,0.002
01/01/2015,05:00,40,3.2,10.6,0.8,0.012,0.000,0.002,0.002
01/01/2015,06:00,39,3.7,11.7,0.8,0.010,0.000,0.001,0.001
01/01/2015,07:00,54,3.7,12.4,1.1,0.010,0.001,0.001,0.002
01/01/2015,08:00,51,3.4,11.6,0.9,0.011,0.001,0.001,0.002
01/01/2015,09:00,50,3.6,11.6,1.0,0.013,0.001,0.001,0.002
01/01/2015,10:00,60,3.4,12.4,1.0,0.014,0.000,0.001,0.001
01/01/2015,11:00,59,3.4,13.5,1.0,0.013,0.001,0.001,0.001
01/01/2015,12:00,59,3.7,13.4,1.1,0.013,0.000,0.001,0.001
01/01/2015,13:00,54,4.2,12.4,1.2,0.012,0.000,0.001,0.001
01/01/2015,14:00,51,4.5,11.5,1.2,0.012,0.001,0.001,0.001
01/01/2015,15:00,43,5.0,10.4,1.2,0.011,0.001,0.001,0.001
01/01/2015,16:00,41,5.3,9.1,1.0,0.011,0.001,0.001,0.002
01/01/2015,17:00,43,4.9,9.3,1.0,0.011,0.001,0.001,0.001
01/01/2015,18:00,42,5.2,8.9,1.1,0.012,0.001,0.001,0.002
01/01/2015,19:00,43,5.1,9.6,1.2,0.011,0.000,0.001,0.001
01/01/2015,20:00,42,5.0,9.4,1.2,0.009,0.000,0.001,0.001
01/01/2015,21:00,44,4.3,10.3,1.0,0.009,0.000,0.001,0.001
01/01/2015,22:00,50,3.8,16.5,1.2,0.010,0.000,0.002,0.002
01/01/2015,23:00,46,4.7,10.4,1.2,0.011,0.000,0.001,0.001
02/01/2015,00:00,40,4.9,9.4,1.1,,,,
02/01/2015,01:00,40,4.3,9.3,0.9,0.012,0.001,0.001,0.002
02/01/2015,02:00,42,4.3,10.0,1.1,0.012,0.000,0.001,0.001
02/01/2015,03:00,37,4.6,9.8,1.0,0.011,0.000,0.001,0.001
02/01/2015,04:00,35,4.4,12.0,1.0,0.011,0.000,0.001,0.001
02/01/2015,05:00,13,3.3,166.4,1.2,0.011,0.001,0.001,0.002
02/01/2015,06:00,36,3.1,23.3,1.1,0.011,0.001,0.001,0.002
02/01/2015,07:00,51,3.3,13.3,0.9,0.012,0.001,0.001,0.002
02/01/2015,08:00,49,3.1,22.4,1.3,0.012,0.001,0.001,0.002
02/01/2015,09:00,73,3.0,15.6,1.0,0.013,0.001,0.001,0.001
02/01/2015,10:00,73,3.4,16.2,1.2,0.015,0.001,0.001,0.002
02/01/2015,11:00,64,3.4,14.6,1.1,0.016,0.000,0.001,0.001
02/01/2015,12:00,63,4.0,13.9,1.2,0.016,0.001,0.001,0.001
02/01/2015,13:00,51,4.3,11.5,1.2,0.013,0.000,0.001,0.001
02/01/2015,14:00,49,4.8,10.2,1.3,0.014,0.000,0.001,0.001
02/01/2015,15:00,54,4.3,12.3,1.3,0.012,0.001,0.001,0.001
02/01/2015,16:00,47,5.2,9.4,1.2,0.011,0.000,0.001,0.001
02/01/2015,17:00,70,3.9,19.0,1.3,0.013,0.001,0.001,0.002
02/01/2015,18:00,74,4.3,17.6,1.5,0.012,0.001,0.001,0.001
02/01/2015,19:00,70,4.5,14.1,1.4,0.012,0.000,0.001,0.001
02/01/2015,20:00,68,4.2,14.3,1.2,0.011,0.000,0.001,0.001
02/01/2015,21:00,62,4.3,12.7,1.2,0.011,0.000,0.001,0.001
02/01/2015,22:00,66,3.8,14.4,1.2,0.011,0.000,0.001,0.001
02/01/2015,23:00,66,3.8,15.2,1.1,0.011,0.001,0.001,0.002
03/01/2015,00:00,63,3.5,13.8,1.0,,,,
03/01/2015,01:00,62,3.4,13.1,1.0,0.012,0.001,0.001,0.002
03/01/2015,02:00,65,2.9,14.6,0.9,0.012,0.000,0.001,0.001
03/01/2015,03:00,57,4.4,13.5,1.4,0.013,0.000,0.001,0.001
03/01/2015,04:00,54,4.1,12.4,1.2,0.014,0.000,0.001,0.001
03/01/2015,05:00,62,3.5,15.8,1.2,0.017,0.000,0.001,0.001
03/01/2015,06:00,60,3.9,22.3,1.6,0.016,0.000,0.001,0.001
03/01/2015,07:00,60,4.1,32.5,2.2,0.018,0.000,0.001,0.001
03/01/2015,08:00,39,4.3,16.6,1.8,0.020,0.000,0.001,0.001
03/01/2015,09:00,89,1.6,29.0,0.8,0.017,0.000,0.001,0.001
03/01/2015,10:00,34,1.2,132.9,1.4,0.017,0.001,0.002,0.003
03/01/2015,11:00,228,1.1,50.6,0.8,0.012,0.004,0.007,0.011
03/01/2015,12:00,58,2.8,30.9,1.2,0.016,0.002,0.001,0.003
03/01/2015,13:00,44,3.8,8.8,0.9,0.017,0.001,0.001,0.002
03/01/2015,14:00,46,3.4,13.7,1.0,0.017,0.000,0.001,0.001
03/01/2015,15:00,52,2.9,11.7,0.9,0.018,0.001,0.001,0.002
03/01/2015,16:00,50,2.7,12.3,0.9,0.018,0.000,0.001,0.001
03/01/2015,17:00,68,2.7,20.4,1.0,0.019,0.001,0.001,0.002
03/01/2015,18:00,67,2.5,15.6,0.9,0.018,0.001,0.001,0.002
03/01/2015,19:00,67,2.7,15.7,1.0,0.017,0.001,0.001,0.002
03/01/2015,20:00,64,3.5,13.5,1.0,0.017,0.001,0.001,0.001
03/01/2015,21:00,64,3.6,13.6,1.2,0.017,0.000,0.001,0.001
03/01/2015,22:00,60,3.3,15.1,0.9,0.017,0.001,0.001,0.002
03/01/2015,23:00,55,4.1,13.2,1.1,0.017,0.000,0.001,0.001
04/01/2015,00:00,72,2.8,17.8,1.0,,,,
04/01/2015,01:00,82,2.4,19.7,1.0,0.017,0.001,0.001,0.002
04/01/2015,02:00,76,3.4,17.0,1.4,0.018,0.000,0.001,0.001
04/01/2015,03:00,90,2.4,19.9,1.0,0.018,0.000,0.001,0.001
04/01/2015,04:00,92,2.5,18.7,1.0,0.019,0.000,0.001,0.001
04/01/2015,05:00,98,2.0,22.3,0.8,0.019,0.000,0.001,0.001
04/01/2015,06:00,93,1.9,21.3,0.8,0.019,0.000,0.001,0.001
04/01/2015,07:00,84,2.3,21.8,0.9,0.021,0.000,0.001,0.001
04/01/2015,08:00,84,2.3,23.6,0.9,0.021,0.000,0.001,0.001
04/01/2015,09:00,104,2.5,28.8,1.1,0.023,0.001,0.001,0.002
04/01/2015,10:00,89,2.3,25.6,1.1,0.023,0.001,0.001,0.001
04/01/2015,11:00,70,2.6,19.4,0.9,0.022,0.001,0.001,0.002
04/01/2015,12:00,60,3.0,13.7,1.0,0.022,0.001,0.001,0.002
04/01/2015,13:00,62,3.2,14.6,1.0,0.020,0.001,0.001,0.001
04/01/2015,14:00,67,3.5,14.5,1.1,0.019,0.000,0.001,0.001
04/01/2015,15:00,69,3.4,15.7,1.1,0.018,0.000,0.001,0.001
04/01/2015,16:00,78,3.0,18.7,1.1,0.018,0.001,0.001,0.001
04/01/2015,17:00,81,2.9,21.9,1.0,0.017,0.000,0.001,0.001
04/01/2015,18:00,96,2.5,21.7,1.1,0.017,0.000,0.002,0.002
04/01/2015,19:00,102,2.1,22.5,0.9,0.017,0.001,0.001,0.001
04/01/2015,20:00,100,2.3,20.4,0.9,0.017,0.000,0.001,0.001
04/01/2015,21:00,106,2.0,21.0,0.7,0.017,0.000,0.001,0.001
04/01/2015,22:00,122,1.7,17.3,0.6,0.016,0.000,0.002,0.002
04/01/2015,23:00,119,1.6,14.1,0.5,0.016,0.000,0.001,0.001
05/01/2015,00:00,157,1.1,35.3,0.4,,,,
05/01/2015,01:00,212,1.4,19.8,0.5,0.007,0.001,0.006,0.007
05/01/2015,02:00,214,1.5,12.8,0.5,0.008,0.001,0.005,0.006
05/01/2015,03:00,235,1.3,27.3,0.5,0.006,0.001,0.005,0.006
05/01/2015,04:00,205,2.0,12.7,0.6,0.006,0.001,0.006,0.007
05/01/2015,05:00,214,2.0,9.9,0.5,0.005,0.002,0.008,0.010
05/01/2015,06:00,207,2.4,15.0,0.7,0.007,0.004,0.008,0.011
05/01/2015,07:00,192,2.3,33.9,1.1,0.009,0.005,0.008,0.012
05/01/2015,08:00,237,0.8,89.9,1.4,0.011,0.004,0.007,0.011
05/01/2015,09:00,183,1.1,62.1,1.0,0.014,0.004,0.006,0.010
05/01/2015,10:00,160,1.5,30.5,0.6,0.016,0.002,0.002,0.004
05/01/2015,11:00,90,2.8,26.8,1.2,0.016,0.001,0.001,0.002
05/01/2015,12:00,120,2.6,35.0,1.5,0.014,0.002,0.003,0.004
05/01/2015,13:00,142,1.5,29.9,0.9,0.013,0.004,0.005,0.009
05/01/2015,14:00,82,3.1,21.0,1.3,0.013,0.002,0.001,0.003
05/01/2015,15:00,79,3.5,18.4,1.3,0.014,0.000,0.001,0.001
05/01/2015,16:00,91,3.1,19.6,1.2,0.014,0.000,0.001,0.001
05/01/2015,17:00,99,3.0,20.9,1.2,0.013,0.001,0.001,0.002
05/01/2015,18:00,108,2.7,19.0,1.1,0.012,0.000,0.001,0.001
05/01/2015,19:00,107,2.3,18.8,0.8,0.012,0.000,0.002,0.002
05/01/2015,20:00,94,2.4,22.3,1.0,0.013,0.001,0.001,0.001
05/01/2015,21:00,84,3.6,19.2,1.6,0.014,0.001,0.001,0.002
05/01/2015,22:00,90,3.5,20.6,1.4,0.015,0.000,0.001,0.001
05/01/2015,23:00,125,2.8,18.3,1.3,0.014,0.001,0.001,0.002
06/01/2015,00:00,107,2.5,22.8,1.1,,,,
06/01/2015,01:00,112,2.2,19.5,0.8,0.013,0.001,0.002,0.003
06/01/2015,02:00,119,2.8,16.0,0.9,0.014,0.000,0.001,0.001
06/01/2015,03:00,123,2.7,15.2,1.0,0.015,0.000,0.001,0.001
06/01/2015,04:00,110,3.2,18.8,1.3,0.014,0.001,0.001,0.001
06/01/2015,05:00,119,2.6,20.1,1.0,0.014,0.000,0.002,0.002
06/01/2015,06:00,134,2.3,18.5,1.0,0.013,0.001,0.002,0.002
06/01/2015,07:00,109,3.7,19.4,1.7,0.014,0.001,0.001,0.001
06/01/2015,08:00,112,4.5,18.4,1.6,0.014,0.001,0.001,0.002
06/01/2015,09:00,104,4.1,21.8,1.6,0.014,0.001,0.001,0.001
06/01/2015,10:00,105,4.4,19.7,1.7,0.013,0.000,0.001,0.001
06/01/2015,11:00,107,4.2,22.1,1.6,0.013,0.001,0.000,0.001
06/01/2015,12:00,106,4.2,23.2,1.6,0.014,0.001,0.001,0.001
06/01/2015,13:00,105,4.5,20.0,1.6,0.015,0.001,0.001,0.002
06/01/2015,14:00,109,4.6,22.1,1.8,0.016,0.001,0.001,0.001
06/01/2015,15:00,102,4.4,21.9,1.8,0.018,0.000,0.001,0.001
06/01/2015,16:00,116,4.4,20.0,1.5,0.018,0.000,0.001,0.001
06/01/2015,17:00,122,4.4,17.7,1.7,0.019,0.000,0.002,0.002
06/01/2015,18:00,127,3.7,18.4,1.6,0.017,0.000,0.002,0.002
06/01/2015,19:00,126,3.7,16.8,1.3,0.015,0.001,0.002,0.002
06/01/2015,20:00,124,3.5,14.8,1.3,0.015,0.000,0.001,0.001
06/01/2015,21:00,132,2.6,16.5,1.0,0.014,0.000,0.002,0.002
06/01/2015,22:00,127,3.3,16.6,1.3,0.015,0.000,0.002,0.002
06/01/2015,23:00,133,2.7,15.0,1.0,0.015,0.000,0.001,0.001
07/01/2015,00:00,136,2.6,17.4,1.0,,,,
07/01/2015,01:00,188,2.3,14.0,0.7,0.010,0.001,0.005,0.006
07/01/2015,02:00,197,2.3,14.3,0.6,0.010,0.001,0.003,0.004
07/01/2015,03:00,194,2.4,15.7,0.8,0.009,0.001,0.004,0.005
07/01/2015,04:00,196,2.6,12.1,0.7,0.007,0.001,0.006,0.006
07/01/2015,05:00,193,2.9,11.5,0.7,0.006,0.002,0.007,0.009
07/01/2015,06:00,178,3.0,21.5,1.3,0.007,0.003,0.007,0.010
07/01/2015,07:00,159,2.1,29.7,0.9,0.009,0.002,0.007,0.009
07/01/2015,08:00,213,1.3,37.6,0.7,0.009,0.005,0.008,0.013
07/01/2015,09:00,144,4.1,19.2,1.6,0.016,0.002,0.002,0.004
07/01/2015,10:00,135,4.3,18.6,1.7,0.017,0.001,0.001,0.002
07/01/2015,11:00,141,3.9,25.5,2.0,0.017,0.001,0.001,0.002
07/01/2015,12:00,160,3.5,22.1,1.4,0.016,0.002,0.003,0.004
07/01/2015,13:00,158,3.2,22.7,1.3,0.017,0.002,0.003,0.005
07/01/2015,14:00,104,1.7,36.5,1.3,0.017,0.001,0.002,0.002
07/01/2015,15:00,141,2.7,21.4,1.3,0.017,0.001,0.001,0.002
07/01/2015,16:00,134,3.1,22.9,2.3,0.017,0.001,0.002,0.002
07/01/2015,17:00,157,1.7,25.3,0.8,0.014,0.001,0.004,0.005
07/01/2015,18:00,122,2.8,20.1,1.2,0.016,0.001,0.002,0.003
07/01/2015,19:00,133,2.8,16.5,1.0,0.016,0.001,0.002,0.003
07/01/2015,20:00,136,2.5,15.6,1.0,0.015,0.001,0.001,0.002
07/01/2015,21:00,165,1.7,34.0,0.7,0.013,0.001,0.004,0.005
07/01/2015,22:00,203,1.9,12.3,0.5,0.004,0.002,0.012,0.014
07/01/2015,23:00,201,2.3,11.7,0.5,0.007,0.001,0.010,0.011
08/01/2015,00:00,197,2.5,11.2,0.6,,,,
08/01/2015,01:00,199,2.7,11.0,0.6,0.008,0.001,0.009,0.010
08/01/2015,02:00,202,2.7,11.5,0.7,0.010,0.001,0.005,0.006
08/01/2015,03:00,201,2.5,12.0,0.6,0.010,0.001,0.004,0.005
08/01/2015,04:00,206,2.2,9.7,0.5,0.009,0.001,0.005,0.006
08/01/2015,05:00,209,2.3,13.1,0.7,0.008,0.003,0.006,0.009
08/01/2015,06:00,197,2.7,14.9,0.8,0.006,0.005,0.009,0.014
08/01/2015,07:00,188,2.6,16.4,0.8,0.008,0.007,0.009,0.016
08/01/2015,08:00,153,1.2,45.4,0.9,,,,
08/01/2015,09:00,173,1.7,23.5,0.8,,,,
08/01/2015,10:00,140,2.7,17.1,1.0,0.015,0.000,0.001,0.001
08/01/2015,11:00,206,1.2,39.3,0.6,0.015,0.000,0.002,0.002
08/01/2015,12:00,120,3.0,30.2,1.7,0.016,0.000,0.001,0.001
08/01/2015,13:00,77,0.6,110.1,1.3,0.015,0.000,0.000,0.000
08/01/2015,14:00,352,1.6,18.8,0.9,0.015,0.000,0.000,0.000
08/01/2015,15:00,356,1.2,32.0,0.6,0.016,0.000,0.000,0.000
08/01/2015,16:00,63,1.9,130.4,1.6,0.015,0.000,0.000,0.000
08/01/2015,17:00,98,2.9,20.9,1.2,0.014,0.000,0.000,0.000
08/01/2015,18:00,111,2.1,18.2,0.8,0.013,0.000,0.001,0.001
08/01/2015,19:00,114,2.1,17.9,0.8,0.013,0.000,0.001,0.001
08/01/2015,20:00,103,1.5,23.7,0.7,0.014,0.000,0.000,0.000
08/01/2015,21:00,94,1.5,27.4,0.7,0.014,0.000,0.000,0.000
08/01/2015,22:00,123,1.4,13.3,0.4,0.013,0.000,0.000,0.000
08/01/2015,23:00,221,0.7,46.5,0.4,0.004,0.002,0.006,0.007
09/01/2015,00:00,234,1.1,26.4,0.4,,,,
09/01/2015,01:00,228,1.4,8.9,0.3,0.003,0.000,0.005,0.005
09/01/2015,02:00,228,1.4,9.9,0.3,0.002,0.000,0.005,0.005
09/01/2015,03:00,219,1.6,10.8,0.4,0.002,0.000,0.006,0.006
09/01/2015,04:00,216,2.0,9.7,0.5,0.002,0.000,0.006,0.006
09/01/2015,05:00,214,2.2,10.0,0.5,0.002,0.004,0.006,0.010
09/01/2015,06:00,211,1.9,14.4,0.5,0.004,0.007,0.007,0.014
09/01/2015,07:00,180,1.6,27.6,0.6,0.008,0.007,0.006,0.012
09/01/2015,08:00,123,1.4,32.1,0.7,0.013,0.002,0.004,0.005
09/01/2015,09:00,58,1.5,18.2,0.5,0.018,0.000,0.001,0.001
09/01/2015,10:00,61,2.1,15.8,0.7,0.018,0.000,0.000,0.000
09/01/2015,11:00,62,2.3,15.2,0.7,0.015,0.000,0.000,0.000
09/01/2015,12:00,69,2.8,14.7,0.9,0.016,0.000,0.000,0.000
09/01/2015,13:00,69,3.2,15.5,1.0,0.014,0.000,0.000,0.000
09/01/2015,14:00,58,3.9,14.0,1.2,0.013,0.000,0.000,0.000
09/01/2015,15:00,49,4.3,9.6,1.1,0.012,0.000,0.000,0.000
09/01/2015,16:00,48,4.8,9.1,1.2,0.013,0.000,0.000,0.000
09/01/2015,17:00,45,5.1,9.2,1.1,0.013,0.000,0.000,0.000
09/01/2015,18:00,41,5.3,8.9,1.1,0.012,0.000,0.000,0.000
09/01/2015,19:00,44,4.9,10.1,1.1,0.012,0.000,0.000,0.000
09/01/2015,20:00,41,5.1,8.6,1.0,0.012,0.000,0.000,0.000
09/01/2015,21:00,38,4.7,8.8,0.9,0.013,0.000,0.000,0.000
09/01/2015,22:00,30,4.7,8.9,0.9,0.013,0.000,0.000,0.000
09/01/2015,23:00,40,5.1,9.0,1.0,0.013,0.000,0.000,0.000
10/01/2015,00:00,38,5.1,7.8,0.9,,,,
10/01/2015,01:00,39,4.2,8.5,0.9,0.014,0.000,0.000,0.000
10/01/2015,02:00,39,3.8,9.1,0.8,0.015,0.000,0.000,0.000
10/01/2015,03:00,6,2.2,170.5,0.9,0.014,0.000,0.000,0.000
10/01/2015,04:00,311,0.8,25.9,0.4,0.009,0.000,0.002,0.002
10/01/2015,05:00,260,0.7,31.8,0.3,0.005,0.001,0.006,0.007
10/01/2015,06:00,123,0.2,83.4,0.4,0.007,0.003,0.005,0.008
10/01/2015,07:00,41,1.0,36.1,0.5,0.014,0.000,0.001,0.001
10/01/2015,08:00,48,2.0,16.6,1.0,0.015,0.000,0.000,0.000
10/01/2015,09:00,51,3.4,10.7,1.0,0.015,0.000,0.000,0.000
10/01/2015,10:00,59,3.2,13.8,0.9,0.016,0.000,0.000,0.000
10/01/2015,11:00,65,3.0,13.3,0.9,0.015,0.000,0.000,0.000
10/01/2015,12:00,62,2.9,15.1,0.8,0.016,0.000,0.000,0.000
10/01/2015,13:00,55,3.1,13.0,1.0,0.015,0.000,0.000,0.000
10/01/2015,14:00,56,3.6,19.7,1.3,0.014,0.000,0.000,0.000
10/01/2015,15:00,65,3.1,24.1,1.4,0.014,0.000,0.000,0.000
