Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),PM10 (ug/m^3),Bsp (Mm^-1)
01/01/2015,00:00,54,1.2,17.2,0.4,30.1,10.6,
01/01/2015,01:00,40,0.9,23.5,0.4,30.1,,16
01/01/2015,02:00,55,0.6,28.0,0.3,29.8,6.2,14
01/01/2015,03:00,128,0.5,29.2,0.2,29.1,20.4,14
01/01/2015,04:00,103,0.6,28.2,0.3,28.6,12.7,13
01/01/2015,05:00,162,0.6,27.2,0.2,28.6,27.4,14
01/01/2015,06:00,161,0.7,34.7,0.4,29.0,26.3,15
01/01/2015,07:00,148,0.6,36.7,0.3,30.3,24.2,17
01/01/2015,08:00,82,2.1,22.0,0.8,32.3,,14
01/01/2015,09:00,92,3.2,18.4,1.0,32.9,,11
01/01/2015,10:00,97,3.2,20.1,1.3,32.3,19.2,14
01/01/2015,11:00,87,3.7,17.9,1.2,32.2,,13
01/01/2015,12:00,85,4.0,16.1,1.2,33.1,,11
01/01/2015,13:00,78,3.4,18.0,1.1,32.0,8.0,12
01/01/2015,14:00,79,3.6,14.9,1.1,31.7,9.4,15
01/01/2015,15:00,82,3.3,16.5,1.1,32.2,9.9,14
01/01/2015,16:00,84,3.7,16.1,1.1,31.9,9.3,13
01/01/2015,17:00,74,3.6,15.0,1.1,31.7,10.7,15
01/01/2015,18:00,72,3.1,17.1,1.1,31.2,12.0,17
01/01/2015,19:00,75,2.7,14.1,0.9,30.6,21.1,20
01/01/2015,20:00,78,2.1,16.4,0.8,30.3,26.9,23
01/01/2015,21:00,78,1.8,13.9,0.5,30.0,13.7,20
01/01/2015,22:00,85,1.6,14.7,0.4,29.7,8.3,18
01/01/2015,23:00,89,1.5,16.2,0.5,29.3,6.2,17
02/01/2015,00:00,111,0.4,47.8,0.3,28.6,18.2,
02/01/2015,01:00,131,0.9,24.6,0.4,28.0,20.2,17
02/01/2015,02:00,140,1.0,21.9,0.4,28.1,20.1,14
02/01/2015,03:00,177,0.7,23.8,0.4,28.0,10.3,12
02/01/2015,04:00,169,0.7,26.3,0.3,27.6,11.4,12
02/01/2015,05:00,130,0.4,79.4,0.5,27.6,15.4,13
02/01/2015,06:00,225,0.3,82.6,0.5,28.9,20.6,13
02/01/2015,07:00,170,1.5,29.5,0.7,31.2,12.8,12
02/01/2015,08:00,137,2.4,22.6,1.0,32.5,10.7,13
02/01/2015,09:00,109,3.3,20.4,1.2,32.8,,12
02/01/2015,10:00,94,3.8,18.1,1.2,34.3,,9
02/01/2015,11:00,92,4.2,17.8,1.2,34.7,4.7,10
02/01/2015,12:00,86,4.3,19.6,1.4,34.8,8.2,9
02/01/2015,13:00,75,4.3,17.1,1.4,34.0,13.1,11
02/01/2015,14:00,85,4.4,17.1,1.3,33.3,30.1,13
02/01/2015,15:00,89,4.6,17.3,1.4,32.9,,12
02/01/2015,16:00,101,3.9,15.1,1.3,32.1,10.1,11
02/01/2015,17:00,88,3.6,17.4,1.1,31.5,12.5,13
02/01/2015,18:00,86,3.0,15.4,1.0,31.0,18.8,17
02/01/2015,19:00,86,2.4,15.3,0.8,30.6,17.5,17
02/01/2015,20:00,89,2.4,15.2,0.8,30.4,18.3,18
02/01/2015,21:00,100,2.0,15.7,0.7,29.6,,12
02/01/2015,22:00,99,2.0,14.5,0.8,29.6,17.8,17
