Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),Carbon Monoxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3),Bsp (Mm^-1)
01/01/2015,00:00,56,2.2,18.6,0.8,27.9,81.7,,,,,,10.0,5.3,
01/01/2015,01:00,43,2.1,19.6,0.8,27.7,82.1,0.000,0.001,0.001,0.001,0.0,10.0,5.9,11
01/01/2015,02:00,62,2.3,17.2,0.8,27.7,81.7,0.000,0.001,0.001,0.001,0.0,8.8,4.4,13
01/01/2015,03:00,66,2.0,18.8,0.8,27.6,81.5,0.000,0.000,0.000,0.001,0.0,11.5,6.5,13
01/01/2015,04:00,87,1.5,22.6,0.7,27.5,82.4,0.000,0.001,0.001,0.001,0.0,12.2,8.0,13
01/01/2015,05:00,118,1.2,38.5,0.6,27.4,83.4,0.001,0.001,0.001,0.001,0.0,7.9,2.3,14
01/01/2015,06:00,166,1.2,20.6,0.5,27.1,86.5,0.001,0.001,0.001,0.001,0.0,10.3,5.6,15
01/01/2015,07:00,169,1.8,29.9,1.6,25.2,90.6,0.000,0.001,0.001,0.001,0.0,9.0,4.0,16
01/01/2015,08:00,164,1.2,57.1,2.3,25.0,91.2,0.000,0.001,0.001,0.001,0.0,6.4,2.5,10
01/01/2015,09:00,85,1.5,41.2,1.3,29.0,80.9,0.000,0.001,0.001,0.001,0.0,8.7,5.7,13
01/01/2015,10:00,71,2.8,22.3,0.9,30.3,73.8,0.000,0.000,0.000,0.001,0.0,9.1,4.6,12
01/01/2015,11:00,68,3.4,20.8,1.1,30.5,73.3,0.000,0.000,0.000,0.001,0.0,6.8,1.4,12
01/01/2015,12:00,61,3.7,16.1,1.3,30.4,71.9,0.000,0.001,0.001,0.001,0.0,8.1,2.3,11
01/01/2015,13:00,68,4.2,17.1,1.3,30.4,72.6,0.000,0.000,0.000,0.001,0.0,,,12
01/01/2015,14:00,72,4.3,19.4,1.5,30.5,71.9,0.000,0.000,0.000,0.001,0.0,,,13
01/01/2015,15:00,73,4.8,14.9,1.4,30.2,72.0,0.000,0.000,0.000,0.001,0.0,16.8,8.9,14
01/01/2015,16:00,81,4.0,18.8,1.5,29.4,73.7,0.001,0.000,0.001,0.001,0.0,11.8,4.0,14
01/01/2015,17:00,83,4.1,16.6,1.4,29.0,75.9,0.000,0.000,0.000,0.001,0.0,11.7,3.8,15
01/01/2015,18:00,91,3.8,18.3,1.4,28.3,76.2,0.000,0.000,0.000,0.001,0.0,14.1,6.2,14
01/01/2015,19:00,91,3.4,20.1,1.4,28.0,76.7,0.000,0.000,0.000,0.000,0.0,14.4,8.2,13
01/01/2015,20:00,92,3.4,18.5,1.3,28.0,77.6,0.000,0.000,0.000,0.001,0.0,10.7,3.9,14
01/01/2015,21:00,86,3.8,18.0,1.5,28.0,78.4,0.000,0.000,0.000,0.001,0.0,14.6,7.8,14
01/01/2015,22:00,100,3.4,22.3,1.5,27.8,79.0,0.000,0.000,0.000,0.001,0.0,15.2,8.2,15
01/01/2015,23:00,114,2.8,21.5,1.3,27.7,78.2,0.000,0.000,0.000,0.000,0.0,15.2,7.9,14
02/01/2015,00:00,114,2.5,21.8,1.2,27.6,78.6,,,,,,4.2,-2.7,
02/01/2015,01:00,132,1.4,36.8,0.8,27.1,81.1,0.000,0.000,0.000,0.001,0.0,10.0,3.4,11
02/01/2015,02:00,166,1.6,15.1,0.5,25.6,87.3,0.000,0.001,0.001,0.000,0.0,11.8,6.0,13
02/01/2015,03:00,167,1.6,16.0,0.5,25.3,88.6,0.000,0.000,0.000,0.001,0.0,3.9,-2.2,13
02/01/2015,04:00,186,1.0,44.9,0.4,24.8,90.8,0.000,0.001,0.001,0.001,0.0,5.7,-1.2,13
02/01/2015,05:00,171,1.3,21.7,0.4,24.9,90.3,0.000,0.001,0.001,0.001,0.0,9.9,3.9,12
02/01/2015,06:00,165,1.5,20.2,0.6,25.2,90.1,0.000,0.001,0.001,0.000,0.0,5.6,0.8,12
02/01/2015,07:00,148,1.3,32.1,0.7,27.9,81.9,0.000,0.001,0.001,0.000,0.0,6.1,1.7,14
02/01/2015,08:00,78,3.2,21.7,1.3,29.9,71.9,0.001,0.000,0.001,0.001,0.0,13.2,5.4,18
02/01/2015,09:00,72,3.6,17.7,1.3,29.8,72.3,0.000,0.001,0.001,0.001,0.0,19.6,7.6,20
02/01/2015,10:00,71,3.9,17.8,1.4,30.2,70.2,0.001,0.000,0.000,0.001,0.0,24.2,12.2,19
02/01/2015,11:00,73,4.3,17.6,1.3,30.0,69.4,0.001,0.000,0.001,0.001,0.0,22.5,10.7,18
02/01/2015,12:00,79,4.0,19.0,1.3,30.3,69.9,0.001,0.000,0.001,0.001,0.0,22.4,9.9,20
02/01/2015,13:00,75,4.1,20.5,1.4,30.3,68.2,0.000,0.001,0.001,0.001,0.0,19.2,6.2,19
02/01/2015,14:00,76,4.2,16.0,1.4,30.2,68.7,0.000,0.000,0.000,0.001,0.0,14.1,1.2,19
02/01/2015,15:00,74,4.3,17.1,1.4,29.9,70.3,0.001,0.000,0.000,0.001,0.0,20.6,7.5,19
02/01/2015,16:00,78,3.8,19.0,1.3,29.5,71.1,0.000,0.000,0.000,0.001,0.0,18.7,5.1,20
02/01/2015,17:00,88,3.8,18.5,1.3,29.1,73.0,0.000,0.000,0.000,0.001,0.0,16.7,4.2,21
02/01/2015,18:00,86,4.3,17.9,1.6,27.6,79.8,0.000,0.000,0.000,0.001,0.0,20.8,8.7,23
02/01/2015,19:00,92,4.3,17.9,1.5,28.0,76.9,0.000,0.000,0.000,0.001,0.0,18.0,4.8,22
02/01/2015,20:00,96,3.5,20.7,1.4,28.0,76.8,0.000,0.000,0.000,0.000,0.0,11.6,-1.3,22
