Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3),Bsp (Mm^-1)
01/01/2015,00:00,56,3.1,9.5,0.6,27.5,77.6,0.0,1009,,,,,3.8,-1.3,
01/01/2015,01:00,58,2.6,13.3,0.6,27.2,77.3,0.0,1008,0.002,0.003,0.005,0.000,8.7,3.4,
01/01/2015,02:00,63,3.0,9.8,0.6,27.1,77.2,0.0,1008,0.000,0.001,0.001,0.000,6.8,2.1,
01/01/2015,03:00,70,2.5,11.2,0.5,26.9,76.4,0.0,1008,0.000,0.001,0.001,0.000,3.1,-1.5,
01/01/2015,04:00,82,1.5,20.6,0.6,26.8,78.0,0.0,1008,0.000,0.001,0.001,0.000,5.6,1.2,
01/01/2015,05:00,128,1.0,24.7,0.5,26.6,79.7,0.0,1009,0.002,0.004,0.006,0.000,13.7,6.0,
01/01/2015,06:00,120,1.6,32.0,0.7,27.5,76.3,0.0,1010,0.001,0.002,0.003,0.000,11.7,5.0,
01/01/2015,07:00,96,2.5,39.3,0.7,27.5,75.0,0.0,1010,0.001,0.002,0.003,0.000,10.4,4.7,
01/01/2015,08:00,138,2.3,15.0,0.8,26.7,76.6,0.0,1011,0.000,0.002,0.002,0.000,12.0,4.3,
01/01/2015,09:00,84,3.1,26.2,1.1,28.3,68.1,0.0,1011,0.001,0.002,0.003,0.000,11.0,4.7,
01/01/2015,10:00,67,3.6,16.2,0.9,28.9,65.4,0.0,1011,0.001,0.002,0.003,0.000,6.7,2.0,
01/01/2015,11:00,67,4.7,23.4,0.9,29.4,62.1,0.0,1010,0.001,0.001,0.002,0.000,7.8,2.2,
01/01/2015,12:00,55,5.0,17.0,1.0,29.4,61.6,0.0,1010,0.001,0.001,0.002,0.000,7.9,1.4,
01/01/2015,13:00,62,5.9,15.1,1.2,29.4,62.1,0.0,1009,0.001,0.000,0.001,0.000,7.8,1.6,
01/01/2015,14:00,60,6.2,10.3,1.0,29.2,62.6,0.0,1009,0.001,0.000,0.001,0.000,8.6,3.1,
01/01/2015,15:00,62,6.4,10.9,1.0,29.0,65.1,0.0,1008,0.001,0.001,0.001,0.000,11.7,5.5,
01/01/2015,16:00,73,5.9,11.9,1.1,28.7,65.0,0.0,1008,0.003,0.002,0.005,0.000,11.1,2.6,
01/01/2015,17:00,85,6.5,10.9,1.1,28.3,68.9,0.0,1008,0.009,0.007,0.016,0.001,9.6,1.1,
01/01/2015,18:00,90,6.2,9.6,1.1,27.9,69.1,0.0,1009,0.002,0.003,0.004,0.001,7.4,-1.3,
01/01/2015,19:00,85,5.5,9.0,1.1,27.6,70.2,0.0,1010,0.001,0.002,0.003,0.000,10.5,2.8,
01/01/2015,20:00,81,4.6,9.6,1.0,27.5,70.7,0.0,1011,0.007,0.007,0.014,0.001,11.0,3.1,
01/01/2015,21:00,84,5.0,9.8,1.2,27.5,71.3,0.0,1011,0.002,0.006,0.008,0.001,13.4,4.5,
01/01/2015,22:00,90,5.3,8.7,1.0,27.4,72.5,0.0,1011,0.001,0.002,0.003,0.000,10.2,1.7,
01/01/2015,23:00,94,5.3,6.7,0.9,27.3,71.0,0.0,1011,0.000,0.000,0.000,0.000,10.3,3.0,
02/01/2015,00:00,92,5.6,7.1,0.9,27.3,71.2,0.0,1010,,,,,8.6,0.7,
02/01/2015,01:00,86,5.2,8.7,1.0,27.2,72.4,0.0,1010,0.002,0.002,0.004,0.000,11.9,4.5,
02/01/2015,02:00,113,2.5,30.8,1.4,26.3,76.7,0.0,1010,0.001,0.003,0.003,0.000,10.7,2.4,
02/01/2015,03:00,156,1.5,21.7,0.5,25.5,82.2,0.0,1010,0.000,0.001,0.001,0.000,,,
02/01/2015,04:00,161,1.6,16.5,0.5,25.1,83.5,0.0,1010,0.000,0.002,0.002,0.000,6.0,-1.9,
02/01/2015,05:00,156,2.0,13.7,0.6,25.0,81.0,0.0,1011,0.000,0.002,0.002,0.000,10.2,3.9,
02/01/2015,06:00,145,2.4,13.9,0.7,25.7,79.8,0.0,1012,0.001,0.001,0.002,0.000,9.7,4.5,
02/01/2015,07:00,126,2.3,29.2,0.8,26.3,77.6,0.0,1012,0.001,0.001,0.002,0.000,6.3,0.2,
