Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Sulfur Dioxide (ppm)
01/01/2013,00:00,,,,,24.4,82.0,0.0,0.001
01/01/2013,01:00,,,,,23.8,85.2,0.4,
01/01/2013,02:00,,,,,23.2,89.3,0.0,0.001
01/01/2013,03:00,,,,,23.1,89.6,0.0,0.001
01/01/2013,04:00,,,,,23.1,89.7,0.0,0.000
01/01/2013,05:00,,,,,23.1,88.5,0.0,0.001
01/01/2013,06:00,,,,,24.2,84.6,0.0,0.000
01/01/2013,07:00,,,,,26.2,75.2,0.0,0.001
01/01/2013,08:00,,,,,28.3,61.4,0.0,0.000
01/01/2013,09:00,,,,,29.3,57.5,0.0,0.000
01/01/2013,10:00,,,,,30.2,56.1,0.0,0.000
01/01/2013,11:00,,,,,30.4,54.3,0.0,0.000
01/01/2013,12:00,,,,,30.8,53.1,0.0,0.000
01/01/2013,13:00,,,,,30.4,59.9,0.0,0.000
01/01/2013,14:00,,,,,31.0,55.6,0.0,0.001
01/01/2013,15:00,,,,,30.2,57.6,0.0,0.000
01/01/2013,16:00,,,,,29.0,62.1,0.0,0.000
01/01/2013,17:00,,,,,28.6,64.0,0.0,0.001
01/01/2013,18:00,,,,,27.3,72.1,0.0,0.001
01/01/2013,19:00,,,,,26.6,77.5,0.0,0.001
01/01/2013,20:00,,,,,26.1,80.4,0.0,0.001
01/01/2013,21:00,,,,,25.8,82.7,0.0,0.001
01/01/2013,22:00,,,,,25.7,83.4,0.0,0.001
01/01/2013,23:00,,,,,25.8,81.4,0.0,0.001
02/01/2013,00:00,,,,,24.8,85.0,0.0,0.000
02/01/2013,01:00,,,,,24.4,85.1,0.0,
02/01/2013,02:00,,,,,24.1,84.2,0.0,0.000
02/01/2013,03:00,,,,,23.6,86.0,0.0,0.000
02/01/2013,04:00,,,,,23.6,87.4,0.0,0.001
02/01/2013,05:00,,,,,23.3,88.2,0.0,0.001
02/01/2013,06:00,,,,,24.7,82.3,0.0,0.001
02/01/2013,07:00,,,,,26.2,75.0,0.0,0.001
02/01/2013,08:00,,,,,28.2,64.4,0.0,0.001
02/01/2013,09:00,,,,,29.0,59.6,0.0,0.001
02/01/2013,10:00,,,,,30.3,53.1,0.0,0.001
02/01/2013,11:00,,,,,30.6,55.0,0.0,0.001
02/01/2013,12:00,,,,,30.4,59.0,0.0,0.002
02/01/2013,13:00,,,,,31.3,54.1,0.0,0.002
02/01/2013,14:00,,,,,30.9,53.6,0.0,0.000
02/01/2013,15:00,,,,,29.9,60.0,0.0,0.000
02/01/2013,16:00,,,,,29.0,63.9,0.0,0.000
02/01/2013,17:00,,,,,28.2,68.1,0.0,0.000
02/01/2013,18:00,,,,,27.0,76.6,0.0,0.000
02/01/2013,19:00,,,,,26.4,80.1,0.0,0.001
02/01/2013,20:00,,,,,26.0,83.2,0.0,0.000
02/01/2013,21:00,,,,,25.5,84.5,0.0,0.000
02/01/2013,22:00,,,,,25.5,84.2,0.0,0.000
