Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3),Bsp (Mm^-1)
01/01/2013,00:00,131,1.2,29.7,0.6,24.3,74.5,0.0,1009,,,,,,,
01/01/2013,01:00,134,1.2,30.7,0.7,24.5,73.6,0.0,1008,0.001,0.004,0.005,0.001,,,19
01/01/2013,02:00,130,1.0,24.9,0.6,24.5,73.4,0.0,1008,0.001,0.002,0.003,0.001,,,20
01/01/2013,03:00,144,0.9,39.6,0.6,23.9,77.9,0.0,1008,0.001,0.002,0.003,0.001,,,20
01/01/2013,04:00,142,0.9,35.0,0.6,23.4,81.8,0.0,1008,0.000,0.001,0.001,0.001,,,20
01/01/2013,05:00,146,0.9,37.3,0.7,23.5,80.6,0.0,1009,0.001,0.001,0.002,0.001,,,19
01/01/2013,06:00,158,1.1,38.0,0.8,23.8,79.2,0.0,1009,0.000,0.002,0.002,0.001,,,16
01/01/2013,07:00,124,1.4,30.7,0.8,24.5,75.7,0.1,1010,0.001,0.002,0.003,0.001,,,17
01/01/2013,08:00,137,1.0,46.6,0.8,24.0,80.9,0.3,1010,0.001,0.001,0.002,0.000,,,16
01/01/2013,09:00,139,0.9,37.2,0.6,25.0,77.5,0.0,1010,0.001,0.000,0.001,0.001,,,16
01/01/2013,10:00,110,2.5,19.2,1.1,26.6,69.0,0.0,1010,0.005,0.005,0.010,0.005,,,19
01/01/2013,11:00,100,3.4,13.6,1.0,26.8,68.4,0.5,1009,0.006,0.008,0.014,0.005,,,19
01/01/2013,12:00,115,0.9,50.7,0.9,25.6,82.0,0.0,1009,0.002,0.004,0.006,0.002,,,21
01/01/2013,13:00,106,1.8,43.2,1.4,26.9,73.4,0.0,1009,0.004,0.004,0.007,0.002,,,19
01/01/2013,14:00,90,3.3,15.1,1.0,27.4,66.9,0.0,1008,0.001,0.001,0.002,0.002,,,16
01/01/2013,15:00,90,2.3,18.6,1.1,27.0,68.8,0.0,1008,0.001,0.001,0.002,0.001,,,16
01/01/2013,16:00,149,0.4,47.6,0.4,25.7,79.4,0.4,1008,0.001,0.002,0.003,0.001,,,17
01/01/2013,17:00,203,0.5,26.4,0.3,24.9,85.5,0.0,1008,0.001,0.002,0.003,0.000,,,16
01/01/2013,18:00,154,0.4,47.2,0.3,24.9,86.4,0.0,1008,0.001,0.003,0.004,0.001,,,18
01/01/2013,19:00,119,0.8,17.5,0.4,25.0,85.1,0.0,1008,0.001,0.005,0.006,0.001,,,20
01/01/2013,20:00,117,0.6,35.8,0.5,25.2,83.0,0.0,1008,0.001,0.003,0.004,0.001,,,19
01/01/2013,21:00,161,0.3,42.2,0.3,24.8,86.1,0.0,1008,0.001,0.005,0.006,0.001,,,18
01/01/2013,22:00,140,0.4,29.8,0.2,24.7,86.5,0.0,1008,0.001,0.005,0.005,0.001,,,18
01/01/2013,23:00,144,0.6,35.7,0.4,24.8,83.2,0.0,1008,0.000,0.005,0.005,0.001,,,17
02/01/2013,00:00,165,0.6,39.2,0.5,24.8,82.4,0.0,1007,,,,,,,
02/01/2013,01:00,151,0.4,50.8,0.3,24.4,83.0,0.0,1007,0.001,0.003,0.004,0.002,,,18
02/01/2013,02:00,160,0.6,45.8,0.5,23.7,84.2,0.0,1006,0.000,0.002,0.002,0.001,,,15
02/01/2013,03:00,164,0.6,42.8,0.5,23.5,84.8,0.0,1006,0.000,0.001,0.001,0.001,,,14
02/01/2013,04:00,154,0.5,41.7,0.4,23.4,84.1,0.0,1006,0.000,0.001,0.001,0.001,,,15
02/01/2013,05:00,170,0.6,38.0,0.4,23.6,82.7,0.0,1006,0.001,0.001,0.002,0.001,,,17
02/01/2013,06:00,167,0.7,41.3,0.6,25.4,75.3,0.0,1007,0.001,0.000,0.001,0.000,,,19
02/01/2013,07:00,167,0.9,39.2,0.6,26.0,73.3,0.0,1007,0.001,0.000,0.001,0.001,,,18
02/01/2013,08:00,172,1.0,45.2,0.8,26.7,71.5,0.0,1007,0.001,0.002,0.002,0.002,,,19
02/01/2013,09:00,183,1.0,46.7,0.7,27.9,65.0,0.0,1007,0.001,0.001,0.001,0.002,,,19
02/01/2013,10:00,181,0.8,60.8,0.8,29.2,57.0,0.0,1006,0.001,0.002,0.003,0.001,,,19
02/01/2013,11:00,77,2.3,33.7,1.3,29.9,53.8,0.0,1006,0.006,0.007,0.013,0.004,,,19
02/01/2013,12:00,71,3.7,20.7,1.4,30.9,47.5,0.0,1005,0.005,0.006,0.011,0.005,,,16
02/01/2013,13:00,72,3.2,25.5,1.3,31.4,46.6,0.0,1004,0.003,0.004,0.006,0.004,,,18
02/01/2013,14:00,72,4.0,21.6,1.4,30.8,52.3,0.0,1004,0.001,0.001,0.002,0.001,,,17
02/01/2013,15:00,64,4.0,16.8,1.3,29.8,53.2,0.0,1004,0.001,0.001,0.002,0.001,,,14
02/01/2013,16:00,66,3.3,18.0,1.0,29.3,52.2,0.0,1004,0.001,0.000,0.001,0.000,,,12
02/01/2013,17:00,74,3.0,15.1,1.0,28.8,51.9,0.0,1004,0.001,0.001,0.001,0.000,,,12
02/01/2013,18:00,90,1.7,16.1,0.7,27.7,61.0,0.0,1005,0.001,0.001,0.002,0.001,,,13
02/01/2013,19:00,102,0.8,26.2,0.4,26.4,70.8,0.0,1006,0.001,0.003,0.004,0.001,,,17
02/01/2013,20:00,191,0.5,18.0,0.2,25.3,77.5,0.0,1006,0.001,0.003,0.004,0.001,,,24
02/01/2013,21:00,168,0.4,30.7,0.3,24.5,81.6,0.0,1007,0.002,0.004,0.006,0.001,,,16
02/01/2013,22:00,184,0.4,43.1,0.3,24.7,83.0,0.0,1007,0.003,0.006,0.008,0.001,,,16
02/01/2013,23:00,174,0.1,63.8,0.2,24.0,84.9,0.0,1007,0.004,0.004,0.008,0.001,,,13
03/01/2013,00:00,138,0.5,34.3,0.3,24.2,85.7,0.0,1007,,,,,,,
03/01/2013,01:00,132,1.0,25.1,0.5,24.4,83.9,0.0,1006,0.014,0.011,0.025,0.008,,,17
03/01/2013,02:00,140,0.8,34.1,0.5,24.0,82.8,0.0,1006,0.005,0.009,0.014,0.007,,,16
03/01/2013,03:00,131,0.8,25.3,0.5,23.7,81.6,0.0,1007,0.001,0.004,0.004,0.003,,,13
03/01/2013,04:00,130,0.8,30.8,0.5,23.4,81.8,0.0,1007,0.000,0.002,0.002,0.001,,,11
03/01/2013,05:00,145,0.8,35.0,0.5,23.7,80.1,0.0,1007,0.000,0.001,0.001,0.001,,,12
03/01/2013,06:00,126,1.3,25.8,0.8,25.1,73.9,0.0,1008,0.002,0.002,0.003,0.001,,,12
03/01/2013,07:00,114,3.1,16.1,1.3,26.7,65.3,0.0,1009,0.005,0.004,0.009,0.004,,,12
03/01/2013,08:00,109,3.9,16.5,1.5,27.9,56.0,0.0,1009,0.009,0.005,0.014,0.011,,,12
03/01/2013,09:00,98,5.2,15.3,1.6,28.5,52.6,0.0,1009,0.005,0.003,0.007,0.004,,,12
03/01/2013,10:00,89,6.0,14.1,1.8,28.9,51.6,0.0,1008,0.002,0.001,0.003,0.001,,,12
03/01/2013,11:00,91,5.8,14.9,1.8,29.6,47.7,0.0,1008,0.002,0.001,0.003,0.001,,,13
03/01/2013,12:00,99,5.3,15.1,1.7,29.9,46.4,0.0,1008,0.002,0.002,0.004,0.002,,,14
03/01/2013,13:00,84,5.9,17.2,1.6,29.9,47.1,0.0,1007,0.001,0.001,0.002,0.001,,,14
03/01/2013,14:00,81,5.7,16.9,1.8,29.8,49.7,0.0,1007,0.001,0.000,0.001,0.001,,,17
03/01/2013,15:00,90,5.7,14.2,1.5,29.2,54.2,0.0,1006,0.001,0.000,0.001,0.001,,,19
03/01/2013,16:00,87,5.6,14.0,1.5,28.5,56.8,0.0,1006,0.001,0.000,0.001,0.001,,,19
03/01/2013,17:00,97,4.4,13.6,1.4,27.7,62.1,0.0,1007,0.001,0.001,0.002,0.001,,,21
03/01/2013,18:00,99,4.0,11.8,1.2,27.1,67.3,0.0,1007,0.001,0.002,0.003,0.001,,,21
03/01/2013,19:00,94,4.3,12.5,1.3,26.8,70.6,0.0,1008,0.001,0.005,0.005,0.002,,,22
03/01/2013,20:00,95,4.3,12.4,1.3,26.6,73.0,0.0,1008,0.001,0.004,0.005,0.002,,,26
03/01/2013,21:00,102,4.5,12.0,1.5,26.5,72.3,0.0,1009,0.001,0.006,0.006,0.001,,,31
03/01/2013,22:00,111,3.9,12.4,1.3,26.2,70.8,0.0,1009,0.003,0.009,0.012,0.001,,,31
03/01/2013,23:00,112,3.1,12.3,1.3,25.9,71.2,0.0,1008,0.001,0.006,0.006,0.002,,,28
04/01/2013,00:00,116,2.6,17.4,1.1,25.6,69.3,0.0,1008,,,,,,,
04/01/2013,01:00,131,1.6,22.2,0.8,24.7,70.1,0.0,1008,0.000,0.007,0.007,0.003,,,27
04/01/2013,02:00,129,1.4,24.3,0.6,23.7,70.9,0.0,1007,0.000,0.006,0.006,0.001,,,35
04/01/2013,03:00,127,1.1,24.8,0.6,23.1,73.0,0.0,1007,0.000,0.003,0.003,0.001,,,31
04/01/2013,04:00,131,0.9,26.3,0.5,22.9,74.1,0.0,1008,0.000,0.003,0.003,0.001,,,28
04/01/2013,05:00,141,0.8,38.9,0.6,22.8,74.0,0.0,1008,0.001,0.001,0.002,0.001,,,25
04/01/2013,06:00,134,1.3,31.7,0.8,24.4,67.5,0.0,1009,0.001,0.001,0.002,0.001,,,26
04/01/2013,07:00,123,2.3,23.4,1.3,26.0,60.7,0.0,1009,0.001,0.003,0.004,0.001,,,24
04/01/2013,08:00,110,3.8,15.3,1.5,27.2,54.0,0.0,1009,0.005,0.005,0.010,0.006,,,23
04/01/2013,09:00,96,5.0,17.0,1.7,27.7,53.6,0.0,1009,0.006,0.007,0.013,0.007,,,24
04/01/2013,10:00,90,6.3,13.5,1.7,28.3,49.4,0.0,1009,0.002,0.001,0.003,0.002,,,23
04/01/2013,11:00,85,5.9,16.5,1.6,28.8,45.9,0.0,1009,0.001,0.000,0.001,0.001,,,20
04/01/2013,12:00,90,4.9,17.8,1.4,29.6,42.6,0.0,1008,0.001,0.002,0.003,0.001,,,20
04/01/2013,13:00,95,4.7,17.7,1.5,29.5,46.0,0.0,1008,0.002,0.002,0.004,0.002,,,22
04/01/2013,14:00,90,4.4,20.3,1.4,29.5,46.7,0.0,1007,0.001,0.002,0.003,0.001,,,21
04/01/2013,15:00,94,5.0,14.3,1.5,28.7,51.9,0.0,1007,0.001,0.001,0.002,0.001,,,22
