Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Sulfur Dioxide (ppm)
01/01/2013,00:00,33,2.8,13.1,0.9,
01/01/2013,01:00,27,1.7,23.9,1.0,0.000
01/01/2013,02:00,299,0.3,39.1,0.2,0.001
01/01/2013,03:00,327,0.4,24.6,0.2,0.001
01/01/2013,04:00,331,0.7,15.8,0.4,0.001
01/01/2013,05:00,20,1.3,19.3,0.5,0.000
01/01/2013,06:00,13,1.2,157.1,0.6,0.001
01/01/2013,07:00,13,1.8,23.9,1.0,0.001
01/01/2013,08:00,13,2.5,23.2,1.3,0.000
01/01/2013,09:00,27,2.8,23.7,1.1,0.001
01/01/2013,10:00,35,2.0,34.7,1.0,0.001
01/01/2013,11:00,25,2.2,34.8,1.3,0.001
01/01/2013,12:00,50,2.0,38.6,1.3,0.001
01/01/2013,13:00,72,1.9,43.2,1.4,0.000
01/01/2013,14:00,89,2.0,40.9,1.4,0.000
01/01/2013,15:00,79,2.3,33.6,1.4,0.000
01/01/2013,16:00,78,2.5,31.4,1.6,0.000
01/01/2013,17:00,74,2.9,22.8,1.6,0.000
01/01/2013,18:00,77,1.7,33.8,1.2,0.000
01/01/2013,19:00,79,1.5,24.5,1.0,0.000
01/01/2013,20:00,73,0.8,20.8,0.4,0.000
01/01/2013,21:00,61,0.4,41.8,0.3,0.000
01/01/2013,22:00,101,0.3,41.3,0.2,0.001
01/01/2013,23:00,164,0.2,78.7,0.3,0.001
02/01/2013,00:00,202,0.1,93.0,0.2,
02/01/2013,01:00,205,0.3,43.1,0.2,0.001
02/01/2013,02:00,168,0.6,27.4,0.2,0.001
02/01/2013,03:00,163,0.6,20.8,0.2,0.000
02/01/2013,04:00,55,1.2,17.6,0.5,0.000
02/01/2013,05:00,76,1.4,18.6,0.7,0.001
02/01/2013,06:00,80,1.4,15.7,0.6,0.001
02/01/2013,07:00,65,2.0,17.7,1.1,0.001
02/01/2013,08:00,53,2.4,20.8,1.0,0.000
02/01/2013,09:00,29,2.6,21.9,1.1,0.001
02/01/2013,10:00,22,1.9,39.1,1.1,0.001
02/01/2013,11:00,57,1.5,57.4,1.3,0.001
02/01/2013,12:00,67,2.6,36.7,1.6,0.001
02/01/2013,13:00,67,3.3,26.5,1.8,0.000
02/01/2013,14:00,63,3.9,23.9,1.7,0.000
02/01/2013,15:00,73,2.9,29.6,1.7,0.000
02/01/2013,16:00,81,2.2,34.3,1.6,0.000
02/01/2013,17:00,76,2.2,31.6,1.4,0.000
02/01/2013,18:00,73,2.6,25.7,1.4,0.000
02/01/2013,19:00,78,1.6,32.5,1.1,0.000
02/01/2013,20:00,75,0.8,25.0,0.4,0.000
02/01/2013,21:00,75,0.6,19.8,0.3,0.000
02/01/2013,22:00,63,0.1,77.6,0.2,0.001
02/01/2013,23:00,32,0.2,172.0,0.2,0.001
03/01/2013,00:00,161,0.3,62.7,0.4,
03/01/2013,01:00,156,0.5,21.6,0.2,0.001
03/01/2013,02:00,192,0.3,49.1,0.2,0.001
03/01/2013,03:00,294,0.3,50.4,0.1,0.000
03/01/2013,04:00,359,0.7,163.7,0.2,0.001
03/01/2013,05:00,16,0.4,39.8,0.2,0.001
03/01/2013,06:00,47,0.7,15.0,0.2,0.001
03/01/2013,07:00,67,0.5,39.5,0.3,0.002
03/01/2013,08:00,251,0.2,88.0,0.3,0.011
03/01/2013,09:00,352,0.7,55.2,0.5,0.004
03/01/2013,10:00,8,1.3,180.9,1.0,0.001
03/01/2013,11:00,42,2.0,41.3,1.3,0.001
03/01/2013,12:00,53,2.4,40.8,1.5,0.001
03/01/2013,13:00,80,2.6,29.3,1.5,0.000
03/01/2013,14:00,70,2.0,43.7,1.5,0.000
03/01/2013,15:00,75,2.2,36.1,1.4,0.000
03/01/2013,16:00,57,1.9,39.2,1.3,0.000
03/01/2013,17:00,48,2.5,26.4,1.4,0.000
03/01/2013,18:00,45,2.4,18.2,1.1,0.000
03/01/2013,19:00,31,1.9,12.9,0.6,0.000
03/01/2013,20:00,20,1.2,12.6,0.5,0.000
03/01/2013,21:00,338,0.4,58.0,0.4,0.000
03/01/2013,22:00,8,0.1,102.7,0.2,0.001
03/01/2013,23:00,30,0.4,38.3,0.2,0.001
04/01/2013,00:00,92,0.3,53.6,0.2,
04/01/2013,01:00,135,0.1,95.0,0.2,0.001
04/01/2013,02:00,6,0.1,174.4,0.3,0.001
04/01/2013,03:00,166,0.3,50.9,0.2,0.002
04/01/2013,04:00,11,0.7,165.4,0.5,0.002
04/01/2013,05:00,18,0.5,159.5,0.3,0.001
04/01/2013,06:00,43,0.3,75.1,0.3,0.001
04/01/2013,07:00,12,1.1,164.3,0.6,0.001
04/01/2013,08:00,354,1.0,42.3,0.8,0.001
04/01/2013,09:00,12,1.7,173.5,0.8,0.001
04/01/2013,10:00,16,2.5,27.6,1.3,0.001
04/01/2013,11:00,15,2.8,27.6,1.4,0.001
04/01/2013,12:00,8,2.6,174.1,1.3,0.001
04/01/2013,13:00,32,1.5,53.6,1.2,0.001
04/01/2013,14:00,20,1.8,173.7,1.2,0.000
04/01/2013,15:00,27,1.8,54.2,1.4,0.000
04/01/2013,16:00,43,2.2,32.0,1.2,0.000
04/01/2013,17:00,55,2.7,17.5,1.6,0.000
04/01/2013,18:00,39,2.5,18.6,1.2,0.000
04/01/2013,19:00,50,1.0,39.7,0.8,0.000
04/01/2013,20:00,166,2.0,26.3,1.2,0.000
04/01/2013,21:00,161,1.3,20.9,0.6,0.000
04/01/2013,22:00,145,0.6,41.4,0.3,0.000
04/01/2013,23:00,161,0.3,62.8,0.2,0.001
05/01/2013,00:00,149,0.4,39.6,0.4,
05/01/2013,01:00,180,0.5,25.1,0.2,0.001
05/01/2013,02:00,56,0.9,62.6,0.8,0.000
05/01/2013,03:00,51,1.4,18.0,0.6,0.000
05/01/2013,04:00,339,0.3,152.7,0.3,0.001
05/01/2013,05:00,311,0.4,44.4,0.2,0.001
05/01/2013,06:00,292,0.2,130.9,0.2,0.001
05/01/2013,07:00,357,0.5,152.0,0.4,0.000
05/01/2013,08:00,24,2.0,26.9,1.0,0.000
05/01/2013,09:00,25,2.8,24.2,1.1,0.001
05/01/2013,10:00,18,3.5,20.8,1.4,0.001
05/01/2013,11:00,13,3.1,27.6,1.5,0.001
05/01/2013,12:00,22,3.4,25.4,1.6,0.001
05/01/2013,13:00,38,2.6,37.8,1.6,0.000
05/01/2013,14:00,50,2.5,43.4,1.5,0.000
05/01/2013,15:00,59,2.6,34.1,1.7,0.000
05/01/2013,16:00,81,2.6,34.1,1.8,0.000
05/01/2013,17:00,79,3.2,26.2,1.9,0.000
05/01/2013,18:00,86,2.5,25.5,1.6,0.000
05/01/2013,19:00,73,2.0,21.8,1.1,0.000
05/01/2013,20:00,49,1.0,22.2,0.5,0.000
05/01/2013,21:00,59,1.0,24.0,0.5,0.000
05/01/2013,22:00,50,1.5,20.1,0.7,0.000
05/01/2013,23:00,63,2.5,16.8,1.1,0.000
06/01/2013,00:00,65,2.1,15.5,1.0,
06/01/2013,01:00,64,2.5,16.9,1.1,0.000
06/01/2013,02:00,69,2.2,16.8,0.9,0.001
06/01/2013,03:00,68,2.2,17.2,1.0,0.000
06/01/2013,04:00,50,2.3,18.2,0.9,0.001
06/01/2013,05:00,57,1.5,23.0,0.7,0.000
06/01/2013,06:00,58,1.8,18.6,0.9,0.001
06/01/2013,07:00,51,2.1,20.2,1.0,0.000
06/01/2013,08:00,33,3.1,16.1,1.1,0.001
06/01/2013,09:00,26,3.1,20.5,1.2,0.001
06/01/2013,10:00,13,2.8,23.0,1.3,0.001
06/01/2013,11:00,45,3.7,24.3,1.7,0.001
06/01/2013,12:00,42,3.7,25.3,1.7,0.001
06/01/2013,13:00,58,2.9,27.4,1.6,0.000
06/01/2013,14:00,55,2.9,34.7,1.8,0.001
06/01/2013,15:00,70,2.7,30.4,1.6,0.000
06/01/2013,16:00,79,2.6,33.9,1.8,0.000
06/01/2013,17:00,78,2.8,23.9,1.7,0.000
06/01/2013,18:00,75,3.0,19.1,1.6,0.000
06/01/2013,19:00,74,2.3,22.1,1.3,0.000
06/01/2013,20:00,59,1.9,17.0,0.9,0.000
06/01/2013,21:00,51,1.7,18.6,0.9,0.000
06/01/2013,22:00,51,1.4,18.7,0.7,0.000
06/01/2013,23:00,52,1.5,24.5,0.8,0.000
07/01/2013,00:00,89,0.7,33.7,0.5,
07/01/2013,01:00,75,1.3,23.7,0.7,0.001
07/01/2013,02:00,73,1.4,24.2,0.9,0.001
07/01/2013,03:00,72,2.0,19.2,1.0,0.001
07/01/2013,04:00,66,2.1,17.9,1.0,0.000
07/01/2013,05:00,57,2.1,18.1,1.1,0.000
07/01/2013,06:00,50,1.8,21.9,0.9,0.001
07/01/2013,07:00,32,2.2,27.5,1.1,0.001
07/01/2013,08:00,28,3.8,14.0,1.2,0.001
07/01/2013,09:00,11,3.3,172.6,1.4,0.001
07/01/2013,10:00,356,2.6,24.5,1.3,0.001
07/01/2013,11:00,346,2.4,26.2,1.3,0.001
07/01/2013,12:00,26,2.0,40.7,1.3,0.001
07/01/2013,13:00,78,1.9,43.7,1.5,0.000
07/01/2013,14:00,52,1.8,53.6,1.5,0.000
07/01/2013,15:00,36,1.8,56.0,1.6,0.000
07/01/2013,16:00,71,1.9,38.9,1.2,0.000
07/01/2013,17:00,66,1.8,34.4,1.2,0.000
07/01/2013,18:00,59,2.6,21.3,1.3,0.000
07/01/2013,19:00,46,2.1,16.9,1.1,0.000
07/01/2013,20:00,49,1.4,20.3,0.7,0.000
07/01/2013,21:00,55,1.7,19.6,1.0,0.000
