Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),Ozone (ppm),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm)
01/01/2013,00:00,237,0.8,20.3,0.3,19.4,87.0,0.0,1012,,,,
01/01/2013,01:00,248,0.9,9.4,0.2,18.6,90.1,0.0,1011,0.000,0.004,0.006,0.009
01/01/2013,02:00,241,1.3,6.9,0.2,18.3,91.3,0.0,1011,0.000,0.005,0.005,0.010
01/01/2013,03:00,241,1.0,14.5,0.2,18.3,90.9,0.0,1011,0.000,0.005,0.004,0.009
01/01/2013,04:00,233,1.1,16.8,0.2,18.3,90.3,0.0,1011,0.000,0.004,0.004,0.008
01/01/2013,05:00,267,1.2,28.2,0.4,18.3,89.5,0.0,1012,0.001,0.004,0.004,0.007
01/01/2013,06:00,227,1.1,18.9,0.4,20.5,81.2,0.0,1012,0.007,0.002,0.002,0.004
01/01/2013,07:00,266,0.7,46.8,0.5,24.0,67.3,0.0,1012,0.013,0.001,0.001,0.002
01/01/2013,08:00,31,1.0,61.2,0.8,25.6,59.5,0.0,1012,0.019,0.000,0.000,0.000
01/01/2013,09:00,52,1.2,68.1,0.9,26.8,56.0,0.0,1012,0.020,0.000,0.000,0.000
01/01/2013,10:00,50,1.4,54.3,1.1,27.7,50.6,0.0,1011,0.023,0.000,0.000,0.000
01/01/2013,11:00,43,2.0,36.5,0.9,28.4,48.9,0.0,1011,0.026,0.000,0.000,0.000
01/01/2013,12:00,57,1.8,39.0,1.0,28.7,50.3,0.0,1010,0.028,0.000,0.000,0.000
01/01/2013,13:00,41,2.4,27.7,1.0,28.9,50.4,0.0,1009,0.028,0.000,0.001,0.001
01/01/2013,14:00,59,2.9,24.3,1.2,28.7,50.2,0.0,1009,0.026,0.000,0.000,0.000
01/01/2013,15:00,57,3.3,22.6,1.0,28.0,52.7,0.0,1008,0.023,0.000,0.000,0.000
01/01/2013,16:00,69,3.6,18.2,1.1,27.8,54.2,0.0,1008,0.021,0.000,0.000,0.000
01/01/2013,17:00,68,3.7,15.1,0.9,26.7,58.7,0.0,1008,0.019,0.000,0.000,0.000
01/01/2013,18:00,68,2.7,11.1,0.9,25.7,64.0,0.0,1009,0.017,0.000,0.001,0.001
01/01/2013,19:00,57,2.0,14.6,0.6,24.7,68.5,0.0,1009,0.015,0.000,0.002,0.002
01/01/2013,20:00,82,1.4,29.4,0.6,24.1,72.3,0.0,1009,0.013,0.000,0.002,0.002
01/01/2013,21:00,124,0.3,49.7,0.2,22.8,79.1,0.0,1010,0.007,0.000,0.003,0.003
01/01/2013,22:00,,0.0,116.0,0.1,21.9,83.4,0.0,1010,0.004,0.000,0.004,0.004
01/01/2013,23:00,290,0.5,43.1,0.3,21.0,87.2,0.0,1009,0.003,0.001,0.005,0.006
02/01/2013,00:00,238,0.8,13.0,0.3,20.4,89.1,0.0,1009,,,,
02/01/2013,01:00,261,0.1,100.7,0.2,20.1,89.9,0.0,1008,0.000,0.001,0.006,0.007
02/01/2013,02:00,245,0.6,53.5,0.3,19.4,92.1,0.0,1007,0.000,0.003,0.004,0.006
02/01/2013,03:00,265,0.7,18.3,0.2,19.0,92.6,0.0,1007,0.000,0.004,0.004,0.008
02/01/2013,04:00,265,0.3,52.6,0.2,18.5,93.0,0.0,1007,0.000,0.004,0.003,0.007
02/01/2013,05:00,260,0.3,47.3,0.2,18.1,93.2,0.0,1008,0.000,0.005,0.002,0.007
02/01/2013,06:00,241,0.7,37.1,0.4,19.8,91.0,0.1,1008,0.003,0.005,0.003,0.008
02/01/2013,07:00,228,1.0,31.9,0.6,23.2,77.3,0.0,1008,0.011,0.002,0.002,0.003
02/01/2013,08:00,274,0.8,61.7,0.6,25.9,64.7,0.0,1008,0.019,0.001,0.001,0.002
02/01/2013,09:00,285,1.0,63.8,0.9,28.0,56.4,0.0,1007,0.022,0.000,0.001,0.001
02/01/2013,10:00,354,0.4,164.8,0.8,29.7,50.4,0.0,1007,0.026,0.001,0.001,0.002
02/01/2013,11:00,300,0.9,70.1,0.9,31.8,43.7,0.0,1006,0.028,0.000,0.001,0.001
02/01/2013,12:00,279,0.6,115.0,1.1,33.4,36.6,0.0,1005,0.030,0.000,0.001,0.001
02/01/2013,13:00,28,0.5,126.4,0.9,34.9,32.0,0.0,1004,0.032,0.000,0.001,0.001
02/01/2013,14:00,82,1.9,46.5,1.5,35.5,30.4,0.0,1003,0.036,0.000,0.000,0.000
02/01/2013,15:00,85,4.9,13.4,1.5,34.8,36.5,0.0,1003,0.053,0.000,0.002,0.002
02/01/2013,16:00,85,5.2,13.2,1.5,32.7,42.3,0.0,1004,0.042,0.000,0.001,0.001
02/01/2013,17:00,83,5.1,12.9,1.4,30.6,47.6,0.0,1005,0.040,0.000,0.001,0.001
02/01/2013,18:00,85,3.7,13.8,1.2,28.1,55.5,0.0,1007,0.027,0.000,0.001,0.001
02/01/2013,19:00,86,3.4,9.8,0.9,26.6,64.1,0.0,1008,0.021,0.000,0.001,0.001
02/01/2013,20:00,106,2.1,23.0,1.0,26.4,63.2,0.0,1009,0.027,0.000,0.001,0.001
02/01/2013,21:00,117,1.2,37.1,0.7,26.1,62.3,0.0,1010,0.028,0.000,0.001,0.001
02/01/2013,22:00,120,0.9,31.4,0.4,25.3,66.4,0.0,1010,0.024,0.000,0.001,0.001
02/01/2013,23:00,127,1.3,21.9,0.8,24.8,69.7,0.0,1010,0.021,0.000,0.001,0.001
03/01/2013,00:00,157,1.8,28.2,0.9,24.8,63.3,0.0,1009,,,,
03/01/2013,01:00,182,1.7,31.3,1.1,24.3,64.3,0.0,1009,0.022,0.000,0.001,0.001
03/01/2013,02:00,205,0.8,30.1,0.4,23.6,67.1,0.0,1009,0.021,0.000,0.001,0.001
03/01/2013,03:00,172,1.8,17.6,0.7,23.3,67.9,0.0,1009,0.020,0.000,0.001,0.001
03/01/2013,04:00,179,1.3,15.0,0.4,22.9,69.3,0.0,1010,0.021,0.000,0.000,0.000
03/01/2013,05:00,211,1.0,28.8,0.4,22.1,72.9,0.0,1010,0.013,0.001,0.004,0.005
03/01/2013,06:00,201,1.2,50.3,0.9,23.5,67.9,0.0,1011,0.016,0.002,0.003,0.005
03/01/2013,07:00,140,2.9,27.1,1.3,25.5,55.1,0.0,1011,0.024,0.000,0.000,0.000
03/01/2013,08:00,139,2.6,32.4,1.4,26.2,52.0,0.0,1011,0.026,0.000,0.000,0.000
03/01/2013,09:00,148,1.9,36.6,1.0,27.1,49.3,0.0,1011,0.026,0.000,0.000,0.000
03/01/2013,10:00,152,1.4,57.7,1.1,28.2,44.6,0.0,1011,0.026,0.001,0.001,0.001
03/01/2013,11:00,89,2.0,45.4,1.3,29.1,42.3,0.0,1010,0.028,0.000,0.000,0.000
03/01/2013,12:00,80,2.7,29.1,1.3,29.9,40.3,0.0,1009,0.028,0.000,0.000,0.000
03/01/2013,13:00,82,5.4,17.3,1.8,29.5,46.4,0.0,1009,0.030,0.000,0.001,0.001
03/01/2013,14:00,85,5.9,13.3,2.0,28.5,49.2,0.0,1008,0.028,0.000,0.001,0.001
03/01/2013,15:00,79,6.3,12.0,1.5,27.9,50.3,0.0,1008,0.027,0.000,0.001,0.001
03/01/2013,16:00,92,4.7,21.2,1.9,27.5,50.8,0.0,1008,0.027,0.000,0.001,0.001
03/01/2013,17:00,98,3.5,18.9,1.5,26.3,55.0,0.0,1009,0.025,0.000,0.001,0.001
03/01/2013,18:00,111,2.8,19.8,1.2,24.8,59.5,0.0,1010,0.022,0.000,0.001,0.001
03/01/2013,19:00,116,2.7,17.2,1.0,23.9,60.5,0.0,1011,0.022,0.000,0.001,0.001
03/01/2013,20:00,122,2.7,17.6,1.1,23.4,62.7,0.0,1012,0.020,0.000,0.001,0.001
03/01/2013,21:00,134,1.9,23.8,1.0,23.5,62.1,0.0,1012,0.020,0.000,0.000,0.000
03/01/2013,22:00,135,1.3,31.5,0.7,23.4,63.3,0.0,1012,0.019,0.000,0.000,0.000
03/01/2013,23:00,131,1.6,22.8,0.8,22.9,64.7,0.0,1012,0.020,0.000,0.000,0.000
04/01/2013,00:00,132,1.7,26.1,0.9,22.9,64.1,0.0,1011,,,,
04/01/2013,01:00,143,1.2,22.9,0.6,22.9,63.4,0.0,1011,0.020,0.000,0.001,0.001
04/01/2013,02:00,152,1.2,25.7,0.6,22.6,64.8,0.0,1010,0.018,0.000,0.000,0.000
04/01/2013,03:00,152,1.4,20.1,0.5,21.8,66.9,0.0,1010,0.018,0.000,0.000,0.000
04/01/2013,04:00,190,1.6,11.4,0.4,21.3,67.9,0.0,1011,0.018,0.000,0.000,0.000
04/01/2013,05:00,204,1.5,16.2,0.4,21.1,67.4,0.0,1011,0.018,0.000,0.001,0.001
04/01/2013,06:00,211,2.2,16.7,1.0,22.2,63.2,0.0,1012,0.017,0.000,0.001,0.001
04/01/2013,07:00,178,2.9,22.7,1.1,23.9,55.1,0.0,1012,0.020,0.000,0.000,0.000
04/01/2013,08:00,147,2.2,38.5,1.3,25.4,49.9,0.0,1012,0.020,0.000,0.000,0.000
04/01/2013,09:00,106,3.1,26.0,1.4,26.6,46.5,0.0,1012,0.022,0.000,0.000,0.000
04/01/2013,10:00,114,2.6,34.6,1.4,27.1,43.9,0.0,1012,0.025,0.000,0.000,0.000
04/01/2013,11:00,111,2.7,29.6,1.2,27.4,44.1,0.0,1011,0.026,0.000,0.000,0.000
04/01/2013,12:00,101,3.1,24.6,1.3,27.4,46.9,0.0,1011,0.027,0.000,0.000,0.000
04/01/2013,13:00,95,3.4,22.9,1.4,27.4,48.1,0.0,1010,0.026,0.000,0.000,0.000
04/01/2013,14:00,82,4.7,16.8,1.8,27.6,46.3,0.0,1010,0.025,0.000,0.001,0.001
04/01/2013,15:00,89,4.6,17.1,1.7,27.2,47.1,0.0,1010,0.022,0.000,0.000,0.000
04/01/2013,16:00,94,4.0,16.3,1.6,26.8,48.1,0.0,1010,0.020,0.000,0.000,0.000
04/01/2013,17:00,94,3.9,17.5,1.6,25.9,53.0,0.0,1011,0.017,0.000,0.000,0.000
04/01/2013,18:00,96,3.2,17.2,1.3,24.6,59.1,0.0,1011,0.017,0.000,0.000,0.000
04/01/2013,19:00,92,2.5,16.2,1.0,23.6,63.3,0.0,1012,0.016,0.000,0.000,0.000
04/01/2013,20:00,90,1.5,15.1,0.7,23.0,67.1,0.0,1012,0.014,0.000,0.001,0.001
04/01/2013,21:00,192,0.3,73.5,0.4,22.2,70.3,0.0,1012,0.012,0.000,0.002,0.002
04/01/2013,22:00,245,0.3,87.2,0.4,21.4,74.7,0.0,1012,0.006,0.001,0.006,0.006
04/01/2013,23:00,241,0.8,19.1,0.3,20.2,79.8,0.0,1012,0.002,0.001,0.007,0.008
05/01/2013,00:00,250,0.8,21.5,0.2,19.1,84.2,0.0,1011,,,,
05/01/2013,01:00,260,0.7,30.1,0.3,18.4,86.9,0.0,1011,0.000,0.002,0.008,0.009
05/01/2013,02:00,210,0.7,95.3,0.8,19.1,86.7,0.0,1011,0.002,0.001,0.005,0.006
05/01/2013,03:00,236,0.9,16.8,0.4,19.3,88.7,0.0,1011,0.004,0.000,0.004,0.004
05/01/2013,04:00,229,1.3,14.2,0.4,19.5,86.4,0.0,1011,0.005,0.000,0.003,0.003
05/01/2013,05:00,240,1.3,12.5,0.4,19.7,84.3,0.0,1012,0.006,0.001,0.003,0.003
05/01/2013,06:00,214,1.1,25.8,0.5,20.8,81.6,0.0,1013,0.008,0.001,0.002,0.003
05/01/2013,07:00,139,1.0,44.0,0.7,23.4,69.4,0.0,1013,0.013,0.001,0.001,0.001
05/01/2013,08:00,114,1.8,37.3,1.0,25.4,56.7,0.0,1013,0.018,0.000,0.000,0.000
05/01/2013,09:00,101,2.2,27.0,1.1,25.2,61.8,0.0,1013,0.018,0.000,0.000,0.000
05/01/2013,10:00,67,2.3,22.3,0.9,24.1,71.5,0.0,1013,0.017,0.000,0.001,0.001
05/01/2013,11:00,77,3.6,18.4,1.6,25.4,65.2,0.0,1013,0.017,0.000,0.000,0.000
05/01/2013,12:00,100,2.3,21.9,1.0,25.0,67.9,0.0,1013,0.017,0.000,0.000,0.000
05/01/2013,13:00,83,3.0,20.2,1.2,26.6,58.8,0.0,1012,0.019,0.000,0.000,0.000
05/01/2013,14:00,86,3.0,21.9,1.2,27.0,55.2,0.0,1012,0.020,0.000,0.000,0.000
05/01/2013,15:00,105,2.9,28.1,1.3,26.9,57.0,0.0,1011,0.019,0.000,0.000,0.000
05/01/2013,16:00,87,3.5,19.1,1.4,26.6,57.7,0.0,1012,0.018,0.000,0.000,0.000
05/01/2013,17:00,90,3.5,17.5,1.3,25.5,61.2,0.0,1012,0.016,0.000,0.000,0.000
05/01/2013,18:00,87,2.8,18.7,1.0,24.8,66.4,0.0,1013,0.015,0.000,0.000,0.000
05/01/2013,19:00,69,2.0,11.9,0.7,23.6,73.9,0.0,1013,0.014,0.000,0.001,0.001
05/01/2013,20:00,79,2.1,10.4,0.5,23.1,76.2,0.0,1014,0.012,0.000,0.001,0.001
05/01/2013,21:00,99,0.5,76.3,0.8,23.0,76.1,0.0,1014,0.011,0.000,0.001,0.001
05/01/2013,22:00,126,0.5,41.6,0.3,22.3,79.6,0.0,1014,0.010,0.000,0.001,0.001
05/01/2013,23:00,238,0.4,65.7,0.4,21.5,83.5,0.0,1013,0.007,0.000,0.003,0.003
06/01/2013,00:00,250,0.8,17.1,0.2,20.2,88.2,0.0,1013,,,,
06/01/2013,01:00,228,1.1,17.0,0.3,20.2,87.6,0.0,1012,0.003,0.001,0.004,0.005
06/01/2013,02:00,222,0.7,54.8,0.5,20.7,87.4,0.0,1012,0.006,0.000,0.002,0.002
06/01/2013,03:00,236,0.7,37.6,0.5,20.2,90.1,0.0,1012,0.002,0.001,0.003,0.004
06/01/2013,04:00,231,1.3,12.6,0.3,20.1,90.4,0.0,1012,0.003,0.000,0.003,0.003
06/01/2013,05:00,234,1.1,18.2,0.3,20.1,89.3,0.0,1013,0.003,0.001,0.003,0.003
06/01/2013,06:00,193,0.8,65.5,0.6,20.9,87.0,0.0,1014,0.005,0.001,0.002,0.003
06/01/2013,07:00,236,0.7,57.9,0.5,21.7,88.9,0.0,1015,0.008,0.001,0.001,0.001
06/01/2013,08:00,271,1.0,42.4,0.5,23.2,81.2,0.0,1015,0.010,0.001,0.000,0.001
06/01/2013,09:00,71,2.3,38.2,1.3,23.5,79.3,0.5,1015,0.014,0.000,0.001,0.001
06/01/2013,10:00,102,2.6,28.0,1.2,24.5,68.9,0.0,1015,0.017,0.000,0.001,0.001
06/01/2013,11:00,96,3.2,21.7,1.4,26.4,56.3,0.0,1014,0.018,0.000,0.001,0.001
06/01/2013,12:00,111,2.7,24.6,1.2,26.8,53.8,0.0,1014,0.018,0.000,0.000,0.000
06/01/2013,13:00,94,3.8,21.0,1.6,27.6,50.6,0.0,1013,0.018,0.000,0.000,0.000
06/01/2013,14:00,96,4.1,21.6,2.1,27.7,51.8,0.0,1013,0.019,0.000,0.000,0.000
06/01/2013,15:00,108,3.7,17.0,1.4,26.9,52.2,0.0,1013,0.018,0.000,0.000,0.000
06/01/2013,16:00,96,3.5,17.9,1.5,26.4,54.2,0.0,1013,0.019,0.000,0.000,0.000
06/01/2013,17:00,90,3.9,16.1,1.6,25.6,60.7,0.0,1014,0.017,0.000,0.000,0.000
06/01/2013,18:00,94,3.2,15.2,1.4,24.7,66.4,0.0,1014,0.015,0.000,0.000,0.000
06/01/2013,19:00,94,2.0,16.8,0.9,23.5,73.0,0.0,1015,0.013,0.000,0.001,0.001
06/01/2013,20:00,104,1.2,26.1,0.5,23.5,72.8,0.0,1015,0.012,0.000,0.001,0.001
06/01/2013,21:00,198,0.5,50.2,0.4,22.9,76.1,0.0,1016,0.009,0.000,0.002,0.002
06/01/2013,22:00,210,0.7,26.3,0.3,22.5,79.9,0.0,1015,0.007,0.000,0.002,0.002
06/01/2013,23:00,263,0.4,57.9,0.4,22.4,80.6,0.0,1015,0.004,0.000,0.004,0.004
07/01/2013,00:00,266,0.4,39.7,0.2,21.9,81.8,0.0,1015,,,,
07/01/2013,01:00,206,0.8,29.0,0.5,21.6,80.4,0.0,1014,0.005,0.000,0.003,0.003
07/01/2013,02:00,191,0.7,36.7,0.4,21.9,74.9,0.0,1014,0.005,0.000,0.002,0.002
07/01/2013,03:00,189,0.4,64.6,0.3,21.5,76.8,0.0,1014,0.005,0.001,0.003,0.004
07/01/2013,04:00,213,0.4,45.8,0.2,21.2,77.8,0.0,1014,0.004,0.001,0.004,0.005
07/01/2013,05:00,250,0.8,18.0,0.2,19.9,84.3,0.0,1015,0.001,0.006,0.006,0.012
07/01/2013,06:00,222,1.2,16.9,0.4,21.4,78.9,0.0,1016,0.005,0.006,0.005,0.010
07/01/2013,07:00,124,1.4,34.5,1.0,23.6,72.2,0.1,1016,0.013,0.001,0.001,0.002
07/01/2013,08:00,109,2.6,27.2,1.2,25.5,59.9,0.0,1016,0.016,0.001,0.001,0.001
07/01/2013,09:00,112,3.0,21.8,1.3,26.8,51.8,0.0,1016,0.018,0.000,0.001,0.001
07/01/2013,10:00,100,3.5,22.5,1.7,27.3,49.5,0.0,1015,0.019,0.000,0.001,0.001
07/01/2013,11:00,89,4.5,21.6,1.7,27.7,47.7,0.0,1015,0.020,0.000,0.001,0.001
