Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Sulfur Dioxide (SO2) (ppm),PM10 (µg/m^3)
01/01/2011,00:00,128,2.9,56.6,3.1,30.5,,7.7
01/01/2011,01:00,112,1.9,114.9,3.1,26.7,0.001,2.6
01/01/2011,02:00,7,1.3,167.6,0.6,27.2,0.000,2.1
01/01/2011,03:00,3,1.8,177.7,0.7,27.1,0.000,
01/01/2011,04:00,357,1.3,24.5,0.5,27.1,0.000,1.7
01/01/2011,05:00,354,1.2,25.4,0.6,27.4,0.000,4.7
01/01/2011,06:00,29,0.9,29.8,0.6,27.7,0.000,4.5
01/01/2011,07:00,358,0.5,167.0,0.5,28.3,0.000,6.4
01/01/2011,08:00,12,0.7,150.0,0.6,28.8,0.000,5.7
01/01/2011,09:00,345,0.8,34.0,0.3,29.1,0.000,3.4
01/01/2011,10:00,325,0.8,36.4,0.4,30.1,0.036,4.5
01/01/2011,11:00,148,0.3,87.0,0.5,31.9,0.126,30.9
01/01/2011,12:00,202,1.5,29.9,0.6,33.4,0.146,24.8
01/01/2011,13:00,199,1.9,27.2,0.9,34.4,0.045,9.6
01/01/2011,14:00,199,1.8,33.9,0.9,35.8,0.004,
01/01/2011,15:00,186,1.6,33.1,0.9,36.2,0.003,4.9
01/01/2011,16:00,179,0.3,88.4,0.5,36.4,0.006,11.1
01/01/2011,17:00,185,2.8,35.2,2.2,31.8,0.003,7.9
01/01/2011,18:00,125,1.2,28.9,0.6,29.5,0.001,7.1
01/01/2011,19:00,132,0.9,41.8,0.5,30.0,0.001,5.2
01/01/2011,20:00,113,0.2,91.0,0.3,29.8,0.000,11.0
01/01/2011,21:00,59,0.7,44.2,0.5,29.8,0.000,8.1
01/01/2011,22:00,31,0.7,29.2,0.3,29.7,0.000,2.3
01/01/2011,23:00,352,0.5,181.9,0.5,29.5,0.000,4.6
02/01/2011,00:00,226,0.1,98.8,0.3,29.3,,3.2
02/01/2011,01:00,166,0.3,65.0,0.4,29.5,0.001,
02/01/2011,02:00,144,0.6,31.0,0.3,29.4,0.000,2.5
02/01/2011,03:00,150,0.9,20.3,0.4,29.3,0.000,3.4
02/01/2011,04:00,86,0.7,34.9,0.4,29.4,0.000,4.4
02/01/2011,05:00,80,0.8,31.2,0.5,29.5,0.000,4.5
02/01/2011,06:00,52,1.9,20.9,1.0,29.9,0.000,5.7
02/01/2011,07:00,52,2.5,19.2,1.2,30.3,0.000,5.6
02/01/2011,08:00,43,1.7,27.4,0.9,31.4,0.000,1.0
02/01/2011,09:00,41,1.3,34.7,0.7,34.0,0.000,
02/01/2011,10:00,33,1.6,35.8,0.9,36.5,0.000,1.7
02/01/2011,11:00,87,1.5,42.3,1.1,37.1,0.000,0.8
02/01/2011,12:00,75,1.6,53.4,1.1,38.0,0.000,
02/01/2011,13:00,67,1.6,41.6,0.9,38.1,0.000,
02/01/2011,14:00,61,2.0,35.6,1.1,39.2,0.000,1.1
02/01/2011,15:00,56,2.4,26.2,1.2,38.3,0.000,3.7
02/01/2011,16:00,52,2.0,30.7,1.1,39.0,0.000,2.5
02/01/2011,17:00,60,1.7,33.8,1.0,39.2,0.000,3.5
02/01/2011,18:00,52,2.1,22.9,0.9,38.8,0.000,4.5
02/01/2011,19:00,48,1.8,18.0,0.8,35.2,0.000,5.9
02/01/2011,20:00,41,1.1,25.1,0.6,34.1,0.000,5.5
02/01/2011,21:00,358,0.8,168.8,0.3,33.3,0.000,6.4
02/01/2011,22:00,342,1.2,20.5,0.5,32.6,0.000,6.4
02/01/2011,23:00,333,1.1,22.5,0.4,31.5,0.000,6.6
03/01/2011,00:00,21,0.4,48.3,0.3,30.9,,4.7
03/01/2011,01:00,80,0.3,65.5,0.2,30.2,0.000,3.5
03/01/2011,02:00,55,0.6,27.5,0.3,29.8,0.000,3.1
03/01/2011,03:00,160,0.5,55.3,0.4,29.4,0.000,3.4
03/01/2011,04:00,95,0.4,69.0,0.4,28.9,0.000,4.2
03/01/2011,05:00,162,0.5,43.5,0.3,28.3,0.000,4.0
03/01/2011,06:00,340,0.4,159.1,0.4,29.5,0.000,7.4
03/01/2011,07:00,93,0.1,117.9,0.3,32.1,0.001,6.4
03/01/2011,08:00,238,1.0,47.5,0.6,33.4,0.150,16.4
03/01/2011,09:00,182,0.5,77.0,0.6,35.2,0.033,7.4
03/01/2011,10:00,82,1.4,51.5,1.0,37.7,0.018,6.0
03/01/2011,11:00,59,1.7,48.2,1.2,38.8,0.005,
03/01/2011,12:00,58,1.4,48.1,1.0,40.0,0.000,2.7
03/01/2011,13:00,59,1.9,37.4,1.1,40.8,0.000,
03/01/2011,14:00,74,1.5,46.3,1.1,40.5,0.000,
03/01/2011,15:00,58,1.5,43.9,1.2,41.2,0.000,0.6
03/01/2011,16:00,62,1.2,49.3,0.9,41.7,0.000,1.3
03/01/2011,17:00,61,1.4,36.1,0.7,40.8,0.000,3.6
03/01/2011,18:00,28,0.9,26.0,0.5,39.8,0.000,5.5
03/01/2011,19:00,13,0.8,20.7,0.3,36.9,0.000,7.0
03/01/2011,20:00,355,0.7,169.7,0.3,35.3,0.000,9.5
03/01/2011,21:00,341,0.7,30.7,0.4,34.2,0.000,9.7
03/01/2011,22:00,336,0.8,14.6,0.2,33.5,0.000,10.0
03/01/2011,23:00,3,0.6,172.0,0.3,32.7,0.000,5.4
04/01/2011,00:00,348,0.2,96.8,0.4,31.9,,5.2
04/01/2011,01:00,337,0.7,43.2,0.5,31.3,0.001,5.4
04/01/2011,02:00,337,1.0,18.5,0.3,31.6,0.003,18.6
04/01/2011,03:00,341,1.4,17.4,0.4,31.1,0.001,14.2
04/01/2011,04:00,328,1.4,16.1,0.4,30.5,0.001,12.7
04/01/2011,05:00,315,1.8,17.5,0.7,30.3,0.001,12.0
04/01/2011,06:00,318,1.2,26.0,0.6,31.1,0.043,18.9
04/01/2011,07:00,316,1.7,26.5,0.7,32.9,0.011,12.5
04/01/2011,08:00,290,2.3,23.2,0.8,34.1,0.069,25.5
04/01/2011,09:00,295,2.8,22.1,1.0,35.8,0.018,18.6
04/01/2011,10:00,297,1.9,38.3,0.9,37.5,0.059,18.1
04/01/2011,11:00,301,1.3,51.9,1.0,39.2,0.013,18.3
04/01/2011,12:00,311,0.9,72.3,0.7,40.5,0.009,9.0
04/01/2011,13:00,19,0.8,76.9,0.8,41.5,0.002,
04/01/2011,14:00,44,1.3,50.1,0.8,40.6,0.000,1.4
04/01/2011,15:00,288,3.7,36.0,2.2,35.0,0.054,16.0
04/01/2011,16:00,279,1.7,32.4,1.0,34.7,0.028,36.3
04/01/2011,17:00,306,0.7,57.5,0.4,36.3,0.048,24.5
04/01/2011,18:00,202,1.2,26.3,0.6,36.4,0.005,9.6
04/01/2011,19:00,179,1.5,24.2,0.7,34.7,0.002,8.9
04/01/2011,20:00,158,0.5,40.5,0.4,33.4,0.002,12.8
04/01/2011,21:00,66,1.9,38.5,1.6,33.3,0.002,12.3
04/01/2011,22:00,28,0.9,153.3,0.9,32.5,0.001,9.6
04/01/2011,23:00,335,0.9,26.3,0.4,32.1,0.001,7.4
05/01/2011,00:00,336,1.3,14.4,0.4,31.6,,14.7
05/01/2011,01:00,10,0.7,156.5,0.5,31.0,0.002,16.9
05/01/2011,02:00,35,0.7,164.0,0.5,30.7,0.002,8.4
05/01/2011,03:00,5,0.4,132.6,0.3,30.6,0.002,9.6
05/01/2011,04:00,165,0.5,50.0,0.5,30.0,0.001,9.4
05/01/2011,05:00,179,0.8,38.1,0.4,30.1,0.002,11.3
05/01/2011,06:00,148,0.5,47.9,0.4,30.6,0.003,10.0
05/01/2011,07:00,158,0.3,71.9,0.4,31.7,0.011,17.7
05/01/2011,08:00,76,1.5,49.8,1.3,31.0,0.007,11.2
05/01/2011,09:00,112,2.4,30.6,1.3,27.0,0.001,8.7
05/01/2011,10:00,57,1.4,37.4,0.9,27.1,0.001,2.6
05/01/2011,11:00,35,1.3,25.9,0.7,29.3,0.001,1.2
05/01/2011,12:00,32,2.0,25.9,0.9,33.6,0.001,
05/01/2011,13:00,2,1.9,27.1,1.0,35.2,0.000,
05/01/2011,14:00,66,1.1,51.3,0.7,35.7,0.001,0.7
05/01/2011,15:00,93,0.9,57.3,0.6,37.1,0.001,1.1
05/01/2011,16:00,24,0.8,62.1,0.6,38.4,0.000,3.7
05/01/2011,17:00,38,1.0,154.5,0.6,38.3,0.000,5.6
05/01/2011,18:00,55,2.2,18.6,0.9,35.6,0.000,3.2
05/01/2011,19:00,52,1.7,18.5,0.7,33.6,0.000,3.5
05/01/2011,20:00,43,1.2,22.9,0.6,32.9,0.000,6.2
05/01/2011,21:00,27,0.4,28.3,0.3,32.4,0.000,6.9
05/01/2011,22:00,52,0.1,129.4,0.3,31.8,0.000,4.2
05/01/2011,23:00,51,0.3,54.4,0.2,31.0,0.000,5.6
06/01/2011,00:00,20,0.7,36.4,0.4,30.6,,4.4
06/01/2011,01:00,348,0.9,24.3,0.5,30.5,0.001,6.9
06/01/2011,02:00,13,0.6,161.6,0.3,29.8,0.001,8.6
06/01/2011,03:00,352,0.2,93.2,0.3,29.4,0.001,7.1
06/01/2011,04:00,46,0.4,46.8,0.2,29.1,0.001,6.6
06/01/2011,05:00,126,0.4,40.1,0.2,28.9,0.001,10.0
06/01/2011,06:00,140,0.3,45.3,0.2,29.6,0.001,12.0
06/01/2011,07:00,122,0.7,35.7,0.4,32.4,0.001,2.0
06/01/2011,08:00,79,1.5,26.5,0.6,33.2,0.001,4.7
06/01/2011,09:00,55,1.6,30.3,0.8,34.9,0.000,2.0
06/01/2011,10:00,68,1.2,52.6,0.8,36.1,0.000,0.8
06/01/2011,11:00,359,1.1,165.6,0.8,38.2,0.000,
06/01/2011,12:00,22,0.4,134.7,0.8,38.4,0.034,2.5
06/01/2011,13:00,91,0.7,95.0,0.9,39.0,0.213,19.1
06/01/2011,14:00,133,0.7,65.9,0.6,38.4,0.161,51.5
06/01/2011,15:00,166,1.2,57.0,0.8,39.5,0.054,34.7
06/01/2011,16:00,162,1.0,59.1,0.8,39.1,0.018,19.6
06/01/2011,17:00,176,1.7,27.9,0.9,39.1,0.009,21.8
06/01/2011,18:00,168,1.2,43.3,0.8,38.8,0.005,17.8
06/01/2011,19:00,50,0.8,147.3,0.6,36.6,0.005,20.4
06/01/2011,20:00,16,0.5,143.6,0.4,35.5,0.004,23.3
06/01/2011,21:00,357,0.7,22.6,0.5,35.2,0.007,26.5
06/01/2011,22:00,72,0.4,57.8,0.2,34.0,0.007,27.0
06/01/2011,23:00,95,0.3,47.1,0.2,32.6,0.005,17.8
07/01/2011,00:00,44,0.3,59.6,0.3,31.8,,16.7
07/01/2011,01:00,4,0.3,182.2,0.3,31.2,0.003,14.2
07/01/2011,02:00,96,0.3,38.5,0.2,30.5,0.002,18.1
07/01/2011,03:00,154,0.3,64.6,0.3,30.0,0.001,18.8
07/01/2011,04:00,78,0.1,96.1,0.2,29.9,0.001,13.5
07/01/2011,05:00,86,0.3,70.6,0.3,29.9,0.001,10.8
07/01/2011,06:00,101,0.4,48.8,0.2,29.8,0.001,14.0
07/01/2011,07:00,61,0.7,44.1,0.7,32.6,0.001,12.2
07/01/2011,08:00,69,1.8,28.2,0.8,34.8,0.001,8.0
07/01/2011,09:00,38,1.2,49.8,0.7,36.6,0.001,6.2
07/01/2011,10:00,14,1.1,38.5,0.6,37.0,0.000,4.3
07/01/2011,11:00,47,1.0,58.2,0.8,38.8,0.000,1.3
07/01/2011,12:00,7,1.3,182.2,0.8,40.5,0.002,2.5
07/01/2011,13:00,143,0.7,68.4,0.7,40.0,0.046,20.1
07/01/2011,14:00,147,0.7,111.2,1.0,41.1,0.050,33.0
07/01/2011,15:00,140,0.5,132.8,0.9,41.2,0.018,28.7
07/01/2011,16:00,117,1.1,58.0,0.9,41.0,0.005,13.5
07/01/2011,17:00,85,1.9,31.2,1.0,40.1,0.002,9.1
07/01/2011,18:00,56,2.5,20.7,1.1,39.4,0.000,6.1
07/01/2011,19:00,44,2.3,20.4,1.1,36.8,0.000,5.6
07/01/2011,20:00,47,2.4,21.4,1.3,35.5,0.000,5.2
07/01/2011,21:00,5,1.1,163.3,0.5,34.4,0.000,6.1
07/01/2011,22:00,353,0.9,163.6,0.5,33.3,0.000,8.1
07/01/2011,23:00,339,1.0,30.3,0.5,33.1,0.000,4.7
08/01/2011,00:00,347,0.7,30.9,0.4,32.7,,15.7
08/01/2011,01:00,347,1.5,19.4,0.8,32.4,0.000,9.1
08/01/2011,02:00,10,0.8,28.7,0.4,31.7,0.000,10.5
08/01/2011,03:00,341,1.5,13.5,0.5,31.1,0.000,7.4
08/01/2011,04:00,348,1.1,164.5,0.4,30.9,0.000,11.3
08/01/2011,05:00,9,0.8,160.7,0.4,30.8,0.000,11.8
08/01/2011,06:00,352,0.6,144.0,0.5,31.6,0.001,10.6
08/01/2011,07:00,320,1.6,31.6,0.8,33.6,0.002,9.6
08/01/2011,08:00,327,0.8,53.6,0.6,35.1,0.080,18.7
08/01/2011,09:00,347,0.8,67.1,0.8,37.1,0.014,7.5
08/01/2011,10:00,300,1.2,51.6,0.8,37.6,0.018,22.5
08/01/2011,11:00,280,1.2,53.7,0.8,38.2,0.027,15.0
08/01/2011,12:00,347,0.9,146.8,0.9,39.4,0.039,14.9
08/01/2011,13:00,345,1.1,56.0,0.9,40.5,0.001,0.2
08/01/2011,14:00,7,1.6,44.3,1.0,39.1,0.001,5.4
08/01/2011,15:00,44,1.2,67.3,1.2,31.6,,
08/01/2011,16:00,135,2.2,53.0,1.5,28.4,,
08/01/2011,17:00,351,0.6,178.0,0.6,29.0,0.004,3.1
08/01/2011,18:00,0,0.8,160.7,0.6,30.2,0.003,9.7
08/01/2011,19:00,291,1.6,48.7,1.0,29.4,0.016,13.4
08/01/2011,20:00,303,1.5,38.5,1.0,28.9,0.049,10.7
08/01/2011,21:00,70,0.3,85.8,0.4,28.6,0.043,17.3
08/01/2011,22:00,271,0.5,76.5,0.6,28.6,0.044,8.7
08/01/2011,23:00,176,0.3,81.4,0.4,28.7,0.016,13.4
09/01/2011,00:00,301,1.4,31.4,0.7,29.4,,11.5
09/01/2011,01:00,323,1.7,27.9,0.8,29.1,0.042,0.8
09/01/2011,02:00,138,0.2,105.7,0.7,28.7,0.014,11.5
09/01/2011,03:00,149,0.9,33.8,0.4,28.5,0.005,8.1
09/01/2011,04:00,108,0.8,55.4,0.6,28.6,0.002,11.8
09/01/2011,05:00,348,0.8,164.5,0.5,28.6,0.003,12.5
09/01/2011,06:00,342,0.8,31.0,0.5,28.8,0.018,17.4
09/01/2011,07:00,312,1.2,32.4,0.8,31.0,0.087,21.6
09/01/2011,08:00,271,1.6,35.0,1.0,32.4,0.082,21.8
09/01/2011,09:00,264,2.9,28.9,1.3,33.1,0.014,10.6
09/01/2011,10:00,255,2.9,29.5,1.3,33.8,0.023,4.9
09/01/2011,11:00,246,3.4,27.0,1.4,33.6,0.297,5.4
09/01/2011,12:00,251,3.2,28.3,1.4,33.6,0.301,8.3
09/01/2011,13:00,239,3.2,29.8,1.4,35.1,0.063,
09/01/2011,14:00,233,2.9,28.3,1.3,35.7,0.017,
09/01/2011,15:00,240,3.1,27.9,1.3,36.8,0.015,
09/01/2011,16:00,214,2.9,28.9,1.2,36.2,0.006,
09/01/2011,17:00,191,2.6,23.8,1.3,35.8,0.001,
09/01/2011,18:00,153,2.6,27.5,1.3,34.2,0.000,
09/01/2011,19:00,162,1.7,23.5,0.9,32.5,0.000,
09/01/2011,20:00,193,0.9,24.3,0.3,32.3,0.000,3.0
09/01/2011,21:00,158,1.1,26.2,0.9,31.6,0.000,
09/01/2011,22:00,160,1.3,42.3,1.1,31.3,0.000,4.0
09/01/2011,23:00,332,0.3,148.3,0.4,31.1,0.007,3.2
10/01/2011,00:00,37,0.3,44.8,0.2,30.9,,14.1
10/01/2011,01:00,22,0.4,139.2,0.4,30.8,0.033,10.5
10/01/2011,02:00,5,0.7,156.7,0.3,30.8,0.032,19.4
10/01/2011,03:00,52,0.3,57.1,0.2,30.5,0.026,9.6
10/01/2011,04:00,189,0.4,62.3,0.3,30.3,0.035,10.8
10/01/2011,05:00,158,0.3,61.9,0.3,30.1,0.027,15.7
10/01/2011,06:00,133,0.5,44.1,0.3,30.7,0.026,18.9
10/01/2011,07:00,173,0.4,47.8,0.3,32.9,0.041,20.3
10/01/2011,08:00,220,0.5,66.1,0.4,33.6,0.027,
10/01/2011,09:00,26,0.2,119.4,0.5,36.0,0.011,7.9
10/01/2011,10:00,184,0.8,50.2,0.5,36.2,0.009,13.8
10/01/2011,11:00,140,0.5,70.5,0.6,37.5,0.010,12.5
10/01/2011,12:00,153,0.8,45.2,0.5,37.4,0.006,10.6
10/01/2011,13:00,131,1.0,52.2,0.6,38.4,0.022,18.1
10/01/2011,14:00,321,1.6,82.1,1.6,37.3,0.014,30.8
10/01/2011,15:00,297,3.9,22.1,1.5,35.1,0.014,45.2
10/01/2011,16:00,292,4.0,19.5,1.4,33.1,0.014,44.0
10/01/2011,17:00,292,2.6,21.7,1.1,32.7,0.022,37.2
10/01/2011,18:00,291,1.3,40.4,0.8,32.5,0.033,20.4
10/01/2011,19:00,285,0.9,44.7,0.5,32.4,0.026,14.4
10/01/2011,20:00,287,1.4,37.6,0.6,31.9,0.044,24.6
10/01/2011,21:00,48,0.5,48.1,0.4,31.6,0.005,13.6
10/01/2011,22:00,218,1.2,38.5,0.7,31.1,0.081,
10/01/2011,23:00,338,0.7,106.6,0.8,30.8,0.184,8.6
11/01/2011,00:00,25,0.8,158.0,0.5,30.5,,12.5
11/01/2011,01:00,16,0.8,162.9,0.6,29.9,0.005,9.3
11/01/2011,02:00,349,1.6,17.1,0.7,29.6,0.002,9.6
11/01/2011,03:00,355,1.2,18.7,0.5,29.5,0.002,15.7
11/01/2011,04:00,313,0.9,40.8,0.5,29.7,0.012,14.0
11/01/2011,05:00,275,0.9,45.3,0.5,30.0,0.062,31.8
11/01/2011,06:00,230,0.8,40.2,0.5,29.7,0.132,18.1
11/01/2011,07:00,275,0.5,68.0,0.4,31.5,0.122,21.7
11/01/2011,08:00,11,1.0,31.8,0.5,32.1,0.021,18.4
11/01/2011,09:00,356,1.5,30.6,0.8,33.8,0.003,4.2
11/01/2011,10:00,345,1.9,162.2,1.0,35.8,0.001,2.2
11/01/2011,11:00,1,1.9,170.7,1.1,37.4,0.001,
11/01/2011,12:00,354,2.1,25.7,1.0,36.8,0.001,
11/01/2011,13:00,342,1.9,30.8,0.8,34.3,0.001,7.8
11/01/2011,14:00,327,1.9,39.7,1.0,35.7,0.004,5.2
11/01/2011,15:00,7,1.2,176.2,0.7,36.2,0.001,
11/01/2011,16:00,330,1.4,37.0,0.7,35.0,0.001,7.8
11/01/2011,17:00,315,1.1,51.2,0.7,34.9,0.001,8.6
11/01/2011,18:00,24,1.2,45.4,0.8,33.6,0.000,7.8
11/01/2011,19:00,59,1.0,42.5,1.2,32.2,0.001,6.2
11/01/2011,20:00,29,1.6,27.3,0.8,31.2,0.001,10.8
11/01/2011,21:00,345,0.9,26.8,0.5,29.7,0.001,10.1
11/01/2011,22:00,56,0.5,37.2,0.3,29.4,0.001,9.8
11/01/2011,23:00,93,0.5,41.2,0.2,29.2,0.001,25.0
12/01/2011,00:00,50,0.4,48.3,0.2,28.9,,24.2
12/01/2011,01:00,56,0.8,27.3,0.4,28.9,0.001,12.5
12/01/2011,02:00,287,0.2,154.3,0.2,28.9,0.001,7.9
12/01/2011,03:00,327,0.3,64.6,0.3,29.1,0.000,7.4
12/01/2011,04:00,331,0.5,50.0,0.3,29.2,0.001,12.0
12/01/2011,05:00,18,0.2,163.4,0.2,29.1,0.001,15.7
12/01/2011,06:00,289,0.9,65.4,0.9,29.3,0.048,16.7
12/01/2011,07:00,293,2.0,23.1,0.8,29.9,0.069,22.8
12/01/2011,08:00,317,2.3,18.5,0.8,30.5,0.017,14.2
12/01/2011,09:00,302,2.6,17.4,0.9,32.1,0.019,12.6
12/01/2011,10:00,309,3.0,17.9,0.9,32.5,0.004,6.7
12/01/2011,11:00,303,3.5,18.1,1.1,33.1,0.002,8.2
12/01/2011,12:00,299,4.0,18.0,1.2,34.3,0.002,5.4
12/01/2011,13:00,299,4.1,17.5,1.4,35.8,0.002,7.9
12/01/2011,14:00,313,3.6,24.8,1.3,37.5,0.001,4.5
12/01/2011,15:00,322,3.1,28.4,1.4,35.4,0.000,7.6
12/01/2011,16:00,292,1.1,57.3,0.8,33.2,0.026,11.8
12/01/2011,17:00,3,1.0,176.6,1.0,35.9,0.003,
12/01/2011,18:00,354,2.7,21.7,1.2,33.7,0.001,
12/01/2011,19:00,5,1.6,177.0,1.0,31.4,0.001,16.1
12/01/2011,20:00,351,2.7,20.8,1.3,31.6,0.001,12.5
12/01/2011,21:00,6,2.4,178.3,1.0,31.4,0.001,11.3
12/01/2011,22:00,12,2.4,18.5,0.9,31.3,0.001,14.1
12/01/2011,23:00,9,2.8,177.8,1.2,31.1,0.000,11.8
13/01/2011,00:00,358,3.3,21.0,1.4,31.0,,10.5
13/01/2011,01:00,355,2.9,22.0,1.3,30.5,0.001,9.3
13/01/2011,02:00,10,2.2,20.7,0.9,30.4,0.000,9.7
13/01/2011,03:00,353,3.3,19.7,1.3,30.4,0.000,10.4
13/01/2011,04:00,347,2.9,22.2,1.2,29.7,0.001,9.7
13/01/2011,05:00,355,2.4,22.4,1.0,29.9,0.001,11.9
13/01/2011,06:00,349,3.3,17.4,1.2,30.1,0.000,12.6
13/01/2011,07:00,348,3.6,19.3,1.5,30.7,0.000,11.9
13/01/2011,08:00,349,3.9,18.1,1.4,31.3,0.001,6.5
13/01/2011,09:00,347,3.6,17.1,1.3,31.4,0.001,10.7
13/01/2011,10:00,349,3.8,15.9,1.3,31.7,0.000,9.9
13/01/2011,11:00,346,3.8,17.9,1.4,31.9,0.001,8.3
13/01/2011,12:00,347,3.4,18.4,1.2,31.9,0.001,5.1
13/01/2011,13:00,325,4.4,18.3,1.5,33.7,0.001,4.2
13/01/2011,14:00,323,3.4,22.1,1.4,34.0,0.001,
13/01/2011,15:00,303,3.9,21.7,1.9,32.3,0.002,
13/01/2011,16:00,352,2.1,21.6,0.9,32.4,0.001,
13/01/2011,17:00,353,2.0,25.9,0.9,33.5,0.000,5.9
13/01/2011,18:00,3,1.4,175.1,0.8,32.4,0.001,3.9
13/01/2011,19:00,28,0.9,23.3,0.5,31.6,0.001,9.6
13/01/2011,20:00,268,1.3,56.4,1.2,31.3,0.107,7.9
13/01/2011,21:00,265,2.0,22.2,0.8,31.0,0.078,14.5
13/01/2011,22:00,286,1.4,20.7,0.6,30.6,0.037,40.8
13/01/2011,23:00,218,2.1,24.5,1.0,29.8,0.054,
14/01/2011,00:00,171,1.0,43.9,0.7,29.2,,
14/01/2011,01:00,190,0.9,32.7,0.4,29.4,0.002,1.3
14/01/2011,02:00,200,0.7,39.5,0.4,29.4,0.002,0.9
14/01/2011,03:00,190,0.7,31.0,0.4,29.2,0.001,3.4
14/01/2011,04:00,181,1.2,24.1,0.5,28.8,0.001,4.7
14/01/2011,05:00,185,0.8,21.5,0.4,28.5,0.001,4.2
14/01/2011,06:00,199,0.5,41.1,0.3,28.5,0.000,6.4
14/01/2011,07:00,200,1.2,24.9,0.6,29.1,0.000,6.2
14/01/2011,08:00,204,1.5,24.9,0.7,29.8,0.000,
14/01/2011,09:00,198,1.9,27.6,0.9,31.3,0.000,
14/01/2011,10:00,196,2.3,30.4,0.9,32.5,0.000,
14/01/2011,11:00,180,2.5,26.6,1.0,34.0,0.000,
14/01/2011,12:00,186,2.6,27.2,1.1,35.3,0.000,
14/01/2011,13:00,172,3.5,23.4,1.5,37.0,0.000,
14/01/2011,14:00,159,4.0,24.1,1.6,37.8,0.000,
14/01/2011,15:00,157,4.3,20.2,1.6,37.5,0.000,
14/01/2011,16:00,166,4.0,19.2,1.5,37.4,0.000,
14/01/2011,17:00,160,4.1,16.4,1.5,36.5,0.000,
14/01/2011,18:00,146,3.2,17.0,1.4,35.0,0.000,5.2
14/01/2011,19:00,140,2.5,13.7,0.9,33.9,0.000,6.6
14/01/2011,20:00,148,1.1,18.1,0.6,32.7,0.000,4.5
14/01/2011,21:00,113,0.3,65.0,0.2,31.3,0.000,7.9
14/01/2011,22:00,177,0.9,34.9,0.5,30.9,0.000,4.1
14/01/2011,23:00,151,1.4,19.9,0.6,31.0,0.000,
15/01/2011,00:00,163,1.5,18.4,0.6,31.3,,2.2
15/01/2011,01:00,156,1.1,17.8,0.6,30.7,0.000,3.5
15/01/2011,02:00,148,1.0,17.9,0.4,30.3,0.000,2.7
15/01/2011,03:00,135,0.3,67.5,0.3,30.1,0.000,4.9
15/01/2011,04:00,168,0.8,41.9,0.5,29.3,0.000,3.5
15/01/2011,05:00,93,0.4,43.7,0.3,28.6,0.000,8.4
15/01/2011,06:00,124,0.5,42.9,0.3,28.9,0.000,10.1
15/01/2011,07:00,176,1.0,28.1,0.5,29.3,0.000,10.1
15/01/2011,08:00,165,2.1,23.3,1.0,31.2,0.000,7.8
15/01/2011,09:00,161,2.8,25.2,1.1,33.8,0.000,6.4
15/01/2011,10:00,73,1.4,49.9,1.1,37.1,0.000,
15/01/2011,11:00,31,1.7,34.3,1.0,39.1,0.000,8.5
15/01/2011,12:00,34,1.7,35.8,1.1,38.7,0.000,5.5
15/01/2011,13:00,32,1.9,28.3,1.0,39.6,0.000,2.0
15/01/2011,14:00,21,1.8,28.1,0.9,40.4,0.000,1.9
15/01/2011,15:00,44,2.0,27.6,1.1,40.3,0.000,1.5
15/01/2011,16:00,61,2.0,29.0,1.0,39.7,0.000,0.3
15/01/2011,17:00,84,1.7,38.1,1.0,38.7,0.000,
15/01/2011,18:00,120,1.3,41.1,0.7,36.2,0.000,6.8
15/01/2011,19:00,174,1.5,23.1,0.6,34.0,0.000,11.9
15/01/2011,20:00,149,1.4,18.2,0.6,33.5,0.000,2.5
15/01/2011,21:00,103,1.2,28.6,0.5,33.6,0.000,1.6
15/01/2011,22:00,43,1.4,23.9,0.8,33.1,0.000,2.5
15/01/2011,23:00,52,0.6,46.1,0.5,32.5,0.000,3.1
16/01/2011,00:00,55,0.7,31.4,0.3,32.0,,3.2
16/01/2011,01:00,55,0.7,27.5,0.4,31.7,0.001,2.7
16/01/2011,02:00,86,0.7,29.5,0.5,31.3,0.000,4.9
16/01/2011,03:00,62,0.9,24.0,0.5,31.1,0.001,3.5
16/01/2011,04:00,49,0.6,26.5,0.4,30.8,0.000,4.6
16/01/2011,05:00,30,0.6,31.5,0.3,30.6,0.001,6.3
16/01/2011,06:00,64,0.8,30.6,0.6,30.5,0.000,7.3
16/01/2011,07:00,36,0.7,33.7,0.4,31.2,0.001,6.3
16/01/2011,08:00,26,1.0,38.4,0.7,33.8,0.000,
16/01/2011,09:00,356,1.6,26.8,0.7,35.9,0.000,
16/01/2011,10:00,15,1.5,171.1,0.8,37.9,0.000,4.2
16/01/2011,11:00,28,1.5,35.5,0.9,39.3,0.000,
16/01/2011,12:00,35,1.3,47.5,0.9,40.0,0.000,
16/01/2011,13:00,20,1.4,51.0,0.9,40.4,0.000,
16/01/2011,14:00,32,1.4,34.6,0.7,40.9,0.000,
16/01/2011,15:00,49,1.9,35.4,0.8,40.6,0.000,0.6
16/01/2011,16:00,47,1.7,31.4,1.0,40.8,0.000,
16/01/2011,17:00,29,2.0,31.5,1.3,38.7,0.000,4.1
16/01/2011,18:00,351,2.4,20.2,1.1,35.3,0.000,13.7
16/01/2011,19:00,346,1.9,17.5,0.6,34.2,0.000,13.2
16/01/2011,20:00,344,1.4,20.5,0.5,33.7,0.000,15.9
