Date,Time,Wind Direction,Wind Speed (m/s),Wind Sigma Theta (degrees),Wind Speed Std Dev (m/s),Air Temperature (degC),Ozone (ppm),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),Sulfur Dioxide (SO2) (ppm),PM10 (µg/m^3)
01/01/2010,00:00,75,1.5,19.2,0.8,28.3,,,,,,15.7
01/01/2010,01:00,74,1.5,18.4,0.7,28.1,0.020,0.000,0.001,0.001,,16.9
01/01/2010,02:00,86,1.3,23.8,0.8,27.8,0.020,0.000,0.001,0.001,,17.5
01/01/2010,03:00,92,1.2,25.3,0.7,28.0,0.019,0.000,0.001,0.001,,18.1
01/01/2010,04:00,99,1.2,18.4,0.6,27.6,0.018,0.000,0.001,0.001,,17.4
01/01/2010,05:00,108,0.9,20.5,0.4,27.5,0.017,0.000,0.001,0.001,,20.6
01/01/2010,06:00,71,1.3,24.8,0.7,28.2,0.016,0.000,0.002,0.002,,18.4
01/01/2010,07:00,51,1.6,16.9,0.8,29.2,0.019,0.001,0.001,0.002,,18.9
01/01/2010,08:00,46,2.2,16.0,0.8,29.7,0.027,0.001,0.000,0.001,,17.7
01/01/2010,09:00,33,2.6,18.4,0.9,30.2,0.034,0.000,0.000,0.000,,17.8
01/01/2010,10:00,46,2.1,17.6,1.0,30.6,0.029,0.000,0.000,0.000,,18.4
01/01/2010,11:00,47,2.2,19.7,0.9,31.2,0.031,0.001,0.000,0.001,,16.8
01/01/2010,12:00,41,2.2,19.5,1.0,31.8,0.040,0.001,0.000,0.001,,17.7
01/01/2010,13:00,41,2.4,18.3,1.0,32.0,0.031,0.000,0.000,0.000,,12.2
01/01/2010,14:00,45,2.3,20.3,1.0,31.8,0.030,0.001,0.000,0.001,,11.2
01/01/2010,15:00,43,2.5,19.5,1.0,31.5,0.023,0.001,0.000,0.001,,9.9
01/01/2010,16:00,47,2.8,15.9,1.1,30.8,0.024,0.001,0.000,0.001,,11.2
01/01/2010,17:00,48,2.8,14.7,1.1,29.8,0.023,0.000,0.001,0.001,,12.1
01/01/2010,18:00,49,2.5,16.8,1.0,29.3,0.018,0.000,0.001,0.001,,11.2
01/01/2010,19:00,56,2.0,17.6,1.1,29.0,0.019,0.001,0.002,0.002,,11.6
01/01/2010,20:00,58,1.7,17.1,0.9,29.0,0.018,0.001,0.001,0.001,,11.5
01/01/2010,21:00,54,1.7,17.3,0.8,29.0,0.018,0.001,0.001,0.001,,12.1
01/01/2010,22:00,64,1.3,21.9,0.8,28.7,0.018,0.000,0.001,0.001,,11.4
01/01/2010,23:00,77,0.8,31.5,0.4,28.4,0.029,0.000,0.002,0.002,,10.6
02/01/2010,00:00,112,1.1,41.5,0.9,26.4,,,,,,4.4
02/01/2010,01:00,135,0.8,34.3,0.5,25.8,0.022,0.000,0.000,0.000,,3.3
02/01/2010,02:00,118,0.8,42.7,0.6,25.7,0.024,0.000,0.000,0.000,,5.0
02/01/2010,03:00,93,0.9,35.9,0.5,25.9,0.018,0.000,0.000,0.000,,6.0
02/01/2010,04:00,122,0.5,58.1,0.4,26.0,0.022,0.000,0.000,0.000,,6.1
02/01/2010,05:00,142,0.9,20.7,0.4,26.0,0.017,0.001,0.001,0.001,,8.9
02/01/2010,06:00,119,1.0,16.0,0.4,26.4,0.018,0.001,0.001,0.001,,10.7
02/01/2010,07:00,134,1.1,30.3,0.7,26.8,0.018,0.001,0.000,0.001,,8.4
02/01/2010,08:00,116,2.0,20.8,0.9,26.8,0.019,0.001,0.001,0.001,,
02/01/2010,09:00,101,1.2,37.1,0.9,26.7,0.021,0.001,0.001,0.002,,
02/01/2010,10:00,71,0.4,73.9,0.5,27.9,0.022,0.001,0.001,0.002,,1.8
02/01/2010,11:00,8,0.5,183.4,0.4,28.6,0.026,0.001,0.001,0.002,,4.0
02/01/2010,12:00,23,1.1,42.3,0.6,30.1,0.029,0.001,0.002,0.003,,7.3
02/01/2010,13:00,20,1.6,30.9,0.8,31.1,0.034,0.002,0.002,0.004,,9.8
02/01/2010,14:00,43,2.5,20.8,1.1,32.3,0.035,0.001,0.000,0.001,,8.1
02/01/2010,15:00,41,2.7,18.0,1.0,31.3,0.023,0.000,0.001,0.001,,15.2
02/01/2010,16:00,35,2.2,18.7,1.0,30.4,0.020,0.001,0.001,0.002,,14.9
02/01/2010,17:00,49,2.2,21.7,1.1,30.0,0.021,0.001,0.001,0.002,,17.5
02/01/2010,18:00,65,1.8,19.8,0.9,29.5,0.024,0.001,0.002,0.002,,15.8
02/01/2010,19:00,106,1.4,37.6,1.0,28.2,0.022,0.000,0.001,0.001,,12.7
02/01/2010,20:00,94,0.5,41.8,0.4,27.7,0.018,0.000,0.003,0.003,,10.8
02/01/2010,21:00,81,0.6,20.5,0.3,27.9,0.020,0.000,0.004,0.004,,13.3
02/01/2010,22:00,89,0.6,21.4,0.3,27.9,0.016,0.001,0.003,0.004,,13.2
02/01/2010,23:00,114,0.6,30.3,0.3,27.9,0.015,0.001,0.003,0.004,,12.2
03/01/2010,00:00,185,0.1,91.5,0.2,27.7,,,,,,10.7
03/01/2010,01:00,254,0.1,133.5,0.3,27.7,0.015,0.000,0.003,0.003,,12.8
03/01/2010,02:00,179,0.1,76.4,0.2,27.5,0.033,0.000,0.004,0.004,,12.8
03/01/2010,03:00,210,0.6,55.7,0.5,27.1,0.033,0.000,0.002,0.002,,10.8
03/01/2010,04:00,78,0.9,40.2,0.6,26.4,0.032,0.000,0.001,0.001,,8.7
03/01/2010,05:00,183,0.2,102.1,0.3,26.0,0.027,0.000,0.000,0.000,,6.8
03/01/2010,06:00,115,0.3,56.7,0.2,27.0,0.037,0.001,0.001,0.002,,13.1
03/01/2010,07:00,115,0.6,40.1,0.5,29.3,0.031,0.001,0.001,0.002,,
03/01/2010,08:00,108,1.1,25.3,0.6,29.4,0.039,0.001,0.001,0.002,,5.7
03/01/2010,09:00,73,1.1,46.4,0.9,31.2,0.045,0.001,0.000,0.001,,12.8
03/01/2010,10:00,57,1.6,26.8,0.9,31.2,0.047,0.000,0.000,0.000,,10.6
03/01/2010,11:00,40,1.9,23.1,1.0,31.2,0.042,0.001,0.001,0.002,,10.8
03/01/2010,12:00,27,2.9,17.5,1.2,31.8,0.041,0.001,0.001,0.002,,9.9
03/01/2010,13:00,35,2.8,19.6,1.2,32.0,0.027,0.001,0.001,0.001,,9.2
03/01/2010,14:00,28,2.9,16.7,1.0,31.3,0.021,0.001,0.000,0.001,,6.3
03/01/2010,15:00,39,2.9,16.7,1.1,31.3,0.017,0.001,0.000,0.001,,8.9
03/01/2010,16:00,39,3.0,18.2,1.1,30.8,0.019,0.001,0.000,0.001,,8.8
03/01/2010,17:00,40,3.1,17.6,1.1,30.1,0.016,0.001,0.000,0.001,,9.1
03/01/2010,18:00,47,2.1,17.3,0.9,29.2,0.021,0.001,0.001,0.002,,12.1
03/01/2010,19:00,45,1.5,18.8,0.8,28.9,0.020,0.001,0.001,0.002,,13.8
03/01/2010,20:00,52,1.2,20.3,0.7,28.7,0.016,0.001,0.002,0.003,,10.9
03/01/2010,21:00,61,1.2,19.9,0.6,28.6,0.015,0.001,0.002,0.003,,13.4
03/01/2010,22:00,61,1.2,19.8,0.6,28.6,0.017,0.000,0.001,0.001,,14.2
03/01/2010,23:00,87,0.5,51.4,0.4,28.4,0.012,0.000,0.001,0.001,,11.5
04/01/2010,00:00,164,0.4,57.0,0.4,27.5,,,,,,12.3
04/01/2010,01:00,32,0.7,32.2,0.5,26.8,0.014,0.001,0.001,0.002,,13.7
04/01/2010,02:00,139,0.4,65.1,0.4,26.7,0.012,0.000,0.001,0.001,,11.0
04/01/2010,03:00,227,0.5,30.7,0.3,26.2,0.012,0.000,0.001,0.001,,8.6
04/01/2010,04:00,201,0.6,38.4,0.3,26.3,0.012,0.000,0.001,0.001,,11.5
04/01/2010,05:00,98,0.1,95.2,0.3,26.3,0.010,0.000,0.002,0.002,,12.7
04/01/2010,06:00,159,0.3,44.5,0.2,26.7,0.008,0.005,0.004,0.008,,19.6
04/01/2010,07:00,98,0.7,33.8,0.6,27.7,0.011,0.004,0.004,0.007,,
04/01/2010,08:00,65,1.3,30.7,0.8,30.4,0.022,0.002,0.001,0.003,,
04/01/2010,09:00,54,1.9,26.7,1.0,32.2,0.032,0.002,0.000,0.002,,7.2
04/01/2010,10:00,55,2.1,30.6,1.1,31.1,0.029,0.001,0.001,0.002,,6.9
04/01/2010,11:00,34,3.3,19.3,1.3,32.1,0.032,0.001,0.001,0.002,,8.8
04/01/2010,12:00,39,3.2,18.2,1.4,32.5,0.030,0.001,0.001,0.002,,3.7
04/01/2010,13:00,33,3.7,17.7,1.3,32.6,0.029,0.002,0.000,0.002,,5.6
04/01/2010,14:00,45,3.0,20.9,1.3,32.8,0.028,0.002,0.001,0.002,,7.4
04/01/2010,15:00,48,2.8,19.9,1.5,32.5,0.027,0.002,0.001,0.002,,10.7
04/01/2010,16:00,44,3.5,16.1,1.5,31.6,0.022,0.002,0.001,0.003,,8.5
04/01/2010,17:00,46,2.7,18.0,1.3,30.6,0.017,0.001,0.001,0.002,,12.5
04/01/2010,18:00,56,2.2,18.5,1.1,29.4,0.017,0.001,0.001,0.002,,12.6
04/01/2010,19:00,64,1.8,20.0,1.0,29.1,0.020,0.001,0.001,0.002,,12.8
04/01/2010,20:00,86,1.0,19.2,0.5,28.8,0.019,0.001,0.001,0.002,,12.5
04/01/2010,21:00,69,1.3,19.2,0.7,28.5,0.014,0.001,0.001,0.001,,11.2
04/01/2010,22:00,83,1.1,25.5,0.7,28.4,0.018,0.001,0.001,0.001,,13.1
04/01/2010,23:00,93,1.0,21.4,0.6,27.9,0.017,0.000,0.001,0.001,,12.3
05/01/2010,00:00,102,0.9,26.9,0.5,27.7,,,,,,13.7
05/01/2010,01:00,121,0.7,33.2,0.4,27.4,0.014,0.000,0.001,0.001,,19.4
05/01/2010,02:00,96,0.8,22.0,0.5,27.1,0.015,0.000,0.001,0.001,,20.1
05/01/2010,03:00,96,0.9,22.2,0.5,27.1,0.015,0.000,0.001,0.001,,20.7
05/01/2010,04:00,89,1.2,42.2,1.2,26.6,0.016,0.000,0.000,0.000,,17.7
05/01/2010,05:00,123,0.7,41.4,0.5,26.2,0.016,0.001,0.001,0.002,,15.1
05/01/2010,06:00,136,0.6,44.2,0.6,26.7,0.013,0.004,0.004,0.007,,16.3
05/01/2010,07:00,129,0.9,47.5,0.8,29.0,0.019,0.003,0.002,0.004,,14.3
05/01/2010,08:00,77,1.6,34.3,0.9,27.0,0.019,0.003,0.002,0.005,,13.2
05/01/2010,09:00,129,0.8,62.3,0.7,27.2,0.017,0.003,0.002,0.005,,5.7
05/01/2010,10:00,110,0.8,59.0,0.6,29.7,0.018,0.002,0.001,0.003,,7.5
05/01/2010,11:00,69,2.1,35.3,1.3,32.0,,0.002,0.001,0.002,,17.3
05/01/2010,12:00,57,2.6,22.3,1.3,32.7,,,,,,25.5
05/01/2010,13:00,51,2.6,22.6,1.3,32.9,0.022,0.001,0.000,0.001,,14.5
05/01/2010,14:00,55,2.3,25.8,1.2,32.9,0.024,0.001,0.001,0.002,,12.2
05/01/2010,15:00,53,2.6,21.7,1.3,32.4,0.022,0.002,0.001,0.002,,12.2
05/01/2010,16:00,49,2.9,20.3,1.4,31.8,0.022,0.002,0.001,0.003,,12.7
05/01/2010,17:00,57,2.3,20.7,1.2,30.7,0.014,0.002,0.001,0.002,,16.1
05/01/2010,18:00,58,2.1,18.8,1.1,29.8,0.013,0.001,0.001,0.002,,11.9
05/01/2010,19:00,67,2.1,19.1,1.1,29.6,0.011,0.001,0.001,0.002,,13.0
05/01/2010,20:00,74,1.6,20.0,1.0,29.5,0.013,0.001,0.000,0.001,,15.5
05/01/2010,21:00,82,1.4,22.4,0.9,29.1,0.025,0.001,0.000,0.000,,16.6
05/01/2010,22:00,118,1.1,38.3,0.8,28.3,0.015,0.000,0.001,0.001,,14.3
05/01/2010,23:00,113,0.8,31.5,0.5,27.8,0.013,0.000,0.001,0.001,,11.4
06/01/2010,00:00,103,0.7,39.5,0.4,28.1,,,,,,13.7
06/01/2010,01:00,104,1.0,30.6,0.6,28.1,0.012,0.000,0.000,0.000,,12.1
06/01/2010,02:00,98,0.9,24.5,0.6,27.7,0.014,0.000,0.000,0.000,,13.0
06/01/2010,03:00,122,0.8,38.0,0.5,27.3,0.019,0.000,0.001,0.001,,14.0
06/01/2010,04:00,129,0.6,41.6,0.4,27.0,0.015,0.001,0.002,0.003,,
06/01/2010,05:00,131,0.7,36.4,0.4,26.9,0.010,0.001,0.003,0.004,,
06/01/2010,06:00,128,0.7,39.6,0.5,27.8,0.010,0.003,0.004,0.007,,
06/01/2010,07:00,110,1.3,33.4,0.8,30.1,0.013,0.003,0.003,0.006,,5.2
06/01/2010,08:00,87,1.5,37.4,1.0,31.9,0.035,0.002,0.001,0.003,,12.1
06/01/2010,09:00,63,2.0,25.3,1.1,32.3,0.055,0.002,0.000,0.002,,13.4
06/01/2010,10:00,42,2.8,21.4,1.2,32.3,0.047,0.001,0.000,0.001,,12.3
06/01/2010,11:00,32,3.2,18.0,1.4,32.4,0.041,0.001,0.000,0.001,,13.1
06/01/2010,12:00,29,3.5,17.0,1.3,32.8,0.026,0.001,0.000,0.001,,8.6
06/01/2010,13:00,35,3.3,17.1,1.2,32.8,0.030,0.001,0.001,0.002,,10.1
06/01/2010,14:00,38,3.3,17.4,1.3,32.1,0.026,0.001,0.001,0.002,,9.4
06/01/2010,15:00,41,3.1,17.7,1.2,31.2,0.024,0.002,0.001,0.002,,9.5
06/01/2010,16:00,46,3.0,15.1,1.3,30.4,0.022,0.001,0.000,0.001,,9.6
06/01/2010,17:00,40,2.9,18.4,1.1,30.3,0.021,0.001,0.000,0.001,,10.5
06/01/2010,18:00,48,1.9,20.8,0.9,29.8,0.017,0.001,0.001,0.001,,10.8
06/01/2010,19:00,59,1.6,18.8,0.9,29.4,0.015,0.001,0.001,0.002,,7.2
06/01/2010,20:00,61,1.5,21.3,0.9,29.2,0.017,0.001,0.001,0.002,,7.2
06/01/2010,21:00,64,1.4,18.8,0.8,29.0,0.017,0.001,0.001,0.001,,8.8
06/01/2010,22:00,86,1.1,19.4,0.5,28.7,0.017,0.000,0.001,0.001,,12.8
06/01/2010,23:00,89,0.9,19.5,0.5,28.5,0.013,0.001,0.001,0.001,,10.8
07/01/2010,00:00,82,1.1,24.3,0.7,28.3,,,,,,11.8
07/01/2010,01:00,81,1.0,23.6,0.6,27.6,0.014,0.000,0.000,0.000,,9.6
07/01/2010,02:00,87,0.9,20.2,0.5,27.1,0.017,0.000,0.000,0.000,,11.9
07/01/2010,03:00,139,0.4,56.9,0.3,26.5,0.012,0.000,0.000,0.000,,10.8
07/01/2010,04:00,150,0.3,60.7,0.2,26.0,0.012,0.000,0.003,0.003,,12.7
07/01/2010,05:00,172,0.3,60.5,0.2,25.8,0.006,0.001,0.006,0.007,,12.9
07/01/2010,06:00,235,0.6,27.0,0.3,27.0,0.010,0.011,0.006,0.016,,18.4
07/01/2010,07:00,169,0.2,86.9,0.4,31.3,0.016,0.003,0.003,0.006,,15.7
07/01/2010,08:00,69,0.4,87.7,0.5,31.9,0.030,0.001,0.002,0.003,,13.7
07/01/2010,09:00,46,1.0,57.2,0.8,33.8,0.038,0.001,0.000,0.001,,11.8
07/01/2010,10:00,46,1.2,49.0,0.8,34.1,0.023,0.001,0.000,0.001,,9.9
07/01/2010,11:00,22,2.0,32.0,0.9,33.9,0.020,0.001,0.001,0.001,,8.8
07/01/2010,12:00,12,2.7,176.0,1.1,34.0,0.018,0.001,0.001,0.001,,9.1
07/01/2010,13:00,36,2.6,22.6,1.0,33.6,0.017,0.001,0.000,0.001,,9.9
07/01/2010,14:00,36,2.3,23.6,0.9,33.9,0.019,0.001,0.000,0.001,,9.5
07/01/2010,15:00,36,2.6,20.2,1.1,33.3,0.015,0.001,0.000,0.001,,8.5
07/01/2010,16:00,41,2.9,17.2,1.1,32.3,0.020,0.001,0.001,0.001,,12.0
07/01/2010,17:00,40,2.8,17.9,1.1,31.3,0.018,0.001,0.000,0.001,,13.7
07/01/2010,18:00,36,2.4,15.8,1.0,30.1,0.018,0.001,0.001,0.002,,10.5
07/01/2010,19:00,43,1.6,17.5,0.7,29.8,0.015,0.001,0.002,0.003,,10.7
07/01/2010,20:00,49,1.6,17.6,0.8,29.9,0.015,0.001,0.002,0.002,,10.3
07/01/2010,21:00,62,1.1,35.8,0.7,29.9,0.017,0.001,0.001,0.002,,9.7
07/01/2010,22:00,98,1.1,29.7,0.8,28.3,0.018,0.001,0.001,0.001,,9.2
07/01/2010,23:00,88,0.9,34.7,0.6,27.4,0.013,0.000,0.001,0.001,,5.1
08/01/2010,00:00,123,0.6,55.8,0.6,27.1,,,,,,4.5
08/01/2010,01:00,54,1.5,47.1,1.0,26.1,0.014,0.000,0.000,0.000,,4.4
08/01/2010,02:00,335,0.3,165.8,0.5,26.1,0.014,0.000,0.000,0.000,,3.7
08/01/2010,03:00,88,1.6,28.8,1.0,25.8,0.014,0.000,0.000,0.000,,
08/01/2010,04:00,94,1.0,45.0,0.8,24.8,0.016,0.000,0.000,0.000,,
08/01/2010,05:00,196,1.1,18.2,0.4,24.9,0.010,0.000,0.001,0.001,,5.0
08/01/2010,06:00,225,1.1,30.7,0.5,25.4,0.012,0.001,0.003,0.004,,5.8
08/01/2010,07:00,169,0.9,38.2,0.5,27.4,0.012,0.004,0.004,0.008,,7.7
08/01/2010,08:00,115,0.5,67.4,0.5,29.3,0.014,0.005,0.002,0.006,,13.1
08/01/2010,09:00,70,0.3,91.1,0.5,30.2,0.017,0.002,0.001,0.003,,8.0
08/01/2010,10:00,117,1.1,47.2,0.8,30.6,0.022,0.003,0.002,0.004,,9.6
08/01/2010,11:00,140,0.4,98.3,0.6,32.1,0.023,0.002,0.001,0.003,,12.1
08/01/2010,12:00,80,1.5,33.8,0.9,32.3,0.034,0.001,0.002,0.003,,11.4
08/01/2010,13:00,53,1.5,27.8,0.8,32.1,0.032,0.001,0.001,0.002,,9.4
08/01/2010,14:00,63,1.7,20.7,0.9,31.4,0.026,0.001,0.001,0.002,,9.8
08/01/2010,15:00,51,1.8,21.0,0.8,30.9,0.023,0.001,0.002,0.003,,8.9
08/01/2010,16:00,43,2.0,23.6,0.9,31.0,0.023,0.002,0.000,0.002,,10.5
08/01/2010,17:00,52,1.8,22.7,0.9,30.7,0.030,0.001,0.001,0.002,,10.7
08/01/2010,18:00,63,1.5,18.9,0.7,29.9,0.018,0.002,0.001,0.003,,12.2
08/01/2010,19:00,88,1.0,30.4,0.6,29.6,0.016,0.002,0.002,0.003,,12.3
08/01/2010,20:00,109,1.7,28.9,1.1,27.1,0.017,0.001,0.001,0.002,,8.8
08/01/2010,21:00,127,0.9,47.2,0.7,26.1,0.015,0.001,0.002,0.003,,5.3
08/01/2010,22:00,134,1.3,36.9,0.9,25.6,0.015,0.000,0.001,0.001,,2.0
08/01/2010,23:00,129,1.4,30.2,0.8,25.9,0.027,0.000,0.001,0.001,,3.1
09/01/2010,00:00,119,2.0,24.9,1.2,26.4,,,,,,2.2
09/01/2010,01:00,120,1.5,36.3,1.1,26.6,0.025,0.000,0.000,0.000,,4.7
09/01/2010,02:00,141,1.1,45.3,0.9,26.6,0.025,0.000,0.000,0.000,,4.6
09/01/2010,03:00,155,0.7,44.3,0.6,26.8,0.019,0.000,0.000,0.000,,5.0
09/01/2010,04:00,151,0.9,50.3,0.9,26.7,0.030,0.000,0.000,0.000,,5.4
09/01/2010,05:00,144,0.7,52.9,0.6,26.8,0.027,0.000,0.000,0.000,,10.0
09/01/2010,06:00,139,1.0,46.5,0.8,27.3,0.023,0.000,0.001,0.001,,6.8
09/01/2010,07:00,136,0.9,48.0,0.7,28.8,0.023,0.000,0.001,0.001,,9.8
09/01/2010,08:00,114,1.6,38.9,1.1,28.3,0.029,0.000,0.001,0.001,,8.8
09/01/2010,09:00,125,1.4,46.7,1.1,30.2,0.030,0.001,0.001,0.002,,6.7
09/01/2010,10:00,100,2.0,39.1,1.3,30.5,0.030,0.001,0.001,0.002,,8.8
09/01/2010,11:00,99,1.9,29.7,1.2,29.2,0.031,0.001,0.002,0.003,,11.8
09/01/2010,12:00,98,1.8,28.7,1.2,29.6,0.031,0.001,0.002,0.003,,9.7
09/01/2010,13:00,92,2.1,26.2,1.3,30.4,0.031,0.001,0.001,0.002,,7.6
09/01/2010,14:00,92,2.9,27.6,1.6,29.8,0.034,0.001,0.001,0.001,,9.4
09/01/2010,15:00,120,1.7,34.1,1.2,28.6,0.028,0.001,0.001,0.002,,7.7
09/01/2010,16:00,98,1.7,23.9,1.1,27.7,0.032,0.000,0.002,0.002,,10.6
09/01/2010,17:00,102,1.0,31.6,0.7,27.0,0.024,0.001,0.002,0.003,,8.3
09/01/2010,18:00,133,0.7,51.0,0.7,27.3,0.020,0.001,0.004,0.005,,12.3
09/01/2010,19:00,122,1.1,38.9,0.7,26.9,0.021,0.000,0.003,0.003,,10.6
09/01/2010,20:00,133,0.7,44.0,0.6,27.0,0.018,0.000,0.003,0.003,,10.7
09/01/2010,21:00,135,1.1,44.0,0.9,27.1,0.019,0.000,0.003,0.003,,10.1
09/01/2010,22:00,127,1.5,39.9,1.0,27.2,0.019,0.000,0.000,0.000,,11.3
09/01/2010,23:00,104,1.4,32.9,1.0,26.6,0.016,0.000,0.000,0.000,,11.3
10/01/2010,00:00,128,0.6,59.9,0.6,26.0,,,,,,7.8
10/01/2010,01:00,140,0.7,57.1,0.7,26.3,0.018,0.000,0.000,0.000,,14.6
10/01/2010,02:00,122,0.9,41.0,0.7,26.4,0.015,0.000,0.000,0.000,,12.6
10/01/2010,03:00,111,1.2,35.3,0.9,26.6,0.017,0.000,0.000,0.000,,17.6
10/01/2010,04:00,157,0.4,59.0,0.5,26.0,0.016,0.000,0.000,0.000,,15.5
10/01/2010,05:00,185,0.7,38.4,0.6,25.7,0.014,0.000,0.001,0.001,,14.7
10/01/2010,06:00,158,0.6,49.1,0.5,26.2,0.013,0.000,0.001,0.001,,16.3
10/01/2010,07:00,134,0.9,55.2,0.9,28.5,0.015,0.000,0.000,0.000,,15.5
10/01/2010,08:00,123,1.5,50.8,1.2,31.6,0.017,0.001,0.000,0.001,,17.0
10/01/2010,09:00,107,2.0,38.7,1.4,31.6,0.017,0.001,0.001,0.001,,17.8
10/01/2010,10:00,91,1.9,35.5,1.2,31.3,0.021,0.001,0.001,0.002,,14.8
10/01/2010,11:00,99,2.1,34.4,1.4,32.5,0.020,0.001,0.000,0.001,,13.4
10/01/2010,12:00,83,3.2,26.9,1.9,33.0,0.018,0.001,0.000,0.001,,14.6
10/01/2010,13:00,92,2.5,30.6,1.6,32.9,0.018,0.001,0.001,0.001,,16.9
10/01/2010,14:00,89,2.7,26.2,1.6,32.7,0.019,0.001,0.001,0.001,,20.2
10/01/2010,15:00,79,2.6,26.5,1.5,31.5,0.019,0.001,0.001,0.002,,23.5
10/01/2010,16:00,74,3.2,19.0,1.6,30.7,0.016,0.001,0.001,0.001,,27.9
10/01/2010,17:00,79,3.0,20.5,1.6,30.8,0.017,0.001,0.001,0.001,,27.2
10/01/2010,18:00,81,2.7,21.6,1.6,29.8,0.020,0.000,0.001,0.001,,29.6
10/01/2010,19:00,95,1.8,24.6,1.2,28.8,0.020,0.000,0.001,0.001,,27.3
10/01/2010,20:00,93,2.0,21.8,1.2,28.3,0.022,0.000,0.001,0.001,,26.9
10/01/2010,21:00,92,2.2,19.7,1.2,28.0,0.018,0.000,0.001,0.001,,22.1
10/01/2010,22:00,102,1.8,27.1,1.1,27.7,0.016,0.000,0.001,0.001,,18.7
10/01/2010,23:00,142,1.0,46.0,1.0,27.2,0.015,0.000,0.000,0.000,,15.8
11/01/2010,00:00,158,0.8,46.3,0.7,26.3,,,,,,12.1
11/01/2010,01:00,151,0.9,43.1,0.7,26.0,0.015,0.000,0.000,0.000,,13.4
11/01/2010,02:00,163,0.6,65.7,0.6,25.5,0.015,0.000,0.000,0.000,,14.3
11/01/2010,03:00,247,0.6,35.4,0.3,24.3,0.013,0.000,0.000,0.000,,15.4
11/01/2010,04:00,247,0.5,33.6,0.3,23.4,0.011,0.000,0.001,0.001,,14.5
11/01/2010,05:00,192,0.3,63.9,0.3,23.3,0.007,0.001,0.004,0.004,,15.5
11/01/2010,06:00,165,0.5,59.6,0.5,25.6,0.011,0.001,0.003,0.004,,19.6
11/01/2010,07:00,137,1.0,52.2,0.9,29.3,0.015,0.002,0.003,0.005,,22.8
11/01/2010,08:00,118,1.3,52.3,1.1,31.2,0.016,0.002,0.002,0.004,,17.9
11/01/2010,09:00,91,2.0,40.5,1.5,32.3,0.019,0.001,0.002,0.003,,21.7
11/01/2010,10:00,88,2.0,36.7,1.3,33.0,0.021,0.002,0.001,0.003,,23.6
11/01/2010,11:00,80,2.0,34.6,1.4,33.1,0.022,0.001,0.001,0.002,,21.0
11/01/2010,12:00,78,2.9,24.9,1.6,33.3,0.020,0.002,0.001,0.002,,18.1
11/01/2010,13:00,68,3.1,24.1,1.6,33.4,0.019,0.002,0.001,0.002,,14.3
11/01/2010,14:00,72,3.4,20.5,1.9,32.3,0.016,0.002,0.001,0.003,,19.0
11/01/2010,15:00,71,3.2,21.3,1.7,31.5,0.016,0.002,0.001,0.003,,16.2
11/01/2010,16:00,92,2.1,28.6,1.3,30.7,0.015,0.002,0.002,0.004,,20.1
11/01/2010,17:00,76,2.5,20.6,1.3,30.0,0.016,0.001,0.001,0.002,,22.3
11/01/2010,18:00,79,2.6,20.6,1.5,29.7,0.019,0.001,0.001,0.001,,23.3
11/01/2010,19:00,87,2.6,18.9,1.3,29.0,0.023,0.001,0.001,0.001,,25.0
11/01/2010,20:00,99,1.5,30.2,0.9,28.6,0.021,0.000,0.001,0.001,,24.7
11/01/2010,21:00,90,1.6,19.9,0.9,28.2,0.017,0.000,0.001,0.001,,21.1
11/01/2010,22:00,110,1.1,25.9,0.7,27.8,0.016,0.000,0.001,0.001,,19.7
11/01/2010,23:00,113,1.4,28.7,0.8,27.7,0.015,0.000,0.001,0.001,,17.2
12/01/2010,00:00,120,0.9,54.0,0.9,27.2,,,,,,17.2
12/01/2010,01:00,167,0.4,65.7,0.5,26.3,0.014,0.000,0.001,0.001,,16.8
12/01/2010,02:00,122,0.9,36.8,0.5,26.5,0.013,0.000,0.001,0.001,,17.1
12/01/2010,03:00,118,0.8,42.3,0.6,26.2,0.013,0.000,0.000,0.000,,15.1
12/01/2010,04:00,113,0.9,32.5,0.6,26.7,0.013,0.000,0.001,0.001,,16.8
12/01/2010,05:00,109,1.0,39.8,0.8,25.7,0.016,0.001,0.001,0.002,,13.8
12/01/2010,06:00,128,0.6,48.9,0.6,26.4,0.011,0.002,0.005,0.007,,14.9
12/01/2010,07:00,123,1.1,40.0,0.7,28.0,0.010,0.002,0.004,0.005,,15.2
12/01/2010,08:00,105,1.3,47.3,1.0,31.0,0.015,0.002,0.001,0.003,,20.0
12/01/2010,09:00,100,1.9,39.3,1.3,29.9,0.016,0.002,0.002,0.004,,18.9
12/01/2010,10:00,92,1.9,41.0,1.3,32.2,0.017,0.001,0.002,0.003,,11.5
12/01/2010,11:00,83,2.3,30.0,1.4,32.8,0.014,0.006,0.009,0.015,,11.2
12/01/2010,12:00,63,2.8,25.3,1.6,33.5,,,,,,20.8
12/01/2010,13:00,69,2.9,23.4,1.6,33.7,0.016,0.002,0.001,0.003,,29.7
12/01/2010,14:00,70,3.1,21.8,1.8,33.3,0.017,0.001,0.001,0.002,,14.5
12/01/2010,15:00,77,2.8,24.4,1.6,32.9,0.020,0.002,0.000,0.002,,20.5
